,keyword,Aspect
0,shampoo,
1,hair fall control,
2,hair fall problem,
3,hair fall,
4,product,Quality
5,fragrance,Fragrance
6,packaging,Packaging
7,delivery,Packaging
8,lots,
9,hairs,
10,volumes,Pricing
11,hair,
12,dandruff,
13,price,Pricing
14,company,Pricing
15,head,
16,shoulders,
17,❤️,
18,hairfall,
19,hair color,Colour
20,bio kelp shampoo,
21,ocean kelp,
22,eyes,
23,return policy,Pricing
24,waste,
25,app,
26,money,Pricing
27,hair fall start,
28,hair damage control,
29,result,
30,wash,
31,lil,
32,madikeri,
33,message,
34,experience,
35,type,
36,kodagu,
37,flipkart,
38,karnataka,
39,ecom,
40,smell,Fragrance
41,buy,
42,scalp peoples,
43,scalp,
44,mom,
45,product.,
46,all,
47,thnx,
48,products,
49,conditioer,
50,shine,
51,washes,
52,hair falls,
53,sampoo,
54,hair scalp,
55,shamboo,
56,quality,Quality
57,world,
58,dove shampoo,
59,damage,
60,hair prblm finish,
61,thanks,Pricing
62,one,
63,shampoo user,
64,sulphate paraben,Fragrance
65,item,Pricing
66,bakvas,
67,buyer,Pricing
68,mfg,
69,expiry,
70,bottle,Quantity
71,deal,Quality
72,description,Packaging
73,issues,
74,hair loss,Health
75,hair type,
76,frignans,
77,sweet,Fragrance
78,ages,
79,request,
80,guys,
81,mistake,
82,shop,
83,texture,
84,stars,
85,delivery person,Packaging
86,person,
87,shoulder,
88,half,
89,water,
90,effect,
91,sampo,
92,love,
93,something,
94,thing,Feature
95,bit,
96,strands,
97,everyday,
98,use,
99,loreal,
100,review,
101,bt,
102,smoothness,
103,people,
104,things,
105,part,
106,reviews,
107,somebody,
108,anyone,
109,shampoo container,Packaging
110,seller,Pricing
111,cheting business,
112,size,Quantity
113,consistency,
114,damage dryness,
115,waste product,
116,volume,
117,quinia,
118,pakaging,
119,pigmentation,Colour
120,diet,Health
121,content,Ingredient
122,body,
123,kratin,
124,eatching,
125,options,
126,star,
127,prize,Pricing
128,anybody,
129,wait,
130,offer,
131,product hair damage,
132,service,Pricing
133,delivery boy,Packaging
134,flipkart boy,
135,hair dandruff,
136,mon,
137,product ingredients list,Ingredient
138,preservatives,Ingredient
139,information,Pricing
140,information.company,
141,castomar,
142,worth,
143,hair growth,Health
144,boys,
145,gentle,
146,🙏,
147,pwoli,
148,amezing,
149,god,
150,filfcart,
151,market,
152,everyone,
153,headache,
154,feedback,
155,others,
156,tresemme sampoo,
157,mrp,
158,d,
159,volumizing shampoo,
160,job tresemme,
161,neem shampoo,
162,hair damage,
163,change,
164,supper supper shampoo,
165,supper quality,Quality
166,version,
167,indian,
168,foaming,
169,shampoo.,
170,faltu ki chije hain,Health
171,bakwas,
172,n,
173,tym,
174,👍👍👍👍👍👌👌👌,
175,product cap,
176,works,
177,nice,
178,value,Quality
179,colour,Colour
180,time,
181,times,
182,tresemme,
183,flipkart 👌👌👌👍🙏,
184,flipkart 👌👌👌👌,
185,baki review,
186,rate,
187,foam,
188,prodect,
189,hair fall control wala,
190,tha,
191,wastage,
192,cast,
193,hair perfume,Fragrance
194,grease,
195,lot,
196,dove,
197,oil,
198,excellent packaging,Packaging
199,quantity,Quantity
200,flipkart 🛍️🛍️🛍️🛍️,
201,menthol effect,Fragrance
202,color,Colour
203,dandruff fre,
204,question,
205,side effects,
206,conditioning,
207,vet,
208,vakwas,
209,its,
210,anything,
211,bed floor,
212,asquare groups,
213,persons,Ingredient
214,results,
215,condition,
216,ek number product...ur delivery boy,Packaging
217,family members,
218,brands,
219,hair loss issue,Health
220,man,
221,tottaly,
222,need,
223,hairfall problem,
224,money size,Quantity
225,super product,
226,offers,Pricing
227,care,
228,package,Packaging
229,ekart,
230,packing,Packaging
231,miss match,Colour
232,shampoos,
233,pl,
234,silky,
235,hair fall shampoo,
236,much,
237,kind,
238,apple shampoo,
239,apple,
240,hair problems,
241,hair waste,
242,👌😍,
243,vry nycc,
244,thnqq flipkart,
245,types,
246,hair fall rescue sampoo,
247,damage hair,
248,hair fall issues,
249,chemicals,Ingredient
250,eye,
251,h&s,
252,protein intake,Health
253,thyroid,Health
254,hair textures,
255,product fregence,
256,product thankyou,
257,improvement,
258,dont,
259,❤❤❤❤❤❤❤,
260,dont go for it,
261,dandruff remedy,
262,best,
263,product waste,
264,problemafter,
265,difference,
266,loss,Health
267,super,
268,ppl,
269,hair colour,Colour
270,another,
271,black,Colour
272,menthol,Fragrance
273,maney,
274,doubts,
275,fraud duplicate product,
276,hair problem,
277,cooling scalp,
278,color hair,Colour
279,bottle pe sellotape,Quantity
280,label,Ingredient
281,everything,
282,hair fall problmes,
283,delevery,
284,dranduff,
285,hy,
286,sulphate,
287,parabens,Ingredient
288,conditioner,
289,spa rejuvenation shampoo,Health
290,unavailability,
291,product delivery,Packaging
292,hair wash,
293,product quantity,Quantity
