ASIN,Category,Latest BSR,Last Day BSR
4583847,Shampoo,407,399
5071338,Shampoo,419,417
1488677,Shampoo,521,520
881206,Shampoo,548,547
430561,Shampoo,506,532
881207,Shampoo,613,626
3686701,Shampoo,672,680
540668,Shampoo,715,720
4583846,Shampoo,786,782
5788872,Shampoo,869,876
3686702,Shampoo,887,895
1488679,Shampoo,897,899
5950,Shampoo,49,49
10229,Shampoo,58,58
5946,Shampoo,7,7
453991,Shampoo,71,73
5940,Shampoo,77,79
540667,Shampoo,83,84
4586546,Shampoo,82,85
5071339,Shampoo,142,145
453983,Shampoo,150,153
540666,Shampoo,170,172
739951,Shampoo,192,194
5071340,Shampoo,200,200
4586543,Shampoo,216,220
5941,Shampoo,248,251
4583845,Shampoo,302,308
5071337,Shampoo,310,313
14292,Shampoo,316,321
24274,Shampoo,336,339
2638478,Shampoo,331,335
1482406,Shampoo,385,388
5504819,Shampoo,79,81
3608269,Shampoo,113,116
1328947,Shampoo,135,138
3798201,Shampoo,136,141
72158,Shampoo,160,161
6788978,Shampoo,625,646
5342883,Shampoo,1,1
18402,Shampoo,11,11
10500,Shampoo,13,13
874067,Shampoo,14,14
72139,Shampoo,17,17
1323563,Shampoo,18,18
1328949,Shampoo,20,20
10506,Shampoo,21,21
72164,Shampoo,22,23
10495,Shampoo,26,27
10499,Shampoo,27,28
1328938,Shampoo,29,29
72162,Shampoo,33,33
208219,Shampoo,35,36
10497,Shampoo,34,34
3798202,Shampoo,41,42
1321112,Shampoo,51,53
1323562,Shampoo,62,62
10503,Shampoo,63,65
1328952,Shampoo,66,66
1162179,Shampoo,23,24
6671067,Shampoo,24,26
10970,Shampoo,55,55
10672,Shampoo,57,59
1370749,Shampoo,64,64
936397,Shampoo,59,61
220222,Shampoo,78,80
6282,Shampoo,105,107
4317603,Shampoo,122,125
5951,Shampoo,147,148
7286094,Shampoo,184,197
6790017,Shampoo,228,232
906457,Shampoo,306,301
391197,Shampoo,299,309
4749763,Shampoo,405,427
6790016,Shampoo,390,402
7286093,Shampoo,387,405
1504363,Shampoo,526,529
4749761,Shampoo,699,707
4749762,Shampoo,852,885
1507007,Shampoo,722,732
1507005,Shampoo,800,792
730074,Shampoo,838,843
39954,Shampoo,866,877
1507009,Shampoo,853,878
598064,Shampoo,891,891
159796,Shampoo,922,925
1507006,Shampoo,954,974
1507008,Shampoo,950,951
730009,Shampoo,991,989
598186,Shampoo,273,274
357142,Shampoo,45,46
516572,Shampoo,96,98
357134,Shampoo,110,112
386434,Shampoo,182,182
464872,Shampoo,241,240
952740,Shampoo,285,285
464868,Shampoo,296,290
1507000,Shampoo,343,340
952745,Shampoo,445,444
739751,Shampoo,482,482
598207,Shampoo,471,471
60315,Shampoo,524,525
1506989,Shampoo,532,538
952743,Shampoo,527,540
1506996,Shampoo,569,556
730077,Shampoo,594,598
730070,Shampoo,597,597
730113,Shampoo,639,644
730082,Shampoo,696,695
952749,Shampoo,756,747
1488673,Shampoo,525,535
1488672,Shampoo,530,550
3535712,Shampoo,564,571
430560,Shampoo,560,563
1488674,Shampoo,557,572
7678,Shampoo,584,587
982102,Shampoo,653,666
1031095,Shampoo,667,678
982101,Shampoo,863,872
208997,Shampoo,12,12
971624,Shampoo,28,25
7681,Shampoo,42,43
384438,Shampoo,44,45
774828,Shampoo,61,63
864831,Shampoo,100,105
117539,Shampoo,121,124
7679,Shampoo,134,136
5788860,Shampoo,151,155
780639,Shampoo,164,168
208994,Shampoo,224,226
881205,Shampoo,225,230
430559,Shampoo,279,279
1488687,Shampoo,329,326
774831,Shampoo,339,346
14684,Shampoo,341,349
774832,Shampoo,389,394
117532,Shampoo,413,410
5788864,Shampoo,377,374
881204,Shampoo,493,499
546747,Shampoo,106,108
937932,Shampoo,214,242
4240687,Shampoo,265,260
546751,Shampoo,333,334
546745,Shampoo,338,338
359049,Shampoo,416,404
442741,Shampoo,402,409
10772,Shampoo,476,478
218621,Shampoo,577,574
240535,Shampoo,641,656
