ASIN,Date,Category,BSR,Last Known BSR
4583847,15/09/2022,Shampoo,397,
4583847,16/09/2022,Shampoo,401,397
4583847,17/09/2022,Shampoo,399,401
4583847,18/09/2022,Shampoo,407,399
5071338,15/09/2022,Shampoo,419,
5071338,16/09/2022,Shampoo,416,419
5071338,17/09/2022,Shampoo,417,416
5071338,18/09/2022,Shampoo,419,417
1488677,15/09/2022,Shampoo,513,
1488677,16/09/2022,Shampoo,509,513
1488677,17/09/2022,Shampoo,520,509
1488677,18/09/2022,Shampoo,521,520
881206,15/09/2022,Shampoo,545,
881206,16/09/2022,Shampoo,543,545
881206,17/09/2022,Shampoo,547,543
881206,18/09/2022,Shampoo,548,547
430561,15/09/2022,Shampoo,570,
430561,16/09/2022,Shampoo,556,570
430561,17/09/2022,Shampoo,532,556
430561,18/09/2022,Shampoo,506,532
881207,15/09/2022,Shampoo,621,
881207,16/09/2022,Shampoo,626,621
881207,17/09/2022,Shampoo,626,626
881207,18/09/2022,Shampoo,613,626
3686701,15/09/2022,Shampoo,702,
3686701,16/09/2022,Shampoo,688,702
3686701,17/09/2022,Shampoo,680,688
3686701,18/09/2022,Shampoo,672,680
540668,15/09/2022,Shampoo,717,
540668,16/09/2022,Shampoo,717,717
540668,17/09/2022,Shampoo,720,717
540668,18/09/2022,Shampoo,715,720
4583846,15/09/2022,Shampoo,768,
4583846,16/09/2022,Shampoo,768,768
4583846,17/09/2022,Shampoo,782,768
4583846,18/09/2022,Shampoo,786,782
5788872,15/09/2022,Shampoo,879,
5788872,16/09/2022,Shampoo,874,879
5788872,17/09/2022,Shampoo,876,874
5788872,18/09/2022,Shampoo,869,876
3686702,15/09/2022,Shampoo,897,
3686702,16/09/2022,Shampoo,891,897
3686702,17/09/2022,Shampoo,895,891
3686702,18/09/2022,Shampoo,887,895
1488679,15/09/2022,Shampoo,932,
1488679,16/09/2022,Shampoo,927,932
1488679,17/09/2022,Shampoo,899,927
1488679,18/09/2022,Shampoo,897,899
5950,15/09/2022,Shampoo,47,
5950,16/09/2022,Shampoo,50,47
5950,17/09/2022,Shampoo,49,50
5950,18/09/2022,Shampoo,49,49
10229,15/09/2022,Shampoo,55,
10229,16/09/2022,Shampoo,57,55
10229,17/09/2022,Shampoo,58,57
10229,18/09/2022,Shampoo,58,58
5946,15/09/2022,Shampoo,69,
5946,16/09/2022,Shampoo,70,69
5946,17/09/2022,Shampoo,7,70
5946,18/09/2022,Shampoo,7,7
453991,15/09/2022,Shampoo,71,
453991,16/09/2022,Shampoo,72,71
453991,17/09/2022,Shampoo,73,72
453991,18/09/2022,Shampoo,71,73
5940,15/09/2022,Shampoo,77,
5940,16/09/2022,Shampoo,78,77
5940,17/09/2022,Shampoo,79,78
5940,18/09/2022,Shampoo,77,79
540667,15/09/2022,Shampoo,81,
540667,16/09/2022,Shampoo,83,81
540667,17/09/2022,Shampoo,84,83
540667,18/09/2022,Shampoo,83,84
4586546,15/09/2022,Shampoo,83,
4586546,16/09/2022,Shampoo,84,83
4586546,17/09/2022,Shampoo,85,84
4586546,18/09/2022,Shampoo,82,85
5071339,15/09/2022,Shampoo,141,
5071339,16/09/2022,Shampoo,142,141
5071339,17/09/2022,Shampoo,145,142
5071339,18/09/2022,Shampoo,142,145
453983,15/09/2022,Shampoo,152,
453983,16/09/2022,Shampoo,153,152
453983,17/09/2022,Shampoo,153,153
453983,18/09/2022,Shampoo,150,153
540666,15/09/2022,Shampoo,173,
540666,16/09/2022,Shampoo,171,173
540666,17/09/2022,Shampoo,172,171
540666,18/09/2022,Shampoo,170,172
739951,15/09/2022,Shampoo,196,
739951,16/09/2022,Shampoo,190,196
739951,17/09/2022,Shampoo,194,190
