ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Availability,Category,Gender
5169498,Dove Intense Repair Shampoo & Eventone Deodorant For Women,Dove,736,,,4.3,NA,NA,905,736,,0,1,,
5169497,Dove Intense Repair Shampoo & Eventone Deodorant Roll On For Women,Dove,716,,,4.4,NA,NA,895,716,,0,1,,
4583847,Dove Hair Fall Rescue Combo,Dove,977,407,14,4.6,NA,NA,1189,1088,399,0,1,Shampoo,
5071338,Dove Hair Therapy Niacinamide Complete Haircare Combo For Dry Scalp,Dove,1053,419,34,4.5,NA,NA,1549,1053,417,0,1,Shampoo,
1488677,Dove Intense Repair Shampoo + Conditioner,Dove,793,521,11,4.2,NA,NA,1043,793,520,0,1,,
881206,Dove Dandruff Clean & Fresh Shampoo + Conditioner Combo,Dove,677,548,18,4.4,NA,NA,915,677,547,0,1,Combos @ Nykaa,
430561,Dove Intense Repair Combo (Buy 1Ltr Shampoo and Get 190ml Conditioner Free),Dove,754,506,4,4.5,NA,NA,1160,754,532,0,1,Combos @ Nykaa,
881207,Dove Dandruff Care Shampoo + Conditioner Combo,Dove,630,613,1,4.3,NA,NA,852,849,626,0,1,Combos @ Nykaa,
3686701,Dove Healthy Ritual Haircare Combo,Dove,1093,672,6,4.5,NA,NA,1377,1093,680,0,1,,
540668,Dove Intense Repair Shampoo + Damage Solutions Intense Repair Conditioner,Dove,640,715,38,4.3,NA,NA,865,640,720,0,1,Combos @ Nykaa,
4583846,Dove Hair Shine Restoration Combo,Dove,903,786,5,4.6,NA,NA,1204,903,782,0,1,Shampoo,
5788872,Dove Hydrating Cleanse Shampoo For Curly,Dove,999,869,,3,NA,NA,999,999,876,0,1,Shampoo,
3686702,Dove Healthy Ritual Strengthening Shampoo(650ml) + Hair Mask,Dove,931,887,5,4.5,NA,NA,1187,931,895,0,1,,
1488679,Dove Intense Repair Shampoo + Conditioner + Mask,Dove,1184,897,,4.4,NA,NA,1568,1184,899,0,1,,
4138010,"Dove Detox & Purify Dry Shampoo, For Refreshing & Reviving Oily Hair",Dove,509,,,3.3,NA,NA,599,509,,0,1,,
3535711,Dove Healthy Ritual Shampoo Conditioner + Mask,Dove,1093,,,4.4,NA,NA,1377,1093,,0,1,,
3686700,Dove Intense Repair Shampoo + Hair Mask,Dove,1091,,,4.5,NA,NA,1495,1091,,0,1,,
3686699,Dove Intense Repair Shampoo(650ml) + Hair Mask,Dove,908,,,4.4,NA,NA,1200,908,,0,1,,
5169495,Dove Daily Shine Shampoo & Original Deodorant For Women,Dove,752,,,4.5,NA,NA,925,752,,0,1,,
