ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
4583847,15/09/2022,1089,,397,,0,1
4583847,16/09/2022,1089,1089,401,397,0,1
4583847,17/09/2022,1088,1089,399,401,0,1
4583847,18/09/2022,977,1088,407,399,0,1
5071338,15/09/2022,1053,,419,,0,1
5071338,16/09/2022,1053,1053,416,419,0,1
5071338,17/09/2022,1053,1053,417,416,0,1
5071338,18/09/2022,1053,1053,419,417,0,1
1488677,15/09/2022,793,,513,,0,1
1488677,16/09/2022,793,793,509,513,0,1
1488677,17/09/2022,793,793,520,509,0,1
1488677,18/09/2022,793,793,521,520,0,1
881206,15/09/2022,677,,545,,0,1
881206,16/09/2022,677,677,543,545,0,1
881206,17/09/2022,677,677,547,543,0,1
881206,18/09/2022,677,677,548,547,0,1
430561,15/09/2022,754,,570,,0,1
430561,16/09/2022,754,754,556,570,0,1
430561,17/09/2022,754,754,532,556,0,1
430561,18/09/2022,754,754,506,532,0,1
881207,15/09/2022,630,,621,,0,1
881207,16/09/2022,630,630,626,621,0,1
881207,17/09/2022,849,630,626,626,0,1
881207,18/09/2022,630,849,613,626,0,1
3686701,15/09/2022,1093,,702,,0,1
3686701,16/09/2022,1093,1093,688,702,0,1
3686701,17/09/2022,1093,1093,680,688,0,1
3686701,18/09/2022,1093,1093,672,680,0,1
540668,15/09/2022,640,,717,,0,1
540668,16/09/2022,640,640,717,717,0,1
540668,17/09/2022,640,640,720,717,0,1
540668,18/09/2022,640,640,715,720,0,1
4583846,15/09/2022,903,,768,,0,1
4583846,16/09/2022,903,903,768,768,0,1
4583846,17/09/2022,903,903,782,768,0,1
4583846,18/09/2022,903,903,786,782,0,1
5788872,15/09/2022,999,,879,,0,1
5788872,16/09/2022,999,999,874,879,0,1
5788872,17/09/2022,999,999,876,874,0,1
5788872,18/09/2022,999,999,869,876,0,1
3686702,15/09/2022,931,,897,,0,1
3686702,16/09/2022,931,931,891,897,0,1
3686702,17/09/2022,931,931,895,891,0,1
3686702,18/09/2022,931,931,887,895,0,1
1488679,15/09/2022,1184,,932,,0,1
1488679,16/09/2022,1184,1184,927,932,0,1
1488679,17/09/2022,1184,1184,899,927,0,1
1488679,18/09/2022,1184,1184,897,899,0,1
5950,15/09/2022,728,,47,,0,1
5950,16/09/2022,728,728,50,47,0,1
5950,17/09/2022,728,728,49,50,0,1
5950,18/09/2022,728,728,49,49,0,1
10229,15/09/2022,276,,55,,0,1
10229,16/09/2022,276,276,57,55,0,1
10229,17/09/2022,276,276,58,57,0,1
10229,18/09/2022,276,276,58,58,0,1
5946,15/09/2022,749,,69,,0,1
5946,16/09/2022,749,749,70,69,0,1
5946,17/09/2022,749,749,7,70,0,1
5946,18/09/2022,637,749,7,7,0,1
453991,15/09/2022,563,,71,,0,1
453991,16/09/2022,563,563,72,71,0,1
453991,17/09/2022,563,563,73,72,0,1
453991,18/09/2022,563,563,71,73,0,1
5940,15/09/2022,637,,77,,0,1
5940,16/09/2022,637,637,78,77,0,1
5940,17/09/2022,637,637,79,78,0,1
5940,18/09/2022,637,637,77,79,0,1
540667,15/09/2022,605,,81,,0,1
540667,16/09/2022,605,605,83,81,0,1
540667,17/09/2022,605,605,84,83,0,1
540667,18/09/2022,605,605,83,84,0,1
4586546,15/09/2022,338,,83,,0,1
4586546,16/09/2022,338,338,84,83,0,1
4586546,17/09/2022,338,338,85,84,0,1
4586546,18/09/2022,338,338,82,85,0,1
5071339,15/09/2022,712,,141,,0,1
5071339,16/09/2022,712,712,142,141,0,1
5071339,17/09/2022,712,712,145,142,0,1
5071339,18/09/2022,712,712,142,145,0,1
453983,15/09/2022,563,,152,,0,1
453983,16/09/2022,563,563,153,152,0,1
453983,17/09/2022,563,563,153,153,0,1
453983,18/09/2022,563,563,150,153,0,1
540666,15/09/2022,605,,173,,0,1
540666,16/09/2022,605,605,171,173,0,1
540666,17/09/2022,605,605,172,171,0,1
540666,18/09/2022,605,605,170,172,0,1
739951,15/09/2022,293,,196,,0,1
739951,16/09/2022,293,293,190,196,0,1
739951,17/09/2022,293,293,194,190,0,1
739951,18/09/2022,293,293,192,194,0,1
5071340,15/09/2022,1162,,198,,0,1
5071340,16/09/2022,1162,1162,194,198,0,1
5071340,17/09/2022,1162,1162,200,194,0,1
5071340,18/09/2022,1102,1162,200,200,0,1
4586543,15/09/2022,338,,216,,0,1
4586543,16/09/2022,338,338,216,216,0,1
4586543,17/09/2022,338,338,220,216,0,1
4586543,18/09/2022,338,338,216,220,0,1
5941,15/09/2022,281,,257,,0,1
5941,16/09/2022,281,281,253,257,0,1
5941,17/09/2022,281,281,251,253,0,1
5941,18/09/2022,281,281,248,251,0,1
4583845,15/09/2022,1004,,293,,0,1
4583845,16/09/2022,1004,1004,300,293,0,1
4583845,17/09/2022,1004,1004,308,300,0,1
4583845,18/09/2022,1004,1004,302,308,0,1
5071337,15/09/2022,645,,315,,0,1
5071337,16/09/2022,645,645,309,315,0,1
5071337,17/09/2022,645,645,313,309,0,1
5071337,18/09/2022,645,645,310,313,0,1
14292,15/09/2022,563,,320,,0,1
14292,16/09/2022,563,563,315,320,0,1
14292,17/09/2022,563,563,321,315,0,1
14292,18/09/2022,563,563,316,321,0,1
24274,15/09/2022,530,,338,,0,1
24274,16/09/2022,530,530,334,338,0,1
24274,17/09/2022,530,530,339,334,0,1
24274,18/09/2022,530,530,336,339,0,1
2638478,15/09/2022,72,,340,,0,1
2638478,16/09/2022,72,72,331,340,0,1
2638478,17/09/2022,72,72,335,331,0,1
2638478,18/09/2022,72,72,331,335,0,1
1482406,15/09/2022,798,,374,,0,1
1482406,16/09/2022,798,798,376,374,0,1
1482406,17/09/2022,798,798,388,376,0,1
1482406,18/09/2022,798,798,385,388,0,1
5504819,15/09/2022,2340,,82,,0,1
5504819,16/09/2022,2340,2340,81,82,0,1
5504819,17/09/2022,2340,2340,81,81,0,1
5504819,18/09/2022,2340,2340,79,81,0,1
3608269,15/09/2022,695,,116,,0,1
3608269,16/09/2022,695,695,115,116,0,1
3608269,17/09/2022,695,695,116,115,0,1
3608269,18/09/2022,695,695,113,116,0,1
1328947,15/09/2022,2808,,139,,0,1
1328947,16/09/2022,2808,2808,140,139,0,1
1328947,17/09/2022,2808,2808,138,140,0,1
1328947,18/09/2022,2808,2808,135,138,0,1
3798201,15/09/2022,2381,,142,,0,1
3798201,16/09/2022,2381,2381,139,142,0,1
3798201,17/09/2022,2381,2381,141,139,0,1
3798201,18/09/2022,2381,2381,136,141,0,1
72158,15/09/2022,1919,,164,,0,1
72158,16/09/2022,1919,1919,162,164,0,1
72158,17/09/2022,1919,1919,161,162,0,1
72158,18/09/2022,1919,1919,160,161,0,1
6788978,15/09/2022,1958,,699,,0,1
6788978,16/09/2022,1958,1958,654,699,0,1
6788978,17/09/2022,1958,1958,646,654,0,1
6788978,18/09/2022,1958,1958,625,646,0,1
5342883,15/09/2022,1200,,1,,0,1
5342883,16/09/2022,1200,1200,1,1,0,1
5342883,17/09/2022,1200,1200,1,1,0,1
5342883,18/09/2022,1200,1200,1,1,0,1
18402,15/09/2022,695,,10,,0,1
18402,16/09/2022,695,695,11,10,0,1
18402,17/09/2022,695,695,11,11,0,1
18402,18/09/2022,695,695,11,11,0,1
10500,15/09/2022,595,,12,,0,1
10500,16/09/2022,610,595,13,12,0,1
10500,17/09/2022,610,610,13,13,0,1
10500,18/09/2022,610,610,13,13,0,1
874067,15/09/2022,950,,13,,0,1
874067,16/09/2022,950,950,14,13,0,1
874067,17/09/2022,950,950,14,14,0,1
874067,18/09/2022,950,950,14,14,0,1
72139,15/09/2022,1477,,15,,0,1
72139,16/09/2022,1477,1477,17,15,0,1
72139,17/09/2022,1477,1477,17,17,0,1
72139,18/09/2022,1477,1477,17,17,0,1
1323563,15/09/2022,1914,,16,,0,1
1323563,16/09/2022,1914,1914,18,16,0,1
1323563,17/09/2022,1914,1914,18,18,0,1
1323563,18/09/2022,1914,1914,18,18,0,1
1328949,15/09/2022,1848,,18,,0,1
1328949,16/09/2022,1862,1848,20,18,0,1
1328949,17/09/2022,1862,1862,20,20,0,1
1328949,18/09/2022,1862,1862,20,20,0,1
10506,15/09/2022,695,,19,,0,1
10506,16/09/2022,695,695,21,19,0,1
10506,17/09/2022,695,695,21,21,0,1
10506,18/09/2022,695,695,21,21,0,1
72164,15/09/2022,1250,,20,,0,1
72164,16/09/2022,1264,1250,22,20,0,1
72164,17/09/2022,1264,1264,23,22,0,1
72164,18/09/2022,1264,1264,22,23,0,1
10495,15/09/2022,695,,26,,0,1
10495,16/09/2022,695,695,28,26,0,1
10495,17/09/2022,695,695,27,28,0,1
10495,18/09/2022,695,695,26,27,0,1
10499,15/09/2022,695,,27,,0,1
10499,16/09/2022,695,695,27,27,0,1
10499,17/09/2022,695,695,28,27,0,1
10499,18/09/2022,695,695,27,28,0,1
1328938,15/09/2022,2480,,28,,0,1
1328938,16/09/2022,2480,2480,29,28,0,1
1328938,17/09/2022,2480,2480,29,29,0,1
1328938,18/09/2022,2480,2480,29,29,0,1
72162,15/09/2022,1477,,32,,0,1
72162,16/09/2022,1477,1477,34,32,0,1
72162,17/09/2022,1477,1477,33,34,0,1
72162,18/09/2022,1477,1477,33,33,0,1
208219,15/09/2022,695,,33,,0,1
208219,16/09/2022,695,695,36,33,0,1
208219,17/09/2022,695,695,36,36,0,1
208219,18/09/2022,695,695,35,36,0,1
10497,15/09/2022,695,,35,,0,1
10497,16/09/2022,695,695,35,35,0,1
10497,17/09/2022,695,695,34,35,0,1
10497,18/09/2022,695,695,34,34,0,1
