ASIN,Sentiment Score
4583847,5
430561,3.666666667
5071338,4.388888889
881206,4.916666667
4583846,5
540668,4.444444444
5472324,4.25
5940,4.277777778
5950,4.25
540667,3.928571429
10229,4.357142857
5071339,5
453983,3.947368421
540666,4.411764706
5071340,4.888888889
739951,3.631578947
4586543,4
5941,3.857142857
5071337,5
24274,3.8125
1482406,4.714285714
3608269,3.842105263
1328947,4.526315789
3798201,4.5
5342883,4.526315789
10500,4
72139,3.8125
1323563,3.444444444
72164,3.833333333
1328949,4.263157895
10495,3.777777778
1328938,4.083333333
10506,4.2
72162,4.333333333
3798202,5
1321112,4.636363636
1323562,3.789473684
1328952,1.25
6671067,3.833333333
10672,3.736842105
1370749,4.25
936397,4.5
10970,4.3125
220222,4.294117647
6282,3.947368421
4317603,3.736842105
7286094,4
6790017,4.666666667
5951,4.25
391197,4.1
4749763,5
1504363,4.75
4749761,3
4749762,5
936402,4.428571429
3900023,4.6
4749759,3.888888889
936399,4.8
5360366,5
4766171,5
3534905,4.75
110459,4.555555556
25555,3.35
1507007,4.642857143
1507005,5
452483,4.611111111
598064,4.285714286
1507009,4.833333333
1507006,1
730080,3.833333333
598186,4.157894737
730008,4.666666667
730007,4
730035,4.75
386434,3.823529412
464872,3.9
357134,4.157894737
952740,3.1
464868,3.631578947
739751,3.666666667
952745,3.45
1507000,4.352941176
60315,4.4
1506989,4.6
1506996,4.4375
952743,4.263157895
730070,4.277777778
730082,5
952749,3.5
730113,4.722222222
1488672,4.8
430560,4.842105263
7678,4.631578947
982102,4.666666667
982105,4.75
208997,4.6875
971624,4.333333333
384438,4.473684211
117539,4.055555556
864831,4.75
7679,4.210526316
5788860,4.090909091
780639,4.588235294
208994,4.6875
881205,4.875
430559,4.277777778
774831,3.882352941
14684,3.941176471
774832,4.375
117532,4.277777778
881204,4.277777778
5788864,4
546747,4.5
4240687,3.714285714
442741,3.894736842
546751,4.1
240535,4.166666667
499339,4.7
5980,4.214285714
