ASIN,String,Rating,Frequency
4583847,awesome,5,4
4583847,really,5,4
4583847,really good,5,1
4583847,good,5,9
4583847,effective,5,4
4583847,really nourishes,5,1
4583847,nourishes,5,1
4583847,nourishes hair,5,1
4583847,hair,5,8
4583847,hair super,5,1
4583847,super,5,1
4583847,super hydrating..,5,1
4583847,hydrating..,5,1
4583847,hydrating.. best,5,1
4583847,best,5,2
4583847,best chemical,5,1
4583847,chemical,5,1
4583847,chemical free,5,1
4583847,free,5,1
4583847,free conditioner,5,1
4583847,conditioner,5,3
4583847,conditioner help,5,1
4583847,help,5,1
4583847,help improve,5,1
4583847,improve,5,1
4583847,improve hair,5,1
4583847,hair texture,5,1
4583847,texture,5,1
4583847,texture maintains,5,1
4583847,maintains,5,1
4583847,maintains proper,5,1
4583847,proper,5,1
4583847,proper moisture,5,1
4583847,moisture,5,1
4583847,moisture hair,5,1
4583847,hair fully,5,1
4583847,fully,5,1
4583847,fully recommend,5,1
4583847,recommend,5,1
4583847,recommend everyone..,5,1
4583847,everyone..,5,2
4583847,nice,5,1
4583847,nice product,5,1
4583847,product,5,5
4583847,wow,5,2
4583847,like,5,3
4583847,great,5,5
4583847,thanks,5,1
4583847,thanks nykaa,5,1
4583847,nykaa,5,1
4583847,nykaa ♥️,5,1
4583847,♥️,5,2
4583847,visibly,5,1
4583847,visibly reduces,5,1
4583847,reduces,5,1
4583847,reduces hairfall,5,1
4583847,hairfall,5,1
4583847,hairfall effectively,5,1
4583847,effectively,5,1
4583847,effectively travel,5,1
4583847,travel,5,1
4583847,travel friendly,5,1
4583847,friendly,5,2
4583847,smoothens,5,1
4583847,smoothens hair,5,1
4583847,hair like,5,1
4583847,like nothing,5,1
4583847,nothing,5,1
4583847,nothing else,5,1
4583847,else,5,1
4583847,else long,5,1
4583847,long,5,1
4583847,long lasting,5,1
4583847,lasting,5,1
4583847,lasting effect..,5,1
4583847,effect..,5,1
4583847,effect.. best,5,1
4583847,best conditioner,5,1
4583847,conditioner used,5,1
4583847,used,5,1
4583847,used first,5,1
4583847,first,5,1
4583847,first hair,5,1
4583847,hair got,5,1
4583847,got,5,1
