ASIN,Question,Answer,Votes,Date
540668,What is the quantity of this combo?,"

Combo includes:

1. Dove Intense Repair Shampoo: 650ml.
2. Dove Damage Solutions Intense Repair Conditioner: 175ml.
 
Hope this resolves your query.

",0,11-10-2019
5472324,Is it sulphate and paraben free?,"

Dove Intense Repair Shampoo contains sulphates but it is free from parabens.

The full list of this product is as follows:

Water Sodium Laureth Sulfate Dimethiconol and Trideceth-10 and TEA-Dodecylbenzenesulfonate Glycol Distearate Cocamidopropyl Betaine Sodium Chloride Perfume Glycerin Cocamide MEA Amodimethicone and Cetrimonium Chloride and Trideceth-12 Guar Hydroxypropyltrimonium Chloride Acrylates/Beheneth-25 Methacrylate Copolymer Styrene/Acrylates Copolymer Mica and Titanium Dioxide Sodium Hydroxide Disodium EDTA Gluconolactone Trehalose Adipic Acid Sodium Sulfate PEG-45M DMDM Hydantoin Helianthus Annuus (Sunflower) Seed Oil Methylchloroisothiazolinone and Methylisothiazolinone Alpha-Isomethyl Ionone Citronellol Geraniol Linalool.

Happy Shopping!

",0,05-04-2021
5472324,Is this paraben free?," 

Dove Intense Repair Shampoo is a nourishing shampoo formulated Nutri-Keratin Repair Actives which repairs damaged hair. It is a gentle daily use shampoo and it is free from parabens. 

Here are the ingredients of this shampoo:
Water (Aqua) Sodium Laureth Sulfate Glycol Distearate Cocamidopropyl Betaine Sodium Chloride Fragrance (Parfum) Glycerin Dimethicone Gluconolactone Ppg-9 Dimethiconol Acrylates/Beheneth-25 Methacrylate Copolymer Styrene/Acrylates Copolymer Citric Acid Guar Hydroxypropyltrimonium Chloride Sodium Sulfate Adipic Acid Trehalose Tetrasodium Edta Amodimethicone Dmdm Hydantoin Peg-45M Tea-Dodecylbenzenesulfonate Cocamide Mea Peg-9M Cetrimonium Chloride Methylchloroisothiazolinone Methylisothiazolinone Mica (Ci 77019) Titanium Dioxide (Ci 77891).

Hope this resolves your query.

",0,29-05-2019
5472324,Does this item contain SLS?,"
This product contains SLS.

Hope this resolves your query.
",0,02-06-2018
5472324,Quantity of this pack.,,-6,18-02-2017
10229,What is the expiry date?,"

The expiry date of this product is mentioned on the packaging/labelled on the container. Rest assured all our products are far from expiry and are procured directly from the brand/authorized resellers of the brand.

Hope this resolves your query.

",0,01-03-2020
10229,Which shampoo is used for men dealing with hair fall and frizzy hair?,"

We recommend you to use Dove Men Care Complete Care Fortifying 2-in-1 Shampoo and Conditioner. This 2-in-1 shampoo for men offers effective hair care for men. It is formulated with caffeine and conditioning agents which will moisturize your hair and scalp and will leave your hair stronger and more resilient. 

Dove Men+Care Complete Care Fortifying 2-in-1 Shampoo and Conditioner
<a href=https://bit.ly/2srYNGw>https://bit.ly/2srYNGw</a>

Hope this resolves your query.

",0,09-01-2019
10229,What is the size of this product?,,0,01-02-2018
453991,Does it cure heavy hair fall also?,"

This Dove shampoo rejuvenates and nourishes damaged hair. However it might not help you to reduce hairfall. 

We recommend you to opt for products from the Dove Hair Fall Rescue range. You can buy the products here: <a href=http://bit.ly/2DauE3T>http://bit.ly/2DauE3T</a>

Hope this resolves your query.

",0,18-11-2019
453991,Is the shampoo paraben and sulphate free?," 

Dove Healthy Ritual For Strengthening Hair Shampoo is free from parabens and dyes. However it does contain sulphates. 

Hope this resolves your query.

",0,18-08-2019
453983,Is this shampoo and conditioner suitable for curly hair?,"

This shampoo can protect hair against daily damage instances like brushing combing and tangle teasing. This shampoo is suitable for all hair types.

Hope this resolves your query.

",0,21-06-2019
453983,Will this product help reducing hair fall?,"

This product is suitable for your concern as it is infused with coneflower oil and white tea which helps reduce hair breakage hair loss and repairs hair damage.

Hope this resolves your query.
",0,17-05-2019
5940,What is the expiration date of this product?,"

The manufacturing and expiry date of this product is mentioned on the packaging/labelled on the container. Rest assured all our products are far from expiry and procured directly from the brand/authorized resellers of the brand.

Hope this resolves your query.
",0,21-03-2018
5950,Is it sulphate and paraben free?,"

Dove Intense Repair Shampoo contains sulphates but it is free from parabens.

The full list of this product is as follows:

Water Sodium Laureth Sulfate Dimethiconol and Trideceth-10 and TEA-Dodecylbenzenesulfonate Glycol Distearate Cocamidopropyl Betaine Sodium Chloride Perfume Glycerin Cocamide MEA Amodimethicone and Cetrimonium Chloride and Trideceth-12 Guar Hydroxypropyltrimonium Chloride Acrylates/Beheneth-25 Methacrylate Copolymer Styrene/Acrylates Copolymer Mica and Titanium Dioxide Sodium Hydroxide Disodium EDTA Gluconolactone Trehalose Adipic Acid Sodium Sulfate PEG-45M DMDM Hydantoin Helianthus Annuus (Sunflower) Seed Oil Methylchloroisothiazolinone and Methylisothiazolinone Alpha-Isomethyl Ionone Citronellol Geraniol Linalool.

Happy Shopping!

",0,05-04-2021
5950,Is this paraben free?," 

Dove Intense Repair Shampoo is a nourishing shampoo formulated Nutri-Keratin Repair Actives which repairs damaged hair. It is a gentle daily use shampoo and it is free from parabens. 

Here are the ingredients of this shampoo:
Water (Aqua) Sodium Laureth Sulfate Glycol Distearate Cocamidopropyl Betaine Sodium Chloride Fragrance (Parfum) Glycerin Dimethicone Gluconolactone Ppg-9 Dimethiconol Acrylates/Beheneth-25 Methacrylate Copolymer Styrene/Acrylates Copolymer Citric Acid Guar Hydroxypropyltrimonium Chloride Sodium Sulfate Adipic Acid Trehalose Tetrasodium Edta Amodimethicone Dmdm Hydantoin Peg-45M Tea-Dodecylbenzenesulfonate Cocamide Mea Peg-9M Cetrimonium Chloride Methylchloroisothiazolinone Methylisothiazolinone Mica (Ci 77019) Titanium Dioxide (Ci 77891).

Hope this resolves your query.

",0,29-05-2019
5950,Does this item contain SLS?,"
This product contains SLS.

Hope this resolves your query.
",0,02-06-2018
5950,Quantity of this pack.,,-6,18-02-2017
739951,Does it remove oil in 1 or 2 washes?,"

Dove Dandruff Clean & Fresh Shampoo deep cleanses hair and helps control sebum production to help control dandruff. It helps remove excess dirt grime and oil in one wash. If you have applied coconut or any other oil to your hair you may need two washes to properly cleanse your hair and scalp.

Happy Shopping!

",0,25-11-2020
540666,What is the quantity of the product?,"

The quantity of each product in this combo are:

Dove Healthy Ritual For Growing Hair Shampoo: 650 ml
Dove Healthy Ritual For Growing Hair Conditioner: 180 ml

Hope this resolves your query.

",1,01-09-2019
4583845,Is it sulphate and paraben free?,"

Dove Intense Repair Shampoo contains sulphates but it is free from parabens.

The full list of this product is as follows:

Water Sodium Laureth Sulfate Dimethiconol and Trideceth-10 and TEA-Dodecylbenzenesulfonate Glycol Distearate Cocamidopropyl Betaine Sodium Chloride Perfume Glycerin Cocamide MEA Amodimethicone and Cetrimonium Chloride and Trideceth-12 Guar Hydroxypropyltrimonium Chloride Acrylates/Beheneth-25 Methacrylate Copolymer Styrene/Acrylates Copolymer Mica and Titanium Dioxide Sodium Hydroxide Disodium EDTA Gluconolactone Trehalose Adipic Acid Sodium Sulfate PEG-45M DMDM Hydantoin Helianthus Annuus (Sunflower) Seed Oil Methylchloroisothiazolinone and Methylisothiazolinone Alpha-Isomethyl Ionone Citronellol Geraniol Linalool.

Happy Shopping!

",0,05-04-2021
4583845,Is this paraben free?," 

Dove Intense Repair Shampoo is a nourishing shampoo formulated Nutri-Keratin Repair Actives which repairs damaged hair. It is a gentle daily use shampoo and it is free from parabens. 

Here are the ingredients of this shampoo:
Water (Aqua) Sodium Laureth Sulfate Glycol Distearate Cocamidopropyl Betaine Sodium Chloride Fragrance (Parfum) Glycerin Dimethicone Gluconolactone Ppg-9 Dimethiconol Acrylates/Beheneth-25 Methacrylate Copolymer Styrene/Acrylates Copolymer Citric Acid Guar Hydroxypropyltrimonium Chloride Sodium Sulfate Adipic Acid Trehalose Tetrasodium Edta Amodimethicone Dmdm Hydantoin Peg-45M Tea-Dodecylbenzenesulfonate Cocamide Mea Peg-9M Cetrimonium Chloride Methylchloroisothiazolinone Methylisothiazolinone Mica (Ci 77019) Titanium Dioxide (Ci 77891).

Hope this resolves your query.

",0,29-05-2019
4583845,Does this item contain SLS?,"
This product contains SLS.

Hope this resolves your query.
",0,02-06-2018
4583845,Quantity of this pack.,,-6,18-02-2017
24274,Does this product contain sodium Lauryl sulphate?," this product contains SLS. 

Hope that you find the solution to your advantage. 
Thank you for shopping at Nykaa!
",33,15-10-2016
24274,What is the quantity?,,4,04-06-2016
24274,Which is the best sulfate free shampoo available in Indian market? ," you can read this article for a better understanding: 
<a href=http://beautybook.nykaa.com/shampoo-use/>http://beautybook.nykaa.com/shampoo-use/</a>

Hope that you find the solution to your advantage. 
Thank you for shopping at Nykaa!
",5,13-03-2016
