ASIN,Category,Latest BSR,Last Day BSR
4583847,Shampoo,413.0,436.0
5071338,Shampoo,423.0,421.0
1488677,Shampoo,520.0,523.0
881206,Shampoo,533.0,550.0
430561,Shampoo,495.0,511.0
881207,Shampoo,600.0,611.0
3686701,Shampoo,701.0,681.0
540668,Shampoo,718.0,736.0
4583846,Shampoo,784.0,782.0
5788872,Shampoo,920.0,916.0
3686702,Shampoo,850.0,838.0
1488679,Shampoo,811.0,814.0
5950,Shampoo,49.0,50.0
10229,Shampoo,62.0,63.0
5946,Shampoo,66.0,7.0
453991,Shampoo,71.0,74.0
5940,Shampoo,74.0,79.0
540667,Shampoo,88.0,88.0
4586546,Shampoo,82.0,85.0
5071339,Shampoo,141.0,150.0
453983,Shampoo,145.0,155.0
540666,Shampoo,166.0,178.0
739951,Shampoo,190.0,198.0
5071340,Shampoo,207.0,211.0
4586543,Shampoo,216.0,226.0
5941,Shampoo,246.0,260.0
4583845,Shampoo,296.0,307.0
5071337,Shampoo,306.0,312.0
14292,Shampoo,304.0,317.0
24274,Shampoo,323.0,337.0
2638478,Shampoo,317.0,327.0
1482406,Shampoo,387.0,397.0
5504819,Shampoo,75.0,78.0
3608269,Shampoo,109.0,115.0
1328947,Shampoo,121.0,132.0
3798201,Shampoo,132.0,137.0
72158,Shampoo,154.0,162.0
6788978,Shampoo,565.0,602.0
5342883,Shampoo,69.0,74.0
18402,Shampoo,1.0,1.0
10500,Shampoo,10.0,10.0
874067,Shampoo,12.0,12.0
72139,Shampoo,14.0,14.0
1323563,Shampoo,15.0,15.0
1328949,Shampoo,17.0,17.0
10506,Shampoo,18.0,18.0
72164,Shampoo,19.0,19.0
10495,Shampoo,23.0,23.0
10499,Shampoo,25.0,24.0
1328938,Shampoo,26.0,27.0
72162,Shampoo,29.0,29.0
208219,Shampoo,32.0,31.0
10497,Shampoo,33.0,32.0
3798202,Shampoo,38.0,38.0
1321112,Shampoo,47.0,48.0
1323562,Shampoo,59.0,59.0
10503,Shampoo,56.0,58.0
1328952,Shampoo,60.0,62.0
1162179,Shampoo,20.0,20.0
6671067,Shampoo,21.0,22.0
10970,Shampoo,51.0,53.0
10672,Shampoo,52.0,54.0
1370749,Shampoo,65.0,66.0
936397,Shampoo,53.0,55.0
220222,Shampoo,72.0,77.0
6282,Shampoo,95.0,106.0
4317603,Shampoo,120.0,127.0
5951,Shampoo,150.0,158.0
7286094,Shampoo,184.0,197.0
6790017,Shampoo,219.0,228.0
906457,Shampoo,308.0,314.0
391197,Shampoo,260.0,278.0
4749763,Shampoo,399.0,400.0
6790016,Shampoo,379.0,387.0
7286093,Shampoo,387.0,405.0
1504363,Shampoo,528.0,538.0
4749761,Shampoo,662.0,677.0
4749762,Shampoo,697.0,735.0
1507007,Shampoo,726.0,734.0
1507005,Shampoo,737.0,767.0
730074,Shampoo,821.0,837.0
39954,Shampoo,887.0,892.0
1507009,Shampoo,834.0,846.0
598064,Shampoo,897.0,908.0
159796,Shampoo,975.0,971.0
1507006,Shampoo,924.0,935.0
1507008,Shampoo,884.0,913.0
730009,Shampoo,995.0,988.0
598186,Shampoo,279.0,275.0
357142,Shampoo,41.0,43.0
516572,Shampoo,94.0,101.0
357134,Shampoo,108.0,114.0
386434,Shampoo,177.0,184.0
464872,Shampoo,235.0,243.0
952740,Shampoo,276.0,287.0
464868,Shampoo,293.0,300.0
1507000,Shampoo,342.0,347.0
952745,Shampoo,437.0,446.0
739751,Shampoo,479.0,480.0
598207,Shampoo,485.0,471.0
60315,Shampoo,523.0,529.0
1506989,Shampoo,522.0,539.0
952743,Shampoo,508.0,520.0
1506996,Shampoo,555.0,567.0
730077,Shampoo,578.0,586.0
730070,Shampoo,590.0,598.0
730113,Shampoo,658.0,669.0
730082,Shampoo,679.0,688.0
952749,Shampoo,770.0,785.0
1488673,Shampoo,516.0,521.0
1488672,Shampoo,449.0,459.0
3535712,Shampoo,563.0,581.0
430560,Shampoo,545.0,554.0
1488674,Shampoo,557.0,574.0
7678,Shampoo,594.0,605.0
982102,Shampoo,659.0,670.0
1031095,Shampoo,666.0,681.0
982101,Shampoo,888.0,900.0
208997,Shampoo,11.0,11.0
971624,Shampoo,30.0,33.0
7681,Shampoo,40.0,41.0
384438,Shampoo,44.0,42.0
774828,Shampoo,55.0,57.0
864831,Shampoo,93.0,99.0
117539,Shampoo,110.0,120.0
7679,Shampoo,129.0,138.0
5788860,Shampoo,151.0,156.0
780639,Shampoo,161.0,171.0
208994,Shampoo,215.0,223.0
881205,Shampoo,197.0,206.0
430559,Shampoo,283.0,292.0
1488687,Shampoo,322.0,331.0
774831,Shampoo,338.0,350.0
14684,Shampoo,316.0,329.0
774832,Shampoo,401.0,413.0
117532,Shampoo,428.0,432.0
5788864,Shampoo,363.0,374.0
881204,Shampoo,488.0,492.0
546747,Shampoo,104.0,112.0
937932,Shampoo,206.0,213.0
4240687,Shampoo,257.0,267.0
546751,Shampoo,339.0,345.0
546745,Shampoo,337.0,349.0
359049,Shampoo,421.0,427.0
442741,Shampoo,419.0,424.0
10772,Shampoo,465.0,472.0
218621,Shampoo,580.0,597.0
240535,Shampoo,627.0,637.0
