ASIN,Date,Category,BSR,Last Known BSR
4583847,2022-09-15,Shampoo,397.0,
4583847,2022-09-16,Shampoo,401.0,397.0
4583847,2022-09-17,Shampoo,399.0,401.0
4583847,2022-09-18,Shampoo,407.0,399.0
4583847,2022-09-20,Shampoo,428.0,407.0
4583847,2022-09-21,Shampoo,431.0,428.0
4583847,2022-09-22,Shampoo,436.0,431.0
4583847,2022-09-23,Shampoo,413.0,436.0
5071338,2022-09-15,Shampoo,419.0,
5071338,2022-09-16,Shampoo,416.0,419.0
5071338,2022-09-17,Shampoo,417.0,416.0
5071338,2022-09-18,Shampoo,419.0,417.0
5071338,2022-09-20,Shampoo,422.0,419.0
5071338,2022-09-21,Shampoo,418.0,422.0
5071338,2022-09-22,Shampoo,421.0,418.0
5071338,2022-09-23,Shampoo,423.0,421.0
1488677,2022-09-15,Shampoo,513.0,
1488677,2022-09-16,Shampoo,509.0,513.0
1488677,2022-09-17,Shampoo,520.0,509.0
1488677,2022-09-18,Shampoo,521.0,520.0
1488677,2022-09-20,Shampoo,519.0,521.0
1488677,2022-09-21,Shampoo,515.0,519.0
1488677,2022-09-22,Shampoo,523.0,515.0
1488677,2022-09-23,Shampoo,520.0,523.0
881206,2022-09-15,Shampoo,545.0,
881206,2022-09-16,Shampoo,543.0,545.0
881206,2022-09-17,Shampoo,547.0,543.0
881206,2022-09-18,Shampoo,548.0,547.0
881206,2022-09-20,Shampoo,549.0,548.0
881206,2022-09-21,Shampoo,543.0,549.0
881206,2022-09-22,Shampoo,550.0,543.0
881206,2022-09-23,Shampoo,533.0,550.0
430561,2022-09-15,Shampoo,570.0,
430561,2022-09-16,Shampoo,556.0,570.0
430561,2022-09-17,Shampoo,532.0,556.0
430561,2022-09-18,Shampoo,506.0,532.0
430561,2022-09-20,Shampoo,503.0,506.0
430561,2022-09-21,Shampoo,495.0,503.0
430561,2022-09-22,Shampoo,511.0,495.0
430561,2022-09-23,Shampoo,495.0,511.0
881207,2022-09-15,Shampoo,621.0,
881207,2022-09-16,Shampoo,626.0,621.0
881207,2022-09-17,Shampoo,626.0,626.0
881207,2022-09-18,Shampoo,613.0,626.0
881207,2022-09-20,Shampoo,617.0,613.0
881207,2022-09-21,Shampoo,615.0,617.0
881207,2022-09-22,Shampoo,611.0,615.0
881207,2022-09-23,Shampoo,600.0,611.0
3686701,2022-09-15,Shampoo,702.0,
3686701,2022-09-16,Shampoo,688.0,702.0
3686701,2022-09-17,Shampoo,680.0,688.0
3686701,2022-09-18,Shampoo,672.0,680.0
3686701,2022-09-20,Shampoo,685.0,672.0
3686701,2022-09-21,Shampoo,681.0,685.0
3686701,2022-09-22,Shampoo,701.0,681.0
540668,2022-09-15,Shampoo,717.0,
540668,2022-09-16,Shampoo,717.0,717.0
540668,2022-09-17,Shampoo,720.0,717.0
540668,2022-09-18,Shampoo,715.0,720.0
540668,2022-09-20,Shampoo,728.0,715.0
540668,2022-09-21,Shampoo,716.0,728.0
540668,2022-09-22,Shampoo,736.0,716.0
540668,2022-09-23,Shampoo,718.0,736.0
4583846,2022-09-15,Shampoo,768.0,
4583846,2022-09-16,Shampoo,768.0,768.0
4583846,2022-09-17,Shampoo,782.0,768.0
4583846,2022-09-18,Shampoo,786.0,782.0
4583846,2022-09-20,Shampoo,800.0,786.0
4583846,2022-09-21,Shampoo,787.0,800.0
4583846,2022-09-22,Shampoo,782.0,787.0
4583846,2022-09-23,Shampoo,784.0,782.0
5788872,2022-09-15,Shampoo,879.0,
5788872,2022-09-16,Shampoo,874.0,879.0
5788872,2022-09-17,Shampoo,876.0,874.0
5788872,2022-09-18,Shampoo,869.0,876.0
5788872,2022-09-20,Shampoo,893.0,869.0
5788872,2022-09-21,Shampoo,892.0,893.0
5788872,2022-09-22,Shampoo,916.0,892.0
5788872,2022-09-23,Shampoo,920.0,916.0
3686702,2022-09-15,Shampoo,897.0,
3686702,2022-09-16,Shampoo,891.0,897.0
3686702,2022-09-17,Shampoo,895.0,891.0
3686702,2022-09-18,Shampoo,887.0,895.0
3686702,2022-09-20,Shampoo,846.0,887.0
3686702,2022-09-21,Shampoo,838.0,846.0
3686702,2022-09-22,Shampoo,850.0,838.0
1488679,2022-09-15,Shampoo,932.0,
1488679,2022-09-16,Shampoo,927.0,932.0
1488679,2022-09-17,Shampoo,899.0,927.0
1488679,2022-09-18,Shampoo,897.0,899.0
1488679,2022-09-20,Shampoo,821.0,897.0
1488679,2022-09-21,Shampoo,829.0,821.0
1488679,2022-09-22,Shampoo,814.0,829.0
1488679,2022-09-23,Shampoo,811.0,814.0
5950,2022-09-15,Shampoo,47.0,
5950,2022-09-16,Shampoo,50.0,47.0
5950,2022-09-17,Shampoo,49.0,50.0
5950,2022-09-18,Shampoo,49.0,49.0
5950,2022-09-20,Shampoo,51.0,49.0
5950,2022-09-21,Shampoo,53.0,51.0
5950,2022-09-22,Shampoo,50.0,53.0
5950,2022-09-23,Shampoo,49.0,50.0
10229,2022-09-15,Shampoo,55.0,
10229,2022-09-16,Shampoo,57.0,55.0
10229,2022-09-17,Shampoo,58.0,57.0
10229,2022-09-18,Shampoo,58.0,58.0
10229,2022-09-20,Shampoo,58.0,58.0
10229,2022-09-21,Shampoo,63.0,58.0
10229,2022-09-22,Shampoo,63.0,63.0
10229,2022-09-23,Shampoo,62.0,63.0
5946,2022-09-15,Shampoo,69.0,
5946,2022-09-16,Shampoo,70.0,69.0
5946,2022-09-17,Shampoo,7.0,70.0
5946,2022-09-18,Shampoo,7.0,7.0
5946,2022-09-20,Shampoo,6.0,7.0
5946,2022-09-21,Shampoo,6.0,6.0
5946,2022-09-22,Shampoo,7.0,6.0
5946,2022-09-23,Shampoo,66.0,7.0
453991,2022-09-15,Shampoo,71.0,
453991,2022-09-16,Shampoo,72.0,71.0
453991,2022-09-17,Shampoo,73.0,72.0
453991,2022-09-18,Shampoo,71.0,73.0
453991,2022-09-20,Shampoo,71.0,71.0
453991,2022-09-21,Shampoo,74.0,71.0
