ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Availability,Category,Gender
5169498,Dove Intense Repair Shampoo & Eventone Deodorant For Women,Dove,669.0,,1,4.3,NA,NA,905.0,669.0,,0.0,1.0,,
5169497,Dove Intense Repair Shampoo & Eventone Deodorant Roll On For Women,Dove,649.0,,1,4.4,NA,NA,895.0,649.0,,0.0,1.0,,
4583847,Dove Hair Fall Rescue Combo,Dove,820.0,413.0,14,4.6,NA,NA,1339.0,820.0,436.0,0.0,1.0,Shampoo,
5071338,Dove Hair Therapy Niacinamide Complete Haircare Combo For Dry Scalp,Dove,976.0,423.0,34,4.5,NA,NA,1549.0,976.0,421.0,0.0,1.0,Shampoo,
1488677,Dove Intense Repair Shampoo + Conditioner,Dove,647.0,520.0,11,4.2,NA,NA,1043.0,647.0,523.0,0.0,1.0,,
881206,Dove Dandruff Clean & Fresh Shampoo + Conditioner Combo,Dove,558.0,533.0,18,4.4,NA,NA,915.0,558.0,550.0,0.0,1.0,Combos @ Nykaa,
430561,Dove Intense Repair Combo (Buy 1Ltr Shampoo and Get 190ml Conditioner Free),Dove,754.0,495.0,24,4.4,NA,NA,1160.0,754.0,511.0,0.0,1.0,Combos @ Nykaa,
881207,Dove Dandruff Care Shampoo + Conditioner Combo,Dove,520.0,600.0,24,4.4,NA,NA,852.0,520.0,611.0,0.0,1.0,Combos @ Nykaa,
3686701,Dove Healthy Ritual Haircare Combo,Dove,964.0,701.0,7,4.5,NA,NA,1377.0,964.0,681.0,0.0,1.0,,
540668,Dove Intense Repair Shampoo + Damage Solutions Intense Repair Conditioner,Dove,528.0,718.0,38,4.3,NA,NA,865.0,528.0,736.0,0.0,1.0,Combos @ Nykaa,
4583846,Dove Hair Shine Restoration Combo,Dove,789.0,784.0,5,4.6,NA,NA,1285.0,789.0,782.0,0.0,1.0,Shampoo,
5788872,Dove Hydrating Cleanse Shampoo For Curly,Dove,999.0,920.0,3,4.5,NA,NA,999.0,999.0,916.0,0.0,1.0,Shampoo,
3686702,Dove Healthy Ritual Strengthening Shampoo(650ml) + Hair Mask,Dove,712.0,850.0,5,4.5,NA,NA,1187.0,712.0,838.0,0.0,1.0,,
1488679,Dove Intense Repair Shampoo + Conditioner + Mask,Dove,1027.0,811.0,14,4.4,NA,NA,1568.0,1027.0,814.0,0.0,1.0,,
4138010,"Dove Detox & Purify Dry Shampoo, For Refreshing & Reviving Oily Hair",Dove,401.0,,,3.3,NA,NA,599.0,401.0,,0.0,1.0,,
3535711,Dove Healthy Ritual Shampoo Conditioner + Mask,Dove,964.0,,5,4.4,NA,NA,1377.0,964.0,,0.0,1.0,,
