ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
4583847,2022-09-15,1089.0,,397.0,,0.0,1.0
4583847,2022-09-16,1089.0,1089.0,401.0,397.0,0.0,1.0
4583847,2022-09-17,1088.0,1089.0,399.0,401.0,0.0,1.0
4583847,2022-09-18,977.0,1088.0,407.0,399.0,0.0,1.0
4583847,2022-09-20,1004.0,977.0,428.0,407.0,0.0,1.0
4583847,2022-09-21,1004.0,1004.0,431.0,428.0,0.0,1.0
4583847,2022-09-22,820.0,1004.0,436.0,431.0,0.0,1.0
4583847,2022-09-23,820.0,820.0,413.0,436.0,0.0,1.0
5071338,2022-09-15,1053.0,,419.0,,0.0,1.0
5071338,2022-09-16,1053.0,1053.0,416.0,419.0,0.0,1.0
5071338,2022-09-17,1053.0,1053.0,417.0,416.0,0.0,1.0
5071338,2022-09-18,1053.0,1053.0,419.0,417.0,0.0,1.0
5071338,2022-09-20,1053.0,1053.0,422.0,419.0,0.0,1.0
5071338,2022-09-21,1053.0,1053.0,418.0,422.0,0.0,1.0
5071338,2022-09-22,976.0,1053.0,421.0,418.0,0.0,1.0
5071338,2022-09-23,976.0,976.0,423.0,421.0,0.0,1.0
1488677,2022-09-15,793.0,,513.0,,0.0,1.0
1488677,2022-09-16,793.0,793.0,509.0,513.0,0.0,1.0
1488677,2022-09-17,793.0,793.0,520.0,509.0,0.0,1.0
1488677,2022-09-18,793.0,793.0,521.0,520.0,0.0,1.0
1488677,2022-09-20,793.0,793.0,519.0,521.0,0.0,1.0
1488677,2022-09-21,770.0,793.0,515.0,519.0,0.0,1.0
1488677,2022-09-22,647.0,770.0,523.0,515.0,0.0,1.0
1488677,2022-09-23,647.0,647.0,520.0,523.0,0.0,1.0
881206,2022-09-15,677.0,,545.0,,0.0,1.0
881206,2022-09-16,677.0,677.0,543.0,545.0,0.0,1.0
881206,2022-09-17,677.0,677.0,547.0,543.0,0.0,1.0
881206,2022-09-18,677.0,677.0,548.0,547.0,0.0,1.0
881206,2022-09-20,677.0,677.0,549.0,548.0,0.0,1.0
881206,2022-09-21,677.0,677.0,543.0,549.0,0.0,1.0
881206,2022-09-22,558.0,677.0,550.0,543.0,0.0,1.0
881206,2022-09-23,558.0,558.0,533.0,550.0,0.0,1.0
430561,2022-09-15,754.0,,570.0,,0.0,1.0
430561,2022-09-16,754.0,754.0,556.0,570.0,0.0,1.0
430561,2022-09-17,754.0,754.0,532.0,556.0,0.0,1.0
430561,2022-09-18,754.0,754.0,506.0,532.0,0.0,1.0
430561,2022-09-20,870.0,754.0,503.0,506.0,0.0,1.0
430561,2022-09-21,870.0,870.0,495.0,503.0,0.0,1.0
430561,2022-09-22,754.0,870.0,511.0,495.0,0.0,1.0
430561,2022-09-23,754.0,754.0,495.0,511.0,0.0,1.0
881207,2022-09-15,630.0,,621.0,,0.0,1.0
881207,2022-09-16,630.0,630.0,626.0,621.0,0.0,1.0
881207,2022-09-17,849.0,630.0,626.0,626.0,0.0,1.0
881207,2022-09-18,630.0,849.0,613.0,626.0,0.0,1.0
881207,2022-09-20,630.0,630.0,617.0,613.0,0.0,1.0
881207,2022-09-21,630.0,630.0,615.0,617.0,0.0,1.0
881207,2022-09-22,520.0,630.0,611.0,615.0,0.0,1.0
881207,2022-09-23,520.0,520.0,600.0,611.0,0.0,1.0
3686701,2022-09-15,1093.0,,702.0,,0.0,1.0
3686701,2022-09-16,1093.0,1093.0,688.0,702.0,0.0,1.0
3686701,2022-09-17,1093.0,1093.0,680.0,688.0,0.0,1.0
3686701,2022-09-18,1093.0,1093.0,672.0,680.0,0.0,1.0
3686701,2022-09-20,1093.0,1093.0,685.0,672.0,0.0,1.0
3686701,2022-09-21,1093.0,1093.0,681.0,685.0,0.0,1.0
3686701,2022-09-22,964.0,1093.0,701.0,681.0,0.0,1.0
540668,2022-09-15,640.0,,717.0,,0.0,1.0
540668,2022-09-16,640.0,640.0,717.0,717.0,0.0,1.0
540668,2022-09-17,640.0,640.0,720.0,717.0,0.0,1.0
540668,2022-09-18,640.0,640.0,715.0,720.0,0.0,1.0
540668,2022-09-20,640.0,640.0,728.0,715.0,0.0,1.0
540668,2022-09-21,618.0,640.0,716.0,728.0,0.0,1.0
540668,2022-09-22,528.0,618.0,736.0,716.0,0.0,1.0
540668,2022-09-23,528.0,528.0,718.0,736.0,0.0,1.0
4583846,2022-09-15,903.0,,768.0,,0.0,1.0
4583846,2022-09-16,903.0,903.0,768.0,768.0,0.0,1.0
4583846,2022-09-17,903.0,903.0,782.0,768.0,0.0,1.0
4583846,2022-09-18,903.0,903.0,786.0,782.0,0.0,1.0
4583846,2022-09-20,903.0,903.0,800.0,786.0,0.0,1.0
4583846,2022-09-21,964.0,903.0,787.0,800.0,0.0,1.0
4583846,2022-09-22,789.0,964.0,782.0,787.0,0.0,1.0
4583846,2022-09-23,789.0,789.0,784.0,782.0,0.0,1.0
5788872,2022-09-15,999.0,,879.0,,0.0,1.0
5788872,2022-09-16,999.0,999.0,874.0,879.0,0.0,1.0
5788872,2022-09-17,999.0,999.0,876.0,874.0,0.0,1.0
5788872,2022-09-18,999.0,999.0,869.0,876.0,0.0,1.0
5788872,2022-09-20,999.0,999.0,893.0,869.0,0.0,1.0
5788872,2022-09-21,999.0,999.0,892.0,893.0,0.0,1.0
5788872,2022-09-22,999.0,999.0,916.0,892.0,0.0,1.0
5788872,2022-09-23,999.0,999.0,920.0,916.0,0.0,1.0
3686702,2022-09-15,931.0,,897.0,,0.0,1.0
3686702,2022-09-16,931.0,931.0,891.0,897.0,0.0,1.0
3686702,2022-09-17,931.0,931.0,895.0,891.0,0.0,1.0
3686702,2022-09-18,931.0,931.0,887.0,895.0,0.0,1.0
3686702,2022-09-20,831.0,931.0,846.0,887.0,0.0,1.0
3686702,2022-09-21,831.0,831.0,838.0,846.0,0.0,1.0
3686702,2022-09-22,712.0,831.0,850.0,838.0,0.0,1.0
1488679,2022-09-15,1184.0,,932.0,,0.0,1.0
1488679,2022-09-16,1184.0,1184.0,927.0,932.0,0.0,1.0
1488679,2022-09-17,1184.0,1184.0,899.0,927.0,0.0,1.0
1488679,2022-09-18,1184.0,1184.0,897.0,899.0,0.0,1.0
1488679,2022-09-20,1184.0,1184.0,821.0,897.0,0.0,1.0
1488679,2022-09-21,1160.0,1184.0,829.0,821.0,0.0,1.0
1488679,2022-09-22,1027.0,1160.0,814.0,829.0,0.0,1.0
1488679,2022-09-23,1027.0,1027.0,811.0,814.0,0.0,1.0
5950,2022-09-15,728.0,,47.0,,0.0,1.0
5950,2022-09-16,728.0,728.0,50.0,47.0,0.0,1.0
5950,2022-09-17,728.0,728.0,49.0,50.0,0.0,1.0
5950,2022-09-18,728.0,728.0,49.0,49.0,0.0,1.0
5950,2022-09-20,728.0,728.0,51.0,49.0,0.0,1.0
5950,2022-09-21,728.0,728.0,53.0,51.0,0.0,1.0
5950,2022-09-22,582.0,728.0,50.0,53.0,0.0,1.0
5950,2022-09-23,582.0,582.0,49.0,50.0,0.0,1.0
10229,2022-09-15,276.0,,55.0,,0.0,1.0
