ASIN,Sentiment Score
B09FK5ZDYK,4.0
B09FK6LP2F,5.0
B08KGH3QGL,3.3333333333333335
B017D4SI3G,3.125
B0BSGNFC3N,1.0
B08F8J6XPM,3.3333333333333335
B08KGSSDQX,1.0
B07D5XMJS2,3.3333333333333335
B08FHC96KW,4.333333333333333
B01GOE6TAA,3.75
B0B2DYSK5R,2.0
B092DQVD65,5.0
B08F8Z5G4R,3.0
B08T25GLKS,3.8
B08QFD82QJ,3.0
B07GRSJ9Y9,4.0
B017D4H1NO,3.8333333333333335
B07GS8Y8BD,4.0
B07TWFD4YL,1.625
B07FF7QFRM,2.4285714285714284
B07JKMJMPH,3.5714285714285716
B07TT9YPNK,1.625
B09FK6WWK9,5.0
B017D4SIMM,3.125
B07XZKBN1J,4.0
B07XZMV4YH,3.25
B071S151G6,2.8333333333333335
B07YFRDJYW,3.4285714285714284
B07WGBGWDJ,3.0
B07CPRWWNZ,3.6
B07S3WXFGY,2.5
B07CQNKC9Q,3.2857142857142856
B07S4L19V2,3.0
B07NH1H512,4.25
B098JNXL8V,2.4
B088P39SVZ,4.5
B07S1PF98J,4.0
B07283VW4V,3.25
B071VLSQJH,3.6666666666666665
B093DQMP4Z,3.4
B0711KX7VX,1.5
B07XZNC9RQ,3.6
B07CQMGGHN,3.25
B098K6QL9V,3.0
B08DM3B8ZG,3.5
B07YFQBP1C,5.0
B07YFPV7VY,4.0
B094NGQ74M,3.8333333333333335
B07D8VCB1Q,3.5
B07R4MMPBL,2.6666666666666665
B08DM3CNLJ,3.0
B07CQN3232,3.375
B07S3WZ18H,4.333333333333333
B07CPWCHMY,4.8
B07284216C,3.6666666666666665
B07CPZ9ZKQ,4.8
B07NGM6H61,4.25
B07CQLRRNW,3.2857142857142856
B07D8RQ86X,3.0
B07J57CC9X,4.0
B0845BJ9XY,1.0
B07R891636,1.0
B08LMNQY2W,3.25
B08QFDWR5D,2.6666666666666665
B08LN1JYXL,4.0
B08LMCVHDN,3.0
B08LVF563Z,1.0
B08LMT81TS,4.5
B08LVDYBMS,3.0
B08W4DF3FX,3.0
B08LVBS5LY,4.0
B08LMPVK68,1.0
B08LN3MBSM,4.25
B08WWTVHPZ,3.0
B09FK622Y4,3.0
B08LVBHP26,1.0
B07GS34NFH,5.0
B07DWCKG8V,1.6666666666666667
B08FHD7C6D,5.0
B08KGNHX6Y,3.5714285714285716
B08LVC31C6,4.333333333333333
B08LMHDCZ4,2.5
B08LVBGJJZ,3.0
B08LMYS6H8,3.5
B08WK6SFZM,3.0
B09TT93LK2,3.0
B08LMBDMKS,3.5
B07J5529RH,4.2
B07YFQLFF9,1.3333333333333333
B07GNN81V3,4.4
B098JM8V2N,5.0
B07GNLGL6W,3.5
B07D8WFSNZ,3.8
B07YFQBVWT,3.25
B07WD6CZ6M,5.0
B07YFWLX23,3.6666666666666665
B098JMVKLQ,4.0
B09CQ5KPXT,3.8333333333333335
B07WD7M46N,2.0
B07YFQ638Q,1.0
B07WMG1R74,3.5714285714285716
B098JHZY9M,3.5
B08DM4R1KG,3.0
B098JSYCVQ,4.0
B07D8S12M4,3.0
B07GNNBY3Q,3.0
B071HNP93G,3.6666666666666665
B07H33ZRV5,2.5
B07GNH63FR,3.0
B098JKP569,4.0
B07H32ZLJY,3.6666666666666665
B098JHF26L,3.5
B07TL4P6Q3,1.5
B07TFQ9S7C,5.0
B0849QVCQK,4.0
B07TK4J7BG,4.0
B07T89RCZN,2.0
B07TCHHVDW,3.0
B07TJ18ZCL,1.0
B07THKTPMB,2.0
B0B2KCN6GV,1.0
B0BH8X1DP3,4.0
B0192VE6Z2,3.0
B0BH8ZPGTK,3.0
B09DPT1KDP,5.0
B07YFQNCCN,3.5
B09CSZ1MCT,3.7142857142857144
B07D92D8K7,4.5
B07XZN297P,3.0
B07D8WND3Y,2.8333333333333335
B07GNQJX9C,3.4285714285714284
B071Z1PRVS,4.0
B09GM5W81X,2.0
B07D8SXS44,4.0
B07D8RHG3P,2.0
B07MBT95SL,1.0
B07XZN31VD,2.3333333333333335
B07D8QVM65,3.75
B07RYMZKPY,3.25
B07H34QX1X,5.0
B07XZMF5HG,3.0
B08P78C8TW,1.0
B07TGKF1KW,4.0
B07G5T8MJL,5.0
B08P788V6X,1.0
B017M102Q6,2.3333333333333335
B07YFQ1LYB,1.5
B07YFYR5BK,2.3333333333333335
B07NC38DS2,3.857142857142857
B07YFRTM82,3.0
B07J5JYWWJ,2.0
B07YFQ8H8Q,3.0
B07YFQXFCN,3.6666666666666665
B07J5KF8D2,2.0
B07CQQFP8W,2.0
B07CQM8FH9,2.142857142857143
B07CPVXJGV,2.3333333333333335
B07TWCWPT8,4.0
