ASIN,username,rating,title,date,country,helpful,description,keyword,importance,sentiment_score,magnitude,aspect
B0BSGNFC3N,Farhadeeba Wadood,1.0 out of 5 stars,"Broken buttons, discolored due to iron and old stock",22/03/2023 00:00,India 🇮🇳,," Out of 4 buttons, 2 buttons are broken and rest are hanging. Ironed in collor and button area which has discolored kurta. It seems very old stock. I have a apprehension that the product is fake. Request the team to allow return and rebooking.",apprehension,0.010496418,-0.600000024,0.600000024,
B0BSGNFC3N,Farhadeeba Wadood,1.0 out of 5 stars,"Broken buttons, discolored due to iron and old stock",22/03/2023 00:00,India 🇮🇳,," Out of 4 buttons, 2 buttons are broken and rest are hanging. Ironed in collor and button area which has discolored kurta. It seems very old stock. I have a apprehension that the product is fake. Request the team to allow return and rebooking.",product,0.012770585,-0.600000024,0.600000024,Quality
B0BSGNFC3N,Farhadeeba Wadood,1.0 out of 5 stars,"Broken buttons, discolored due to iron and old stock",22/03/2023 00:00,India 🇮🇳,," Out of 4 buttons, 2 buttons are broken and rest are hanging. Ironed in collor and button area which has discolored kurta. It seems very old stock. I have a apprehension that the product is fake. Request the team to allow return and rebooking.",return,0.016876828,0,0,Service
B0BSGNFC3N,Farhadeeba Wadood,1.0 out of 5 stars,"Broken buttons, discolored due to iron and old stock",22/03/2023 00:00,India 🇮🇳,," Out of 4 buttons, 2 buttons are broken and rest are hanging. Ironed in collor and button area which has discolored kurta. It seems very old stock. I have a apprehension that the product is fake. Request the team to allow return and rebooking.",stock,0.032015525,0.100000001,0.100000001,
B0BSGNFC3N,Farhadeeba Wadood,1.0 out of 5 stars,"Broken buttons, discolored due to iron and old stock",22/03/2023 00:00,India 🇮🇳,," Out of 4 buttons, 2 buttons are broken and rest are hanging. Ironed in collor and button area which has discolored kurta. It seems very old stock. I have a apprehension that the product is fake. Request the team to allow return and rebooking.",collor,0.034605015,-0.100000001,0.100000001,
B0BSGNFC3N,Farhadeeba Wadood,1.0 out of 5 stars,"Broken buttons, discolored due to iron and old stock",22/03/2023 00:00,India 🇮🇳,," Out of 4 buttons, 2 buttons are broken and rest are hanging. Ironed in collor and button area which has discolored kurta. It seems very old stock. I have a apprehension that the product is fake. Request the team to allow return and rebooking.",kurta,0.035027485,-0.200000003,0.200000003,
B0BSGNFC3N,Farhadeeba Wadood,1.0 out of 5 stars,"Broken buttons, discolored due to iron and old stock",22/03/2023 00:00,India 🇮🇳,," Out of 4 buttons, 2 buttons are broken and rest are hanging. Ironed in collor and button area which has discolored kurta. It seems very old stock. I have a apprehension that the product is fake. Request the team to allow return and rebooking.",button area,0.103235118,-0.100000001,0.200000003,
B0BSGNFC3N,Farhadeeba Wadood,1.0 out of 5 stars,"Broken buttons, discolored due to iron and old stock",22/03/2023 00:00,India 🇮🇳,," Out of 4 buttons, 2 buttons are broken and rest are hanging. Ironed in collor and button area which has discolored kurta. It seems very old stock. I have a apprehension that the product is fake. Request the team to allow return and rebooking.",rest,0.103846401,-0.600000024,0.600000024,
B0BSGNFC3N,Farhadeeba Wadood,1.0 out of 5 stars,"Broken buttons, discolored due to iron and old stock",22/03/2023 00:00,India 🇮🇳,," Out of 4 buttons, 2 buttons are broken and rest are hanging. Ironed in collor and button area which has discolored kurta. It seems very old stock. I have a apprehension that the product is fake. Request the team to allow return and rebooking.",buttons,0.311208397,-0.699999988,0.699999988,
B0BSGNFC3N,Farhadeeba Wadood,1.0 out of 5 stars,"Broken buttons, discolored due to iron and old stock",22/03/2023 00:00,India 🇮🇳,," Out of 4 buttons, 2 buttons are broken and rest are hanging. Ironed in collor and button area which has discolored kurta. It seems very old stock. I have a apprehension that the product is fake. Request the team to allow return and rebooking.",buttons,0.311208397,-0.600000024,0.600000024,
B0BSGNFC3N,Farhadeeba Wadood,1.0 out of 5 stars,"Broken buttons, discolored due to iron and old stock",22/03/2023 00:00,India 🇮🇳,," Out of 4 buttons, 2 buttons are broken and rest are hanging. Ironed in collor and button area which has discolored kurta. It seems very old stock. I have a apprehension that the product is fake. Request the team to allow return and rebooking.",team,0.011832985,0,0,
B0BSGNFC3N,Farhadeeba Wadood,1.0 out of 5 stars,"Broken buttons, discolored due to iron and old stock",22/03/2023 00:00,India 🇮🇳,," Out of 4 buttons, 2 buttons are broken and rest are hanging. Ironed in collor and button area which has discolored kurta. It seems very old stock. I have a apprehension that the product is fake. Request the team to allow return and rebooking.",rebooking,0.016876828,0,0,
B0BH8ZPGTK,pankaj,4.0 out of 5 stars,Must for function,20/02/2023 00:00,India 🇮🇳,,Good one but buttons are loose and threads coming out here and there,threads,0.398308098,-0.400000006,0.400000006,
B0BH8ZPGTK,pankaj,4.0 out of 5 stars,Must for function,20/02/2023 00:00,India 🇮🇳,,Good one but buttons are loose and threads coming out here and there,buttons,0.601691902,-0.300000012,0.300000012,
B0BH8X1DP3,himanshu,5.0 out of 5 stars,Very good,06/03/2023 00:00,India 🇮🇳,,"Good looking, material is also good",material,1,0.899999976,0.899999976,Material
B0B2KCN6GV,Pradip Jamaiwar,1.0 out of 5 stars,Worst product,26/12/2022 00:00,India 🇮🇳,,"Not as per my expectation, over price,and not follows return policy at all .....this is not expected from Amazon.....",Amazon,0.071383178,-0.600000024,0.600000024,
B0B2KCN6GV,Pradip Jamaiwar,1.0 out of 5 stars,Worst product,26/12/2022 00:00,India 🇮🇳,,"Not as per my expectation, over price,and not follows return policy at all .....this is not expected from Amazon.....",price,0.234118089,-0.600000024,0.600000024,Pricing
B0B2KCN6GV,Pradip Jamaiwar,1.0 out of 5 stars,Worst product,26/12/2022 00:00,India 🇮🇳,,"Not as per my expectation, over price,and not follows return policy at all .....this is not expected from Amazon.....",expectation,0.335440695,-0.5,0.5,
B0B2KCN6GV,Pradip Jamaiwar,1.0 out of 5 stars,Worst product,26/12/2022 00:00,India 🇮🇳,,"Not as per my expectation, over price,and not follows return policy at all .....this is not expected from Amazon.....",policy,0.359058052,-0.699999988,1.399999976,Service
B0B2DYSK5R,Narendra Yadav,1.0 out of 5 stars,Sadly,22/10/2022 00:00,India 🇮🇳,,Pant is missing and the condition of the kurta is also not good.,Pant,0.484755754,-0.800000012,0.800000012,
B0B2DYSK5R,Narendra Yadav,1.0 out of 5 stars,Sadly,22/10/2022 00:00,India 🇮🇳,,Pant is missing and the condition of the kurta is also not good.,condition,0.286361217,-0.600000024,0.600000024,
B0B2DYSK5R,Narendra Yadav,1.0 out of 5 stars,Sadly,22/10/2022 00:00,India 🇮🇳,,Pant is missing and the condition of the kurta is also not good.,kurta,0.228883043,-0.800000012,0.800000012,
B09TT93LK2,abhiram,5.0 out of 5 stars,Good quality...,03/10/2022 00:00,India 🇮🇳,,Costly product.. more buyers may be attracted if some discount is given,discount,0.079003222,0,0,
B09TT93LK2,abhiram,5.0 out of 5 stars,Good quality...,03/10/2022 00:00,India 🇮🇳,,Costly product.. more buyers may be attracted if some discount is given,buyers,0.140189275,0,0,
B09TT93LK2,abhiram,5.0 out of 5 stars,Good quality...,03/10/2022 00:00,India 🇮🇳,,Costly product.. more buyers may be attracted if some discount is given,product,0.780807495,-0.200000003,0.200000003,Quality
B09GM5W81X,Chirag Modi,4.0 out of 5 stars,"Looks great, but fitting is average.",12/03/2023 00:00,India 🇮🇳,,"Looks great, but fits one size smaller. I bought XL, but it fit like L and as 2XL wasn't available, I had to return it.",L,0.076436944,-0.100000001,0.100000001,Size
B09GM5W81X,Chirag Modi,4.0 out of 5 stars,"Looks great, but fitting is average.",12/03/2023 00:00,India 🇮🇳,,"Looks great, but fits one size smaller. I bought XL, but it fit like L and as 2XL wasn't available, I had to return it.",size,0.402364641,0,0,Size
B09GM5W81X,Chirag Modi,4.0 out of 5 stars,"Looks great, but fitting is average.",12/03/2023 00:00,India 🇮🇳,,"Looks great, but fits one size smaller. I bought XL, but it fit like L and as 2XL wasn't available, I had to return it.",XL,0.492388874,-0.300000012,0.899999976,Size
