ASIN,Date,Category,BSR,Last Known BSR
B07GRSCBLM,2023-03-28,Clothing & Accessories,142461.0,
B07GRSCBLM,2023-03-29,Clothing & Accessories,162849.0,142461.0
B07GRSCBLM,2023-03-30,Clothing & Accessories,177985.0,162849.0
B07GRSCBLM,2023-03-28,Men's Kurta Sets,718.0,
B07GRSCBLM,2023-03-29,Men's Kurta Sets,842.0,718.0
B07GRSCBLM,2023-03-30,Men's Kurta Sets,913.0,842.0
B08KGVWZCC,2023-03-28,Clothing & Accessories,126452.0,
B08KGVWZCC,2023-03-29,Clothing & Accessories,147739.0,126452.0
B08KGVWZCC,2023-03-30,Clothing & Accessories,156713.0,147739.0
B08KGVWZCC,2023-03-28,Men's Unstitched Fabric,411.0,
B08KGVWZCC,2023-03-29,Men's Unstitched Fabric,489.0,411.0
B08KGVWZCC,2023-03-30,Men's Unstitched Fabric,519.0,489.0
B08FB8JPV2,2023-03-28,Clothing & Accessories,35112.0,
B08FB8JPV2,2023-03-29,Clothing & Accessories,70889.0,35112.0
B08FB8JPV2,2023-03-30,Clothing & Accessories,84548.0,70889.0
B08FB8JPV2,2023-03-28,Men's Kurta Sets,183.0,
B08FB8JPV2,2023-03-29,Men's Kurta Sets,368.0,183.0
B08FB8JPV2,2023-03-30,Men's Kurta Sets,424.0,368.0
B08WK7D26P,2023-03-28,Clothing & Accessories,121261.0,
B08WK7D26P,2023-03-29,Clothing & Accessories,149068.0,121261.0
B08WK7D26P,2023-03-30,Clothing & Accessories,159563.0,149068.0
B08WK7D26P,2023-03-28,Men's Kurta Sets,626.0,
B08WK7D26P,2023-03-29,Men's Kurta Sets,775.0,626.0
B08WK7D26P,2023-03-30,Men's Kurta Sets,810.0,775.0
B09PRKPL27,2023-03-28,Clothing & Accessories,83708.0,
B09PRKPL27,2023-03-29,Clothing & Accessories,106039.0,83708.0
B09PRKPL27,2023-03-30,Clothing & Accessories,118414.0,106039.0
B09PRKPL27,2023-03-28,Men's Kurta Sets,428.0,
B09PRKPL27,2023-03-29,Men's Kurta Sets,576.0,428.0
B09PRKPL27,2023-03-30,Men's Kurta Sets,630.0,576.0
B08QFF63GZ,2023-03-28,Clothing & Accessories,106586.0,
B08QFF63GZ,2023-03-29,Clothing & Accessories,130987.0,106586.0
B08QFF63GZ,2023-03-30,Clothing & Accessories,68640.0,130987.0
B08QFF63GZ,2023-03-28,Men's Kurta Sets,543.0,
B08QFF63GZ,2023-03-29,Men's Kurta Sets,689.0,543.0
B08QFF63GZ,2023-03-30,Men's Kurta Sets,344.0,689.0
B0BMB47BVG,2023-03-28,Clothing & Accessories,75351.0,
B0BMB47BVG,2023-03-29,Clothing & Accessories,111764.0,75351.0
B0BMB47BVG,2023-03-30,Clothing & Accessories,124303.0,111764.0
B0BMB47BVG,2023-03-28,Men's Kurta Sets,380.0,
B0BMB47BVG,2023-03-29,Men's Kurta Sets,604.0,380.0
B0BMB47BVG,2023-03-30,Men's Kurta Sets,656.0,604.0
B08KGS4SCS,2023-03-28,Clothing & Accessories,104789.0,
B08KGS4SCS,2023-03-29,Clothing & Accessories,34168.0,104789.0
B08KGS4SCS,2023-03-30,Clothing & Accessories,62736.0,34168.0
B08KGS4SCS,2023-03-28,Men's Unstitched Fabric,317.0,
B08KGS4SCS,2023-03-29,Men's Unstitched Fabric,73.0,317.0
B08KGS4SCS,2023-03-30,Men's Unstitched Fabric,154.0,73.0
B08SBV7VCP,2023-03-28,Clothing & Accessories,156339.0,
B08SBV7VCP,2023-03-29,Clothing & Accessories,171471.0,156339.0
