ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B07GRSCBLM,Manyavar Men Kurta Pyjama,Manyavar,3999,913,10,4.3,NA,NA,3999,3999,842,0,Fulfilled,1,Kurta Sets,
B08KGVWZCC,Manyavar Self Design Knee Long Full Sleeves Kurta and Churidar Set for Men,Manyavar,2499,,24,3.6,NA,NA,2499,2499,,0,Fulfilled,1,Kurta Sets,
B08FB8JPV2,"Manyavar Kurta Set for Men, Full Sleeves Mandarin Collar Ethnic Kurta Set for Engagement, Wedding, Party Printed (Blue)",Manyavar,3499,424,83,3.6,NA,NA,3499,3499,368,0,Fulfilled,1,Kurta Sets,
B08WK7D26P,"Manyavar Kurta Set for Men, Full Sleeves Mandarin Collar Ethnic Kurta Set for Engagement, Wedding, Party All Over Self Design",Manyavar,3999,810,8,4.5,NA,NA,3999,3999,775,0,Fulfilled,1,Kurta Sets,
B09PRKPL27,Manyavar Jacquard Print Knee Long Full Sleeves Kurta and Churidar Set for Men,Manyavar,2999,630,3,3.3,NA,NA,2999,2999,576,0,Fulfilled,1,Kurta Sets,
B08QFF63GZ,Manyavar Traditional Embroidered Kurta and Churidar Set For Men,Manyavar,4499,344,5,4.6,NA,NA,4499,4499,689,0,Fulfilled,1,Kurta Sets,
B0BMB47BVG,"Manyavar Kurta Set for Men, Full Sleeves Mandarin Collar Ethnic Kurta Set for Engagement & Wedding, Party Georgette",Manyavar,5999,656,1,1,NA,NA,5999,5999,604,0,Fulfilled,1,Kurta Sets,
B08KGS4SCS,Manyavar Men Kurta Pyjama,Manyavar,2999,,19,3.2,NA,NA,2999,2999,,0,Fulfilled,1,Kurta Sets,
B08SBV7VCP,Manyavar SelfDesign Casual Kurta and Churidar Set For Men,Manyavar,2999,903,13,4.6,NA,NA,2999,2999,890,0,Fulfilled,1,Kurta Sets,
B09FK5ZDYK,Manyavar SelfDesign Jacquard Weave Knee Long Kurta and Churidar Set for Men,Manyavar,3999,,7,4.7,NA,NA,3999,3999,,0,Fulfilled,1,Kurta Sets,
B09FK6LP2F,Manyavar SelfDesign Chikankari Knee Long Kurta and Churidar Set For Men,Manyavar,3499,250,16,4.1,NA,NA,3499,3499,181,0,Fulfilled,1,Kurta Sets,
B0BMB6KPKC,"Manyavar Kurta Set for Men, Full Sleeves Mandarin Collar Ethnic Kurta Pajama for Engagement, Wedding, Party Georgette",Manyavar,5999,609,2,3,NA,NA,5999,5999,486,0,Fulfilled,1,Kurta Sets,
B08KGH3QGL,Manyavar Self Design Knee Long Full Sleeves Kurta and Payjama Set For Men,Manyavar,2499,,59,4.1,NA,NA,2499,2499,,0,Fulfilled,1,Kurta Sets,
B08F8J6XPM,Manyavar Elegant Embroidered Knee Long Full Sleeves Kurta and Churidar Set For Men,Manyavar,2999,67,96,3.9,NA,NA,2999,2999,114,0,Fulfilled,1,Kurta Sets,
B017D4SI3G,Manyavar Men's Blended Banded Collar,Manyavar,2999,,89,3.6,NA,NA,2999,2999,,0,Fulfilled,1,Kurta Sets,
B0BSGNFC3N,Manyavar Blue Blended Cotton Full Sleeve Kurta Set | Traditional Kurta Set For Men,Manyavar,3999,839,2,3,NA,NA,3999,3999,736,0,Fulfilled,1,Kurta Sets,
B08WK648KQ,"Manyavar Elegant Embroidered Full Sleeves Kurta and Churidar Set for Men - (Blue, Large)",Manyavar,3999,866,3,3,NA,NA,3999,3999,787,0,Fulfilled,1,Kurta Sets,
B08KGSSDQX,Manyavar Jacquard Design Knee Long Full Sleeves Kurta and Churidar Set for Men,Manyavar,2999,,5,3.3,NA,NA,2999,2999,,0,Fulfilled,1,Kurta Sets,
