ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B07GRSCBLM,28/03/2023,3999,,718,,0,1
B07GRSCBLM,29/03/2023,3999,3999,842,718,0,1
B07GRSCBLM,30/03/2023,3999,3999,913,842,0,1
B08KGVWZCC,28/03/2023,2499,,,,0,1
B08KGVWZCC,29/03/2023,2499,2499,,,0,1
B08KGVWZCC,30/03/2023,2499,2499,,,0,1
B08FB8JPV2,28/03/2023,3499,,183,,0,1
B08FB8JPV2,29/03/2023,3499,3499,368,183,0,1
B08FB8JPV2,30/03/2023,3499,3499,424,368,0,1
B08WK7D26P,28/03/2023,3999,,626,,0,1
B08WK7D26P,29/03/2023,3999,3999,775,626,0,1
B08WK7D26P,30/03/2023,3999,3999,810,775,0,1
B09PRKPL27,28/03/2023,2999,,428,,0,1
B09PRKPL27,29/03/2023,2999,2999,576,428,0,1
B09PRKPL27,30/03/2023,2999,2999,630,576,0,1
B08QFF63GZ,28/03/2023,4499,,543,,0,1
B08QFF63GZ,29/03/2023,4499,4499,689,543,0,1
B08QFF63GZ,30/03/2023,4499,4499,344,689,0,1
B0BMB47BVG,28/03/2023,5999,,380,,0,1
B0BMB47BVG,29/03/2023,5999,5999,604,380,0,1
B0BMB47BVG,30/03/2023,5999,5999,656,604,0,1
B08KGS4SCS,28/03/2023,2999,,,,0,1
B08KGS4SCS,29/03/2023,2999,2999,,,0,1
B08KGS4SCS,30/03/2023,2999,2999,,,0,1
B08SBV7VCP,28/03/2023,2999,,793,,0,1
B08SBV7VCP,29/03/2023,2999,2999,890,793,0,1
B08SBV7VCP,30/03/2023,2999,2999,903,890,0,1
B09FK5ZDYK,28/03/2023,3999,,,,0,1
B09FK5ZDYK,29/03/2023,3999,3999,,,0,1
B09FK5ZDYK,30/03/2023,3999,3999,,,0,1
B09FK6LP2F,28/03/2023,3499,,169,,0,1
B09FK6LP2F,29/03/2023,3499,3499,181,169,0,1
B09FK6LP2F,30/03/2023,3499,3499,250,181,0,1
B0BMB6KPKC,28/03/2023,5999,,886,,0,1
B0BMB6KPKC,29/03/2023,5999,5999,486,886,0,1
B0BMB6KPKC,30/03/2023,5999,5999,609,486,0,1
B08KGH3QGL,28/03/2023,2499,,,,0,1
B08KGH3QGL,29/03/2023,2499,2499,,,0,1
B08KGH3QGL,30/03/2023,2499,2499,,,0,1
B08F8J6XPM,28/03/2023,2999,,117,,0,1
B08F8J6XPM,29/03/2023,2999,2999,114,117,0,1
B08F8J6XPM,30/03/2023,2999,2999,67,114,0,1
B017D4SI3G,28/03/2023,2999,,,,0,1
B017D4SI3G,29/03/2023,2999,2999,,,0,1
B017D4SI3G,30/03/2023,2999,2999,,,0,1
B0BSGNFC3N,28/03/2023,3999,,460,,0,1
B0BSGNFC3N,29/03/2023,3999,3999,736,460,0,1
B0BSGNFC3N,30/03/2023,3999,3999,839,736,0,1
B08WK648KQ,28/03/2023,3999,,646,,0,1
B08WK648KQ,29/03/2023,3999,3999,787,646,0,1
B08WK648KQ,30/03/2023,3999,3999,866,787,0,1
B08KGSSDQX,28/03/2023,2999,,,,0,1
B08KGSSDQX,29/03/2023,2999,2999,,,0,1
B08KGSSDQX,30/03/2023,2999,2999,,,0,1
B0BSGN3VQ8,28/03/2023,5999,,624,,0,1
B0BSGN3VQ8,29/03/2023,5999,5999,831,624,0,1
B0BSGN3VQ8,30/03/2023,5999,5999,911,831,0,1
B08FHC96KW,28/03/2023,2849,,1002,,0,1
B08FHC96KW,29/03/2023,2909,2849,1059,1002,0,1
B08FHC96KW,30/03/2023,2909,2909,1085,1059,0,1
B07D5XMJS2,28/03/2023,1999,,511,,0,1
B07D5XMJS2,29/03/2023,1999,1999,615,511,0,1
B07D5XMJS2,30/03/2023,1999,1999,636,615,0,1
B0BQCBKPX2,28/03/2023,2999,,846,,0,1
B0BQCBKPX2,29/03/2023,2999,2999,249,846,0,1
B0BQCBKPX2,30/03/2023,2999,2999,386,249,0,1
B09FK6BK86,28/03/2023,2999,,,,0,1
B09FK6BK86,29/03/2023,2999,2999,,,0,1
B09FK6BK86,30/03/2023,2999,2999,,,0,1
B01GOE6TAA,28/03/2023,1999,,98,,0,1
B01GOE6TAA,29/03/2023,1999,1999,160,98,0,1
B01GOE6TAA,30/03/2023,1999,1999,227,160,0,1
B0B2DYSK5R,28/03/2023,2499,,494,,0,1
B0B2DYSK5R,29/03/2023,2499,2499,693,494,0,1
B0B2DYSK5R,30/03/2023,2499,2499,739,693,0,1
B0BQN22K6Q,28/03/2023,3999,,,,0,1
B0BQN22K6Q,29/03/2023,3999,3999,,,0,1
B0BQN22K6Q,30/03/2023,3999,3999,,,0,1
B092DQVD65,28/03/2023,2499,,579,,0,1
B092DQVD65,29/03/2023,2499,2499,745,579,0,1
B092DQVD65,30/03/2023,2499,2499,790,745,0,1
B0BQCB5T48,28/03/2023,2999,,801,,0,1
B0BQCB5T48,29/03/2023,2999,2999,988,801,0,1
B0BQCB5T48,30/03/2023,2999,2999,1063,988,0,1
B08F8Z5G4R,28/03/2023,5999,,393,,0,1
B08F8Z5G4R,29/03/2023,5999,5999,589,393,0,1
B08F8Z5G4R,30/03/2023,5999,5999,330,589,0,1
B07Z3FTXS4,28/03/2023,3999,,2387,,0,1
B07Z3FTXS4,29/03/2023,3999,3999,2400,2387,0,1
B07Z3FTXS4,30/03/2023,3999,3999,2398,2400,0,1
B08QFD82QJ,28/03/2023,3999,,652,,0,1
B08QFD82QJ,29/03/2023,3999,3999,199,652,0,1
B08QFD82QJ,30/03/2023,3999,3999,319,199,0,1
B09FK68VSB,28/03/2023,2999,,596,,0,1
B09FK68VSB,29/03/2023,2999,2999,737,596,0,1
B09FK68VSB,30/03/2023,2999,2999,780,737,0,1
B082X7BHD9,28/03/2023,7999,,592,,0,1
B082X7BHD9,29/03/2023,7999,7999,747,592,0,1
B082X7BHD9,30/03/2023,7999,7999,827,747,0,1
B07GRSJ9Y9,28/03/2023,3999,,1881,,0,1
B07GRSJ9Y9,29/03/2023,3999,3999,1929,1881,0,1
B07GRSJ9Y9,30/03/2023,3999,3999,1935,1929,0,1
B09TPRBRBS,28/03/2023,4999,,526,,0,1
B09TPRBRBS,29/03/2023,4999,4999,655,526,0,1
B09TPRBRBS,30/03/2023,4999,4999,726,655,0,1
B07GS8Y8BD,28/03/2023,3999,,1020,,0,1
B07GS8Y8BD,29/03/2023,3999,3999,1068,1020,0,1
B07GS8Y8BD,30/03/2023,3999,3999,1077,1068,0,1
B07TWFD4YL,28/03/2023,2999,,249,,0,1
B07TWFD4YL,29/03/2023,2999,2999,275,249,0,1
B07TWFD4YL,30/03/2023,2999,2999,371,275,0,1
B0BM9SX1W1,28/03/2023,3999,,798,,0,1
B0BM9SX1W1,29/03/2023,3999,3999,984,798,0,1
B0BM9SX1W1,30/03/2023,3999,3999,1057,984,0,1
B0BH96YJ13,28/03/2023,4999,,658,,0,1
B0BH96YJ13,29/03/2023,4999,4999,867,658,0,1
B0BH96YJ13,30/03/2023,4999,4999,949,867,0,1
B07C3R7RTM,28/03/2023,3999,,4038,,0,1
B07C3R7RTM,29/03/2023,3999,3999,4041,4038,0,1
B07C3R7RTM,30/03/2023,3999,3999,4041,4041,0,1
B07FF7QFRM,28/03/2023,2499,,480,,0,1
B07FF7QFRM,29/03/2023,2499,2499,567,480,0,1
B07FF7QFRM,30/03/2023,2499,2499,189,567,0,1
B0BH94QFSQ,28/03/2023,3999,,681,,0,1
B0BH94QFSQ,29/03/2023,3999,3999,930,681,0,1
B0BH94QFSQ,30/03/2023,3999,3999,988,930,0,1
B0BQC8NYFL,28/03/2023,5999,,666,,0,1
B0BQC8NYFL,29/03/2023,5999,5999,821,666,0,1
B0BQC8NYFL,30/03/2023,5999,5999,886,821,0,1
B0B2DY2BFB,28/03/2023,2499,,143,,0,1
B0B2DY2BFB,29/03/2023,2499,2499,446,143,0,1
B0B2DY2BFB,30/03/2023,2499,2499,514,446,0,1
B0BMB2B8YJ,28/03/2023,5999,,427,,0,1
B0BMB2B8YJ,29/03/2023,5999,5999,604,427,0,1
B0BMB2B8YJ,30/03/2023,5999,5999,656,604,0,1
B07TT9YPNK,28/03/2023,2999,,249,,0,1
B07TT9YPNK,29/03/2023,2999,2999,302,249,0,1
B07TT9YPNK,30/03/2023,2999,2999,371,302,0,1
B09FK6WWK9,28/03/2023,3499,,123,,0,1
B09FK6WWK9,29/03/2023,3499,3499,181,123,0,1
B09FK6WWK9,30/03/2023,3499,3499,250,181,0,1
B08F8J6KGH,28/03/2023,5999,,393,,0,1
B08F8J6KGH,29/03/2023,5999,5999,589,393,0,1
B08F8J6KGH,30/03/2023,5999,5999,330,589,0,1
B092DRCMZX,28/03/2023,2499,,785,,0,1
B092DRCMZX,29/03/2023,2499,2499,1068,785,0,1
B092DRCMZX,30/03/2023,2499,2499,1167,1068,0,1
B0BSGQ6SS1,28/03/2023,2999,,163,,0,1
B0BSGQ6SS1,29/03/2023,2999,2999,425,163,0,1
B0BSGQ6SS1,30/03/2023,2999,2999,521,425,0,1
B08FHC821L,28/03/2023,3999,,653,,0,1
B08FHC821L,29/03/2023,3999,3999,814,653,0,1
B08FHC821L,30/03/2023,3999,3999,346,814,0,1
B017D4SIMM,28/03/2023,2999,,,,0,1
B017D4SIMM,29/03/2023,2999,2999,,,0,1
B017D4SIMM,30/03/2023,2999,2999,,,0,1
B07DW85TC5,28/03/2023,2999,,280,,0,1
B07DW85TC5,29/03/2023,2999,2999,477,280,0,1
B07DW85TC5,30/03/2023,2999,2999,152,477,0,1
B08W4DK8ZC,28/03/2023,3499,,544,,0,1
B08W4DK8ZC,29/03/2023,3499,3499,767,544,0,1
B08W4DK8ZC,30/03/2023,3499,3499,826,767,0,1
B08F8Q9VX1,28/03/2023,5999,,720,,0,1
B08F8Q9VX1,29/03/2023,5999,5999,899,720,0,1
B08F8Q9VX1,30/03/2023,5999,5999,967,899,0,1
B08WK5NLVC,28/03/2023,2999,,777,,0,1
B08WK5NLVC,29/03/2023,2999,2999,986,777,0,1
B08WK5NLVC,30/03/2023,2999,2999,1054,986,0,1
B017D4H1NO,28/03/2023,2499,,704,,0,1
B017D4H1NO,29/03/2023,2499,2499,817,704,0,1
B017D4H1NO,30/03/2023,2499,2499,265,817,0,1
B082X7VMHB,28/03/2023,3999,,561,,0,1
B082X7VMHB,29/03/2023,3999,3999,778,561,0,1
B082X7VMHB,30/03/2023,3999,3999,840,778,0,1
B08T25GLKS,28/03/2023,2499,,503,,0,1
B08T25GLKS,29/03/2023,2499,2499,423,503,0,1
B08T25GLKS,30/03/2023,2499,2499,471,423,0,1
B09FK64MSP,28/03/2023,2999,,,,0,1
B09FK64MSP,29/03/2023,2999,2999,,,0,1
B09FK64MSP,30/03/2023,2999,2999,,,0,1
B07QHJNZCN,28/03/2023,3499,,639,,0,1
B07QHJNZCN,29/03/2023,3499,3499,827,639,0,1
B07QHJNZCN,30/03/2023,3499,3499,900,827,0,1
B0BM9WHJCL,28/03/2023,2499,,557,,0,1
B0BM9WHJCL,29/03/2023,2499,2499,780,557,0,1
B0BM9WHJCL,30/03/2023,2499,2499,846,780,0,1
B07JKMJMPH,28/03/2023,3499,,536,,0,1
B07JKMJMPH,29/03/2023,3499,3499,669,536,0,1
B07JKMJMPH,30/03/2023,3499,3499,706,669,0,1
B07XZKBN1J,28/03/2023,3370,,638,,0,1
B07XZKBN1J,29/03/2023,3370,3370,754,638,0,1
B07XZKBN1J,30/03/2023,3370,3370,794,754,0,1
B0BSC7HW1Y,28/03/2023,1898,,1732,,0,1
B0BSC7HW1Y,29/03/2023,1898,1898,1831,1732,0,1
B0BSC7HW1Y,30/03/2023,1898,1898,1878,1831,0,1
B07WGBGWDJ,28/03/2023,999,,510,,0,1
B07WGBGWDJ,29/03/2023,999,999,711,510,0,1
B07WGBGWDJ,30/03/2023,999,999,759,711,0,1
B07YFRDJYW,28/03/2023,1199,,501,,0,1
B07YFRDJYW,29/03/2023,1199,1199,397,501,0,1
B07YFRDJYW,30/03/2023,1199,1199,476,397,0,1
B07XZMV4YH,28/03/2023,2997,,287,,0,1
B07XZMV4YH,29/03/2023,2997,2997,144,287,0,1
B07XZMV4YH,30/03/2023,2997,2997,260,144,0,1
B07CPRWWNZ,28/03/2023,1709,,240,,0,1
B07CPRWWNZ,29/03/2023,1709,1709,466,240,0,1
B07CPRWWNZ,30/03/2023,1709,1709,498,466,0,1
B07XZM7BM3,28/03/2023,3749,,,,0,1
B07XZM7BM3,29/03/2023,3749,3749,,,0,1
B07XZM7BM3,30/03/2023,3749,3749,,,0,1
B07S3WXFGY,28/03/2023,3647,,1094,,0,1
B07S3WXFGY,29/03/2023,3647,3647,1159,1094,0,1
B07S3WXFGY,30/03/2023,3647,3647,1169,1159,0,1
B07XZLXVHT,28/03/2023,3297,,1777,,0,1
B07XZLXVHT,29/03/2023,3297,3297,1888,1777,0,1
B07XZLXVHT,30/03/2023,3297,3297,1917,1888,0,1
B0BSC6TYSJ,28/03/2023,2398,,1116,,0,1
B0BSC6TYSJ,29/03/2023,2398,2398,1240,1116,0,1
B0BSC6TYSJ,30/03/2023,2398,2398,231,1240,0,1
B07NH1H512,28/03/2023,2147,,260,,0,1
B07NH1H512,29/03/2023,2147,2147,412,260,0,1
B07NH1H512,30/03/2023,2147,2147,414,412,0,1
B07CQNKC9Q,28/03/2023,699,,322,,0,1
B07CQNKC9Q,29/03/2023,699,699,53,322,0,1
B07CQNKC9Q,30/03/2023,699,699,80,53,0,1
B07S4L19V2,28/03/2023,3059,,670,,0,1
B07S4L19V2,29/03/2023,3047,3059,159,670,0,1
B07S4L19V2,30/03/2023,3047,3047,165,159,0,1
B088P39SVZ,28/03/2023,1499,,87,,0,1
B088P39SVZ,29/03/2023,1499,1499,125,87,0,1
B088P39SVZ,30/03/2023,1499,1499,59,125,0,1
B098JNXL8V,28/03/2023,1610,,590,,0,1
B098JNXL8V,29/03/2023,1610,1610,392,590,0,1
B098JNXL8V,30/03/2023,1598,1610,448,392,0,1
B07XZMMKX2,28/03/2023,3297,,1510,,0,1
B07XZMMKX2,29/03/2023,3297,3297,1658,1510,0,1
B07XZMMKX2,30/03/2023,3297,3297,1711,1658,0,1
B07283VW4V,28/03/2023,999,,162,,0,1
B07283VW4V,29/03/2023,999,999,230,162,0,1
B07283VW4V,30/03/2023,999,999,298,230,0,1
B07S1PF98J,28/03/2023,1299,,147,,0,1
B07S1PF98J,29/03/2023,1299,1299,301,147,0,1
B07S1PF98J,30/03/2023,1299,1299,159,301,0,1
B07XZMZ5DN,28/03/2023,3297,,1519,,0,1
B07XZMZ5DN,29/03/2023,3297,3297,1654,1519,0,1
B07XZMZ5DN,30/03/2023,3297,3297,1731,1654,0,1
B08FBG59K1,28/03/2023,1659,,551,,0,1
B08FBG59K1,29/03/2023,1659,1659,752,551,0,1
B08FBG59K1,30/03/2023,1659,1659,819,752,0,1
B0BSC6ZRF9,28/03/2023,1298,,906,,0,1
B0BSC6ZRF9,29/03/2023,1298,1298,1085,906,0,1
B0BSC6ZRF9,30/03/2023,1298,1298,1141,1085,0,1
B071VLSQJH,28/03/2023,999,,29,,0,1
B071VLSQJH,29/03/2023,999,999,46,29,0,1
B071VLSQJH,30/03/2023,999,999,37,46,0,1
B07D8TRBKG,28/03/2023,1499,,165,,0,1
B07D8TRBKG,29/03/2023,1499,1499,203,165,0,1
B07D8TRBKG,30/03/2023,1499,1499,201,203,0,1
B0BSC82C47,28/03/2023,1248,,1399,,0,1
B0BSC82C47,29/03/2023,1248,1248,1590,1399,0,1
B0BSC82C47,30/03/2023,1248,1248,1646,1590,0,1
B0BSC8198V,28/03/2023,1648,,930,,0,1
B0BSC8198V,29/03/2023,1648,1648,1112,930,0,1
B0BSC8198V,30/03/2023,1648,1648,1191,1112,0,1
B0711KX7VX,28/03/2023,999,,730,,0,1
B0711KX7VX,29/03/2023,999,999,889,730,0,1
B0711KX7VX,30/03/2023,999,999,934,889,0,1
B07CQMGGHN,28/03/2023,1799,,61,,0,1
B07CQMGGHN,29/03/2023,1799,1799,79,61,0,1
B07CQMGGHN,30/03/2023,1799,1799,66,79,0,1
B093DQMP4Z,28/03/2023,1234,,310,,0,1
B093DQMP4Z,29/03/2023,1234,1234,106,310,0,1
B093DQMP4Z,30/03/2023,1234,1234,170,106,0,1
B098K6QL9V,28/03/2023,1948,,635,,0,1
B098K6QL9V,29/03/2023,1948,1948,232,635,0,1
B098K6QL9V,30/03/2023,1948,1948,361,232,0,1
B07XZNC9RQ,28/03/2023,2897,,903,,0,1
B07XZNC9RQ,29/03/2023,2897,2897,955,903,0,1
B07XZNC9RQ,30/03/2023,2897,2897,157,955,0,1
B093DR36FX,28/03/2023,1289,,767,,0,1
B093DR36FX,29/03/2023,1289,1289,946,767,0,1
B093DR36FX,30/03/2023,1289,1289,1004,946,0,1
B0BSC5VQ42,28/03/2023,3117,,894,,0,1
B0BSC5VQ42,29/03/2023,3117,3117,1077,894,0,1
B0BSC5VQ42,30/03/2023,3117,3117,1133,1077,0,1
B07YFQBP1C,28/03/2023,3247,,1596,,0,1
B07YFQBP1C,29/03/2023,3247,3247,1688,1596,0,1
B07YFQBP1C,30/03/2023,3247,3247,1707,1688,0,1
B07YFPV7VY,28/03/2023,1999,,1024,,0,1
B07YFPV7VY,29/03/2023,1999,1999,1064,1024,0,1
B07YFPV7VY,30/03/2023,1999,1999,1068,1064,0,1
B0BQMYVVW5,28/03/2023,899,,766,,0,1
B0BQMYVVW5,29/03/2023,899,899,950,766,0,1
B0BQMYVVW5,30/03/2023,899,899,1007,950,0,1
B0BQMW463Y,28/03/2023,1399,,751,,0,1
B0BQMW463Y,29/03/2023,1399,1399,924,751,0,1
B0BQMW463Y,30/03/2023,1399,1399,242,924,0,1
B08DM3B8ZG,28/03/2023,1671,,377,,0,1
B08DM3B8ZG,29/03/2023,1671,1671,638,377,0,1
B08DM3B8ZG,30/03/2023,1671,1671,707,638,0,1
B07D8VCB1Q,28/03/2023,1699,,196,,0,1
B07D8VCB1Q,29/03/2023,1699,1699,184,196,0,1
B07D8VCB1Q,30/03/2023,1699,1699,72,184,0,1
B08DM3CNLJ,28/03/2023,989,,93,,0,1
B08DM3CNLJ,29/03/2023,989,989,53,93,0,1
B08DM3CNLJ,30/03/2023,989,989,135,53,0,1
B094NGQ74M,28/03/2023,3097,,190,,0,1
B094NGQ74M,29/03/2023,3097,3097,125,190,0,1
B094NGQ74M,30/03/2023,3097,3097,125,125,0,1
B07R4MMPBL,28/03/2023,999,,595,,0,1
B07R4MMPBL,29/03/2023,999,999,723,595,0,1
B07R4MMPBL,30/03/2023,999,999,750,723,0,1
B07CRNTSDF,28/03/2023,2959,,430,,0,1
B07CRNTSDF,29/03/2023,2959,2959,663,430,0,1
B07CRNTSDF,30/03/2023,2959,2959,740,663,0,1
B07284216C,28/03/2023,779,,39,,0,1
B07284216C,29/03/2023,779,779,41,39,0,1
