ASIN,String,Rating,Frequency
B09FK5ZDYK,good,4.0,2
B09FK5ZDYK,good product,4.0,1
B09FK5ZDYK,product,4.0,1
B09FK5ZDYK,product &,4.0,1
B09FK5ZDYK,&,4.0,1
B09FK5ZDYK,& fit,4.0,1
B09FK5ZDYK,fit,4.0,2
B09FK5ZDYK,"fit well,",4.0,1
B09FK5ZDYK,"well,",4.0,1
B09FK5ZDYK,"well, price",4.0,1
B09FK5ZDYK,price,4.0,2
B09FK5ZDYK,price ok,4.0,1
B09FK5ZDYK,ok,4.0,1
B09FK5ZDYK,ok ?,4.0,1
B09FK5ZDYK,?,4.0,2
B09FK5ZDYK,fit good.,4.0,1
B09FK5ZDYK,good.,4.0,1
B09FK5ZDYK,"good. sure,",4.0,1
B09FK5ZDYK,"sure,",4.0,1
B09FK5ZDYK,"sure, price",4.0,1
B09FK5ZDYK,price commensurate,4.0,1
B09FK5ZDYK,commensurate,4.0,1
B09FK5ZDYK,commensurate quality,4.0,1
B09FK5ZDYK,quality,4.0,1
B09FK5ZDYK,quality fabric.,4.0,1
B09FK5ZDYK,fabric.,4.0,1
B09FK5ZDYK,fabric. overall,4.0,1
B09FK5ZDYK,overall,4.0,1
B09FK5ZDYK,overall feel,4.0,1
B09FK5ZDYK,feel,4.0,1
B09FK5ZDYK,feel good,4.0,1
B09FK5ZDYK,good product.,4.0,1
B09FK5ZDYK,product.,4.0,1
B09FK5ZDYK,"product. way,",4.0,1
B09FK5ZDYK,"way,",4.0,1
B09FK5ZDYK,"way, yet",4.0,1
B09FK5ZDYK,yet,4.0,1
B09FK5ZDYK,yet washed,4.0,1
B09FK5ZDYK,washed,4.0,1
B09FK5ZDYK,washed even,4.0,1
B09FK5ZDYK,even,4.0,1
B09FK5ZDYK,even once.,4.0,1
B09FK5ZDYK,once.,4.0,2
B09FK6LP2F,amazing,5.0,1
B09FK6LP2F,amazing fitting.,5.0,1
B09FK6LP2F,fitting.,5.0,1
B09FK6LP2F,fitting. fabric,5.0,1
B09FK6LP2F,fabric,5.0,2
B09FK6LP2F,fabric excellent,5.0,1
B09FK6LP2F,excellent,5.0,1
B09FK6LP2F,excellent expected,5.0,1
B09FK6LP2F,expected,5.0,3
B09FK6LP2F,liked,5.0,1
B09FK6LP2F,liked fabric,5.0,1
B09FK6LP2F,fabric quality,5.0,1
B09FK6LP2F,quality,5.0,1
B09FK6LP2F,quality product.,5.0,1
B09FK6LP2F,product.,5.0,1
B09FK6LP2F,product. expected,5.0,1
B09FK6LP2F,expected time,5.0,1
B09FK6LP2F,time,5.0,1
B09FK6LP2F,time delivery,5.0,1
B09FK6LP2F,delivery,5.0,1
B09FK6LP2F,delivery done.,5.0,1
B09FK6LP2F,done.,5.0,1
B09FK6LP2F,done. thank,5.0,1
B09FK6LP2F,thank,5.0,1
B09FK6LP2F,thank amazon,5.0,1
B09FK6LP2F,amazon,5.0,1
B09FK6LP2F,amazon manyavar,5.0,1
B09FK6LP2F,manyavar,5.0,2
B09FK6LP2F,perfect,5.0,1
B09FK6LP2F,perfect product,5.0,1
B09FK6LP2F,product,5.0,2
B09FK6LP2F,kurta,5.0,1
B09FK6LP2F,kurta look,5.0,1
B09FK6LP2F,look,5.0,1
B09FK6LP2F,look premium,5.0,1
B09FK6LP2F,premium,5.0,1
B09FK6LP2F,premium stylish,5.0,1
B09FK6LP2F,stylish,5.0,1
B09FK6LP2F,stylish design,5.0,1
B09FK6LP2F,design,5.0,1
B09FK6LP2F,design also,5.0,1
B09FK6LP2F,also,5.0,1
B09FK6LP2F,also comfortable,5.0,1
B09FK6LP2F,comfortable,5.0,1
B09FK6LP2F,comfortable use.,5.0,1
B09FK6LP2F,use.,5.0,1
B09FK6LP2F,use. overall,5.0,1
B09FK6LP2F,overall,5.0,1
B09FK6LP2F,overall great,5.0,1
B09FK6LP2F,great,5.0,1
B09FK6LP2F,great value,5.0,1
B09FK6LP2F,value,5.0,1
B09FK6LP2F,value money.,5.0,1
B09FK6LP2F,money.,5.0,1
B09FK6LP2F,money. thanks,5.0,1
B09FK6LP2F,thanks,5.0,1
B09FK6LP2F,thanks amazon.,5.0,1
B09FK6LP2F,amazon.,5.0,2
B0BMB6KPKC,pajama,1.0,1
B0BMB6KPKC,pajama missing,1.0,1
B0BMB6KPKC,missing,1.0,1
B0BMB6KPKC,missing used,1.0,1
B0BMB6KPKC,used,1.0,1
B0BMB6KPKC,used kurta,1.0,1
B0BMB6KPKC,kurta,1.0,1
B0BMB6KPKC,kurta smell,1.0,1
B0BMB6KPKC,smell,1.0,1
B0BMB6KPKC,smell full,1.0,1
B0BMB6KPKC,full,1.0,1
B0BMB6KPKC,full deodorant,1.0,1
B0BMB6KPKC,deodorant,1.0,2
B08KGH3QGL,big,3.0,1
B08KGH3QGL,big size,3.0,1
B08KGH3QGL,size,3.0,2
B08KGH3QGL,lorg,3.0,2
B08KGH3QGL,kurte,3.0,2
B08KGH3QGL,kurte ka,3.0,2
B08KGH3QGL,ka,3.0,3
B08KGH3QGL,ka kapda,3.0,2
B08KGH3QGL,kapda,3.0,2
B08KGH3QGL,kapda bahut,3.0,2
B08KGH3QGL,bahut,3.0,2
B08KGH3QGL,bahut kamzor,3.0,2
B08KGH3QGL,kamzor,3.0,2
B08KGH3QGL,kamzor hai.,3.0,1
B08KGH3QGL,hai.,3.0,3
B08KGH3QGL,kamzor hai,3.0,1
B08KGH3QGL,hai,3.0,4
B08KGH3QGL,hai regular,3.0,1
B08KGH3QGL,regular,3.0,1
B08KGH3QGL,regular nhi,3.0,1
B08KGH3QGL,nhi,3.0,1
B08KGH3QGL,nhi pahn,3.0,1
B08KGH3QGL,pahn,3.0,1
B08KGH3QGL,pahn sakte.,3.0,1
B08KGH3QGL,sakte.,3.0,1
B08KGH3QGL,sakte. ek,3.0,1
B08KGH3QGL,ek,3.0,1
B08KGH3QGL,ek hi,3.0,1
B08KGH3QGL,hi,3.0,1
B08KGH3QGL,hi bar,3.0,1
B08KGH3QGL,bar,3.0,1
B08KGH3QGL,bar silai,3.0,1
B08KGH3QGL,silai,3.0,1
B08KGH3QGL,silai fatne,3.0,1
B08KGH3QGL,fatne,3.0,1
B08KGH3QGL,fatne lgi.,3.0,1
B08KGH3QGL,lgi.,3.0,1
B08KGH3QGL,lgi. b,3.0,1
B08KGH3QGL,b,3.0,1
B08KGH3QGL,b look,3.0,1
B08KGH3QGL,look,3.0,1
B08KGH3QGL,look acha,3.0,1
B08KGH3QGL,acha,3.0,1
B08KGH3QGL,acha hai,3.0,1
B08KGH3QGL,hai aur,3.0,1
B08KGH3QGL,aur,3.0,1
B08KGH3QGL,aur payjama,3.0,1
B08KGH3QGL,payjama,3.0,1
B08KGH3QGL,payjama badhya,3.0,1
B08KGH3QGL,badhya,3.0,1
B08KGH3QGL,badhya hai.,3.0,1
B08KGH3QGL,hai. 8-10,3.0,1
B08KGH3QGL,8-10,3.0,1
B08KGH3QGL,8-10 marriagebhr,3.0,1
B08KGH3QGL,marriagebhr,3.0,1
B08KGH3QGL,marriagebhr ka,3.0,1
B08KGH3QGL,ka hai,3.0,1
B08KGH3QGL,quality,4.0,1
B08KGH3QGL,"quality good,",4.0,1
B08KGH3QGL,"good,",4.0,1
B08KGH3QGL,"good, fitting",4.0,1
B08KGH3QGL,fitting,4.0,1
B08KGH3QGL,fitting excellent....price,4.0,1
B08KGH3QGL,excellent....price,4.0,1
B08KGH3QGL,excellent....price reasonable,4.0,1
B08KGH3QGL,reasonable,4.0,2
B08KGH3QGL,"liked,i",4.0,1
B08KGH3QGL,"liked,i used",4.0,1
B08KGH3QGL,used,4.0,1
B08KGH3QGL,used engagement,4.0,1
B08KGH3QGL,engagement,4.0,1
B08KGH3QGL,engagement function,4.0,1
B08KGH3QGL,function,4.0,1
B08KGH3QGL,function son,4.0,1
B08KGH3QGL,son,4.0,1
B08KGH3QGL,son ......,4.0,1
B08KGH3QGL,......,4.0,2
B08KGH3QGL,amazing,5.0,2
B08KGH3QGL,nice,5.0,1
B08KGH3QGL,nice product,5.0,1
B08KGH3QGL,product,5.0,1
B08KGH3QGL,product really,5.0,1
B08KGH3QGL,really,5.0,1
B08KGH3QGL,really vallue,5.0,1
B08KGH3QGL,vallue,5.0,1
B08KGH3QGL,vallue money.,5.0,1
B08KGH3QGL,money.,5.0,2
B017D4SI3G,incorrect,3.0,1
B017D4SI3G,incorrect size,3.0,1
B017D4SI3G,size,3.0,1
B017D4SI3G,size wet,3.0,1
B017D4SI3G,wet,3.0,3
B017D4SI3G,wet inside.,3.0,1
B017D4SI3G,inside.,3.0,2
B017D4SI3G,outside,3.0,1
B017D4SI3G,outside packet,3.0,1
B017D4SI3G,packet,3.0,1
B017D4SI3G,packet wet,3.0,1
B017D4SI3G,value,3.0,1
B017D4SI3G,value amount,3.0,1
B017D4SI3G,amount,3.0,1
B017D4SI3G,amount paid..,3.0,1
B017D4SI3G,paid..,3.0,2
B017D4SI3G,great,3.0,1
B017D4SI3G,"great fitting,",3.0,1
B017D4SI3G,"fitting,",3.0,1
B017D4SI3G,"fitting, quality",3.0,1
B017D4SI3G,quality,3.0,1
B017D4SI3G,quality etc..,3.0,1
B017D4SI3G,etc..,3.0,1
B017D4SI3G,etc.. look,3.0,1
B017D4SI3G,look,3.0,1
B017D4SI3G,look slightly,3.0,1
B017D4SI3G,slightly,3.0,1
B017D4SI3G,slightly oldish,3.0,1
B017D4SI3G,oldish,3.0,1
B017D4SI3G,oldish (,3.0,1
B017D4SI3G,(,3.0,1
B017D4SI3G,( design).,3.0,1
B017D4SI3G,design).,3.0,1
B017D4SI3G,design). mean,3.0,1
B017D4SI3G,mean,3.0,1
B017D4SI3G,mean appears,3.0,1
B017D4SI3G,appears,3.0,1
B017D4SI3G,appears old..,3.0,1
B017D4SI3G,old..,3.0,2
B017D4SI3G,size,4.0,7
B017D4SI3G,size short,4.0,1
B017D4SI3G,short,4.0,1
B017D4SI3G,short plz,4.0,1
B017D4SI3G,plz,4.0,1
B017D4SI3G,plz send,4.0,1
B017D4SI3G,send,4.0,1
B017D4SI3G,send l,4.0,1
B017D4SI3G,l,4.0,1
B017D4SI3G,l size,4.0,1
B017D4SI3G,product,4.0,3
B017D4SI3G,product good,4.0,1
B017D4SI3G,good,4.0,2
B017D4SI3G,good size,4.0,1
B017D4SI3G,size ..l,4.0,1
B017D4SI3G,..l,4.0,1
B017D4SI3G,..l size,4.0,1
B017D4SI3G,good great,4.0,1
B017D4SI3G,great,4.0,2
B017D4SI3G,great price,4.0,1
B017D4SI3G,price,4.0,2
B017D4SI3G,look,4.0,1
B017D4SI3G,look good.,4.0,1
B017D4SI3G,good.,4.0,2
B017D4SI3G,great product,4.0,1
B017D4SI3G,extremely,4.0,1
B017D4SI3G,extremely grt,4.0,1
B017D4SI3G,grt,4.0,1
B017D4SI3G,grt fitting,4.0,1
B017D4SI3G,fitting,4.0,1
B017D4SI3G,fitting per,4.0,1
B017D4SI3G,per,4.0,1
B017D4SI3G,per given,4.0,1
B017D4SI3G,given,4.0,1
B017D4SI3G,given size,4.0,1
B017D4SI3G,size .,4.0,1
B017D4SI3G,.,4.0,2
B017D4SI3G,used,1.0,3
B017D4SI3G,used product,1.0,1
B017D4SI3G,product,1.0,2
B017D4SI3G,product delivered.,1.0,1
B017D4SI3G,delivered.,1.0,1
B017D4SI3G,delivered. found,1.0,1
B017D4SI3G,found,1.0,2
B017D4SI3G,found used,1.0,1
B017D4SI3G,used mask,1.0,1
B017D4SI3G,mask,1.0,2
B017D4SI3G,"mask pocket,",1.0,1
B017D4SI3G,"pocket,",1.0,1
B017D4SI3G,"pocket, duplicate",1.0,1
B017D4SI3G,duplicate,1.0,1
B017D4SI3G,duplicate manyavar.,1.0,1
B017D4SI3G,manyavar.,1.0,2
B017D4SI3G,difficult,1.0,1
B017D4SI3G,difficult make,1.0,1
B017D4SI3G,make,1.0,1
B017D4SI3G,make product,1.0,1
B017D4SI3G,product used,1.0,1
B017D4SI3G,used one.,1.0,1
B017D4SI3G,one.,1.0,1
B017D4SI3G,one. found,1.0,1
B017D4SI3G,found mask,1.0,1
B017D4SI3G,mask inside,1.0,1
B017D4SI3G,inside,1.0,1
B017D4SI3G,inside pocket,1.0,1
B017D4SI3G,pocket,1.0,1
B017D4SI3G,pocket kurta.,1.0,1
B017D4SI3G,kurta.,1.0,1
B017D4SI3G,kurta. pajama,1.0,1
B017D4SI3G,pajama,1.0,1
B017D4SI3G,pajama ironed.,1.0,1
B017D4SI3G,ironed.,1.0,1
B017D4SI3G,ironed. also,1.0,1
B017D4SI3G,also,1.0,1
B017D4SI3G,also sticker,1.0,1
B017D4SI3G,sticker,1.0,1
B017D4SI3G,sticker gone,1.0,1
B017D4SI3G,gone,1.0,1
B017D4SI3G,gone arm.,1.0,1
B017D4SI3G,arm.,1.0,2
B017D4SI3G,febric,1.0,3
B017D4SI3G,febric good,1.0,1
B017D4SI3G,good,1.0,2
B017D4SI3G,worst,1.0,2
B017D4SI3G,"worst product,",1.0,1
B017D4SI3G,"product,",1.0,1
B017D4SI3G,"product, worst",1.0,1
B017D4SI3G,worst febric,1.0,1
B017D4SI3G,old,1.0,1
B017D4SI3G,old kurta,1.0,1
B017D4SI3G,kurta,1.0,2
B017D4SI3G,kurta received,1.0,1
B017D4SI3G,received,1.0,3
B017D4SI3G,received old/used,1.0,1
B017D4SI3G,old/used,1.0,1
B017D4SI3G,old/used kurta,1.0,1
B017D4SI3G,kurta mark,1.0,1
B017D4SI3G,mark,1.0,2
B017D4SI3G,happy,5.0,2
B017D4SI3G,best,5.0,1
B017D4SI3G,best ever,5.0,1
B017D4SI3G,ever,5.0,1
B017D4SI3G,ever product,5.0,1
B017D4SI3G,product,5.0,1
B017D4SI3G,product received,5.0,1
B017D4SI3G,received,5.0,1
B017D4SI3G,received amazon....thanks,5.0,1
B017D4SI3G,amazon....thanks,5.0,1
B017D4SI3G,amazon....thanks genuines...,5.0,1
B017D4SI3G,genuines...,5.0,2
B017D4SI3G,awesome,5.0,2
B017D4SI3G,awesome product.,5.0,2
B017D4SI3G,product.,5.0,3
B017D4SI3G,product. value,5.0,1
B017D4SI3G,value,5.0,1
B017D4SI3G,value money.,5.0,1
B017D4SI3G,money.,5.0,2
B0BSGNFC3N,broken,1.0,2
B0BSGNFC3N,"broken buttons,",1.0,1
B0BSGNFC3N,"buttons,",1.0,2
B0BSGNFC3N,"buttons, discolored",1.0,1
B0BSGNFC3N,discolored,1.0,2
B0BSGNFC3N,discolored due,1.0,1
B0BSGNFC3N,due,1.0,1
B0BSGNFC3N,due iron,1.0,1
B0BSGNFC3N,iron,1.0,1
B0BSGNFC3N,iron old,1.0,1
B0BSGNFC3N,old,1.0,2
B0BSGNFC3N,old stock,1.0,1
B0BSGNFC3N,stock,1.0,2
B0BSGNFC3N,4,1.0,1
B0BSGNFC3N,"4 buttons,",1.0,1
B0BSGNFC3N,"buttons, 2",1.0,1
B0BSGNFC3N,2,1.0,1
B0BSGNFC3N,2 button,1.0,1
B0BSGNFC3N,button,1.0,2
B0BSGNFC3N,button broken,1.0,1
B0BSGNFC3N,broken rest,1.0,1
B0BSGNFC3N,rest,1.0,1
B0BSGNFC3N,rest hanging.,1.0,1
B0BSGNFC3N,hanging.,1.0,1
B0BSGNFC3N,hanging. ironed,1.0,1
B0BSGNFC3N,ironed,1.0,1
B0BSGNFC3N,ironed collor,1.0,1
B0BSGNFC3N,collor,1.0,1
B0BSGNFC3N,collor button,1.0,1
B0BSGNFC3N,button area,1.0,1
B0BSGNFC3N,area,1.0,1
B0BSGNFC3N,area discolored,1.0,1
B0BSGNFC3N,discolored kurta.,1.0,1
B0BSGNFC3N,kurta.,1.0,1
B0BSGNFC3N,kurta. seems,1.0,1
B0BSGNFC3N,seems,1.0,1
B0BSGNFC3N,seems old,1.0,1
B0BSGNFC3N,old stock.,1.0,1
B0BSGNFC3N,stock.,1.0,1
B0BSGNFC3N,stock. apprehension,1.0,1
B0BSGNFC3N,apprehension,1.0,1
B0BSGNFC3N,apprehension product,1.0,1
B0BSGNFC3N,product,1.0,1
B0BSGNFC3N,product fake.,1.0,1
B0BSGNFC3N,fake.,1.0,1
B0BSGNFC3N,fake. request,1.0,1
B0BSGNFC3N,request,1.0,1
B0BSGNFC3N,request team,1.0,1
B0BSGNFC3N,team,1.0,1
B0BSGNFC3N,team allow,1.0,1
B0BSGNFC3N,allow,1.0,1
B0BSGNFC3N,allow return,1.0,1
B0BSGNFC3N,return,1.0,1
B0BSGNFC3N,return rebooking.,1.0,1
B0BSGNFC3N,rebooking.,1.0,2
B08F8J6XPM,incorrect,1.0,1
B08F8J6XPM,incorrect size,1.0,1
B08F8J6XPM,size,1.0,3
B08F8J6XPM,bought,1.0,2
B08F8J6XPM,bought size,1.0,1
B08F8J6XPM,size l,1.0,1
B08F8J6XPM,l,1.0,2
B08F8J6XPM,l tight,1.0,2
B08F8J6XPM,tight,1.0,2
B08F8J6XPM,tight me.,1.0,1
B08F8J6XPM,me.,1.0,1
B08F8J6XPM,me. surprising,1.0,1
B08F8J6XPM,surprising,1.0,1
B08F8J6XPM,surprising part,1.0,1
B08F8J6XPM,part,1.0,1
B08F8J6XPM,part l,1.0,1
B08F8J6XPM,tight m!,1.0,1
B08F8J6XPM,m!,1.0,1
B08F8J6XPM,m! possible!,1.0,1
B08F8J6XPM,possible!,1.0,1
B08F8J6XPM,possible! believe,1.0,1
B08F8J6XPM,believe,1.0,1
B08F8J6XPM,believe selling,1.0,1
B08F8J6XPM,selling,1.0,1
B08F8J6XPM,selling defective,1.0,1
B08F8J6XPM,defective,1.0,1
B08F8J6XPM,defective piece,1.0,1
B08F8J6XPM,piece,1.0,1
B08F8J6XPM,piece here.,1.0,1
B08F8J6XPM,here.,1.0,1
B08F8J6XPM,here. away,1.0,1
B08F8J6XPM,away,1.0,1
B08F8J6XPM,"away home,",1.0,1
B08F8J6XPM,"home,",1.0,1
B08F8J6XPM,"home, parent",1.0,1
B08F8J6XPM,parent,1.0,1
B08F8J6XPM,parent bought,1.0,1
B08F8J6XPM,bought came,1.0,1
B08F8J6XPM,came,1.0,1
B08F8J6XPM,came meet,1.0,1
B08F8J6XPM,meet,1.0,1
B08F8J6XPM,"meet ,",1.0,1
B08F8J6XPM,",",1.0,1
B08F8J6XPM,", can't",1.0,1
B08F8J6XPM,can't,1.0,1
B08F8J6XPM,"can't return,",1.0,1
