ASIN,Category,Latest BSR,Last Day BSR
B00N5K46NO,Beauty,3233.0,3001.0
B00N5K46NO,Body Talcum Powders,27.0,25.0
B00JJGW4M8,Beauty,801.0,700.0
B00JJGW4M8,Body Talcum Powders,3.0,3.0
B07DJNX6JH,Beauty,5779.0,6597.0
B07DJNX6JH,Body Talcum Powders,42.0,46.0
B0050QW3H2,Beauty,4096.0,3844.0
B0050QW3H2,Body Talcum Powders,31.0,29.0
B01N3C4SYM,Beauty,827.0,1081.0
B01N3C4SYM,Body Talcum Powders,4.0,6.0
B07BDNBD5F,Beauty,121295.0,121175.0
B07BDNBD5F,Body Talcum Powders,420.0,424.0
B00N5K47H4,Beauty,1696.0,2053.0
B00N5K47H4,Body Talcum Powders,14.0,19.0
B07D215X2T,Beauty,54894.0,36166.0
B07D215X2T,Body Talcum Powders,227.0,160.0
B086KMYNLY,Beauty,17065.0,18012.0
B086KMYNLY,Body Talcum Powders,95.0,94.0
B00KENRWH2,Beauty,963.0,981.0
B00KENRWH2,Body Talcum Powders,5.0,4.0
B00CQ40O90,Beauty,1129.0,1382.0
B00CQ40O90,Body Talcum Powders,6.0,10.0
B00CQ414LW,Beauty,495.0,498.0
B00CQ414LW,Body Talcum Powders,1.0,2.0
B07G2QYWLP,Beauty,9809.0,10626.0
B07G2QYWLP,Body Talcum Powders,62.0,65.0
B006LXD6C4,Beauty,1779.0,1859.0
B006LXD6C4,Eau de Cologne,3.0,3.0
B00FX03IBK,Beauty,3015.0,3137.0
B00FX03IBK,Body Talcum Powders,23.0,26.0
B091PWH27F,Beauty,71984.0,69494.0
B091PWH27F,Body Talcum Powders,279.0,272.0
B00FQH5H6O,Beauty,1596.0,1553.0
B00FQH5H6O,Body Talcum Powders,13.0,11.0
B091N6KRVY,Beauty,52679.0,48037.0
B091N6KRVY,Body Talcum Powders,219.0,200.0
B008KH3VUG,Beauty,32358.0,30059.0
B008KH3VUG,Body Talcum Powders,152.0,136.0
B008KH3VUG,Solid Soap Bars,1421.0,1246.0
B08YKC89XD,Beauty,1151.0,1380.0
B08YKC89XD,Body Talcum Powders,7.0,9.0
B08YKC89XD,Lip Balms,30.0,36.0
B00YXYZWQ6,Beauty,6027.0,3487.0
B00YXYZWQ6,Body Talcum Powders,42.0,29.0
B08WRR7VTQ,Beauty,10052.0,20485.0
B08WRR7VTQ,Body Talcum Powders,64.0,106.0
B002ZVK88G,Beauty,8900.0,12105.0
B002ZVK88G,Body Talcum Powders,57.0,66.0
B00UYGK1FY,Beauty,16190.0,22008.0
B00UYGK1FY,Body Talcum Powders,90.0,109.0
B08H5WBH1Y,Beauty,25842.0,41092.0
B08H5WBH1Y,Body Talcum Powders,126.0,173.0
B09WDB671J,Beauty,7343.0,8512.0
B09WDB671J,Body Talcum Powders,49.0,57.0
B00YXZ1B4W,Beauty,8037.0,8684.0
B00YXZ1B4W,Compact Powder,74.0,
B00YXZ1B4W,Body Talcum Powders,54.0,50.0
B00CRDO2GQ,Beauty,2242.0,3348.0
B00CRDO2GQ,Body Talcum Powders,18.0,28.0
B01412WVSG,Beauty,15173.0,24317.0
B01412WVSG,Body Talcum Powders,85.0,122.0
B09JWWJVDZ,Beauty,1306.0,1280.0
B09JWWJVDZ,Body Talcum Powders,10.0,10.0
B00N5K48R8,Beauty,2441.0,2433.0
B00N5K48R8,Body Talcum Powders,20.0,20.0
B09VP56SXC,Beauty,4428.0,5642.0
B09VP56SXC,Body Talcum Powders,34.0,39.0
B00G4UCAD0,Beauty,887.0,870.0
B00G4UCAD0,Body Talcum Powders,5.0,4.0
B003GSPFFI,Beauty,2871.0,1945.0
B003GSPFFI,Body Talcum Powders,22.0,14.0
B09TVSSP42,Beauty,62991.0,51272.0
B09TVSSP42,Body Talcum Powders,248.0,210.0
B00I4S8A6Q,Beauty,18295.0,58298.0
B00I4S8A6Q,Body Talcum Powders,104.0,234.0
B00UYGD30Y,Beauty,49825.0,42622.0
B00UYGD30Y,Body Talcum Powders,205.0,174.0
B01ET71W2E,Beauty,9079.0,14403.0
B01ET71W2E,Body Talcum Powders,59.0,79.0
B07RFHQ37N,Beauty,428215.0,427884.0
B07RFHQ37N,Body Talcum Powders,1014.0,1020.0
B09YDKT7CS,Beauty,4562.0,4007.0
B09YDKT7CS,Body Talcum Powders,36.0,31.0
B08DHCKTCC,Beauty,32227.0,37451.0
B08DHCKTCC,Body Talcum Powders,150.0,158.0
B07NYJH97S,Beauty,111326.0,103688.0
B07NYJH97S,Body Talcum Powders,398.0,376.0
B086KJ9CBK,Beauty,115641.0,111353.0
B086KJ9CBK,Body Talcum Powders,407.0,400.0
B015FMVPGK,Beauty,52878.0,36801.0
B015FMVPGK,Body Talcum Powders,220.0,155.0
B01NB0YHKG,Beauty,2966.0,3461.0
B01NB0YHKG,Body Talcum Powders,24.0,28.0
B00DRE06NM,Beauty,1249.0,1278.0
B00DRE06NM,Body Talcum Powders,9.0,9.0
B09B9K4RW6,Beauty,6898.0,5838.0
B09B9K4RW6,Body Talcum Powders,45.0,40.0
B06X3QZPJX,Beauty,2077.0,2048.0
B06X3QZPJX,Body Talcum Powders,16.0,18.0
B01CNRSA3Q,Beauty,87930.0,87255.0
B01CNRSA3Q,Body Talcum Powders,323.0,324.0
B00E63DZ7M,Beauty,278152.0,276113.0
B00E63DZ7M,Body Talcum Powders,775.0,778.0
B077KB116K,Beauty,131179.0,128084.0
B077KB116K,Body Talcum Powders,454.0,449.0
B00YXYZ6QM,Beauty,189020.0,188128.0
B00YXYZ6QM,Body Talcum Powders,583.0,585.0
B07BHPMQCX,Beauty,57126.0,41505.0
B07BHPMQCX,Body Talcum Powders,230.0,165.0
B07856VTPV,Beauty,114053.0,112905.0
B07856VTPV,Body Talcum Powders,405.0,403.0
B08Y8LLSXB,Beauty,71080.0,59660.0
B08Y8LLSXB,Body Talcum Powders,273.0,235.0
B091N5XQ88,Beauty,9829.0,9217.0
B091N5XQ88,Body Talcum Powders,56.0,58.0
B00MUKR09M,Beauty,2437.0,3595.0
B00MUKR09M,Body Talcum Powders,21.0,28.0
B07NJVMYZQ,Beauty,36412.0,45829.0
B07NJVMYZQ,Body Talcum Powders,161.0,186.0
B07NJVMYZQ,Solid Soap Bars,1566.0,2026.0
B07VN7SCFM,Beauty,22163.0,37629.0
B07VN7SCFM,Body Talcum Powders,117.0,160.0
B09VGSLZSY,Beauty,17044.0,17488.0
B09VGSLZSY,Body Talcum Powders,93.0,93.0
B07HW1RKDR,Beauty,228381.0,228039.0
B07HW1RKDR,Body Talcum Powders,689.0,687.0
B082JN1FZC,Beauty,1872.0,1976.0
B082JN1FZC,Body Talcum Powders,15.0,16.0
B09JNVTSH2,Beauty,94731.0,90645.0
B09JNVTSH2,Body Talcum Powders,344.0,334.0
B09Y2BTGC2,Beauty,237965.0,234947.0
B09Y2BTGC2,Body Talcum Powders,697.0,698.0
B09YHZN2K3,Beauty,40576.0,50746.0
B09YHZN2K3,Body Talcum Powders,184.0,207.0
B008KH3VLK,Beauty,98910.0,97736.0
B008KH3VLK,Body Talcum Powders,352.0,358.0
B00DRE2ZNG,Beauty,3197.0,3334.0
B00DRE2ZNG,Body Talcum Powders,26.0,27.0
B06XZN4YGL,Beauty,103236.0,101460.0
B06XZN4YGL,Body Talcum Powders,373.0,369.0
B077H177YP,Beauty,7837.0,12491.0
B077H177YP,Body Talcum Powders,53.0,70.0
B08MTNQ7QR,Beauty,147763.0,143767.0
B08MTNQ7QR,Body Talcum Powders,497.0,489.0
B07CB6SSJZ,Beauty,95961.0,94622.0
B07CB6SSJZ,Body Talcum Powders,348.0,348.0
B09YDKYTVW,Beauty,7454.0,8762.0
B09YDKYTVW,Body Talcum Powders,47.0,51.0
B008KH3W3C,Beauty,106361.0,106091.0
B008KH3W3C,Body Talcum Powders,383.0,383.0
B08HHXQ6WV,Beauty,11941.0,19988.0
B08HHXQ6WV,Body Talcum Powders,72.0,101.0
B00546YWD6,Beauty,32515.0,12706.0
B00546YWD6,Body Talcum Powders,153.0,76.0
B08YKGP8WF,Beauty,1151.0,1380.0
B08YKGP8WF,Body Talcum Powders,7.0,9.0
B08YKGP8WF,Lip Balms,30.0,36.0
B07PYC3F76,Beauty,69406.0,48585.0
B07PYC3F76,Body Talcum Powders,266.0,199.0
B08YKJ4HJH,Beauty,1151.0,1380.0
B08YKJ4HJH,Body Talcum Powders,7.0,9.0
B08YKJ4HJH,Lip Balms,30.0,36.0
B08Z33GN88,Beauty,16468.0,15884.0
B08Z33GN88,Face Pack,276.0,242.0
B00I4S88K4,Beauty,26139.0,16449.0
B00I4S88K4,Compact Powder,167.0,101.0
