ASIN,Date,Category,BSR,Last Known BSR
B00N5K46NO,2022-11-08,Beauty,3252.0,
B00N5K46NO,2022-11-09,Beauty,2827.0,3252.0
B00N5K46NO,2022-11-10,Beauty,3001.0,2827.0
B00N5K46NO,2022-11-11,Beauty,3233.0,3001.0
B00N5K46NO,2022-11-08,Body Talcum Powders,24.0,
B00N5K46NO,2022-11-09,Body Talcum Powders,24.0,24.0
B00N5K46NO,2022-11-10,Body Talcum Powders,25.0,24.0
B00N5K46NO,2022-11-11,Body Talcum Powders,27.0,25.0
B00JJGW4M8,2022-11-08,Beauty,805.0,
B00JJGW4M8,2022-11-09,Beauty,782.0,805.0
B00JJGW4M8,2022-11-10,Beauty,700.0,782.0
B00JJGW4M8,2022-11-11,Beauty,801.0,700.0
B00JJGW4M8,2022-11-08,Body Talcum Powders,3.0,
B00JJGW4M8,2022-11-09,Body Talcum Powders,3.0,3.0
B00JJGW4M8,2022-11-10,Body Talcum Powders,3.0,3.0
B00JJGW4M8,2022-11-11,Body Talcum Powders,3.0,3.0
B07DJNX6JH,2022-11-08,Beauty,4403.0,
B07DJNX6JH,2022-11-09,Beauty,4410.0,4403.0
B07DJNX6JH,2022-11-10,Beauty,6597.0,4410.0
B07DJNX6JH,2022-11-11,Beauty,5779.0,6597.0
B07DJNX6JH,2022-11-08,Body Talcum Powders,36.0,
B07DJNX6JH,2022-11-09,Body Talcum Powders,33.0,36.0
B07DJNX6JH,2022-11-10,Body Talcum Powders,46.0,33.0
B07DJNX6JH,2022-11-11,Body Talcum Powders,42.0,46.0
B0050QW3H2,2022-11-08,Beauty,4140.0,
B0050QW3H2,2022-11-09,Beauty,3254.0,4140.0
B0050QW3H2,2022-11-10,Beauty,3844.0,3254.0
B0050QW3H2,2022-11-11,Beauty,4096.0,3844.0
B0050QW3H2,2022-11-08,Body Talcum Powders,32.0,
B0050QW3H2,2022-11-09,Body Talcum Powders,27.0,32.0
B0050QW3H2,2022-11-10,Body Talcum Powders,29.0,27.0
