ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B00N5K46NO,"Godrej Cinthol Original Talc, 300g",Cinthol,160,27,1218,4.5,NA,NA,160,160,25,50,Fulfilled,1,Talcum Powders,
B00JJGW4M8,"NIVEA Talcum Powder for Men & Women, Musk, For Gentle Fragrance & Reliable Protection Against Body Odour, 400 g",Nivea,224,3,9526,4.3,NA,NA,249,224,3,81,Fulfilled,1,Talcum Powders,
B07DJNX6JH,"Candid Activ Sweat Control Talc, 100 g (Pack of 2), White",Candid,208.6,42,546,4.1,NA,NA,298,208.6,46,38,Fulfilled,1,Talcum Powders,
B0050QW3H2,"NIVEA Talcum Powder for Men & Women, Musk, For Gentle Fragrance & Reliable Protection Against Body Odour, 100 g",Nivea,90,31,1241,4.2,NA,NA,99,90,29,47,Fulfilled,1,Talcum Powders,
B01N3C4SYM,"Yardley London Morning Dew Perfumed Talc for Women, 250g powder",Yardley,196,4,5134,4.4,NA,NA,230,196,6,79,Fulfilled,1,Talcum Powders,
B07BDNBD5F,"Nycil Cool Herbal, 150g + Free Glucon-D Orange 100g",Heing,130,420,39,4.2,NA,NA,130,130,424,13,NA,1,Talcum Powders,
B00N5K47H4,Godrej Cinthol Lime Talcum Powder (300g) | Superior Germ Protection | Insta Deo Fragrance,Cinthol,160,14,3544,4.4,NA,NA,160,160,19,62,Fulfilled,1,Talcum Powders,
B07D215X2T,Nycil Cool Gulabjal Prickly Heat Powder 150g + 50g Nycil Powder Worth Rs 37/- (Any Variant) Free,Neelawala,130,227,6,4.3,NA,NA,130,130,160,18,NA,1,Talcum Powders,
B086KMYNLY,"Nycil Cool Lime Prickly Heat Talcum Powder, 150 g",Nycil,169,95,7,4.5,NA,NA,170,169,94,25,NA,1,Talcum Powders,
B00KENRWH2,"Enchanteur Romantic Perfumed Talc for Women, 250g with Roses & Jasmine Extracts",Enchanteur,231,5,5219,4.4,NA,NA,285,220,4,76,Fulfilled,1,Talcum Powders,
B00CQ40O90,"POND'S Magic Acacia Honey Fragrance Talcum Powder 400 g, Cooling Fresh Talc for Face & Body - For Men & Women",Pond'S,277,6,3515,4.4,NA,NA,365,306,10,74,Fulfilled,1,Talcum Powders,
B00CQ414LW,"POND'S Dreamflower Fragrant Talcum Powder, Pink Lily, 400 g",Pond'S,279,1,9194,4.4,NA,NA,340,279,2,88,Fulfilled,1,Talcum Powders,
B07G2QYWLP,"Shower To Shower Prickly Heat Powder, Mint, 150g",Shower To Shower,105,62,425,4.4,NA,NA,110,105,65,34,NA,1,Talcum Powders,
B006LXD6C4,Axe Signature Denim Cologne Talc 300 g,Axe,147,,4353,4.3,NA,NA,185,147,,,NA,1,Talcum Powders,
B00FX03IBK,"Premium Beauty Talc, 300g (Buy 1 Get 1 Free)",Premium,185,23,437,4.1,NA,NA,185,185,26,52,Fulfilled,1,Talcum Powders,
B091PWH27F,Beautisoul Sweet Pea Talcum Powder 300 gm | IFRA Certified Fragrance | Made in India | Body Talcum Powder for Summer |,Beautisoul,169,279,25,3.7,NA,NA,199,169,272,16,NA,1,Talcum Powders,
B00FQH5H6O,"NIVEA Talcum Powder for Men & Women, Pure, For Gentle Fragrance & Reliable Protection Against Body Odour, 400 g",Nivea,224,13,5258,4.3,NA,NA,249,223,11,59,Fulfilled,1,Talcum Powders,
B091N6KRVY,Beautisoul Cherry Blossom Talcum Powder 300 gm | Talcum powder for Women | Refreshing Body Talc for Daily Use,Beautisoul,159,219,94,4.1,NA,NA,199,159,200,18,NA,1,Talcum Powders,
B008KH3VUG,"Dermicool Menthol Regular Prickly Heat Powder – 150g (Pack of 2) | Dettol Cool Soap 125g Free | Cooling relief from prickly heat, burning & itching of skin",Dermicool,188,152,634,4.2,NA,NA,250,188,136,23,NA,1,Solid Soap Bars,
B08YKC89XD,"Candid Prickly Heat Powder 120g with Natural ingredients like menthol,neem etc(Pack of 2), White",Candid Prickly,182.16,7,4269,4.3,NA,NA,198,182.16,9,72,Fulfilled,1,Talcum Powders,
B00YXYZWQ6,"Golden Beauty Alpine Dew Talc, 400g (Buy one get one)",Golden Beauty,,42,1300,4.1,NA,NA,,,29,38,NA,0.25,Talcum Powders,
B08WRR7VTQ,"Nycil Germ Expert Prickly Heat Powder, 150gm+50gm, Assorted Fragrances (Cool Herbal)",Nycil,83,64,424,4.3,NA,NA,130,83,106,34,NA,1,Talcum Powders,
B002ZVK88G,"Mysore Sandal Talc, 300g",Mysore,125,57,2039,4.2,NA,NA,125,125,66,34,NA,1,Talcum Powders,
B00UYGK1FY,Nycil Cool Herbal Prickly Heat Powder - Pack of 2,Nycil,230,90,42,4.4,NA,NA,260,230,109,24,NA,1,Talcum Powders,
B08H5WBH1Y,"Nycil Germ Expert Cool Sandal Prickly Heat Powder, Pack of 150 gm",Nycil,125,126,112,4.3,NA,NA,130,130,173,25,NA,1,Talcum Powders,
B09WDB671J,Beardo Ice Blast Talc powder for men | INSTANT ICY COOLING Talcum Powder Men | Combat heat with Menthol 250g,Beardo,230,49,340,4.2,NA,NA,250,230,57,32,Fulfilled,1,Talcum Powders,
B00YXZ1B4W,"BoroPlus Talc Prickly Heat Ice Cool Powder, 150g + 35g Extra",Boroplus,120,54,457,4.2,NA,NA,120,120,50,34,Fulfilled,1,Talcum Powders,
B00CRDO2GQ,"POND'S Sandal Radiance Talcum Powder, Natural Sunscreen, 300 g",Pond'S,288,18,2106,4.3,NA,NA,350,350,28,55,Fulfilled,1,Talcum Powders,
B01412WVSG,"Navratna Cool Mint Fresh Talc | Instant Sweat Absorption and Cooling Effect |Body Odour Protection | Long Lasting Freshness and Fragrance, 400gm",Navratna,221,85,1205,4.3,NA,NA,230,221,122,25,NA,1,Talcum Powders,
B09JWWJVDZ,Cipla Clocip Antifungal Powder 100gm (Pack of 2),Cipla,214,10,509,4.4,NA,NA,238,214,10,67,Fulfilled,1,Talcum Powders,
