ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B00N5K46NO,2022-11-08,160.0,,24.0,,66.0,1.0
B00N5K46NO,2022-11-09,160.0,160.0,24.0,24.0,66.0,1.0
B00N5K46NO,2022-11-10,160.0,160.0,25.0,24.0,66.0,1.0
B00N5K46NO,2022-11-11,160.0,160.0,27.0,25.0,63.0,1.0
B00JJGW4M8,2022-11-08,245.0,,3.0,,102.0,1.0
B00JJGW4M8,2022-11-09,224.0,245.0,3.0,3.0,102.0,1.0
B00JJGW4M8,2022-11-10,224.0,224.0,3.0,3.0,102.0,1.0
B00JJGW4M8,2022-11-11,224.0,224.0,3.0,3.0,102.0,1.0
B07DJNX6JH,2022-11-08,209.0,,46.0,,43.0,1.0
B07DJNX6JH,2022-11-09,209.0,209.0,33.0,46.0,58.0,1.0
B07DJNX6JH,2022-11-10,209.0,209.0,46.0,33.0,43.0,1.0
B07DJNX6JH,2022-11-11,209.0,209.0,42.0,46.0,48.0,1.0
B0050QW3H2,2022-11-08,99.0,,32.0,,59.0,1.0
B0050QW3H2,2022-11-09,90.0,99.0,27.0,32.0,64.0,1.0
B0050QW3H2,2022-11-10,90.0,90.0,29.0,27.0,64.0,1.0
B0050QW3H2,2022-11-11,90.0,90.0,31.0,29.0,59.0,1.0
B01N3C4SYM,2022-11-08,205.0,,8.0,,88.0,1.0
B01N3C4SYM,2022-11-09,205.0,205.0,6.0,8.0,93.0,1.0
B01N3C4SYM,2022-11-10,196.0,205.0,6.0,6.0,93.0,1.0
B01N3C4SYM,2022-11-11,196.0,196.0,4.0,6.0,99.0,1.0
B07BDNBD5F,2022-11-08,130.0,,434.0,,17.0,1.0
B07BDNBD5F,2022-11-09,130.0,130.0,424.0,434.0,17.0,1.0
B07BDNBD5F,2022-11-10,130.0,130.0,424.0,424.0,17.0,1.0
B07BDNBD5F,2022-11-11,130.0,130.0,420.0,424.0,17.0,1.0
B00N5K47H4,2022-11-08,160.0,,14.0,,78.0,1.0
B00N5K47H4,2022-11-09,160.0,160.0,16.0,14.0,78.0,1.0
B00N5K47H4,2022-11-10,160.0,160.0,19.0,16.0,75.0,1.0
B00N5K47H4,2022-11-11,160.0,160.0,14.0,19.0,78.0,1.0
B07D215X2T,2022-11-08,130.0,,360.0,,19.0,1.0
B07D215X2T,2022-11-09,130.0,130.0,360.0,360.0,19.0,1.0
B07D215X2T,2022-11-10,130.0,130.0,160.0,360.0,29.0,1.0
B07D215X2T,2022-11-11,130.0,130.0,227.0,160.0,23.0,1.0
B086KMYNLY,2022-11-08,169.0,,187.0,,27.0,1.0
B086KMYNLY,2022-11-09,169.0,169.0,94.0,187.0,32.0,1.0
B086KMYNLY,2022-11-10,169.0,169.0,120.0,94.0,33.0,1.0
B086KMYNLY,2022-11-11,169.0,169.0,95.0,120.0,32.0,1.0
B00KENRWH2,2022-11-08,220.0,,5.0,,96.0,1.0
B00KENRWH2,2022-11-09,220.0,220.0,4.0,5.0,99.0,1.0
B00KENRWH2,2022-11-10,220.0,220.0,5.0,4.0,96.0,1.0
B00KENRWH2,2022-11-11,231.0,220.0,4.0,5.0,99.0,1.0
B00CQ40O90,2022-11-08,306.0,,10.0,,84.0,1.0
B00CQ40O90,2022-11-09,306.0,306.0,11.0,10.0,82.0,1.0
B00CQ40O90,2022-11-10,306.0,306.0,10.0,11.0,84.0,1.0
B00CQ40O90,2022-11-11,277.0,306.0,6.0,10.0,93.0,1.0
B00CQ414LW,2022-11-08,284.0,,2.0,,106.0,1.0
B00CQ414LW,2022-11-09,279.0,284.0,2.0,2.0,106.0,1.0
B00CQ414LW,2022-11-10,279.0,279.0,2.0,2.0,106.0,1.0
B00CQ414LW,2022-11-11,279.0,279.0,1.0,2.0,110.0,1.0
B07G2QYWLP,2022-11-08,105.0,,65.0,,43.0,1.0
B07G2QYWLP,2022-11-09,105.0,105.0,65.0,65.0,43.0,1.0
B07G2QYWLP,2022-11-10,105.0,105.0,64.0,65.0,43.0,1.0
B07G2QYWLP,2022-11-11,105.0,105.0,62.0,64.0,43.0,1.0
B006LXD6C4,2022-11-08,167.0,,,,,1.0
B006LXD6C4,2022-11-09,165.0,167.0,,,,1.0
B006LXD6C4,2022-11-10,147.0,165.0,,,,1.0
B006LXD6C4,2022-11-11,147.0,147.0,,,,1.0
B00FX03IBK,2022-11-08,185.0,,25.0,,66,1.0
B00FX03IBK,2022-11-09,185.0,185.0,30.0,25.0,58,1.0
B00FX03IBK,2022-11-10,185.0,185.0,26.0,30.0,66,1.0
B00FX03IBK,2022-11-11,185.0,185.0,23.0,26.0,66,1.0
B091PWH27F,2022-11-08,169.0,,259.0,,23,1.0
B091PWH27F,2022-11-09,169.0,169.0,266.0,259.0,22,1.0
B091PWH27F,2022-11-10,169.0,169.0,272.0,266.0,21,1.0
B091PWH27F,2022-11-11,169.0,169.0,279.0,272.0,21,1.0
B00FQH5H6O,2022-11-08,168.0,,14.0,,78,1.0
B00FQH5H6O,2022-11-09,224.0,168.0,13.0,14.0,74,1.0
B00FQH5H6O,2022-11-10,223.0,224.0,11.0,13.0,82,1.0
B00FQH5H6O,2022-11-11,224.0,223.0,13.0,11.0,74,1.0
B091N6KRVY,2022-11-08,159.0,,149.0,,29,1.0
B091N6KRVY,2022-11-09,159.0,159.0,168.0,149.0,22,1.0
B091N6KRVY,2022-11-10,159.0,159.0,200.0,168.0,23,1.0
B091N6KRVY,2022-11-11,159.0,159.0,219.0,200.0,23,1.0
B008KH3VUG,2022-11-08,248.0,,90.0,,31,1.0
B008KH3VUG,2022-11-09,248.0,248.0,128.0,90.0,33,1.0
B008KH3VUG,2022-11-10,188.0,248.0,136.0,128.0,30,1.0
B008KH3VUG,2022-11-11,188.0,188.0,152.0,136.0,29,1.0
B08YKC89XD,2022-11-08,182.0,,10.0,,84,1.0
B08YKC89XD,2022-11-09,182.0,182.0,7.0,10.0,90,1.0
B08YKC89XD,2022-11-10,182.0,182.0,9.0,7.0,86,1.0
B08YKC89XD,2022-11-11,182.0,182.0,7.0,9.0,90,1.0
B00YXYZWQ6,2022-11-08,240.0,,29.0,,61,1.0
B00YXYZWQ6,2022-11-09,240.0,240.0,29.0,29.0,61,0.0
