ASIN,Sentiment Score
B01NB0YHKG,3.0
B07DJNX6JH,3.6
B00JJGW4M8,3.8333333333333335
B00N5K46NO,4.25
B07BDNBD5F,1.0
B01N3C4SYM,3.6
B00CQ40O90,3.75
B0050QW3H2,2.6666666666666665
B07D215X2T,3.3333333333333335
B00CQ414LW,3.5
B086KMYNLY,4.5
B00N5K47H4,4.6
B08DHCKTCC,1.6666666666666667
B00KENRWH2,3.8333333333333335
B07G2QYWLP,3.6
B006LXD6C4,2.0
B00FX03IBK,3.0
B091PWH27F,4.333333333333333
B008KH3VUG,3.0
B00FQH5H6O,3.1666666666666665
B091N6KRVY,4.142857142857143
B08WRR7VTQ,3.857142857142857
B00YXYZWQ6,2.6
B002ZVK88G,3.75
B00UYGK1FY,3.6666666666666665
B09WDB671J,2.7142857142857144
B00YXZ1B4W,4.25
B015FMVPGK,4.0
B00DRE06NM,4.2
B00CRDO2GQ,2.4285714285714284
B01412WVSG,3.3333333333333335
B06X3QZPJX,4.666666666666667
B003GSPFFI,4.142857142857143
B00N5K48R8,3.3333333333333335
B09VP56SXC,3.5
B09JWWJVDZ,3.5714285714285716
B00G4UCAD0,2.0
B09TVSSP42,1.0
B09B9K4RW6,2.7142857142857144
B01ET71W2E,4.0
B09YDKT7CS,4.666666666666667
B01CNRSA3Q,2.6666666666666665
B091N5XQ88,4.4
B08YKGP8WF,4.0
B09VGSLZSY,3.0
B07NJVMYZQ,5.0
B00MUKR09M,3.75
B09YHZN2K3,5.0
B00DRE2ZNG,4.0
B008KH3W3C,2.5
B008KH3VLK,3.0
B082JN1FZC,1.1666666666666667
B00546YWD6,3.5
B09JNVTSH2,5.0
B07CB6SSJZ,4.0
B06XZN4YGL,2.25
B077H177YP,3.25
B00I4S88K4,2.6
B08Z33GN88,4.0
B08YKC89XD,4.0
B08H5WBH1Y,1.0
B00UYGD30Y,1.0
B07PYC3F76,1.5
B08YKJ4HJH,4.0
B00I4S8A6Q,3.0
B07VN7SCFM,3.5
