ASIN,Question,Answer,Votes,Date
B01NB0YHKG,What kind of fragrance does it have?,Good fragrance,0,15-09-2021
B01NB0YHKG,Is this face powder for all,"Yes, except babies.",0,16-06-2020
B00JJGW4M8,Kya face par use kar sakte hai,"Yes why not, it is a talcum powder",0,17-03-2022
B00JJGW4M8,"Its shows 31 may 21, is it already expired","You may get new one, if order now",0,17-03-2022
B00JJGW4M8,Nivea Musk Talc old stock?,They deliver new/fresh products.,0,21-01-2022
B00JJGW4M8,What is the expiry date,06/23,0,21-01-2022
B00JJGW4M8,What is expiry date,08/05/2022,0,25-10-2021
B00JJGW4M8,Expiry date elapsed.. best before shows 31May2021 and today is 30Aug2021.. andd it's not returnable. Why?,Product was Good.,0,02-09-2021
B00JJGW4M8,This product pure natural?,This is pure product.i use last five years and no issues regarding quality.,0,10-07-2021
B00JJGW4M8,May i clearance about  the date of manufacture and expiry date month year,Quality is not good,0,29-06-2021
B00JJGW4M8,What will be mfg & exp date of product if i order today from primenow - hypercity malad,Good Product,0,28-04-2021
B00JJGW4M8,what is the expiry date,Expiry date- 2-2023,0,23-04-2021
B07DJNX6JH,Expires on which date?,2021,0,05-03-2020
B07DJNX6JH,Can this be used on  Balls / Groin area,Yed,0,08-02-2020
B07DJNX6JH,Is it liquid or powder?,Powder,0,23-10-2019
B07DJNX6JH,Is this is original candid powder ?,Not sure bcz smells are not felling like before I used candid buy through market,0,11-10-2019
B07DJNX6JH,Can it be used on scalp?,I think no.,0,07-09-2019
B07DJNX6JH,Deliver charges?,No Delivery Charge,0,23-10-2019
B07DJNX6JH,Can i use it on my back,Yes you can use it,0,08-07-2019
B07DJNX6JH,"I didn't get 5 products ,i ordered on 20th june 2019. When i get my orders?",Please go for Cancel to all unreachad Product.I already facing same problem in flipkart.And no any currect answer in customer care excutive.Other vise Wait & Watch# Jai Shri Ram #see less,0,23-10-2019
B07DJNX6JH,can it be used for baby,"Not sure about that, probable not",0,28-06-2019
B07DJNX6JH,can it be used for under thigh,Its exactly for that pyrpose,0,28-06-2019
B0050QW3H2,What is difference between mask talc and pure talc?,Musk talc has very light Musk fragrance,0,30-09-2022
B0050QW3H2,What is the expiry date?,Exactly 2 years. But remember it is talcum powder always safe.,0,24-04-2021
B0050QW3H2,can i use this for pubg match?,"(1) Please clarify ,about how you would like to use  this personal talc of the human body in the match .(2) It's OK for Carrom Board match .,to spray the talc on  the board for coins to move smoothely on the board.(3) If the customer can explain his need & proposed mode of use of this talc in his pubg match , I can really help him out .(4) I wait for the reply from this customer .see less",0,27-08-2020
B0050QW3H2,Is the bottle refillable once empty?,No,0,06-03-2020
B0050QW3H2,Is this nivea talc contain mint...?,No,0,27-04-2019
B0050QW3H2,Can we use it on face?,yes,0,23-06-2016
B0050QW3H2,What are the manufacturing and expiry dates of this product,mfg date is 07/2015and exp date is 06/2017 respectivaly.,0,26-01-2016
B00N5K46NO,What is the expire date of the product,Use before 24 months from Pkd,0,15-08-2019
B00N5K46NO,Can it absorbs sweat,"Yeah it helps absorb sweat, keeping the area free from body odour.",0,30-07-2019
B00N5K46NO,When you add this item to amazon prime?,Yes this item is amazon prime,0,15-08-2019
B00N5K46NO,Add this to amazon prime.,Yes add this to amazon prime,0,15-08-2019
B00N5K46NO,Delivery charges so high,Yes delivery charges to high,0,15-08-2019
B00N5K46NO,Is it for men,Its for all,0,20-09-2018
B00N5K46NO,can i get two at a time ?,Not one at a time,0,15-08-2019
B00N5K46NO,Is it for summers?,Yes it is summers,0,15-08-2019
B00N5K46NO,what is the manufacturing and expiry date?,Packed Date: May 2017//Expiry: 24 months from packed date,0,02-12-2017
B00N5K46NO,can we use it for face?????,You can use a pretty light amount as it is not a face powder or else your face will look caky. Generous amount of this talc on face is completely okay:),0,02-11-2016
B07BDNBD5F,This product is available for bijapur .,Yes,0,17-11-2019
B00N5K47H4,Expiry date,Cinthol Talc is best before 24 months from the date of manufacturing.,0,31-03-2022
B00N5K47H4,Can be cooled as much Navratna powder?,Cinthol Lime Talc keeps you feeling fresh and energized all day. It also provides protection from perspiration.,0,15-06-2021
B00N5K47H4,can i use it on face?,Yes but no so much only little,0,07-10-2019
B00N5K47H4,Expiry date,No expiry date,0,16-08-2019
B00N5K47H4,It is  spray,"No, it is not a spray. It is talcum powder.",0,30-04-2019
B00N5K47H4,Women also use or not,Can be used by women.,0,19-03-2018
B00N5K47H4,Does it smells the same like cinthol lemon fresh soap ? What abput the fragrance is it strong nd longlasting?  Its original product?,The fragrance is strong and longlasting.,0,30-04-2019
B01N3C4SYM,Gentleman or morning dew which one is better ?,"About gentleman i don't know, but morning dew is awesome! I love it!",0,25-09-2022
B01N3C4SYM,will you deliver it to kolkata?,Yes we will deliver to any part of India.,0,12-09-2022
B01N3C4SYM,"Why does it contain the banned, cancer causing chemical - triclosan?",Smoothie and ever last freshness,0,26-09-2022
B01N3C4SYM,Mujhe 1 hi quentity cheye lakin 5 quentity dikha raha hai,5 is the total quantity displaced in my inventory. You can order 1 pc,0,27-04-2022
B01N3C4SYM,Expirrd date powder,Expiry date is 10/2024,0,11-01-2022
B01N3C4SYM,why am I not allowed to buy Yardley talcum powder?,I have been buying it for years and love it!,0,26-09-2022
B01N3C4SYM,I have ordered this product on 28 july 2020 today is 20 august 2020 but up to now i will not get this product. What can i do?,"Have patience,it will reach sooner or later.",0,31-08-2020
B01N3C4SYM,Is it Sweat control as well,Yes,0,27-07-2020
B01N3C4SYM,can this be used for kids of 10yr,Yes,0,25-10-2019
B01N3C4SYM,It is for oily skin,No,0,19-10-2019
B00CQ40O90,Can it be used as a body massage powder?,Good 👍,0,21-06-2022
B00CQ40O90,Its original rate is 280 how can you cheat?,Good,0,21-06-2022
B00CQ40O90,What is the expiry date?,Last day of the best before month available on product page of Amazon is the expiery date,-1,31-10-2020
B00CQ40O90,Expired date not found,Search best before in concerned page of Amazon app,0,31-10-2020
B00CQ40O90,What is shipping cost????,To be mentioned at the time of billing before purchase. May be free or may be charged.,0,31-10-2020
B00CQ40O90,Pay on delever,Whether it is available or not is mentioned in concerned page of product.,0,31-10-2020
B00CQ40O90,Can we apply to face,Better to avoid.,0,28-05-2019
B00CQ40O90,Manufacturing date of the product,goood,0,05-07-2019
B00CQ40O90,Expire date,Given on the bottom of the pack. Mine was 8/20 purchased about 4-5 months back,0,10-03-2019
B00CQ40O90,Expire date,Best before date is expiery date. Chect product page,0,31-10-2020
B00CQ414LW,Expired  date,"Duplicate ponds powder because no smooth,different colour damage .Money waste dont refund my money. give me a check .No converted money.i suggest original ponds powder purchase local shop.",0,18-09-2022
B00CQ414LW,I want to buy small packs of all fragrances is it possible?,Don't buy,0,18-09-2022
B00CQ414LW,Is this non comedogenic,Expired powder or damage dont no my money no refund.,0,18-09-2022
B00CQ414LW,Why mint is added in this new and improved version.  It’s now a prickly heat powder.  I have an allergy to,No use no allergy,0,18-09-2022
B00CQ414LW,Whats the expiry date,25/1/24,0,28-04-2022
B00CQ414LW,Why is cost of ponds 200gm pack more (210 rs) and 400 gm pack less (280 rs) ?,280,0,18-09-2022
B00CQ414LW,Expiry date where,I see expire date long time powder damage.,0,18-09-2022
B00CQ414LW,This is talc less powder,No it is an excellent product.,0,30-06-2021
B00CQ414LW,Does it contain sulphate or paraben or harmful chemicals ?,no,0,30-06-2021
B00CQ414LW,Ponds talc 400gm face wach free,No,0,03-05-2021
B006LXD6C4,What is expiry date in prsent,"Dear frnd, Cheating is Amazon's habbit, they supply this item after expiry date. Exp. Date is 02/21. By the way this brand of powder is my favourite and using it for long time.",0,17-08-2021
B006LXD6C4,Expiry date of this product?,Fully used & emptied box a week ago. Pl,0,10-05-2021
B006LXD6C4,Can we apply it on face also,I am using on Face also,0,27-03-2021
B006LXD6C4,Mfd and expiry date,Thank you for choosing our product. The manufacturing date of Axe Signature Denim Cologne Talc is mentioned at the back of the pack and is best before 24 months from the date of packaging.,0,08-08-2020
B006LXD6C4,Its expiry date is somewhere in 2019?,"No, it's July 2021",0,26-06-2020
B006LXD6C4,Why have I received a damaged bottle the powder is coming out and someone had tampered the product very bad product ... refund the amount back,"May be that particular bottle was damaged, ask for replacement.",0,26-06-2020
B006LXD6C4,expiry date of this product?,Thank you for choosing our product. The expiry date of Axe Signature Denim Cologne Talc is 24 months from the date of packaging.,0,08-07-2020
B006LXD6C4,Why to purchase two at a time? Is it old stock?,"Users are more, so daily usage is extra.a",0,26-06-2020
B006LXD6C4,Mfd and Expiry date....,03/19,0,08-03-2020
B006LXD6C4,Mfd and Expiry date,Thank you for choosing our product. The manufacture date of Axe Signature Denim Cologne Talc is mentioned at the back of the pack and it is best before 24 months from the date of packaging.,0,02-07-2020
