ASIN,username,rating,title,date,country,helpful,description,keyword,importance,sentiment_score,magnitude,aspect
B09YHZN2K3,tahir husain,5.0 out of 5 stars,Effective for itching n summer sweat problem,01/10/2022 00:00,India 🇮🇳,,This product more effective for body heat or sweat itching,product,0.632044017,0.400000006,0.400000006,Quality
B09YHZN2K3,tahir husain,5.0 out of 5 stars,Effective for itching n summer sweat problem,01/10/2022 00:00,India 🇮🇳,,This product more effective for body heat or sweat itching,body heat,0.207165882,0.200000003,0.200000003,Quality
B09YHZN2K3,tahir husain,5.0 out of 5 stars,Effective for itching n summer sweat problem,01/10/2022 00:00,India 🇮🇳,,This product more effective for body heat or sweat itching,sweat,0.16079013,0.200000003,0.200000003,
B09YDKT7CS,Abuzer Shaikh,4.0 out of 5 stars,Nice,17/09/2022 00:00,India,,Ye ls I like this product,Ye ls,0.528186679,0.699999988,0.699999988,
B09YDKT7CS,Anil,5.0 out of 5 stars,Very good quality,04/09/2022 00:00,India,,Good fragrance and good germicide property.,fragrance,0.798308611,0.899999976,0.899999976,Fragrance
B09YDKT7CS,rakesh upadhyaya xxx,5.0 out of 5 stars,Very effective and superb. Perfect choice for summer.,13/06/2022 00:00,India,,Very effective. Best in market,market,1,0.899999976,0.899999976,
B09YDKT7CS,Anil,5.0 out of 5 stars,Very good quality,04/09/2022 00:00,India,,Good fragrance and good germicide property.,germicide property,0.201691359,0.899999976,0.899999976,
B09YDKT7CS,Abuzer Shaikh,4.0 out of 5 stars,Nice,17/09/2022 00:00,India,,Ye ls I like this product,product,0.471813321,0.800000012,0.800000012,Quality
B09WDB671J,Prashant,5.0 out of 5 stars,Air conditioner in a bottle,11/09/2022 00:00,India,,"Has a cool fragrance and as soon as you apply this, it feels like you are lying in an ice slab (in a comforting way).",ice slab,0.051279236,0.400000006,0.400000006,
B09WDB671J,Prashant,5.0 out of 5 stars,Air conditioner in a bottle,11/09/2022 00:00,India,,"Has a cool fragrance and as soon as you apply this, it feels like you are lying in an ice slab (in a comforting way).",way,0.080908068,0.400000006,0.400000006,
B09WDB671J,Prashant,5.0 out of 5 stars,Air conditioner in a bottle,11/09/2022 00:00,India,,"Has a cool fragrance and as soon as you apply this, it feels like you are lying in an ice slab (in a comforting way).",fragrance,0.867812693,0.400000006,0.899999976,Fragrance
B09WDB671J,KARTHIK,5.0 out of 5 stars,Best powder ever,27/08/2022 00:00,India,,"Its really cool and the scent is perfect! I always feel it'll get over, but I'm using 1 bottle for over 2-3 months now!!",bottle,0.085879296,0,0,Quantity
B09WDB671J,Chaitali Bhattacharjee,1.0 out of 5 stars,Damage product,15/08/2022 00:00,India,,Please refund me queckly because this product totally damage product and till the i cant any remedy so please return the product and send me the money which i can invest for this product,money,0.484662443,-0.600000024,1.299999952,Pricing
B09WDB671J,Sndeep,1.0 out of 5 stars,worst... don't buy...,14/07/2022 00:00,India,,"this is totally worst... scent is not good, not even long lasting, smell will be there for half hour only, may be less, not cold also, navratna cool talc is way better than this. don't buy this, they just focusing on marketing, product quality is so poor.",scent,0.576345921,-0.5,0.5,Fragrance
B09WDB671J,ashwin,1.0 out of 5 stars,Not good product cooling is not impressive.,06/09/2022 00:00,India,,Not good product cooling is not impressive.,product cooling,1,-0.800000012,0.800000012,Performance
B09WDB671J,Chaitali Bhattacharjee,1.0 out of 5 stars,Damage product,15/08/2022 00:00,India,,Please refund me queckly because this product totally damage product and till the i cant any remedy so please return the product and send me the money which i can invest for this product,product,0.142830208,-0.5,0.5,Quality
B09WDB671J,Chaitali Bhattacharjee,1.0 out of 5 stars,Damage product,15/08/2022 00:00,India,,Please refund me queckly because this product totally damage product and till the i cant any remedy so please return the product and send me the money which i can invest for this product,remedy,0.116491534,-0.400000006,0.400000006,
B09WDB671J,Chaitali Bhattacharjee,1.0 out of 5 stars,Damage product,15/08/2022 00:00,India,,Please refund me queckly because this product totally damage product and till the i cant any remedy so please return the product and send me the money which i can invest for this product,i,0.075637013,-0.600000024,0.600000024,
B09WDB671J,Chaitali Bhattacharjee,1.0 out of 5 stars,Damage product,15/08/2022 00:00,India,,Please refund me queckly because this product totally damage product and till the i cant any remedy so please return the product and send me the money which i can invest for this product,damage product,0.069629304,-0.5,0.5,Service
B09WDB671J,Chaitali Bhattacharjee,1.0 out of 5 stars,Damage product,15/08/2022 00:00,India,,Please refund me queckly because this product totally damage product and till the i cant any remedy so please return the product and send me the money which i can invest for this product,product,0.060976267,-0.600000024,0.600000024,Quality
B09WDB671J,Chaitali Bhattacharjee,1.0 out of 5 stars,Damage product,15/08/2022 00:00,India,,Please refund me queckly because this product totally damage product and till the i cant any remedy so please return the product and send me the money which i can invest for this product,product,0.049773239,-0.600000024,0.600000024,Quality
B09WDB671J,Sndeep,1.0 out of 5 stars,worst... don't buy...,14/07/2022 00:00,India,,"this is totally worst... scent is not good, not even long lasting, smell will be there for half hour only, may be less, not cold also, navratna cool talc is way better than this. don't buy this, they just focusing on marketing, product quality is so poor.",marketing,0.049344394,-0.5,0.5,
B09WDB671J,Sndeep,1.0 out of 5 stars,worst... don't buy...,14/07/2022 00:00,India,,"this is totally worst... scent is not good, not even long lasting, smell will be there for half hour only, may be less, not cold also, navratna cool talc is way better than this. don't buy this, they just focusing on marketing, product quality is so poor.",smell,0.174095899,-0.5,0.5,Fragrance
B09WDB671J,Sndeep,1.0 out of 5 stars,worst... don't buy...,14/07/2022 00:00,India,,"this is totally worst... scent is not good, not even long lasting, smell will be there for half hour only, may be less, not cold also, navratna cool talc is way better than this. don't buy this, they just focusing on marketing, product quality is so poor.",talc,0.158582151,-0.5,0.5,
B09WDB671J,KARTHIK,5.0 out of 5 stars,Best powder ever,27/08/2022 00:00,India,,"Its really cool and the scent is perfect! I always feel it'll get over, but I'm using 1 bottle for over 2-3 months now!!",scent,0.914120734,0.899999976,0.899999976,Fragrance
B09WDB671J,Sndeep,1.0 out of 5 stars,worst... don't buy...,14/07/2022 00:00,India,,"this is totally worst... scent is not good, not even long lasting, smell will be there for half hour only, may be less, not cold also, navratna cool talc is way better than this. don't buy this, they just focusing on marketing, product quality is so poor.",product quality,0.041631646,-0.5,0.5,Quality
B09WDB671J,Maggot 1892,4.0 out of 5 stars,Fresh to the core.,13/07/2022 00:00,India,,I have trusted the brand for sometime now. This is the first time I have bought a talcum powder from them and I am satisfied with the product. It really does have a cooling effect on the body.,time,0.436475754,0.300000012,0.699999988,
B09WDB671J,Maggot 1892,4.0 out of 5 stars,Fresh to the core.,13/07/2022 00:00,India,,I have trusted the brand for sometime now. This is the first time I have bought a talcum powder from them and I am satisfied with the product. It really does have a cooling effect on the body.,brand,0.429564834,0.600000024,0.600000024,
B09WDB671J,Maggot 1892,4.0 out of 5 stars,Fresh to the core.,13/07/2022 00:00,India,,I have trusted the brand for sometime now. This is the first time I have bought a talcum powder from them and I am satisfied with the product. It really does have a cooling effect on the body.,talcum powder,0.057356764,0.400000006,0.400000006,
