ASIN,Category,Latest BSR,Last Day BSR
B00N5K46NO,Beauty,2827.0,3252.0
B00N5K46NO,Body Talcum Powders,24.0,24.0
B00JJGW4M8,Beauty,782.0,805.0
B00JJGW4M8,Body Talcum Powders,3.0,3.0
B07DJNX6JH,Beauty,4410.0,4403.0
B07DJNX6JH,Body Talcum Powders,33.0,36.0
B0050QW3H2,Beauty,3254.0,4140.0
B0050QW3H2,Body Talcum Powders,27.0,32.0
B01N3C4SYM,Beauty,1181.0,1199.0
B01N3C4SYM,Body Talcum Powders,6.0,8.0
B07BDNBD5F,Beauty,121033.0,120742.0
B07BDNBD5F,Body Talcum Powders,424.0,434.0
B00N5K47H4,Beauty,1804.0,
B00N5K47H4,Body Talcum Powders,14.0,
B07D215X2T,Beauty,96975.0,95379.0
B07D215X2T,Body Talcum Powders,360.0,360.0
B086KMYNLY,Beauty,18012.0,43398.0
B086KMYNLY,Body Talcum Powders,94.0,187.0
B00KENRWH2,Beauty,981.0,912.0
B00KENRWH2,Body Talcum Powders,4.0,5.0
B00CQ40O90,Beauty,1397.0,1202.0
B00CQ40O90,Body Talcum Powders,11.0,10.0
B00CQ414LW,Beauty,705.0,698.0
B00CQ414LW,Body Talcum Powders,2.0,2.0
B07G2QYWLP,Beauty,10626.0,11365.0
B07G2QYWLP,Body Talcum Powders,65.0,66.0
B006LXD6C4,Beauty,2129.0,2482.0
B006LXD6C4,Eau de Cologne,4.0,4.0
B00FX03IBK,Beauty,3551.0,3435.0
B00FX03IBK,Body Talcum Powders,30.0,26.0
B091PWH27F,Beauty,66297.0,62450.0
B091PWH27F,Body Talcum Powders,266.0,259.0
B00FQH5H6O,Beauty,1645.0,1586.0
B00FQH5H6O,Body Talcum Powders,13.0,14.0
B091N6KRVY,Beauty,41804.0,32832.0
B091N6KRVY,Body Talcum Powders,168.0,149.0
B008KH3VUG,Beauty,25937.0,16523.0
B008KH3VUG,Body Talcum Powders,128.0,90.0
B008KH3VUG,Solid Soap Bars,1131.0,670.0
B08YKC89XD,Beauty,1190.0,1274.0
B08YKC89XD,Body Talcum Powders,7.0,10.0
B08YKC89XD,Lip Balms,30.0,32.0
B00YXYZWQ6,Beauty,3487.0,3718.0
B00YXYZWQ6,Body Talcum Powders,29.0,29.0
B08WRR7VTQ,Beauty,14028.0,14738.0
B08WRR7VTQ,Body Talcum Powders,80.0,82.0
B002ZVK88G,Beauty,12479.0,8892.0
B002ZVK88G,Body Talcum Powders,73.0,57.0
B00UYGK1FY,Beauty,29817.0,
B00UYGK1FY,Body Talcum Powders,140.0,
B08H5WBH1Y,Beauty,23223.0,
B08H5WBH1Y,Body Talcum Powders,113.0,
B09WDB671J,Beauty,8512.0,
B09WDB671J,Body Talcum Powders,57.0,
B00YXZ1B4W,Beauty,8450.0,10935.0
B00YXZ1B4W,Compact Powder,74.0,
B00YXZ1B4W,Body Talcum Powders,56.0,
B00CRDO2GQ,Beauty,3175.0,3184.0
B00CRDO2GQ,Body Talcum Powders,26.0,25.0
B01412WVSG,Beauty,24025.0,
B01412WVSG,Body Talcum Powders,117.0,
B09JWWJVDZ,Beauty,1280.0,1143.0
B09JWWJVDZ,Body Talcum Powders,10.0,8.0
B00N5K48R8,Beauty,2074.0,
B00N5K48R8,Body Talcum Powders,18.0,
B09VP56SXC,Beauty,5902.0,6420.0
B09VP56SXC,Body Talcum Powders,43.0,46.0
B00G4UCAD0,Beauty,1153.0,868.0
B00G4UCAD0,Body Talcum Powders,5.0,4.0
B003GSPFFI,Beauty,2106.0,2072.0
B003GSPFFI,Body Talcum Powders,17.0,18.0
B09TVSSP42,Beauty,85473.0,
B09TVSSP42,Body Talcum Powders,329.0,
B00I4S8A6Q,Beauty,48039.0,32912.0
B00I4S8A6Q,Body Talcum Powders,197.0,150.0
B00UYGD30Y,Beauty,42622.0,30779.0
B00UYGD30Y,Body Talcum Powders,174.0,143.0
B01ET71W2E,Beauty,10481.0,11456.0
B01ET71W2E,Body Talcum Powders,64.0,67.0
B07RFHQ37N,Beauty,427617.0,427218.0
B07RFHQ37N,Body Talcum Powders,1022.0,1026.0
B09YDKT7CS,Beauty,4703.0,4125.0
B09YDKT7CS,Body Talcum Powders,36.0,34.0
B08DHCKTCC,Beauty,62806.0,60905.0
B08DHCKTCC,Body Talcum Powders,253.0,255.0
B07NYJH97S,Beauty,103688.0,95695.0
B07NYJH97S,Body Talcum Powders,376.0,362.0
B086KJ9CBK,Beauty,111353.0,109229.0
B086KJ9CBK,Body Talcum Powders,400.0,403.0
B015FMVPGK,Beauty,63753.0,58215.0
B015FMVPGK,Body Talcum Powders,256.0,246.0
B01NB0YHKG,Beauty,3461.0,3770.0
B01NB0YHKG,Body Talcum Powders,28.0,28.0
B00DRE06NM,Beauty,1278.0,1245.0
B00DRE06NM,Body Talcum Powders,9.0,11.0
B09B9K4RW6,Beauty,5942.0,7785.0
B09B9K4RW6,Body Talcum Powders,45.0,52.0
B06X3QZPJX,Beauty,2392.0,
B06X3QZPJX,Body Talcum Powders,20.0,
B01CNRSA3Q,Beauty,87255.0,86420.0
B01CNRSA3Q,Body Talcum Powders,324.0,331.0
B00E63DZ7M,Beauty,271846.0,
B00E63DZ7M,Body Talcum Powders,777.0,
B077KB116K,Beauty,128084.0,126422.0
B077KB116K,Body Talcum Powders,449.0,451.0
B00YXYZ6QM,Beauty,187175.0,186107.0
B00YXYZ6QM,Body Talcum Powders,583.0,582.0
B07BHPMQCX,Beauty,41505.0,92640.0
B07BHPMQCX,Body Talcum Powders,165.0,352.0
B07856VTPV,Beauty,111631.0,110325.0
B07856VTPV,Body Talcum Powders,402.0,407.0
B08Y8LLSXB,Beauty,48204.0,29005.0
B08Y8LLSXB,Body Talcum Powders,198.0,137.0
B091N5XQ88,Beauty,9217.0,
B091N5XQ88,Body Talcum Powders,58.0,
B00MUKR09M,Beauty,3595.0,
B00MUKR09M,Body Talcum Powders,28.0,
B07NJVMYZQ,Beauty,45829.0,31735.0
B07NJVMYZQ,Body Talcum Powders,186.0,145.0
