ASIN,Date,Category,BSR,Last Known BSR
B00N5K46NO,2022-11-08,Beauty,3252.0,
B00N5K46NO,2022-11-09,Beauty,2827.0,3252.0
B00N5K46NO,2022-11-08,Body Talcum Powders,24.0,
B00N5K46NO,2022-11-09,Body Talcum Powders,24.0,24.0
B00JJGW4M8,2022-11-08,Beauty,805.0,
B00JJGW4M8,2022-11-09,Beauty,782.0,805.0
B00JJGW4M8,2022-11-08,Body Talcum Powders,3.0,
B00JJGW4M8,2022-11-09,Body Talcum Powders,3.0,3.0
B07DJNX6JH,2022-11-08,Beauty,4403.0,
B07DJNX6JH,2022-11-09,Beauty,4410.0,4403.0
B07DJNX6JH,2022-11-08,Body Talcum Powders,36.0,
B07DJNX6JH,2022-11-09,Body Talcum Powders,33.0,36.0
B0050QW3H2,2022-11-08,Beauty,4140.0,
B0050QW3H2,2022-11-09,Beauty,3254.0,4140.0
B0050QW3H2,2022-11-08,Body Talcum Powders,32.0,
B0050QW3H2,2022-11-09,Body Talcum Powders,27.0,32.0
B01N3C4SYM,2022-11-08,Beauty,1199.0,
B01N3C4SYM,2022-11-09,Beauty,1181.0,1199.0
B01N3C4SYM,2022-11-08,Body Talcum Powders,8.0,
B01N3C4SYM,2022-11-09,Body Talcum Powders,6.0,8.0
B07BDNBD5F,2022-11-08,Beauty,120742.0,
B07BDNBD5F,2022-11-09,Beauty,121033.0,120742.0
B07BDNBD5F,2022-11-08,Body Talcum Powders,434.0,
B07BDNBD5F,2022-11-09,Body Talcum Powders,424.0,434.0
B00N5K47H4,2022-11-08,Beauty,1804.0,
B00N5K47H4,2022-11-08,Body Talcum Powders,14.0,
B07D215X2T,2022-11-08,Beauty,95379.0,
B07D215X2T,2022-11-09,Beauty,96975.0,95379.0
B07D215X2T,2022-11-08,Body Talcum Powders,360.0,
B07D215X2T,2022-11-09,Body Talcum Powders,360.0,360.0
B086KMYNLY,2022-11-08,Beauty,43398.0,
B086KMYNLY,2022-11-09,Beauty,18012.0,43398.0
