ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B00N5K46NO,"Godrej Cinthol Original Talc, 300g",Cinthol,160,24,1212,4.5,NA,NA,160,160,24,0,Fulfilled,1,Talcum Powders,
B00JJGW4M8,"NIVEA Talcum Powder for Men & Women, Musk, For Gentle Fragrance & Reliable Protection Against Body Odour, 400 g",Nivea,224,3,9516,4.3,NA,NA,249,245,3,0,Fulfilled,1,Talcum Powders,
B07DJNX6JH,"Candid Activ Sweat Control Talc, 100 g (Pack of 2), White",Candid,208.6,33,545,4.1,NA,NA,298,208.6,36,0,Fulfilled,1,Talcum Powders,
B0050QW3H2,"NIVEA Talcum Powder for Men & Women, Musk, For Gentle Fragrance & Reliable Protection Against Body Odour, 100 g",Nivea,90,27,1233,4.2,NA,NA,99,99,32,0,Fulfilled,1,Talcum Powders,
B01N3C4SYM,"Yardley London Morning Dew Perfumed Talc for Women, 250g powder",Yardley,205,6,5127,4.4,NA,NA,205,205,8,0,Fulfilled,1,Talcum Powders,
B07BDNBD5F,"Nycil Cool Herbal, 150g + Free Glucon-D Orange 100g",Heing,130,424,39,4.2,NA,NA,130,130,433,0,NA,1,Talcum Powders,
B00N5K47H4,Godrej Cinthol Lime Talcum Powder (300g) | Superior Germ Protection | Insta Deo Fragrance,Cinthol,160,15,3538,4.4,NA,NA,160,160,14,0,Fulfilled,1,Talcum Powders,
B07D215X2T,Nycil Cool Gulabjal Prickly Heat Powder 150g + 50g Nycil Powder Worth Rs 37/- (Any Variant) Free,Neelawala,130,360,6,4.3,NA,NA,130,130,360,0,NA,1,Talcum Powders,
B086KMYNLY,"Nycil Cool Lime Prickly Heat Talcum Powder, 150 g",Nycil,169,94,7,4.5,NA,NA,170,169,187,0,NA,1,Talcum Powders,
B00KENRWH2,"Enchanteur Romantic Perfumed Talc for Women, 250g with Roses & Jasmine Extracts",Enchanteur,220,4,5214,4.4,NA,NA,220,220,5,0,Fulfilled,1,Talcum Powders,
B00CQ40O90,"POND'S Magic Acacia Honey Fragrance Talcum Powder 400 g, Cooling Fresh Talc for Face & Body - For Men & Women",Pond'S,306,11,3507,4.4,NA,NA,365,306,9,0,Fulfilled,1,Talcum Powders,
B00CQ414LW,"POND'S Dreamflower Fragrant Talcum Powder, Pink Lily, 400 g",Pond'S,279,2,9038,4.4,NA,NA,340,290,2,0,Fulfilled,1,Talcum Powders,
B07G2QYWLP,"Shower To Shower Prickly Heat Powder, Mint, 150g",Shower To Shower,105,65,425,4.4,NA,NA,110,105,66,0,NA,1,Talcum Powders,
B006LXD6C4,Axe Signature Denim Cologne Talc 300 g,Axe,165,,4349,4.3,NA,NA,170,167,,0,Fulfilled,1,Talcum Powders,
B00FX03IBK,"Premium Beauty Talc, 300g (Buy 1 Get 1 Free)",Premium,185,30,436,4.1,NA,NA,185,185,26,0,Fulfilled,1,Talcum Powders,
B091PWH27F,Beautisoul Sweet Pea Talcum Powder 300 gm | IFRA Certified Fragrance | Made in India | Body Talcum Powder for Summer |,Beautisoul,169,266,25,3.7,NA,NA,199,169,259,0,Fulfilled,1,Talcum Powders,
B00FQH5H6O,"NIVEA Talcum Powder for Men & Women, Pure, For Gentle Fragrance & Reliable Protection Against Body Odour, 400 g",Nivea,224,13,5249,4.3,NA,NA,249,168,14,0,Fulfilled,1,Talcum Powders,
B091N6KRVY,Beautisoul Cherry Blossom Talcum Powder 300 gm | Talcum powder for Women | Refreshing Body Talc for Daily Use,Beautisoul,159,168,94,4.1,NA,NA,199,159,149,0,NA,1,Talcum Powders,
B008KH3VUG,"Dermicool Menthol Regular Prickly Heat Powder – 150g (Pack of 2) | Dettol Cool Soap 125g Free | Cooling relief from prickly heat, burning & itching of skin",Dermicool,248,128,631,4.2,NA,NA,250,248,90,0,NA,1,Solid Soap Bars,
B08YKC89XD,"Candid Prickly Heat Powder 120g with Natural ingredients like menthol,neem etc(Pack of 2), White",Candid Prickly,182.16,7,4259,4.3,NA,NA,198,182.16,10,0,Fulfilled,1,Talcum Powders,
B00YXYZWQ6,"Golden Beauty Alpine Dew Talc, 400g (Buy one get one)",Golden Beauty,,29,1297,4.1,NA,NA,,240,28,0,NA,0.5,Talcum Powders,
B08WRR7VTQ,"Nycil Germ Expert Prickly Heat Powder, 150gm+50gm, Assorted Fragrances (Cool Herbal)",Nycil,83,80,424,4.3,NA,NA,130,83,85,0,NA,1,Talcum Powders,
B002ZVK88G,"Mysore Sandal Talc, 300g",Mysore,125,73,2038,4.2,NA,NA,125,125,53,0,NA,1,Talcum Powders,
B00UYGK1FY,Nycil Cool Herbal Prickly Heat Powder - Pack of 2,Nycil,230,140,42,4.4,NA,NA,260,230,140,0,NA,1,Talcum Powders,
B08H5WBH1Y,"Nycil Germ Expert Cool Sandal Prickly Heat Powder, Pack of 150 gm",Nycil,130,113,112,4.3,NA,NA,130,130,113,0,NA,1,Talcum Powders,
B09WDB671J,Beardo Ice Blast Talc powder for men | INSTANT ICY COOLING Talcum Powder Men | Combat heat with Menthol 250g,Beardo,212,57,338,4.2,NA,NA,250,212,57,0,Fulfilled,1,Talcum Powders,
B00YXZ1B4W,"BoroPlus Talc Prickly Heat Ice Cool Powder, 150g + 35g Extra",Boroplus,120,56,456,4.2,NA,NA,120,120,,0,Fulfilled,1,Talcum Powders,
B00CRDO2GQ,"POND'S Sandal Radiance Talcum Powder, Natural Sunscreen, 300 g",Pond'S,350,26,2104,4.3,NA,NA,,350,25,0,NA,1,Talcum Powders,
B01412WVSG,"Navratna Cool Mint Fresh Talc | Instant Sweat Absorption and Cooling Effect |Body Odour Protection | Long Lasting Freshness and Fragrance, 400gm",Navratna,221,117,1203,4.3,NA,NA,230,221,117,0,NA,1,Talcum Powders,
B09JWWJVDZ,Cipla Clocip Antifungal Powder 100gm (Pack of 2),Cipla,214,10,507,4.4,NA,NA,238,214,8,0,Fulfilled,1,Talcum Powders,
B00N5K48R8,"Cinthol Cool Talcum Powder | Superior Germ Protection | Insta Deo Fragrance |Pack of 1, (300g)",Cinthol,160,18,4300,4.3,NA,NA,160,160,18,0,Fulfilled,1,Talcum Powders,
B09VP56SXC,Man Matters Anti-Fungal Intimate Powder | Fights Bacterial Infections | Helps to Masks Sweat And Odor | Prevents Chafing And Redness |100 Grams,Man,335,43,53,4.4,NA,NA,349,335,44,0,Fulfilled,1,Talcum Powders,
B00G4UCAD0,"Yardley London Gentleman Classic Deodorizing Talc for Men, 250g",Yardley,185,5,9535,4.3,NA,NA,185,185,4,0,Fulfilled,1,Talcum Powders,
B003GSPFFI,"Biotique Bio Basil and Sandalwood Refreshing Body Powder, Pack of 150g",Biotique,136,17,2807,4.3,NA,NA,160,116,17,0,Fulfilled,1,Talcum Powders,
B09TVSSP42,Generic nycil Talcum Powder Germ Expert Protect Classic Cool Herbal 150gms each Pack of 2,Generic,260,329,13,4.4,NA,NA,260,260,329,0,NA,1,Talcum Powders,
B00I4S8A6Q,"Nycil Cool Herbal with Neem and Pudina Prickly Heat Powder, 150g",Nycil,110,197,41,4,NA,NA,130,110,150,0,NA,1,Talcum Powders,
B00UYGD30Y,Nycil Classic Prickly Heat Powder (150g) - Pack of 2,Nycil,205,174,79,4.1,NA,NA,260,205,143,0,NA,1,Talcum Powders,
B01ET71W2E,"Nycil Prickly Heat Powder - Excel Classic, 150g Bottle",Nycil,89,64,223,4.4,NA,NA,130,89,67,0,NA,1,Talcum Powders,
B07RFHQ37N,"Nycil Cool Herbal, 50G(PACK OF 2) 100G",Heinz,90,1022,,,NA,NA,100,90,1026,0,NA,1,Talcum Powders,
B09YDKT7CS,Candid Dusting Powder | Doctor's Prescribed No.1 brand | Provides Expert Skin Solution | 120 Gm x Pack of 3,Candid,402,36,123,4.5,NA,NA,447,402,34,0,Fulfilled,1,Talcum Powders,
