ASIN,String,Rating,Frequency
B01NB0YHKG,good,4.0,4
B01NB0YHKG,really,4.0,1
B01NB0YHKG,really like,4.0,1
B01NB0YHKG,like,4.0,1
B01NB0YHKG,like product,4.0,1
B01NB0YHKG,product,4.0,1
B01NB0YHKG,product 👌,4.0,1
B01NB0YHKG,👌,4.0,2
B01NB0YHKG,nice,4.0,1
B01NB0YHKG,nice fragrance,4.0,1
B01NB0YHKG,fragrance,4.0,1
B01NB0YHKG,fragrance long,4.0,1
B01NB0YHKG,long,4.0,1
B01NB0YHKG,long lasting,4.0,1
B01NB0YHKG,lasting,4.0,1
B01NB0YHKG,lasting 🥰🥰🥰🥰🥰🥰,4.0,1
B01NB0YHKG,🥰🥰🥰🥰🥰🥰,4.0,2
B01NB0YHKG,nice,5.0,4
B01NB0YHKG,nice product,5.0,1
B01NB0YHKG,product,5.0,2
B01NB0YHKG,subtle,5.0,2
B01NB0YHKG,subtle fragrance,5.0,1
B01NB0YHKG,fragrance,5.0,5
B01NB0YHKG,talc,5.0,1
B01NB0YHKG,talc fine,5.0,1
B01NB0YHKG,fine,5.0,1
B01NB0YHKG,fine nature,5.0,1
B01NB0YHKG,nature,5.0,1
B01NB0YHKG,nature subtle,5.0,1
B01NB0YHKG,subtle fragrance.,5.0,1
B01NB0YHKG,fragrance.,5.0,4
B01NB0YHKG,good,5.0,5
B01NB0YHKG,awesome,5.0,1
B01NB0YHKG,awesome fragrance.,5.0,1
B01NB0YHKG,love,5.0,1
B01NB0YHKG,love fragrance..,5.0,1
B01NB0YHKG,fragrance..,5.0,1
B01NB0YHKG,fragrance.. good.,5.0,1
B01NB0YHKG,good.,5.0,3
B01NB0YHKG,excellent,5.0,2
B01NB0YHKG,nice fragrance,5.0,1
B01NB0YHKG,fragrance 👍,5.0,1
B01NB0YHKG,👍,5.0,2
B01NB0YHKG,box,5.0,2
B01NB0YHKG,box rec'd,5.0,1
B01NB0YHKG,rec'd,5.0,1
B01NB0YHKG,rec'd damaged,5.0,1
B01NB0YHKG,damaged,5.0,1
B01NB0YHKG,damaged condition.,5.0,1
B01NB0YHKG,condition.,5.0,2
B01NB0YHKG,every,5.0,1
B01NB0YHKG,every thing,5.0,1
B01NB0YHKG,thing,5.0,1
B01NB0YHKG,thing good.,5.0,1
B01NB0YHKG,good. box,5.0,1
B01NB0YHKG,box containing,5.0,1
B01NB0YHKG,containing,5.0,1
B01NB0YHKG,containing powder,5.0,1
B01NB0YHKG,powder,5.0,1
B01NB0YHKG,powder much,5.0,1
B01NB0YHKG,much,5.0,1
B01NB0YHKG,much damaged.,5.0,1
B01NB0YHKG,damaged.,5.0,2
B01NB0YHKG,toooooo,5.0,1
B01NB0YHKG,toooooo good,5.0,1
B01NB0YHKG,good longlosting,5.0,1
B01NB0YHKG,longlosting,5.0,1
B01NB0YHKG,longlosting fragrance,5.0,1
B01NB0YHKG,good,1.0,1
B01NB0YHKG,good ..,1.0,1
B01NB0YHKG,..,1.0,2
B01NB0YHKG,got,1.0,1
B01NB0YHKG,got broken,1.0,1
B01NB0YHKG,broken,1.0,1
B01NB0YHKG,broken product,1.0,1
B01NB0YHKG,product,1.0,1
B01NB0YHKG,product powder,1.0,1
B01NB0YHKG,powder,1.0,1
B01NB0YHKG,powder went,1.0,1
B01NB0YHKG,went,1.0,1
B01NB0YHKG,went one,1.0,1
B01NB0YHKG,one,1.0,1
B01NB0YHKG,one bottle,1.0,1
B01NB0YHKG,bottle,1.0,1
B01NB0YHKG,bottle 🥲,1.0,1
B01NB0YHKG,🥲,1.0,1
B01NB0YHKG,🥲 u,1.0,1
B01NB0YHKG,u,1.0,1
B01NB0YHKG,u guy,1.0,1
B01NB0YHKG,guy,1.0,1
B01NB0YHKG,guy pack,1.0,1
B01NB0YHKG,pack,1.0,1
B01NB0YHKG,pack like,1.0,1
B01NB0YHKG,like,1.0,1
B01NB0YHKG,like that😑,1.0,1
B01NB0YHKG,that😑,1.0,2
B07DJNX6JH,candid,5.0,1
B07DJNX6JH,candid b,5.0,1
B07DJNX6JH,b,5.0,1
B07DJNX6JH,b powder,5.0,1
B07DJNX6JH,powder,5.0,5
B07DJNX6JH,best,5.0,1
B07DJNX6JH,best medicated,5.0,1
B07DJNX6JH,medicated,5.0,1
B07DJNX6JH,medicated powder,5.0,1
B07DJNX6JH,powder needs.,5.0,1
B07DJNX6JH,needs.,5.0,2
B07DJNX6JH,actually,5.0,1
B07DJNX6JH,actually sweat,5.0,1
B07DJNX6JH,sweat,5.0,1
B07DJNX6JH,sweat control,5.0,1
B07DJNX6JH,control,5.0,2
B07DJNX6JH,control product,5.0,1
B07DJNX6JH,product,5.0,8
B07DJNX6JH,it’s,5.0,1
B07DJNX6JH,it’s really,5.0,1
B07DJNX6JH,really,5.0,1
B07DJNX6JH,really good,5.0,1
B07DJNX6JH,good,5.0,5
B07DJNX6JH,"good product,",5.0,1
B07DJNX6JH,"product,",5.0,1
B07DJNX6JH,"product, serf",5.0,1
B07DJNX6JH,serf,5.0,1
B07DJNX6JH,serf purpose!,5.0,1
B07DJNX6JH,purpose!,5.0,1
B07DJNX6JH,purpose! control,5.0,1
B07DJNX6JH,control body,5.0,1
B07DJNX6JH,body,5.0,1
B07DJNX6JH,body odour,5.0,1
B07DJNX6JH,odour,5.0,1
B07DJNX6JH,odour too!!!,5.0,1
B07DJNX6JH,too!!!,5.0,2
B07DJNX6JH,great,5.0,1
B07DJNX6JH,great deal,5.0,1
B07DJNX6JH,deal,5.0,2
B07DJNX6JH,useful,5.0,1
B07DJNX6JH,useful bed,5.0,1
B07DJNX6JH,bed,5.0,1
B07DJNX6JH,bed ridden,5.0,1
B07DJNX6JH,ridden,5.0,1
B07DJNX6JH,ridden patient,5.0,1
B07DJNX6JH,patient,5.0,2
B07DJNX6JH,nice,5.0,1
B07DJNX6JH,nice powder,5.0,1
B07DJNX6JH,usefull,5.0,1
B07DJNX6JH,usefull product,5.0,1
B07DJNX6JH,fine,5.0,1
B07DJNX6JH,fine quality,5.0,1
B07DJNX6JH,quality,5.0,2
B07DJNX6JH,quality overpriced,5.0,2
B07DJNX6JH,overpriced,5.0,2
B07DJNX6JH,overpriced product,5.0,2
B07DJNX6JH,finest,5.0,1
B07DJNX6JH,finest quality,5.0,1
B07DJNX6JH,ok,5.0,4
B07DJNX6JH,bad,1.0,1
B07DJNX6JH,bad face,1.0,1
B07DJNX6JH,face,1.0,1
B07DJNX6JH,face product,1.0,1
B07DJNX6JH,product,1.0,7
B07DJNX6JH,good,1.0,2
B07DJNX6JH,fraud,1.0,1
B07DJNX6JH,fraud quantity,1.0,1
B07DJNX6JH,quantity,1.0,3
B07DJNX6JH,quantity nearby,1.0,1
B07DJNX6JH,nearby,1.0,1
B07DJNX6JH,nearby expiry,1.0,1
B07DJNX6JH,expiry,1.0,4
B07DJNX6JH,expiry date.,1.0,1
B07DJNX6JH,date.,1.0,2
B07DJNX6JH,first,1.0,1
B07DJNX6JH,first recieved,1.0,1
B07DJNX6JH,recieved,1.0,1
B07DJNX6JH,recieved product,1.0,1
B07DJNX6JH,product easily,1.0,1
B07DJNX6JH,easily,1.0,1
B07DJNX6JH,easily open,1.0,1
B07DJNX6JH,open,1.0,1
B07DJNX6JH,open condition,1.0,1
B07DJNX6JH,condition,1.0,1
B07DJNX6JH,condition le,1.0,1
B07DJNX6JH,le,1.0,1
B07DJNX6JH,le quantity,1.0,1
B07DJNX6JH,quantity compared,1.0,1
B07DJNX6JH,compared,1.0,1
B07DJNX6JH,compared quantity,1.0,1
B07DJNX6JH,quantity description.,1.0,1
B07DJNX6JH,description.,1.0,1
B07DJNX6JH,description. product,1.0,1
B07DJNX6JH,product onky,1.0,1
B07DJNX6JH,onky,1.0,1
B07DJNX6JH,onky 4,1.0,1
B07DJNX6JH,4,1.0,1
B07DJNX6JH,4 month,1.0,1
B07DJNX6JH,month,1.0,1
B07DJNX6JH,month left,1.0,1
B07DJNX6JH,left,1.0,1
B07DJNX6JH,left expiry.,1.0,1
B07DJNX6JH,expiry.,1.0,1
B07DJNX6JH,expiry. sure,1.0,1
B07DJNX6JH,sure,1.0,1
B07DJNX6JH,sure seller,1.0,1
B07DJNX6JH,seller,1.0,3
B07DJNX6JH,seller think,1.0,1
B07DJNX6JH,think,1.0,1
B07DJNX6JH,think themselves?,1.0,1
B07DJNX6JH,themselves?,1.0,2
B07DJNX6JH,aware,1.0,1
B07DJNX6JH,aware expiry,1.0,1
B07DJNX6JH,expiry bate,1.0,1
B07DJNX6JH,bate,1.0,2
B07DJNX6JH,seller selling,1.0,1
B07DJNX6JH,selling,1.0,2
B07DJNX6JH,selling product,1.0,2
B07DJNX6JH,product almost,1.0,1
B07DJNX6JH,almost,1.0,2
B07DJNX6JH,almost nearing,1.0,1
B07DJNX6JH,nearing,1.0,1
B07DJNX6JH,nearing expiry,1.0,1
B07DJNX6JH,"expiry date,",1.0,1
B07DJNX6JH,"date,",1.0,1
B07DJNX6JH,"date, beware",1.0,1
B07DJNX6JH,beware,1.0,1
B07DJNX6JH,beware u,1.0,1
B07DJNX6JH,u,1.0,1
B07DJNX6JH,u may,1.0,1
B07DJNX6JH,may,1.0,1
B07DJNX6JH,may end,1.0,1
B07DJNX6JH,end,1.0,1
B07DJNX6JH,end almost,1.0,1
B07DJNX6JH,almost loosing,1.0,1
B07DJNX6JH,loosing,1.0,1
B07DJNX6JH,loosing 60%,1.0,1
B07DJNX6JH,60%,1.0,1
B07DJNX6JH,60% product,1.0,1
B07DJNX6JH,product time,1.0,1
B07DJNX6JH,time,1.0,1
B07DJNX6JH,time reach,1.0,1
B07DJNX6JH,reach,1.0,1
B07DJNX6JH,reach expiry,1.0,1
B07DJNX6JH,expiry date.......the,1.0,1
B07DJNX6JH,date.......the,1.0,1
B07DJNX6JH,date.......the seller,1.0,1
B07DJNX6JH,seller trying,1.0,1
B07DJNX6JH,trying,1.0,1
B07DJNX6JH,trying cover,1.0,1
B07DJNX6JH,cover,1.0,1
B07DJNX6JH,cover much,1.0,1
B07DJNX6JH,much,1.0,1
B07DJNX6JH,much loss,1.0,1
B07DJNX6JH,loss,1.0,1
B07DJNX6JH,loss possible,1.0,1
B07DJNX6JH,possible,1.0,1
B07DJNX6JH,possible selling,1.0,1
B07DJNX6JH,product discounts.,1.0,1
B07DJNX6JH,discounts.,1.0,2
B00JJGW4M8,long,5.0,3
B00JJGW4M8,long lasting,5.0,3
B00JJGW4M8,lasting,5.0,4
B00JJGW4M8,lasting aroma,5.0,1
B00JJGW4M8,aroma,5.0,2
B00JJGW4M8,different,5.0,1
B00JJGW4M8,different kind,5.0,1
B00JJGW4M8,kind,5.0,1
B00JJGW4M8,kind talcum,5.0,1
B00JJGW4M8,talcum,5.0,1
B00JJGW4M8,talcum powder.,5.0,1
B00JJGW4M8,powder.,5.0,1
B00JJGW4M8,powder. mild,5.0,1
B00JJGW4M8,mild,5.0,1
B00JJGW4M8,mild long,5.0,1
B00JJGW4M8,lasting aroma.,5.0,1
B00JJGW4M8,aroma.,5.0,2
B00JJGW4M8,super,5.0,2
B00JJGW4M8,super cool,5.0,2
B00JJGW4M8,cool,5.0,2
B00JJGW4M8,cool smell.,5.0,2
B00JJGW4M8,smell.,5.0,2
B00JJGW4M8,smell. soft,5.0,2
B00JJGW4M8,soft,5.0,2
B00JJGW4M8,soft powder,5.0,2
B00JJGW4M8,powder,5.0,4
B00JJGW4M8,hot,5.0,2
B00JJGW4M8,hot product,5.0,1
B00JJGW4M8,product,5.0,3
B00JJGW4M8,product received,5.0,1
B00JJGW4M8,received,5.0,1
