ASIN,username,rating,title,date,description,keyword,importance,sentiment_score,magnitude,Marketplace,likes,dislikes,verified,aspect
TLCFSDENYGTMKT8Y,Mihindira Yadav,5,Highly recommended,08/09/2022 00:00,Value for the money. Good Purchase.,Value,0.710552216,0.200000003,0.200000003,FLIPKART,0,0,"Certified Buyer , Bhubaneswar",Quality
TLCFSDENYGTMKT8Y,Mihindira Yadav,5,Highly recommended,08/09/2022 00:00,Value for the money. Good Purchase.,money,0.248488337,0.200000003,0.200000003,FLIPKART,0,0,"Certified Buyer , Bhubaneswar",Pricing
TLCFSDENYGTMKT8Y,Mihindira Yadav,5,Highly recommended,08/09/2022 00:00,Value for the money. Good Purchase.,Purchase,0.040959433,0.899999976,0.899999976,FLIPKART,0,0,"Certified Buyer , Bhubaneswar",
TLCFSDENYGTMKT8Y,Sekhar Naidu,4,Value-for-money,08/06/2022 00:00,Nice one regular using in summer season.,regular,0.798308611,0.5,0.5,FLIPKART,0,0,"Certified Buyer , Visakhapatnam",
TLCFSDENYGTMKT8Y,Sekhar Naidu,4,Value-for-money,08/06/2022 00:00,Nice one regular using in summer season.,summer season,0.201691359,0.600000024,0.600000024,FLIPKART,0,0,"Certified Buyer , Visakhapatnam",
TLCFSDENYGTMKT8Y,Prerit Raj Gautam,1,Very poor,31/08/2021 00:00,Quantity in this is less then which was mentioned on it.,Quantity,1,0,0,FLIPKART,0,0,"Certified Buyer , Agra",Quantity
TLCFSDENYGTMKT8Y,Mrutyunjaya panda,1,Worthless,31/05/2021 00:00,Please don't buy this product.they provide wrong product and price is too high,product.,0.501534522,-0.899999976,0.899999976,FLIPKART,0,0,"Certified Buyer , Baleshwar District",Quality
TLCFSDENYGTMKT8Y,Mrutyunjaya panda,1,Worthless,31/05/2021 00:00,Please don't buy this product.they provide wrong product and price is too high,product,0.337016433,-0.699999988,0.699999988,FLIPKART,0,0,"Certified Buyer , Baleshwar District",Quality
TLCFSDENYGTMKT8Y,Mrutyunjaya panda,1,Worthless,31/05/2021 00:00,Please don't buy this product.they provide wrong product and price is too high,price,0.161449045,-0.800000012,0.800000012,FLIPKART,0,0,"Certified Buyer , Baleshwar District",Pricing
TLCFSDENYGTMKT8Y,Rani kumari Chaudhary,1,Unsatisfactory,31/05/2021 00:00,I hate the product money waste,product money waste,1,-0.800000012,0.800000012,FLIPKART,2,0,"Certified Buyer , Imphal",Quality
TLCGYP9UGMYDZRDG,Vijender Singh,5,Terrific,08/09/2022 00:00,nice product and good service,product,0.650711954,0.899999976,0.899999976,FLIPKART,0,0,"Certified Buyer , Hisar",Quality
TLCGYP9UGMYDZRDG,Vijender Singh,5,Terrific,08/09/2022 00:00,nice product and good service,service,0.349288046,0.899999976,0.899999976,FLIPKART,0,0,"Certified Buyer , Hisar",Service
TLCGYP9UGMYDZRDG,karampreet singh,4,Value-for-money,08/08/2022 00:00,Very good product for summer.,product,1,0.800000012,0.800000012,FLIPKART,0,0,"Certified Buyer , Jalandhar",Quality
TLCGYP9UGMYDZRDG,Flipkart Customer,2,Moderate,08/08/2022 00:00,One of product is useless,product,1,-0.699999988,0.699999988,FLIPKART,0,0,"Certified Buyer , Imphal",Quality
TLCGBWPDHCZXJDKM,Sasmita Behera,1,Very poor,04/11/2022 00:00,Very bad product Don't buy this,product,1,-0.899999976,0.899999976,FLIPKART,0,0,"Certified Buyer , Bhuban",Quality
TLCGBWPDHCZXJDKM,Salahuddin Khan,4,Delightful,08/10/2022 00:00,Nice product but late delivery,product,0.650711954,0.200000003,0.200000003,FLIPKART,0,0,"Certified Buyer , Siddharthnagar",Quality
