ASIN,Marketplace,username,rating,title,date,likes,dislikes,verified,description,Counts
TLCFSDENYGTMKT8Y,FLIPKART,Mihindira Yadav,5,Highly recommended,2022-09-08 00:00:00,0,0,"Certified Buyer , Bhubaneswar",Value for the money. Good Purchase.,5
TLCFSDENYGTMKT8Y,FLIPKART,Sekhar Naidu,4,Value-for-money,2022-06-08 00:00:00,0,0,"Certified Buyer , Visakhapatnam",Nice one regular using in summer season.,5
TLCFSDENYGTMKT8Y,FLIPKART,Prerit Raj Gautam,1,Very poor,2021-08-31 00:00:00,0,0,"Certified Buyer , Agra",Quantity in this is less then which was mentioned on it.,5
TLCFSDENYGTMKT8Y,FLIPKART,Mrutyunjaya panda,1,Worthless,2021-05-31 00:00:00,0,0,"Certified Buyer , Baleshwar District",Please don't buy this product.they provide wrong product and price is too high,5
TLCFSDENYGTMKT8Y,FLIPKART,Rani kumari Chaudhary,1,Unsatisfactory,2021-05-31 00:00:00,2,0,"Certified Buyer , Imphal",I hate the product money waste,5
TLCGYP9UGMYDZRDG,FLIPKART,Vijender Singh,5,Terrific,2022-09-08 00:00:00,0,0,"Certified Buyer , Hisar",nice product and good service,3
TLCGYP9UGMYDZRDG,FLIPKART,karampreet singh,4,Value-for-money,2022-08-08 00:00:00,0,0,"Certified Buyer , Jalandhar",Very good product for summer.,3
TLCGYP9UGMYDZRDG,FLIPKART,Flipkart Customer,2,Moderate,2022-08-08 00:00:00,0,0,"Certified Buyer , Imphal",One of product is useless,3
TLCGBWPDHCZXJDKM,FLIPKART,Sasmita Behera,1,Very poor,2022-11-04 00:00:00,0,0,"Certified Buyer , Bhuban",Very bad product Don't buy this,3
TLCGBWPDHCZXJDKM,FLIPKART,Salahuddin Khan,4,Delightful,2022-10-08 00:00:00,0,0,"Certified Buyer , Siddharthnagar",Nice product but late delivery,3
TLCGBWPDHCZXJDKM,FLIPKART,Toolika Goyal,1,Did not meet expectations,2022-10-08 00:00:00,0,0,"Certified Buyer , Agra",This product is in very terrific condition. Soap is melted this much you even can't hold (grip) in hand.😞😤😤 And From last 3-4 orders i received everything is defected now I'm tired from you Flipkart.,3
TLCG8WZFHRA58QNM,FLIPKART,Jaspreet  Singh,1,Worthless,2022-08-08 00:00:00,0,0,"Certified Buyer , New Delhi",Worst product I received from Flipkart and also rate is to high from MRP,3
TLCG8WZFHRA58QNM,FLIPKART,MOHAMMAD IRFAN,1,Worthless,2022-07-08 00:00:00,0,0,"Certified Buyer , Ajhuwa",Not a bad product waste of money,3
