ASIN,String,Rating,Frequency,Marketplace
TLCGDF88NEBZGH7H,recommended,1,2,FLIPKART
TLCGDF88NEBZGH7H,don’t,1,1,FLIPKART
TLCGDF88NEBZGH7H,don’t buy,1,1,FLIPKART
TLCGDF88NEBZGH7H,buy,1,2,FLIPKART
TLCGDF88NEBZGH7H,excellent,5,4,FLIPKART
TLCGDF88NEBZGH7H,good,5,3,FLIPKART
TLCGDF88NEBZGH7H,good 👍,5,1,FLIPKART
TLCGDF88NEBZGH7H,👍,5,3,FLIPKART
TLCGDF88NEBZGH7H,👍 👍,5,1,FLIPKART
TLCG4S4ZWBQAZNGA,great,5,1,FLIPKART
TLCG4S4ZWBQAZNGA,great product,5,1,FLIPKART
TLCG4S4ZWBQAZNGA,product,5,3,FLIPKART
TLCG4S4ZWBQAZNGA,nice,5,4,FLIPKART
TLCG4S4ZWBQAZNGA,perfect,5,2,FLIPKART
TLCG4S4ZWBQAZNGA,perfect product!,5,2,FLIPKART
TLCG4S4ZWBQAZNGA,product!,5,4,FLIPKART
TLCG4S4ZWBQAZNGA,good,5,1,FLIPKART
TLCG4S4ZWBQAZNGA,good product,5,1,FLIPKART
TLCG4S4ZWBQAZNGA,product quality,5,1,FLIPKART
TLCG4S4ZWBQAZNGA,quality,5,1,FLIPKART
TLCG4S4ZWBQAZNGA,quality also,5,1,FLIPKART
TLCG4S4ZWBQAZNGA,also,5,1,FLIPKART
TLCG4S4ZWBQAZNGA,also original,5,1,FLIPKART
TLCG4S4ZWBQAZNGA,original,5,2,FLIPKART
TLCG4S4ZWBQAZNGA,wonderful,5,2,FLIPKART
TLCG4S4ZWBQAZNGA,super,5,2,FLIPKART
TLCG4S4ZWBQAZNGA,job,3,2,FLIPKART
TLCG4S4ZWBQAZNGA,good,3,1,FLIPKART
TLCG4S4ZWBQAZNGA,good product,3,1,FLIPKART
TLCG4S4ZWBQAZNGA,product,3,2,FLIPKART
TLCG4S4ZWBQAZNGA,okay,3,2,FLIPKART
TLCG4S4ZWBQAZNGA,like,3,2,FLIPKART
TLCG4S4ZWBQAZNGA,worth,4,1,FLIPKART
TLCG4S4ZWBQAZNGA,worth money,4,1,FLIPKART
TLCG4S4ZWBQAZNGA,money,4,2,FLIPKART
TLCG4S4ZWBQAZNGA,good,4,6,FLIPKART
TLCG4S4ZWBQAZNGA,wonderful,4,2,FLIPKART
TLCG4S4ZWBQAZNGA,nice,4,1,FLIPKART
TLCG4S4ZWBQAZNGA,nice product,4,1,FLIPKART
TLCG4S4ZWBQAZNGA,product,4,2,FLIPKART
TLCG4S4ZWBQAZNGA,meet,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,meet expectation,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,expectation,1,2,FLIPKART
TLCG4S4ZWBQAZNGA,bad,1,3,FLIPKART
TLCG4S4ZWBQAZNGA,bad product,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,product,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,product ☹️,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,☹️,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,☹️ seller,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,seller,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,seller also,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,also,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,also bad,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,bad bad,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,bad packing,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,packing,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,packing 😡,1,1,FLIPKART
TLCG4S4ZWBQAZNGA,😡,1,2,FLIPKART
TLCFSDFBHCMAAD4M,mind-blowing,5,1,FLIPKART
TLCFSDFBHCMAAD4M,mind-blowing purchase,5,1,FLIPKART
TLCFSDFBHCMAAD4M,purchase,5,2,FLIPKART
TLCFSDFBHCMAAD4M,good,5,2,FLIPKART
TLCG4QCM274ZHAFJ,super!,5,2,FLIPKART
TLCG4QCM274ZHAFJ,nice,5,2,FLIPKART
TLCFRQBWCDTBKK54,wonderful,5,4,FLIPKART
