ASIN,Details Tag,Marketplace,Present
TLCGD8GGUBH8CN8V,Country of Origin,FLIPKART,True
TLCGD8GGUBH8CN8V,Sales Package,FLIPKART,True
TLCGD8GGUBH8CN8V,Maximum Shelf Life,FLIPKART,False
TLCGD8GGUBH8CN8V,Fragrance,FLIPKART,False
TLCGD8GGUBH8CN8V,Brand,FLIPKART,True
TLCGD8GGUBH8CN8V,Ideal For,FLIPKART,True
TLCGD8GGUBH8CN8V,Other Features,FLIPKART,False
TLCGD8GGUBH8CN8V,Model Number,FLIPKART,False
TLCGD8GGUBH8CN8V,Container Type,FLIPKART,True
TLCGD8GGUBH8CN8V,Organic,FLIPKART,True
TLCGD8GGUBH8CN8V,Quantity,FLIPKART,True
TLCGD8GGUBH8CN8V,Pack of,FLIPKART,True
TLCGD8GGUBH8CN8V,Ingredient Type,FLIPKART,False
TLCGD8GGUBH8CN8V,Model Name,FLIPKART,True
TLCFPF4F9DHMKZDF,Country of Origin,FLIPKART,False
TLCFPF4F9DHMKZDF,Sales Package,FLIPKART,False
TLCFPF4F9DHMKZDF,Maximum Shelf Life,FLIPKART,False
TLCFPF4F9DHMKZDF,Fragrance,FLIPKART,False
TLCFPF4F9DHMKZDF,Brand,FLIPKART,True
TLCFPF4F9DHMKZDF,Ideal For,FLIPKART,True
TLCFPF4F9DHMKZDF,Other Features,FLIPKART,False
TLCFPF4F9DHMKZDF,Model Number,FLIPKART,False
TLCFPF4F9DHMKZDF,Container Type,FLIPKART,False
TLCFPF4F9DHMKZDF,Organic,FLIPKART,False
TLCFPF4F9DHMKZDF,Quantity,FLIPKART,True
TLCFPF4F9DHMKZDF,Pack of,FLIPKART,True
TLCFPF4F9DHMKZDF,Ingredient Type,FLIPKART,False
TLCFPF4F9DHMKZDF,Model Name,FLIPKART,True
TLCFSDFBHCMAAD4M,Country of Origin,FLIPKART,False
TLCFSDFBHCMAAD4M,Sales Package,FLIPKART,False
TLCFSDFBHCMAAD4M,Maximum Shelf Life,FLIPKART,False
TLCFSDFBHCMAAD4M,Fragrance,FLIPKART,False
TLCFSDFBHCMAAD4M,Brand,FLIPKART,True
TLCFSDFBHCMAAD4M,Ideal For,FLIPKART,True
TLCFSDFBHCMAAD4M,Other Features,FLIPKART,False
TLCFSDFBHCMAAD4M,Model Number,FLIPKART,False
TLCFSDFBHCMAAD4M,Container Type,FLIPKART,False
TLCFSDFBHCMAAD4M,Organic,FLIPKART,False
TLCFSDFBHCMAAD4M,Quantity,FLIPKART,True
TLCFSDFBHCMAAD4M,Pack of,FLIPKART,True
TLCFSDFBHCMAAD4M,Ingredient Type,FLIPKART,False
TLCFSDFBHCMAAD4M,Model Name,FLIPKART,True
TLCGDF88NEBZGH7H,Country of Origin,FLIPKART,True
TLCGDF88NEBZGH7H,Sales Package,FLIPKART,True
TLCGDF88NEBZGH7H,Maximum Shelf Life,FLIPKART,False
