ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
TLCGD8GGUBH8CN8V,2022-11-07,,,,,,
TLCGD8GGUBH8CN8V,2022-11-08,230.0,,470.0,,16.0,1.0
TLCGD8GGUBH8CN8V,2022-11-09,230.0,230.0,388.0,470.0,17.0,1.0
TLCGD8GGUBH8CN8V,2022-11-10,230.0,230.0,476.0,388.0,16.0,1.0
TLCGD8GGUBH8CN8V,2022-11-11,230.0,230.0,364.0,476.0,19.0,1.0
TLCFPF4F9DHMKZDF,2022-11-07,,,,,,
TLCFPF4F9DHMKZDF,2022-11-08,160.0,,177.0,,26.0,1.0
TLCFPF4F9DHMKZDF,2022-11-09,160.0,160.0,187.0,177.0,27.0,1.0
TLCFPF4F9DHMKZDF,2022-11-10,160.0,160.0,148.0,187.0,29.0,1.0
TLCFPF4F9DHMKZDF,2022-11-11,160.0,160.0,148.0,148.0,29.0,1.0
TLCFSDFBHCMAAD4M,2022-11-07,,,,,,
TLCFSDFBHCMAAD4M,2022-11-08,1138.0,,429.0,,17.0,1.0
TLCFSDFBHCMAAD4M,2022-11-09,1138.0,1138.0,438.0,429.0,17.0,1.0
TLCFSDFBHCMAAD4M,2022-11-10,1138.0,1138.0,474.0,438.0,16.0,1.0
TLCFSDFBHCMAAD4M,2022-11-11,1138.0,1138.0,510.0,474.0,16.0,1.0
TLCGDF88NEBZGH7H,2022-11-07,,,,,,
TLCGDF88NEBZGH7H,2022-11-08,223.0,,652.0,,13.0,1.0
TLCGDF88NEBZGH7H,2022-11-09,217.0,223.0,514.0,652.0,16.0,1.0
TLCGDF88NEBZGH7H,2022-11-10,217.0,217.0,607.0,514.0,14.0,1.0
TLCGDF88NEBZGH7H,2022-11-11,217.0,217.0,607.0,607.0,14.0,1.0
TLCFSDEH6SU7CVHC,2022-11-07,,,,,,
TLCFSDEH6SU7CVHC,2022-11-08,115.0,,556.0,,14.0,1.0
TLCFSDEH6SU7CVHC,2022-11-09,115.0,115.0,411.0,556.0,17.0,1.0
TLCFSDEH6SU7CVHC,2022-11-10,115.0,115.0,411.0,411.0,17.0,1.0
TLCFSDEH6SU7CVHC,2022-11-11,115.0,115.0,411.0,411.0,17.0,1.0
TLCG4S4ZWBQAZNGA,2022-11-07,,,,,,
TLCG4S4ZWBQAZNGA,2022-11-08,270.0,,151.0,,31.0,1.0
TLCG4S4ZWBQAZNGA,2022-11-09,270.0,270.0,124.0,151.0,28.0,1.0
TLCG4S4ZWBQAZNGA,2022-11-10,247.0,270.0,184.0,124.0,31.0,1.0
TLCG4S4ZWBQAZNGA,2022-11-11,247.0,247.0,182.0,184.0,31.0,1.0
TLCFRQBWCDTBKK54,2022-11-07,,,,,,
TLCFRQBWCDTBKK54,2022-11-08,309.0,,,,,1.0
TLCFRQBWCDTBKK54,2022-11-09,309.0,309.0,,,,1.0
TLCFRQBWCDTBKK54,2022-11-10,309.0,309.0,,,,1.0
TLCFRQBWCDTBKK54,2022-11-11,309.0,309.0,,,,1.0
TLCFTZCKXJDFVWQP,2022-11-07,,,,,,
TLCFTZCKXJDFVWQP,2022-11-08,170.0,,221.0,,23.0,1.0
TLCFTZCKXJDFVWQP,2022-11-09,170.0,170.0,219.0,221.0,23.0,1.0
TLCFTZCKXJDFVWQP,2022-11-10,152.0,170.0,189.0,219.0,27.0,1.0
TLCFTZCKXJDFVWQP,2022-11-11,152.0,152.0,128.0,189.0,31.0,1.0
TLCG73JYENANDESM,2022-11-07,,,,,,
TLCG73JYENANDESM,2022-11-08,275.0,,408.0,,20.0,1.0
TLCG73JYENANDESM,2022-11-09,275.0,275.0,410.0,408.0,20.0,1.0
TLCG73JYENANDESM,2022-11-10,275.0,275.0,410.0,410.0,20.0,1.0
TLCG73JYENANDESM,2022-11-11,275.0,275.0,410.0,410.0,20.0,1.0
TLCGB9W2HFHZRE8H,2022-11-07,,,,,,
TLCGB9W2HFHZRE8H,2022-11-08,278.0,,1076.0,,12.0,1.0
TLCGB9W2HFHZRE8H,2022-11-09,278.0,278.0,1076.0,1076.0,12.0,1.0
TLCGB9W2HFHZRE8H,2022-11-10,264.0,278.0,1076.0,1076.0,12.0,1.0
TLCGB9W2HFHZRE8H,2022-11-11,264.0,264.0,1076.0,1076.0,12.0,1.0
TLCF4D7765BAQBFF,2022-11-07,,,,,,
TLCF4D7765BAQBFF,2022-11-08,230.0,,,,,1.0
TLCF4D7765BAQBFF,2022-11-09,230.0,230.0,,,,1.0
TLCF4D7765BAQBFF,2022-11-10,230.0,230.0,,,,1.0
TLCF4D7765BAQBFF,2022-11-11,230.0,230.0,,,,1.0
TLCG4QCPHNAXQ9U4,2022-11-07,,,,,,
TLCG4QCPHNAXQ9U4,2022-11-08,345.0,,407.0,,20.0,1.0
TLCG4QCPHNAXQ9U4,2022-11-09,345.0,345.0,417.0,407.0,17.0,1.0
TLCG4QCPHNAXQ9U4,2022-11-10,345.0,345.0,437.0,417.0,17.0,1.0
TLCG4QCPHNAXQ9U4,2022-11-11,345.0,345.0,467.0,437.0,16.0,1.0
TLCFSDEHWE2RTRGG,2022-11-07,,,,,,
TLCFSDEHWE2RTRGG,2022-11-08,160.0,,871.0,,12.0,1.0
TLCFSDEHWE2RTRGG,2022-11-09,160.0,160.0,877.0,871.0,12.0,1.0
TLCFSDEHWE2RTRGG,2022-11-10,152.0,160.0,902.0,877.0,12.0,1.0
TLCFSDEHWE2RTRGG,2022-11-11,152.0,152.0,927.0,902.0,12.0,1.0
TLCGETGWUMZBF32Y,2022-11-07,,,,,,
TLCGETGWUMZBF32Y,2022-11-08,178.0,,756.0,,12.0,1.0
TLCGETGWUMZBF32Y,2022-11-09,178.0,178.0,998.0,756.0,12.0,1.0
TLCGETGWUMZBF32Y,2022-11-10,178.0,178.0,929.0,998.0,12.0,1.0
