ASIN,Marketplace,Sentiment Score
TLCG4S4ZWBQAZNGA,FLIPKART,3.0
TLCFRQBWCDTBKK54,FLIPKART,5.0
TLCGB9W2HFHZRE8H,FLIPKART,5.0
TLCF4D7765BAQBFF,FLIPKART,3.0
TLCFTZCKXJDFVWQP,FLIPKART,4.333333333333333
TLCF4D8MAGTRGKZ5,FLIPKART,1.0
TLCFUGXYUFMKZKCK,FLIPKART,5.0
TLCG5PRXTSHHUHDR,FLIPKART,4.0
TLCETFVXNGBVKHWV,FLIPKART,2.0
TLCG8WZFHRA58QNM,FLIPKART,2.6666666666666665
TLCGB9Q2BYTGR2WR,FLIPKART,2.0
TLCEUHM7P6X5HZXT,FLIPKART,5.0
TLCFH56FJWZ4MBYG,FLIPKART,5.0
TLCGBWPDHCZXJDKM,FLIPKART,2.0
TLCGCXGEJJCKHRVG,FLIPKART,5.0
TLCGBWPDW9QBYGCW,FLIPKART,5.0
TLCG28YBGHKUZWP9,FLIPKART,3.0
TLCGYP9UGMYDZRDG,FLIPKART,3.0
TLCG2HDNMK6GSXGG,FLIPKART,5.0
TLCG3PEXMPFZ2GFG,FLIPKART,3.0
TLCFSDENYGTMKT8Y,FLIPKART,2.6
TLCFE7KUSQHMWWGE,FLIPKART,4.0
TLCFUXS4WKRJ73W4,FLIPKART,4.5
TLCFSDEGHD8T6EPH,FLIPKART,4.0
TLCG4S55TSDVSARP,FLIPKART,2.5
TLCFUXXFZHBZXFRD,FLIPKART,3.0
TLCGYQDZZZHTYVHW,FLIPKART,5.0
TLCFY5HFXXUST39G,FLIPKART,3.0
TLCG2HDUGHHSZYM5,FLIPKART,4.0
