ASIN,Question,Answer,Votes,Date
B07MWBVTLP,Wether we can add external tap?,why shoud we add external tap ?It not working as expectedshown all the false reviewsMy money nad time wasted really pathetic experience from pureit and Amazonsee less,0,24-05-2022
B07MWBVTLP,Year of the model is 2022 or old one?,2022,0,24-05-2022
B07MWBVTLP,Low Water pressure is needed or high,high,0,24-05-2022
B07MWBVTLP,If incase the input water supply stops any chances of purifier getting burn out,"No, machine will stop working because for such conditions these machines have Low Pressure Valve as well as Solenoid Valve.",0,24-05-2022
B07MWBVTLP,Will pre filter come with RO unit ?,"Yup, this unit comes with Pre Filter of best quality as compared to the local pre filters.",0,24-05-2022
B07MWBVTLP,Red indicator meaning in product,Time to replace filters/service.,0,24-05-2022
B07MWBVTLP,Filter price,Depends on periodic price revisions by the company.,0,24-05-2022
B07MWBVTLP,Is first service is free,"Yup, I guess they provide first two services for free.",0,24-05-2022
B07MWBVTLP,what is the size of sediment filter used  ??,It is a little bit bigger than the local market variants. But the good thing is its Sediment Filter contains activated Carbon too.,0,24-05-2022
B07MWBVTLP,I have connected this to manjeera water which has 200 red but after filter now the tds is 20 .. is it still recommended?,Yup.,0,24-05-2022
B07MWBVTLP,Having hot and cool water option along copper purification,No it wont,0,02-04-2022
B00I8QV2VY,How many litres of water we get per hour?,Approx above 50ltr,0,29-05-2022
B00I8QV2VY,I need buttonswitch,Yes,0,29-05-2022
B08BJN4MP3,Tds of outlet water?,40,0,29-05-2022
B08BJN4MP3,Is tds adjustable? upto what level (number) i can set the tds for output water in this machine? what is the minimum and maximum?,No,0,25-05-2022
B08BJN4MP3,what is water discharge rate - for example how much time taken to fill 1 liter bottle from the filter output,1 minutes,0,21-05-2022
B08BJN4MP3,is it auto cut and on,Yes,0,21-05-2022
B08BJN4MP3,I want zero waste water. Ro,not possible,0,21-05-2022
B08BJN4MP3,Is it capable to purify muddy water,For that external sediment filter is installed,0,21-05-2022
B08BJN4MP3,How is the service backup?,Good,0,21-05-2022
B08BJN4MP3,Is this product is operate on inverter .,Yes,0,21-05-2022
B08BJN4MP3,They directly connected us for installation or we need to connect them to book an appointment,They directly contacted me.,0,02-05-2022
B08BJN4MP3,What is the length of power chord?,Good,0,21-05-2022
B08BJN4MP3,Uv chamber made of?,The Ultra Violet chamber is lined with Stainless Steel 304 (SS 304) tube which is the highest standard internationally. The UV Cartridge neutralizes and kills any remaining virus or bacteria. All the above filtration elements are of high quality and designed for heavy duty.,0,30-03-2022
B08BJN4MP3,How much water purifier  lph?,Nice,0,19-03-2022
B08BJN4MP3,How many years will it take to install it again if we buy u purifier,Thanks everyone one and Amazon,0,19-03-2022
B08BJN4MP3,Can we use it for high iron containing water?,No,0,19-03-2022
B08BJN4MP3,How many TDS suitable for model,Upto 2000 Tds.,0,12-03-2022
B08BJN4MP3,Can we use it offline?,"No, Electric connection will be required",0,12-03-2022
B08BJN4MP3,"How is the maitenance cost as compared to hul pureit ultima? currently i am having hard time with gkk1 2500, gkk2 2500 and sf filter, service costs.",Yes,0,19-03-2022
B08BJN4MP3,Manual guide not available with kit,Kit is not open,0,10-03-2022
B08BJN4MP3,"At the time of installation, is there the need of any part for which the payment would be done additionally???",No such additional part is required. A connection tube may be required to connect the Purifier to water point. That cost between  Rs.25 to 70/-.,0,12-03-2022
B08B27R8MP,Does the water taste better after purifying?,No,0,19-04-2022
B08B27R8MP,Water cooling hota hai,No,0,19-04-2022
B08B27R8MP,For every 7litres how much water is wasted,28 l,0,19-04-2022
B08B27R8MP,Will the installation person will come to fix it,Yes,0,19-04-2022
B08B27R8MP,What is the maintenance cost per year ?,5k,0,19-04-2022
B09M45XKKF,Is pre filter or sediment filter included with this purifier ??,Yes included but leaking some times,0,15-05-2022
B09M45XKKF,What is the output for 1 hour,Ok,0,15-05-2022
B09M45XKKF,"Water source at my home is only borewell, Does this water Purifier is enough to purify the water",Mixed water bore n tap water,0,15-05-2022
B09M45XKKF,How is the taste of water?,Usual taste. The machine doesn’t affect the taste of water,0,05-03-2022
B094YD54TC,Is it usefull for alkaline water??,Yes,0,29-04-2022
B094YD54TC,What will be the expense every year to change the kit and all?,"Probably the installation guy said Rs. 3000/- will be the annual maintainance,  including filter replacement.",0,17-06-2022
B094YD54TC,Does it give a mineral water taste?,"If u have Borewell  water coming in ur tap, it's suitable , it changes it and gives normal tap water taste.",0,17-06-2022
B01N6CA6H6,Our building has 9 stories and we stay on the 1st floor. Would it work or shall look for some other model ?,Yes sir this would work.. But at the time of installation technician would check the pressure if its more then you need to install Pressure Reducing Valve to control pressure,0,12-05-2022
B01N6CA6H6,What material is the UV chamber made of?,UV Chamber is made up of ABS Plastic which is food grade plastic,0,17-04-2022
B01N6CA6H6,How it retains essential minerals ca and mg?,It do not remove any minerals as this is UV device so all minerals and salts are retained,0,12-05-2022
B01N6CA6H6,Are you giving free services as well??,You can ask free service whenever required within warranty period. Just you need to register on Pureit Helpline...,0,03-04-2022
B01N6CA6H6,why it doesn't have uf filter,This machine have UV Filtration process it do not have UF Filter,0,17-04-2022
B0859RHH6X,How the purifier be installed?,"Worst service by Amazon, they're neither collecting the device now refunding the money.",0,03-06-2022
B0859RHH6X,how do we get this intalled?  productbdelivered last week mo ome turned up to.instsll,"Worst service by Amazon, I never expected this kind of service, totally useless buying electronic items from Amazon. Very bad experience",0,03-06-2022
B0859RHH6X,From where can I buy the cover for this product. Its not available on Amazon.,"Buy from authorized distributor, don't buy from Amazon. They're cheating people.",0,03-06-2022
B0859RHH6X,Can we remove RO filter alone ?,No,0,23-05-2022
B0859RHH6X,Can it be used for 2000 tds ?,"No, purchase this product use only single or two person.",0,23-05-2022
B0859RHH6X,Can taste be adjusted? If yes how?,"Aquasure Amaze, the RO water filter along with one iron guard changes the taste of water remarkably by reducing the TDS elements.",0,17-05-2022
B0859RHH6X,Ro water free installed or charged,External fillter 800 to 1100,0,03-05-2022
B0859RHH6X,Extra purifier pump,800 to 1100,0,03-05-2022
B0859RHH6X,Cover is available?,No,0,03-05-2022
B0859RHH6X,I cant seem to fine product manual,I don’t think there is a manual as such,0,27-04-2022
B0859RHH6X,Do this product require additional filter for stop sand etc. With additional cost?,Entirely depends on your source water quality.For eg I live in mumbai and BMC provided water does not have that many impurities that I need a additional filter.In case you receive impure water at source ie big impurities then having a additional filter is good and the person who comes for installation will have it handy to install at additional cost ( just make sure you cross check and buy at correct price) ask him/ her to call up the service provider and double check the price before payingsee less,0,23-04-2022
B0859RHH6X,Does it has TDS adjuster,It has MTDS. Taste of water is much better,0,23-04-2022
B0859RHH6X,Is the UV chamber made of steel or aluminium?,"Hi, forget about UV. Please do not buy this water filter as this is a worst product to use. In fact, suggest do no use Eureka Forbes even go for any other brand. They're simply thick skinned people & hardly bothered about you as a customer. Here I'm chasing them for the last 5 and a half month almost for a replacement of this junk product but they're so thick skinned, not even bothered. sometimes somebody calls and gives you fake promises about resolving issues but they never do that. Just go for any other brand in the market but not this one. You may use KENT, which we had used for a decade and switched over to Eureka and I still curse that day for my decision.see less",0,14-04-2022
B0859RHH6X,Why service is not good? Why we need to call 5 times every times.,"Service, you must be joking !!!Till now i've written thousands of mail to them, wrote on their homepage in linkedin and all other social platform but sadly they're so thick skinned, nothing matters to them when the product is sold. On my part I've informed all friends, relatives, business relations about bad experiences I'm having with Eureka and not to use their product.see less",0,14-04-2022
B0859RHH6X,What are the dimensions?,Plz do not buy from them until and unless you would like to be another thousands of unfortunate customers who got stuck with this perilous company and it's product.,0,14-04-2022
B0859RHH6X,How to replace cartridge? Who and where can we get service n replacement of filters from? As this is exclusive online model ?,"Pathetic product....pathetic company. Yes, exclusive model but total exclusive junk.",0,14-04-2022
B0859RHH6X,When should we replace the filter and where can I purchase the filter online?,"Actually it depends on the water , how easily dirt accumulates . Taste varies and you can contact nearest eureka executive they will come and check",0,09-04-2022
B0859RHH6X,Is it normal for water to keep on filling even if power is not on? My system keeps on filling the tank even if power off as long as water supply is on,Once the tank is full it should automatically stop.if this is not happening something is wrong.need to call Eureka Forbes customer service to check.,0,07-04-2022
B0859RHH6X,Inside metal or plastic?,Plastic,0,04-04-2022
B0859RHH6X,Do they provide free installation,"They do and during installation, these guys recklessly handles the product and breaks it even. I've all experiences and still counting.",0,04-04-2022
B0859RHH6X,Is pre filter also part of the pack? Few videos show a white column next to the unit. Is it standalone or are there any additional installation compo?,"No, their installation guys will give you all scary instances and make you buy that separately at a hefty price.",0,04-04-2022
B0859RHH6X,What is the maintenance cost per year and per month,Once in a year,0,04-04-2022
B0859RHH6X,What is the filter name for this model? I need to change filter,"never try any product from Eureka Forbes, they're pathetic and so is their products as well. Go for Kent and other brands who at least listens to you.",0,04-04-2022
B0859RHH6X,Iron in water can be removed. ?,Yes,0,05-04-2022
B0859RHH6X,How often should we service the product and how often should we change the filter?,"Membrane service nearly 6000ltr usage, whereas filters specified during service (every 4months )",0,23-03-2022
B0859RHH6X,What are Installation kit contents?,two pipes (plastic) for inlet and outlet. One is tap to join to your pipeline valvetype.,0,04-04-2022
B0859RHH6X,Does the machine sets the tds on its own? or the service personnel has to set it?,"Its manual, you can ask service personal to set it as per your requirement.",0,21-03-2022
B0859RHH6X,Can we use mtds to control tds in aquaguard amaze model?,Yes. Its a really good technology which can change the water test also.,0,19-03-2022
B0859RHH6X,My area pin code 516162 installation available or not?,Please ask Amazone on this also when you purchase the material it shows you for the services are available or not in your area.,0,19-03-2022
B0859RHH6X,"Our bore water tds level is 800 , can i buy this ro+uv*mtds)",Donot purchase this machine,0,21-03-2022
B0859RHH6X,Does purifier stop working if filter requires change,no,0,04-04-2022
B0859RHH6X,Is its filters comes in quaranty,No warranty on filters is provided,0,04-04-2022
B0859RHH6X,How much is the maintenance for uv+uf per year? or amc price?,The installation engineer gave an estimate of around rs 3000 to change the whole set of purification and the change should be done yearly,0,04-04-2022
B0859RHH6X,"I have space constraint in my kitchen cabinet, by seeing the dimensions I feel this product will fit well. But in case it doesn't for, can you please","H-16.5, w-10.5 D-9.5 dimensions in inch",0,05-04-2022
B0859RHH6X,How to raise complaint,Call Eureka Forbes customer care,0,27-04-2022
B0859RHH6X,Can we adjust tds manually?,"Yes, but not by ourself, technician will do it.",0,27-04-2022
B0859RHH6X,How it can install,"Don't worry about install, it will be installed by service engineer of company free of cost",0,16-06-2022
B0859RHH6X,What is UF,Ultra-violet filter,0,15-06-2022
B0859RHH6X,When will they come for installation service,Call the toll free number of Eureka Forbes and the will schedule the installation,0,13-06-2022
B0859RHH6X,Is servicing available for this product?,You service man not take call and she not come to fit urekagorce ..stiill my hair phone not recived,0,15-06-2022
B0859RHH6X,Filter municipal water,Yes it can filter. Just have the water tested for hardness.,0,15-06-2022
B096NTB9XT,Can we add Alkaline filter in this?,Yes,0,22-05-2022
B096NTB9XT,How can i get gst invoice,Aak ur seller,0,22-05-2022
B096NTB9XT,What is the cost of replacement of filters ?,Iron filter & sediment filter cost 1500 approx. Inside filters including alkaline filter cost around 5200+gst,0,22-05-2022
B096NTB9XT,Where will we get replacement filter its been only one year and service assistant is asking for more than ₹6000 for replacing filter,"This is pathetic product of eureka Forbes, I have been following up from last one month and there service centre is not replacing the filters. I would suggest you to contact any local repair shop and get it replaced.",0,27-04-2022
B096NTB9XT,Does it require Running Water?,Yes,0,20-04-2022
