ASIN,username,rating,title,date,country,helpful,description,keyword,importance,sentiment_score,magnitude,aspect
B09P52VBJ5,deependu,5.0 out of 5 stars,Good product,05/04/2022 00:00,India,,Came to me in Livepure original packaging,packaging,0.555500209,0.200000003,0.200000003,Packaging
B09P52VBJ5,deependu,5.0 out of 5 stars,Good product,05/04/2022 00:00,India,,Came to me in Livepure original packaging,Livepure,0.444499761,0.300000012,0.300000012,
B09P52LWVZ,Raghu,5.0 out of 5 stars,Genuine Spare part,17/03/2022 00:00,India,,Original Livepure Spare part m. Fits perfectly.,part,0.486618787,0,0,Quality
B09P52LWVZ,Raghu,5.0 out of 5 stars,Genuine Spare part,17/03/2022 00:00,India,,Original Livepure Spare part m. Fits perfectly.,Livepure Spare,0.433169693,0.100000001,0.100000001,
B09P52LWVZ,Raghu,5.0 out of 5 stars,Genuine Spare part,17/03/2022 00:00,India,,Original Livepure Spare part m. Fits perfectly.,Fits,0.080211535,0.699999988,0.699999988,
B09MVPMWCF,Jay Baraiya,4.0 out of 5 stars,Good Product 👍,06/06/2022 00:00,India,,Great support by the team,support,0.650711954,0.800000012,0.800000012,Service
B09MVPMWCF,Tushar Soni,1.0 out of 5 stars,Overall average taste of water and service,07/06/2022 00:00,India,,"As such no problem in aquaguard but taste of water is not good, moreover I am very disappointed with the service which the company claims after 6 month of installation. I tried to reach them so many times and each time they say they are sending and someone and no one comes",company,0.064373761,-0.5,0.5,
B09MVPMWCF,Tushar Soni,1.0 out of 5 stars,Overall average taste of water and service,07/06/2022 00:00,India,,"As such no problem in aquaguard but taste of water is not good, moreover I am very disappointed with the service which the company claims after 6 month of installation. I tried to reach them so many times and each time they say they are sending and someone and no one comes",installation,0.05641982,-0.5,0.5,Service
B09MVPMWCF,Tushar Soni,1.0 out of 5 stars,Overall average taste of water and service,07/06/2022 00:00,India,,"As such no problem in aquaguard but taste of water is not good, moreover I am very disappointed with the service which the company claims after 6 month of installation. I tried to reach them so many times and each time they say they are sending and someone and no one comes",time,0.030772412,-0.600000024,0.600000024,
B09MVPMWCF,Tushar Soni,1.0 out of 5 stars,Overall average taste of water and service,07/06/2022 00:00,India,,"As such no problem in aquaguard but taste of water is not good, moreover I am very disappointed with the service which the company claims after 6 month of installation. I tried to reach them so many times and each time they say they are sending and someone and no one comes",no one,0.014523888,-0.5,0.5,
B09MVPMWCF,Tushar Soni,1.0 out of 5 stars,Overall average taste of water and service,07/06/2022 00:00,India,,"As such no problem in aquaguard but taste of water is not good, moreover I am very disappointed with the service which the company claims after 6 month of installation. I tried to reach them so many times and each time they say they are sending and someone and no one comes",times,0.010375117,-0.600000024,0.600000024,
B09MVPMWCF,Biswajeet Nayak,5.0 out of 5 stars,Good and easy,01/06/2022 00:00,India,,Easy to use and good water,water,1,0.899999976,0.899999976,Taste
B09MVPMWCF,Jay Baraiya,4.0 out of 5 stars,Good Product 👍,06/06/2022 00:00,India,,Great support by the team,team,0.349288046,0.800000012,0.800000012,
B09MVPMWCF,Prasad Sawant,4.0 out of 5 stars,Light indication is more helpful and mostly the replaceable filter,03/06/2022 00:00,India,,It could have been available in more colours,colours,1,0,0,Quality
B09MVPMWCF,Tushar Soni,1.0 out of 5 stars,Overall average taste of water and service,07/06/2022 00:00,India,,"As such no problem in aquaguard but taste of water is not good, moreover I am very disappointed with the service which the company claims after 6 month of installation. I tried to reach them so many times and each time they say they are sending and someone and no one comes",taste,0.088776872,-0.5,0.5,Taste
B09MVPMWCF,Gaurav Goel,5.0 out of 5 stars,Nice product,01/06/2022 00:00,India,,"Good service , nice product, fast installation",service,0.62193501,0.899999976,0.899999976,Service
B09MVPMWCF,Gaurav Goel,5.0 out of 5 stars,Nice product,01/06/2022 00:00,India,,"Good service , nice product, fast installation",product,0.219846532,0.800000012,0.800000012,Quality
B09MVPMWCF,Gaurav Goel,5.0 out of 5 stars,Nice product,01/06/2022 00:00,India,,"Good service , nice product, fast installation",installation,0.158218443,0.800000012,0.800000012,Service
B09MVPMWCF,Tushar Soni,1.0 out of 5 stars,Overall average taste of water and service,07/06/2022 00:00,India,,"As such no problem in aquaguard but taste of water is not good, moreover I am very disappointed with the service which the company claims after 6 month of installation. I tried to reach them so many times and each time they say they are sending and someone and no one comes",water,0.088776872,-0.5,0.5,Taste
B09MVPMWCF,Tushar Soni,1.0 out of 5 stars,Overall average taste of water and service,07/06/2022 00:00,India,,"As such no problem in aquaguard but taste of water is not good, moreover I am very disappointed with the service which the company claims after 6 month of installation. I tried to reach them so many times and each time they say they are sending and someone and no one comes",someone,0.014523888,-0.5,0.5,
B09MVPMWCF,Tushar Soni,1.0 out of 5 stars,Overall average taste of water and service,07/06/2022 00:00,India,,"As such no problem in aquaguard but taste of water is not good, moreover I am very disappointed with the service which the company claims after 6 month of installation. I tried to reach them so many times and each time they say they are sending and someone and no one comes",service,0.150502771,-0.5,1.100000024,Service
B09MVPMWCF,Tushar Soni,1.0 out of 5 stars,Overall average taste of water and service,07/06/2022 00:00,India,,"As such no problem in aquaguard but taste of water is not good, moreover I am very disappointed with the service which the company claims after 6 month of installation. I tried to reach them so many times and each time they say they are sending and someone and no one comes",problem,0.260291368,-0.5,0.5,
B09MVPMWCF,Kuldeep Ranwa,1.0 out of 5 stars,very bad customer service by eureka,07/06/2022 00:00,India,,very bad service by eureka,eureka,0.31203106,-0.699999988,0.699999988,
B09MVPMWCF,Kuldeep Ranwa,1.0 out of 5 stars,very bad customer service by eureka,07/06/2022 00:00,India,,very bad service by eureka,service,0.68796891,-0.600000024,0.600000024,Service
B09MVPMWCF,Tushar Soni,1.0 out of 5 stars,Overall average taste of water and service,07/06/2022 00:00,India,,"As such no problem in aquaguard but taste of water is not good, moreover I am very disappointed with the service which the company claims after 6 month of installation. I tried to reach them so many times and each time they say they are sending and someone and no one comes",aquaguard,0.22066322,-0.5,0.5,
B09M45XKKF,Dipankar K,1.0 out of 5 stars,Bad quality check,10/05/2022 00:00,India,,"Delivery and installation was on time. But after installation, a stream of water leaking from the sediment filter was found. Very bad quality check or was purposely sent a defective item by the seller. Totally disappointed and bad experience.",stream,0.043347776,0,0,
B09M45XKKF,Mohamed Samiulla,4.0 out of 5 stars,"Overall is good, water leaking from primary filter tube, too much water wastes frequently",14/05/2022 00:00,India,,"All is ok, water leakage from primary filteration need to fix and overflow water frequently wastes from purifier why",purifier,0.074140839,0,0,
B09M45XKKF,Mohamed Samiulla,4.0 out of 5 stars,"Overall is good, water leaking from primary filter tube, too much water wastes frequently",14/05/2022 00:00,India,,"All is ok, water leakage from primary filteration need to fix and overflow water frequently wastes from purifier why",water,0.053534463,0,0,Taste
B09M45XKKF,Satyendra,5.0 out of 5 stars,Good purchase,13/05/2022 00:00,India,,Very effective water purifier and also good service from Pureit.,water purifier,0.560901284,0.800000012,0.800000012,
B09M45XKKF,Satyendra,5.0 out of 5 stars,Good purchase,13/05/2022 00:00,India,,Very effective water purifier and also good service from Pureit.,Pureit,0.250524968,0.899999976,0.899999976,
B09M45XKKF,Satyendra,5.0 out of 5 stars,Good purchase,13/05/2022 00:00,India,,Very effective water purifier and also good service from Pureit.,service,0.188573748,0.899999976,0.899999976,Service
B09M45XKKF,Dipankar K,1.0 out of 5 stars,Bad quality check,10/05/2022 00:00,India,,"Delivery and installation was on time. But after installation, a stream of water leaking from the sediment filter was found. Very bad quality check or was purposely sent a defective item by the seller. Totally disappointed and bad experience.",installation,0.34089157,0.699999988,0.699999988,Service
B09M45XKKF,Dipankar K,1.0 out of 5 stars,Bad quality check,10/05/2022 00:00,India,,"Delivery and installation was on time. But after installation, a stream of water leaking from the sediment filter was found. Very bad quality check or was purposely sent a defective item by the seller. Totally disappointed and bad experience.",Delivery,0.339018315,0.600000024,0.600000024,Service
B09M45XKKF,Dipankar K,1.0 out of 5 stars,Bad quality check,10/05/2022 00:00,India,,"Delivery and installation was on time. But after installation, a stream of water leaking from the sediment filter was found. Very bad quality check or was purposely sent a defective item by the seller. Totally disappointed and bad experience.",installation,0.072100207,0,0,Service
B09M45XKKF,Dipankar K,1.0 out of 5 stars,Bad quality check,10/05/2022 00:00,India,,"Delivery and installation was on time. But after installation, a stream of water leaking from the sediment filter was found. Very bad quality check or was purposely sent a defective item by the seller. Totally disappointed and bad experience.",sediment filter,0.043872923,0,0,Filteration
B09M45XKKF,Dipankar K,1.0 out of 5 stars,Bad quality check,10/05/2022 00:00,India,,"Delivery and installation was on time. But after installation, a stream of water leaking from the sediment filter was found. Very bad quality check or was purposely sent a defective item by the seller. Totally disappointed and bad experience.",water,0.043347776,0,0,Taste
B09M45XKKF,sarvanth Dosapati,1.0 out of 5 stars,Poor performance and service,05/05/2022 00:00,India,,It's a worst product It was not working after 10days of use and pureit customer service also unable to provide resolution and not willing to replace the product and I would strongly suggest not to buy this product,product,0.032391563,-0.699999988,0.699999988,Quality
B09M45XKKF,Sriram K,5.0 out of 5 stars,"Very good product,",01/05/2022 00:00,India,,satisfied with the price and installation. Good quality purifier,installation,0.44513461,0.800000012,0.800000012,Service
B09M45XKKF,sarvanth Dosapati,1.0 out of 5 stars,Poor performance and service,05/05/2022 00:00,India,,It's a worst product It was not working after 10days of use and pureit customer service also unable to provide resolution and not willing to replace the product and I would strongly suggest not to buy this product,product,0.056234453,-0.800000012,0.800000012,Quality
B09M45XKKF,sarvanth Dosapati,1.0 out of 5 stars,Poor performance and service,05/05/2022 00:00,India,,It's a worst product It was not working after 10days of use and pureit customer service also unable to provide resolution and not willing to replace the product and I would strongly suggest not to buy this product,resolution,0.058956858,-0.699999988,0.699999988,
B09M45XKKF,Dipankar K,1.0 out of 5 stars,Bad quality check,10/05/2022 00:00,India,,"Delivery and installation was on time. But after installation, a stream of water leaking from the sediment filter was found. Very bad quality check or was purposely sent a defective item by the seller. Totally disappointed and bad experience.",quality check,0.040126812,-0.699999988,0.699999988,Quality
B09M45XKKF,Dipankar K,1.0 out of 5 stars,Bad quality check,10/05/2022 00:00,India,,"Delivery and installation was on time. But after installation, a stream of water leaking from the sediment filter was found. Very bad quality check or was purposely sent a defective item by the seller. Totally disappointed and bad experience.",item,0.025632372,-0.800000012,0.800000012,
B09M45XKKF,Dipankar K,1.0 out of 5 stars,Bad quality check,10/05/2022 00:00,India,,"Delivery and installation was on time. But after installation, a stream of water leaking from the sediment filter was found. Very bad quality check or was purposely sent a defective item by the seller. Totally disappointed and bad experience.",experience,0.02128081,-0.899999976,0.899999976,
B09M45XKKF,sarvanth Dosapati,1.0 out of 5 stars,Poor performance and service,05/05/2022 00:00,India,,It's a worst product It was not working after 10days of use and pureit customer service also unable to provide resolution and not willing to replace the product and I would strongly suggest not to buy this product,use,0.082019731,-0.699999988,0.699999988,
B09M45XKKF,sarvanth Dosapati,1.0 out of 5 stars,Poor performance and service,05/05/2022 00:00,India,,It's a worst product It was not working after 10days of use and pureit customer service also unable to provide resolution and not willing to replace the product and I would strongly suggest not to buy this product,customer service,0.082984671,-0.699999988,0.699999988,Service
B09M45XKKF,sarvanth Dosapati,1.0 out of 5 stars,Poor performance and service,05/05/2022 00:00,India,,It's a worst product It was not working after 10days of use and pureit customer service also unable to provide resolution and not willing to replace the product and I would strongly suggest not to buy this product,product,0.687412739,-0.800000012,1.600000024,Quality
B09M45XKKF,Mohamed Samiulla,4.0 out of 5 stars,"Overall is good, water leaking from primary filter tube, too much water wastes frequently",14/05/2022 00:00,India,,"All is ok, water leakage from primary filteration need to fix and overflow water frequently wastes from purifier why",water leakage,0.206395924,0,0,
B09M45XKKF,Mohamed Samiulla,4.0 out of 5 stars,"Overall is good, water leaking from primary filter tube, too much water wastes frequently",14/05/2022 00:00,India,,"All is ok, water leakage from primary filteration need to fix and overflow water frequently wastes from purifier why",filteration,0.146527663,-0.100000001,0.100000001,Filteration
B09M45XKKF,Dipankar K,1.0 out of 5 stars,Bad quality check,10/05/2022 00:00,India,,"Delivery and installation was on time. But after installation, a stream of water leaking from the sediment filter was found. Very bad quality check or was purposely sent a defective item by the seller. Totally disappointed and bad experience.",seller,0.030381439,-0.899999976,0.899999976,
B09M45XKKF,Mohamed Samiulla,4.0 out of 5 stars,"Overall is good, water leaking from primary filter tube, too much water wastes frequently",14/05/2022 00:00,India,,"All is ok, water leakage from primary filteration need to fix and overflow water frequently wastes from purifier why",All,0.519401133,0,0,
B09M45XKKF,Deepanjan Saha,5.0 out of 5 stars,Good installation process,22/05/2022 00:00,India,,I like the installation process.,installation process,1,0.800000012,0.800000012,Service
B09M45XKKF,Sriram K,5.0 out of 5 stars,"Very good product,",01/05/2022 00:00,India,,satisfied with the price and installation. Good quality purifier,quality purifier,0.11448624,0.899999976,0.899999976,Quality
B09M45XKKF,Sriram K,5.0 out of 5 stars,"Very good product,",01/05/2022 00:00,India,,satisfied with the price and installation. Good quality purifier,price,0.440379173,0.899999976,0.899999976,Pricing
B09KNNVPKQ,Chetan,3.0 out of 5 stars,Looks fake,06/05/2022 00:00,India,,"The product is very low quality, probably fake as well. Unlike the one i got from dealer",one,0.021794489,0,0,
B09KNNVPKQ,Chetan,3.0 out of 5 stars,Looks fake,06/05/2022 00:00,India,,"The product is very low quality, probably fake as well. Unlike the one i got from dealer",dealer,0.034526262,0.200000003,0.200000003,
B09KNNVPKQ,Chetan,3.0 out of 5 stars,Looks fake,06/05/2022 00:00,India,,"The product is very low quality, probably fake as well. Unlike the one i got from dealer",product,0.943679273,-0.800000012,1.600000024,Quality
B09KBVNTQD,Anupama Mall,1.0 out of 5 stars,Worthless of money,08/04/2022 00:00,India,,Please it's  request  to no one purchase the blue star company  product only brand name product is worst .,blue star company product,0.298972279,-0.600000024,0.600000024,
B09KBVNTQD,Anupama Mall,1.0 out of 5 stars,Worthless of money,08/04/2022 00:00,India,,Please it's  request  to no one purchase the blue star company  product only brand name product is worst .,brand name product,0.231350183,-0.600000024,0.600000024,
B09KBVNTQD,Anupama Mall,1.0 out of 5 stars,Worthless of money,08/04/2022 00:00,India,,Please it's  request  to no one purchase the blue star company  product only brand name product is worst .,request,0.469677538,-0.600000024,0.600000024,Service
B09KBVJ51Y,Anish singh,1.0 out of 5 stars,they are making customers fool,15/05/2022 00:00,India,," Within 4-5 months it starts sounding like a generator and Within 4-5 months Bule star wants money to fix the issue, they don't want to accept their faliour",Bule,0.1421251,-0.5,0.5,
B09KBVJ51Y,Anish singh,1.0 out of 5 stars,they are making customers fool,15/05/2022 00:00,India,," Within 4-5 months it starts sounding like a generator and Within 4-5 months Bule star wants money to fix the issue, they don't want to accept their faliour",faliour,0.116974272,-0.5,0.5,
B09KBVJ51Y,Anish singh,1.0 out of 5 stars,they are making customers fool,15/05/2022 00:00,India,," Within 4-5 months it starts sounding like a generator and Within 4-5 months Bule star wants money to fix the issue, they don't want to accept their faliour",generator,0.232860476,-0.5,0.5,
B09KBVJ51Y,Amani,1.0 out of 5 stars,It's not at all good,06/06/2022 00:00,India,,"It's a waste product .i suggest not to buy this product,it works well for only 6months that means upto first service,after that it starts giving troubles , i suggest better to find other purifier ""don't take this""",troubles,0.016028212,-0.100000001,0.100000001,
B09KBVJ51Y,Anish singh,1.0 out of 5 stars,they are making customers fool,15/05/2022 00:00,India,," Within 4-5 months it starts sounding like a generator and Within 4-5 months Bule star wants money to fix the issue, they don't want to accept their faliour",money,0.217046976,-0.400000006,0.400000006,Pricing
B09KBVJ51Y,Amani,1.0 out of 5 stars,It's not at all good,06/06/2022 00:00,India,,"It's a waste product .i suggest not to buy this product,it works well for only 6months that means upto first service,after that it starts giving troubles , i suggest better to find other purifier ""don't take this""",waste product,0.817487836,0,0.400000006,Quality
B09KBVJ51Y,Anish singh,1.0 out of 5 stars,they are making customers fool,15/05/2022 00:00,India,," Within 4-5 months it starts sounding like a generator and Within 4-5 months Bule star wants money to fix the issue, they don't want to accept their faliour",issue,0.0739462,-0.5,0.5,
