ASIN,Category,Latest BSR,Last Day BSR
B096M37Z1T,Home & Kitchen,284234.0,276937.0
B096M37Z1T,"Water Coolers, Filters & Cartridges",861.0,836.0
B08B27R8MP,Home & Kitchen,5043.0,5083.0
B08B27R8MP,"Water Coolers, Filters & Cartridges",28.0,33.0
B08BJN4MP3,Home & Kitchen,868.0,839.0
B08BJN4MP3,"Water Coolers, Filters & Cartridges",6.0,8.0
B07MWBVTLP,Home & Kitchen,4131.0,4946.0
B07MWBVTLP,"Water Coolers, Filters & Cartridges",24.0,32.0
B00I8QV2VY,Home & Kitchen,22812.0,28696.0
B00I8QV2VY,"Water Coolers, Filters & Cartridges",107.0,134.0
B07GDQWSZ9,Home & Kitchen,31879.0,28043.0
B07GDQWSZ9,"Water Coolers, Filters & Cartridges",122.0,119.0
B07FDZ9KL7,Home & Kitchen,178903.0,176645.0
B07FDZ9KL7,"Water Coolers, Filters & Cartridges",575.0,581.0
B09M45XKKF,Home & Kitchen,32191.0,21438.0
B09M45XKKF,"Water Coolers, Filters & Cartridges",123.0,92.0
B094YD54TC,Home & Kitchen,4610.0,4258.0
B094YD54TC,"Water Coolers, Filters & Cartridges",35.0,28.0
B009PJ8Y3W,Home & Kitchen,19569.0,18714.0
B009PJ8Y3W,"Water Coolers, Filters & Cartridges",87.0,80.0
B08MFP6FJC,Home & Kitchen,48508.0,39628.0
B08MFP6FJC,"Water Coolers, Filters & Cartridges",200.0,168.0
B01N6CA6H6,Home & Kitchen,74280.0,32881.0
B01N6CA6H6,"Water Coolers, Filters & Cartridges",242.0,126.0
B08JW7R7LY,Home & Kitchen,438577.0,414809.0
B08JW7R7LY,Water Purifier Accessories,3502.0,3311.0
B08JW7R7LY,Small Kitchen Appliances,12940.0,12317.0
B0848QJY7D,Home & Kitchen,641315.0,638919.0
B0848QJY7D,Water Cartridges,570.0,572.0
B08493C8T8,Home & Kitchen,944386.0,943783.0
B08493C8T8,Water Purifier Accessories,6286.0,6266.0
B07GFR25RG,Home & Kitchen,160933.0,144625.0
B07GFR25RG,"Water Coolers, Filters & Cartridges",481.0,445.0
B018P2M728,Home & Kitchen,99992.0,95508.0
B018P2M728,Water Cartridges,104.0,100.0
B083FX3S13,Home & Kitchen,390106.0,379243.0
B083FX3S13,Water Purifier Accessories,3451.0,3380.0
B079BQSB7F,Home Improvement,164480.0,164423.0
B079BQSB7F,Water Dispensers & Coolers,839.0,839.0
B07YXCCHVH,Home & Kitchen,2078020.0,2076696.0
B07YXCCHVH,Water Purifier Accessories,11797.0,11786.0
B0848DLDSX,Home & Kitchen,506956.0,499038.0
B0848DLDSX,Water Purifier Accessories,4228.0,4184.0
B08JQQQT17,Home & Kitchen,103459.0,67072.0
B08JQQQT17,Water Purifier Accessories,956.0,606.0
B0859RHH6X,Home & Kitchen,236.0,237.0
B0859RHH6X,"Water Coolers, Filters & Cartridges",1.0,1.0
B09P56BB8S,Home & Kitchen,109094.0,356807.0
B09P56BB8S,Water Purifier Accessories,1006.0,2933.0
B07YMZRZ5B,Home & Kitchen,2078017.0,2076694.0
B07YMZRZ5B,Water Purifier Accessories,11796.0,11784.0
B09NYBWM29,Home & Kitchen,102782.0,281181.0
B09NYBWM29,Water Cartridges,105.0,285.0
B096NTB9XT,Home & Kitchen,1780.0,1475.0
B096NTB9XT,"Water Coolers, Filters & Cartridges",13.0,12.0
B07MQ5X54S,Home & Kitchen,1893.0,2420.0
B07MQ5X54S,"Water Coolers, Filters & Cartridges",14.0,19.0
B083FXDGDB,Home & Kitchen,278854.0,147484.0
B083FXDGDB,Water Purifier Accessories,2395.0,1333.0
B07LFT5Q3V,Home & Kitchen,2102051.0,2100597.0
B07LFT5Q3V,"Water Coolers, Filters & Cartridges",3929.0,3929.0
B08PBPVPC7,Home & Kitchen,1025531.0,1021553.0
B08PBPVPC7,HEPA Air Purifiers,366.0,368.0
B07FYBL68J,Home & Kitchen,610959.0,604195.0
B07FYBL68J,"Water Coolers, Filters & Cartridges",1578.0,1564.0
B076KL24FD,Home & Kitchen,563298.0,564207.0
B076KL24FD,"Water Coolers, Filters & Cartridges",1414.0,1423.0
B083389Q1B,Home & Kitchen,131159.0,116247.0
B083389Q1B,HEPA Air Purifiers,53.0,43.0
B0848R6JKN,Home & Kitchen,109915.0,222670.0
B0848R6JKN,Water Purifier Accessories,1106.0,1990.0
B09HV2L75L,Home & Kitchen,133276.0,77420.0
B09HV2L75L,Water Cartridges,141.0,79.0
B01CR0MQOS,Home Improvement,20567.0,69132.0
B01CR0MQOS,Water Dispensers & Coolers,157.0,423.0
B07CWCVFKP,Home Improvement,56901.0,55131.0
B07CWCVFKP,Water Dispensers & Coolers,391.0,385.0
B07FS4GKM3,Home & Kitchen,1926301.0,1925658.0
B07FS4GKM3,Water Purifier Accessories,10412.0,10404.0
B08QWZHB7Y,Home & Kitchen,1170263.0,1170357.0
B08QWZHB7Y,"Water Coolers, Filters & Cartridges",2550.0,2552.0
B08QWZLK62,Home & Kitchen,22268.0,20690.0
B08QWZLK62,Handheld Vacuums,25.0,19.0
B08QWZLK62,Commercial Vacuums,29.0,22.0
B00QTNCVT0,Home & Kitchen,129630.0,78637.0
B00QTNCVT0,"Water Coolers, Filters & Cartridges",400.0,257.0
B08QWZGL45,Home & Kitchen,1855053.0,1850721.0
B08QWZGL45,"Water Coolers, Filters & Cartridges",3596.0,3585.0
B08PBRRCFR,Home & Kitchen,1490454.0,1488659.0
B08PBRRCFR,Handheld Vacuums,803.0,803.0
B08PBRRCFR,Commercial Vacuums,869.0,868.0
B08PBRRCFR,"Water Coolers, Filters & Cartridges",3100.0,3097.0
B08PBJ3WP3,Home & Kitchen,1735975.0,1735049.0
B08PBJ3WP3,"Water Coolers, Filters & Cartridges",3432.0,3433.0
B078B52MD4,Home & Kitchen,77979.0,123892.0
B078B52MD4,Water Purifier Accessories,697.0,1145.0
B07Y8HTQR5,Home & Kitchen,840574.0,840136.0
B07Y8HTQR5,"Water Coolers, Filters & Cartridges",2031.0,2032.0
B07F8NQTSZ,Home & Kitchen,1032205.0,1031904.0
B07F8NQTSZ,"Water Coolers, Filters & Cartridges",2338.0,2325.0
B08QWYFND6,Home & Kitchen,2031440.0,2029441.0
B08QWYFND6,"Water Coolers, Filters & Cartridges",3859.0,3859.0
B08QWZ4VG7,Home & Kitchen,728900.0,634102.0
B08QWZ4VG7,"Water Coolers, Filters & Cartridges",1754.0,1550.0
B01N3A5M4Z,Home & Kitchen,556994.0,544495.0
B01N3A5M4Z,Water Purifier Accessories,4228.0,4146.0
