ASIN,Date,Category,BSR,Last Known BSR
B096M37Z1T,2022-02-03,Home & Kitchen,351261.0,
B096M37Z1T,2022-02-04,Home & Kitchen,360886.0,351261.0
B096M37Z1T,2022-02-05,Home & Kitchen,372104.0,360886.0
B096M37Z1T,2022-02-06,Home & Kitchen,383270.0,372104.0
B096M37Z1T,2022-02-14,Home & Kitchen,328787.0,383270.0
B096M37Z1T,2022-02-15,Home & Kitchen,348028.0,328787.0
B096M37Z1T,2022-02-16,Home & Kitchen,364820.0,348028.0
B096M37Z1T,2022-02-17,Home & Kitchen,378946.0,364820.0
B096M37Z1T,2022-02-21,Home & Kitchen,433605.0,378946.0
B096M37Z1T,2022-02-22,Home & Kitchen,446776.0,433605.0
B096M37Z1T,2022-02-23,Home & Kitchen,460931.0,446776.0
B096M37Z1T,2022-02-24,Home & Kitchen,472387.0,460931.0
B096M37Z1T,2022-02-25,Home & Kitchen,486064.0,472387.0
B096M37Z1T,2022-02-26,Home & Kitchen,499993.0,486064.0
B096M37Z1T,2022-02-27,Home & Kitchen,512312.0,499993.0
B096M37Z1T,2022-02-28,Home & Kitchen,525732.0,512312.0
B096M37Z1T,2022-03-01,Home & Kitchen,538221.0,525732.0
B096M37Z1T,2022-03-02,Home & Kitchen,553916.0,538221.0
B096M37Z1T,2022-03-03,Home & Kitchen,95063.0,553916.0
B096M37Z1T,2022-03-04,Home & Kitchen,148002.0,95063.0
B096M37Z1T,2022-03-06,Home & Kitchen,218942.0,148002.0
B096M37Z1T,2022-03-07,Home & Kitchen,258430.0,218942.0
B096M37Z1T,2022-03-08,Home & Kitchen,53620.0,258430.0
B096M37Z1T,2022-03-09,Home & Kitchen,107724.0,53620.0
B096M37Z1T,2022-03-10,Home & Kitchen,139492.0,107724.0
B096M37Z1T,2022-03-11,Home & Kitchen,170698.0,139492.0
B096M37Z1T,2022-03-12,Home & Kitchen,198334.0,170698.0
B096M37Z1T,2022-05-05,Home & Kitchen,237537.0,198334.0
B096M37Z1T,2022-05-06,Home & Kitchen,255936.0,237537.0
B096M37Z1T,2022-05-07,Home & Kitchen,271718.0,255936.0
B096M37Z1T,2022-05-08,Home & Kitchen,284186.0,271718.0
B096M37Z1T,2022-05-09,Home & Kitchen,67216.0,284186.0
B096M37Z1T,2022-05-10,Home & Kitchen,130408.0,67216.0
B096M37Z1T,2022-05-11,Home & Kitchen,167292.0,130408.0
B096M37Z1T,2022-05-12,Home & Kitchen,200388.0,167292.0
B096M37Z1T,2022-05-13,Home & Kitchen,77566.0,200388.0
B096M37Z1T,2022-05-14,Home & Kitchen,65280.0,77566.0
B096M37Z1T,2022-05-15,Home & Kitchen,72747.0,65280.0
B096M37Z1T,2022-05-16,Home & Kitchen,91300.0,72747.0
B096M37Z1T,2022-05-17,Home & Kitchen,129689.0,91300.0
B096M37Z1T,2022-05-18,Home & Kitchen,161102.0,129689.0
B096M37Z1T,2022-05-19,Home & Kitchen,188196.0,161102.0
B096M37Z1T,2022-05-20,Home & Kitchen,209132.0,188196.0
B096M37Z1T,2022-05-21,Home & Kitchen,228851.0,209132.0
B096M37Z1T,2022-05-22,Home & Kitchen,242425.0,228851.0
B096M37Z1T,2022-05-23,Home & Kitchen,255592.0,242425.0
B096M37Z1T,2022-05-24,Home & Kitchen,267516.0,255592.0
B096M37Z1T,2022-05-25,Home & Kitchen,276532.0,267516.0
B096M37Z1T,2022-05-26,Home & Kitchen,74334.0,276532.0
B096M37Z1T,2022-05-27,Home & Kitchen,131252.0,74334.0
B096M37Z1T,2022-05-28,Home & Kitchen,164408.0,131252.0
B096M37Z1T,2022-05-29,Home & Kitchen,196646.0,164408.0
B096M37Z1T,2022-05-30,Home & Kitchen,80248.0,196646.0
B096M37Z1T,2022-05-31,Home & Kitchen,132934.0,80248.0
B096M37Z1T,2022-06-02,Home & Kitchen,130208.0,132934.0
B096M37Z1T,2022-06-04,Home & Kitchen,119966.0,130208.0
B096M37Z1T,2022-06-05,Home & Kitchen,157881.0,119966.0
B096M37Z1T,2022-06-06,Home & Kitchen,192901.0,157881.0
B096M37Z1T,2022-06-07,Home & Kitchen,219118.0,192901.0
B096M37Z1T,2022-06-08,Home & Kitchen,92400.0,219118.0
B096M37Z1T,2022-06-09,Home & Kitchen,60575.0,92400.0
B096M37Z1T,2022-06-10,Home & Kitchen,115934.0,60575.0
B096M37Z1T,2022-06-11,Home & Kitchen,74950.0,115934.0
B096M37Z1T,2022-06-12,Home & Kitchen,116339.0,74950.0
B096M37Z1T,2022-06-13,Home & Kitchen,151285.0,116339.0
B096M37Z1T,2022-06-14,Home & Kitchen,175415.0,151285.0
B096M37Z1T,2022-06-15,Home & Kitchen,202316.0,175415.0
B096M37Z1T,2022-06-16,Home & Kitchen,223050.0,202316.0
B096M37Z1T,2022-06-17,Home & Kitchen,246240.0,223050.0
B096M37Z1T,2022-06-18,Home & Kitchen,255823.0,246240.0
B096M37Z1T,2022-06-19,Home & Kitchen,265966.0,255823.0
B096M37Z1T,2022-06-20,Home & Kitchen,276937.0,265966.0
B096M37Z1T,2022-06-21,Home & Kitchen,284234.0,276937.0
B096M37Z1T,2022-02-03,"Water Coolers, Filters & Cartridges",888.0,
B096M37Z1T,2022-02-04,"Water Coolers, Filters & Cartridges",914.0,888.0
B096M37Z1T,2022-02-05,"Water Coolers, Filters & Cartridges",945.0,914.0
B096M37Z1T,2022-02-06,"Water Coolers, Filters & Cartridges",962.0,945.0
B096M37Z1T,2022-02-14,"Water Coolers, Filters & Cartridges",862.0,962.0
B096M37Z1T,2022-02-15,"Water Coolers, Filters & Cartridges",910.0,862.0
B096M37Z1T,2022-02-16,"Water Coolers, Filters & Cartridges",939.0,910.0
B096M37Z1T,2022-02-17,"Water Coolers, Filters & Cartridges",966.0,939.0
B096M37Z1T,2022-02-21,"Water Coolers, Filters & Cartridges",1091.0,966.0
B096M37Z1T,2022-02-22,"Water Coolers, Filters & Cartridges",1116.0,1091.0
B096M37Z1T,2022-02-23,"Water Coolers, Filters & Cartridges",1151.0,1116.0
B096M37Z1T,2022-02-24,"Water Coolers, Filters & Cartridges",1187.0,1151.0
B096M37Z1T,2022-02-25,"Water Coolers, Filters & Cartridges",1220.0,1187.0
B096M37Z1T,2022-02-26,"Water Coolers, Filters & Cartridges",1253.0,1220.0
B096M37Z1T,2022-02-27,"Water Coolers, Filters & Cartridges",1282.0,1253.0
B096M37Z1T,2022-02-28,"Water Coolers, Filters & Cartridges",1317.0,1282.0
B096M37Z1T,2022-03-01,"Water Coolers, Filters & Cartridges",1346.0,1317.0
B096M37Z1T,2022-03-02,"Water Coolers, Filters & Cartridges",1377.0,1346.0
B096M37Z1T,2022-03-03,"Water Coolers, Filters & Cartridges",302.0,1377.0
B096M37Z1T,2022-03-04,"Water Coolers, Filters & Cartridges",438.0,302.0
B096M37Z1T,2022-03-06,"Water Coolers, Filters & Cartridges",625.0,438.0
B096M37Z1T,2022-03-07,"Water Coolers, Filters & Cartridges",716.0,625.0
B096M37Z1T,2022-03-08,"Water Coolers, Filters & Cartridges",183.0,716.0
B096M37Z1T,2022-03-09,"Water Coolers, Filters & Cartridges",344.0,183.0
B096M37Z1T,2022-03-10,"Water Coolers, Filters & Cartridges",439.0,344.0
B096M37Z1T,2022-03-11,"Water Coolers, Filters & Cartridges",510.0,439.0
B096M37Z1T,2022-03-12,"Water Coolers, Filters & Cartridges",561.0,510.0
B096M37Z1T,2022-05-05,"Water Coolers, Filters & Cartridges",740.0,561.0
B096M37Z1T,2022-05-06,"Water Coolers, Filters & Cartridges",759.0,740.0
B096M37Z1T,2022-05-07,"Water Coolers, Filters & Cartridges",798.0,759.0
B096M37Z1T,2022-05-08,"Water Coolers, Filters & Cartridges",832.0,798.0
B096M37Z1T,2022-05-09,"Water Coolers, Filters & Cartridges",259.0,832.0
B096M37Z1T,2022-05-10,"Water Coolers, Filters & Cartridges",418.0,259.0
B096M37Z1T,2022-05-11,"Water Coolers, Filters & Cartridges",528.0,418.0
B096M37Z1T,2022-05-12,"Water Coolers, Filters & Cartridges",607.0,528.0
B096M37Z1T,2022-05-13,"Water Coolers, Filters & Cartridges",269.0,607.0
B096M37Z1T,2022-05-14,"Water Coolers, Filters & Cartridges",240.0,269.0
B096M37Z1T,2022-05-15,"Water Coolers, Filters & Cartridges",254.0,240.0
B096M37Z1T,2022-05-16,"Water Coolers, Filters & Cartridges",310.0,254.0
B096M37Z1T,2022-05-17,"Water Coolers, Filters & Cartridges",418.0,310.0
B096M37Z1T,2022-05-18,"Water Coolers, Filters & Cartridges",494.0,418.0
B096M37Z1T,2022-05-19,"Water Coolers, Filters & Cartridges",579.0,494.0
B096M37Z1T,2022-05-20,"Water Coolers, Filters & Cartridges",639.0,579.0
B096M37Z1T,2022-05-21,"Water Coolers, Filters & Cartridges",714.0,639.0
B096M37Z1T,2022-05-22,"Water Coolers, Filters & Cartridges",770.0,714.0
B096M37Z1T,2022-05-23,"Water Coolers, Filters & Cartridges",801.0,770.0
B096M37Z1T,2022-05-24,"Water Coolers, Filters & Cartridges",812.0,801.0
B096M37Z1T,2022-05-25,"Water Coolers, Filters & Cartridges",826.0,812.0
