ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B096M37Z1T,"HUL Pureit Ultima Eco Mineral RO+UV+MF, 10L RO Water purifier",Hul Pureit,20500.0,863.0,6,3.7,NA,NA,24899.0,20500.0,856.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B08B27R8MP,HUL Pureit Advanced Pro Mineral RO+UV 6 stage wall mounted counter top black 7L Water Purifier,Hul Pureit,10793.0,28.0,3598,4.4,NA,NA,17400.0,10793.0,33.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B08BJN4MP3,HUL Pureit Eco Water Saver Mineral RO+UV+MF AS wall mounted/Counter top Black 10L Water Purifier,Hul Pureit,13499.0,6.0,6368,4.3,NA,NA,22500.0,13499.0,8.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B07MWBVTLP,HUL Pureit Copper+ Mineral RO + UV + MF 7 stage Table top / Wall Mountable Black & Copper 8 litres Water Purifier,Hul Pureit,21990.0,24.0,2788,4.3,NA,NA,27990.0,21990.0,32.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B00I8QV2VY,HUL Pureit Ultima Mineral RO + UV + MF 7 stage Table top / wall mountable Black 10 litres Water Purifier,Hul Pureit,17950.0,111.0,3052,4.0,NA,NA,24899.0,17999.0,98.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B07GDQWSZ9,HUL Pureit Classic G2 Mineral RO + UV 6 Stage Table Top/Wall Mountable White & Blue 6 litres Water Purifier,Hul Pureit,12740.0,122.0,444,4.3,NA,NA,16049.0,12740.0,119.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B07FDZ9KL7,HUL Pureit Classic G2 Mineral RO+MF 6L Water Purifier,Hul Pureit,10099.0,575.0,451,4.3,NA,NA,13299.0,10099.0,576.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B09M45XKKF,"HUL Pureit Advanced Plus 5 L RO + UV + Minerals Water Purifier with Minerals (Black), 422.6 mm*380 mm*165.6 mm*, (WCRU400)",Hul Pureit,8579.0,123.0,93,4.4,NA,NA,14000.0,8579.0,92.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B094YD54TC,"HUL Pureit Advanced RO + MF 6 Stage, 7 Litre Storage,Wall mounted/Counter top Water Purifier, Black, FreeSize (WCRO500)",Hul Pureit,7565.0,35.0,479,4.4,NA,NA,10000.0,7799.0,34.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B009PJ8Y3W,HUL Pureit Marvella G2 UV 4 Stage Table Top/Wall Mountable White & Blue 4 litres Water Purifier,Hul Pureit,7694.0,87.0,768,4.3,NA,NA,9999.0,7694.0,80.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B08MFP6FJC,HUL Pureit COPPER+ ECO MINERAL RO + UV + MF purifier,Hul Pureit,23380.0,224.0,11,4.4,NA,NA,29699.0,23450.0,151.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B01N6CA6H6,HUL Pureit Classic G2 UV+ Water Purifier – 2L,Hul Pureit,6540.0,242.0,593,4.4,NA,NA,8390.0,6540.0,126.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B09HV1J6ZB,Livpure Plastic Super Sediment Removes Chlorine Fluoride Heavy Metals Hard Water Softener Water || 1 Pc,Livpure,529.0,,1,5.0,NA,NA,650.0,529.0,,0.0,NA,1.0,Water Cartridges,
B09NYB55XJ,Livpure Diveter Value 1/4 Removes Chlorine Fluoride Heavy Metals Hard Water Softener Water || White || 1 Pc,Livpure,,,,,NA,NA,,,,0.0,NA,0.1875,Kitchen Knives,
B08C3LT4GV,KENT Elite Plus 11078,Kent,,,,,NA,NA,,,,0.0,NA,0.9375,Water Purifiers & Accessories,
B08JW7R7LY,KENT 12015 Ozone Disinfection Box | Equipped with Ozone Generator | Disinfects Multiple Items | Better Than UV Sterilizer,Kent,6200.0,,8,3.8,NA,NA,7500.0,6200.0,,0.0,NA,1.0,Water Purifier Accessories,
B0848QJY7D,"Eureka Forbes Uf Membrane 4"" for Geneus, Superb and Uf Model, Plastic, White",Eureka Forbes,,,5,3.8,NA,NA,,,,0.0,NA,0.5625,Water Cartridges,
B09NYD76ZK,Livpure Plastic FRT 550 1 Piece Set Removes Chlorine Fluoride Heavy Metals Hard Water Softener Water || White || 1 Pc,Livpure,,,,,NA,NA,,,,0.0,NA,0.9375,Kitchen Knives,
B08493C8T8,"Eureka Forbes Smps for Reviva Enhance Model Without Lead, Plastic, Black",Eureka Forbes,,,,,NA,NA,,,,0.0,NA,0.5625,Water Purifier Accessories,
B07FSJX2FH,Kent Electric Float Valve G,Kent,,,1,4.0,NA,NA,,,,0.0,NA,0.0,Water Purifier Accessories,
B074KFPDB1,EUREKA FORBES Magna HD RO + UV Aquaguard with Pre Sediment Filter,Eureka Forbes,18380.0,,1,1.0,NA,NA,21790.0,18380.0,,0.0,NA,1.0,Water Filters & Purifiers,
B08PBPVJY8,"Eureka Forbes Aquaguard Marvel 8L RO+UV e-boiling+MTDS with Active Copper & Eureka Forbes Aeroguard AP 700 Air Purifier with H1N1 filter removes 99.99% airborne viruses,6 stages of filtration",Eureka Forbes,,,,,NA,NA,,,,0.0,NA,1.0,HEPA Air Purifiers,
B07GFR25RG,KENT FRT 550/600,Kent,200.0,481.0,78,3.9,NA,NA,250.0,200.0,445.0,0.0,NA,1.0,Water Filters & Purifiers,
B01CR0MU1W,Blue Star Premium Normal Standing Water Dispenser,Blue Star,,,4,2.9,NA,NA,,,,0.0,NA,0.0,Water Purifier Accessories,
B018P2M728,KENT Ro Spares Post Carbon Filter,Kent,400.0,,340,4.0,NA,NA,,400.0,,0.0,NA,1.0,Water Cartridges,
