Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Fulfilled,Sponsored,Present
Water purifier with hot and cold,1,B09NSYNSJ4,Bepure 3G Hot and Normal 7L UV+UF Water Purifier with hot water function| Zero Water Wastage BARC UF Technology with 6 Stage Water Purification| UV UF Water Purifier for home| Works Up to 250 ppm TDS| Ideal for Municipal and City Water Supply,Bepure,10790.00,17999.00,NA,False,True
Water purifier with hot and cold,2,B0755JMLFV,AO Smith Z9 Hot+ normal RO |10 L|100%RO+SCMT(Silver Charged Membrane Tech.)|Mineraliser Tech.| Water saving| suitable for more than 200 TDS | Wall mount Water Purifier| Touch dispensing,Ao Smith,25299.00,32500.00,Fulfilled,False,True
Water purifier with hot and cold,3,B0755JMF9G,"AO Smith Z1 Hot+ normal UV| UV+ UF ( Ultra Violet+ Ultra Fine), Suitable for Municipal Water, TDS below 200| 10L storage| Wall mount Water Purifier for home",Ao Smith,,,Fulfilled,False,True
Water purifier with hot and cold,4,B00ZCL1XLW,"Blue Star Hot, Cold and Normal Water Dispenser with Non Cooling Storage Cabinet - White & Blue",Blue Star,,,NA,False,True
Water purifier with hot and cold,5,B0755D9T1M,AO Smith Z8 Hot+ normal RO |10 L storage|100%RO+SCMT(Silver Charged Membrane Tech.)|Mineralizer Tech.| Water saving |suitable for  more than 200 TDS | Wall mount Water Purifier for home,Ao Smith,23599.00,29950.00,Fulfilled,False,True
Water purifier with hot and cold,6,B07YWLSXQ6,Bepure 4G Hot and Cold Water Purifier 9 L RO+UV+UF+TDS Purification| 8 Stage Water Purification| Water Purifiers with Hot n Cold| Works Up to 3000ppm TDS| Room Temperature Water Tap at side,Bepure,15999.00,24999.00,NA,False,True
Water purifier with hot and cold,7,B07Q1J1JX5,"CUCKOO King Top Alkaline Water Purifier | Hot & Cold Alkaline Water with Stainless Steel Tank, Smart Wheel| Advanced Nano Positive Filtration with Zero Water Wastage(Up to 350 TDS)",Cuckoo,21890.00,26990.00,Fulfilled,False,True
Water purifier with hot and cold,8,B08X4TGTTP,"Eureka Forbes Enhance NXT UV + Hot & Ambient water purification with Active Copper Technology (White, Copper) - Pack of 1 Water Purifier",Eureka Forbes,12499.00,16500.00,Fulfilled,False,True
Water purifier with hot and cold,9,B09XJ6MX8T,"Standing Water Dispenser & Purifier With RO (With Hot, Cold & Normal Water System) | Bottle Free | 4 Stage Filter | Child Lock",Generic,15499.00,21000.00,NA,False,True
Water purifier with hot and cold,10,B08FBZD1G5,"Aquaguard Blaze RO+UV+MTDS Water Purifier, Active Copper Technology with HOT & Ambient water (Black)",Eureka Forbes,23850.00,36500.00,Fulfilled,False,True
Water purifier with hot and cold,11,B08HWXFRKK,"Kent Elegant (11097), Wall Mountable RO + UF + TDS Control + UV Disinfection in Tank, 8 L Tank, White, 15 LPH Water Purifier",Kent,13799.00,19500.00,Fulfilled,False,True
Water purifier with hot and cold,12,B09F2FW4ZK,"KENT Supreme Alkaline Water Purifier (11113), , Smart Alkaline Technology, Multiple Purification Process, RO+UV+UF+Alkaline+TDS Control, UV LED Light in Storage Tank",Kent,16199.00,21000.00,Fulfilled,False,True
Water purifier with hot and cold,13,B089D9SHPY,Bepure 3G Hot and Normal 7L RO+UV+UF+TDS Water Purifier with Hot Water Function| 8 Stage Water Purification| Hot Water Purifier| Works Up to 3000 ppm TDS,Bepure,11999.00,19999.00,NA,False,True
Water purifier with hot and cold,14,B09574TLHG,Bepure 4G pH Hot and Cold Water Purifier 9 L UV+ UF+ Alkaline Purification| Zero Wastage BARC UF Technology with 6 stage Water Purification| Alkaline Water Purifier for home| Works up to 250 ppm TDS| Room Temperature water available at side tap,Bepure,15990.00,19999.00,NA,False,True
Water purifier with hot and cold,15,B0755JMLFV,AO Smith Z9 Hot+ normal RO |10 L|100%RO+SCMT(Silver Charged Membrane Tech.)|Mineraliser Tech.| Water saving| suitable for more than 200 TDS | Wall mount Water Purifier| Touch dispensing,Ao Smith,25299.00,32500.00,Fulfilled,False,True
Water purifier with hot and cold,16,B09BCYZC8Z,AquaActive ECO Hot Normal Cold Water Purifier RO+UV+TDS+(Stainless Steel Hot Water Tank),Aquaactive,15000.00,32800.00,NA,False,True
Water purifier with hot and cold,17,B0859RHH6X,"Eureka Forbes AquaSure from Aquaguard Amaze RO+UV+UF(Ultra-Filtration)+MTDS Water Purifier (Black), Set of 1",Eureka Forbes,10499.00,18000.00,Fulfilled,False,True
Water purifier with hot and cold,18,B08KFC9HR6,"V-Guard Zenora RO+UV+MB 7 Litre Water Purifier With 8 Stage Purification and pH Balancer, Black, Free Installation & Free External Pre-Filters",V-Guard,10290.00,15949.00,Fulfilled,False,True
Water purifier with hot and cold,19,B09YNXYR9B,AquaDeal 4G ACE HOT & Cold RO+UV in Tank+UF+TDS Water Purifier+Vegetable Cleaner | up to 3000ppm | Normal tap a Side (Blue),Aqua Deal,19990.00,29990.00,NA,False,True
Water purifier with hot and cold,20,B08KHPDG3N,"Eureka Forbes Aquaguard Aura UV+UF (TDS: Up to 200PPM)|Patented Active Copper & Zinc Booster|Wall or Countertop Installation, 7L Storage",Eureka Forbes,11299.00,16500.00,Fulfilled,False,True
Water purifier with hot and cold,21,B09NKS8Q2V,"Eureka Forbes Aquaguard Marvel NXT RO+UV+MTDS, Patented Active Copper & Zinc Booster, UV e-boiling, Taste Adjuster (MTDS), Wall or Countertop Installation, 6.2L Storage",Eureka Forbes,13999.00,22000.00,Fulfilled,False,True
Water purifier with hot and cold,22,B0755D9T1M,AO Smith Z8 Hot+ normal RO |10 L storage|100%RO+SCMT(Silver Charged Membrane Tech.)|Mineralizer Tech.| Water saving |suitable for  more than 200 TDS | Wall mount Water Purifier for home,Ao Smith,23599.00,29950.00,Fulfilled,False,True
