ASIN,String,Rating,Frequency
B08MFP6FJC,exellent,5.0,2
B08MFP6FJC,exellent experience,5.0,2
B08MFP6FJC,experience,5.0,4
B08MFP6FJC,good,5.0,11
B08MFP6FJC,excellent,5.0,1
B08MFP6FJC,excellent product,5.0,1
B08MFP6FJC,product,5.0,5
B08MFP6FJC,product good,5.0,3
B08MFP6FJC,good service,5.0,2
B08MFP6FJC,service,5.0,3
B08MFP6FJC,service copper,5.0,1
B08MFP6FJC,copper,5.0,1
B08MFP6FJC,copper good,5.0,1
B08MFP6FJC,good health,5.0,1
B08MFP6FJC,health,5.0,1
B08MFP6FJC,health looking,5.0,1
B08MFP6FJC,looking,5.0,1
B08MFP6FJC,looking nice,5.0,1
B08MFP6FJC,nice,5.0,1
B08MFP6FJC,nice price,5.0,1
B08MFP6FJC,price,5.0,1
B08MFP6FJC,price good,5.0,1
B08MFP6FJC,good teste,5.0,1
B08MFP6FJC,teste,5.0,1
B08MFP6FJC,teste good,5.0,1
B08MFP6FJC,good example,5.0,1
B08MFP6FJC,example,5.0,1
B08MFP6FJC,example hkbogi,5.0,1
B08MFP6FJC,hkbogi,5.0,1
B08MFP6FJC,hkbogi kkkk,5.0,1
B08MFP6FJC,kkkk,5.0,1
B08MFP6FJC,kkkk yogi,5.0,1
B08MFP6FJC,yogi,5.0,1
B08MFP6FJC,yogi i'd,5.0,1
B08MFP6FJC,i'd,5.0,1
B08MFP6FJC,i'd udiv,5.0,1
B08MFP6FJC,udiv,5.0,2
B08MFP6FJC,good product,5.0,1
B08MFP6FJC,good sarvice,5.0,2
B08MFP6FJC,sarvice,5.0,3
B08MFP6FJC,fully,5.0,1
B08MFP6FJC,fully satisfied,5.0,1
B08MFP6FJC,satisfied,5.0,1
B08MFP6FJC,satisfied product,5.0,1
B08MFP6FJC,sarvice good,5.0,1
B08MFP6FJC,good quality,5.0,1
B08MFP6FJC,quality,5.0,1
B08MFP6FJC,quality water,5.0,1
B08MFP6FJC,water,5.0,1
B08MFP6FJC,water low,5.0,1
B08MFP6FJC,low,5.0,1
B08MFP6FJC,low maintenance,5.0,1
B08MFP6FJC,maintenance,5.0,1
B08MFP6FJC,maintenance hindustan,5.0,1
B08MFP6FJC,hindustan,5.0,1
B08MFP6FJC,hindustan unilever,5.0,1
B08MFP6FJC,unilever,5.0,1
B08MFP6FJC,unilever product,5.0,1
B00I8QV2VY,bad,1.0,4
B00I8QV2VY,bad test,1.0,1
B00I8QV2VY,test,1.0,1
B00I8QV2VY,test water,1.0,1
B00I8QV2VY,water,1.0,5
B00I8QV2VY,worth,1.0,1
B00I8QV2VY,worth maintenance,1.0,1
B00I8QV2VY,maintenance,1.0,4
B00I8QV2VY,maintenance charge,1.0,1
B00I8QV2VY,charge,1.0,1
B00I8QV2VY,charge u,1.0,1
B00I8QV2VY,u,1.0,3
B00I8QV2VY,u pay,1.0,1
B00I8QV2VY,pay,1.0,1
B00I8QV2VY,pay evry,1.0,1
B00I8QV2VY,evry,1.0,1
B00I8QV2VY,evry 3,1.0,1
B00I8QV2VY,3,1.0,2
B00I8QV2VY,3 month,1.0,1
B00I8QV2VY,month,1.0,4
B00I8QV2VY,bad ro..,1.0,1
B00I8QV2VY,ro..,1.0,1
B00I8QV2VY,ro.. u,1.0,1
B00I8QV2VY,u paying,1.0,1
B00I8QV2VY,paying,1.0,2
B00I8QV2VY,paying thn,1.0,1
B00I8QV2VY,thn,1.0,1
B00I8QV2VY,thn u,1.0,1
B00I8QV2VY,u bought,1.0,1
B00I8QV2VY,bought,1.0,1
B00I8QV2VY,bought tor,1.0,1
B00I8QV2VY,tor,1.0,1
B00I8QV2VY,tor year..,1.0,1
B00I8QV2VY,year..,1.0,1
B00I8QV2VY,year.. high,1.0,1
B00I8QV2VY,high,1.0,2
B00I8QV2VY,high maintenance,1.0,1
B00I8QV2VY,maintenance product,1.0,1
B00I8QV2VY,product,1.0,9
B00I8QV2VY,product increase,1.0,1
B00I8QV2VY,increase,1.0,1
B00I8QV2VY,increase price,1.0,1
B00I8QV2VY,price,1.0,1
B00I8QV2VY,price filter,1.0,1
B00I8QV2VY,filter,1.0,5
B00I8QV2VY,filter everytime,1.0,1
B00I8QV2VY,everytime,1.0,1
B00I8QV2VY,everytime call,1.0,1
B00I8QV2VY,call,1.0,2
B00I8QV2VY,call get,1.0,1
B00I8QV2VY,get,1.0,1
B00I8QV2VY,get change,1.0,1
B00I8QV2VY,change,1.0,1
B00I8QV2VY,change (,1.0,1
B00I8QV2VY,(,1.0,1
B00I8QV2VY,( approximately,1.0,1
B00I8QV2VY,approximately,1.0,1
B00I8QV2VY,approximately every,1.0,1
B00I8QV2VY,every,1.0,1
B00I8QV2VY,every 3,1.0,1
B00I8QV2VY,3 months).,1.0,1
B00I8QV2VY,months).,1.0,1
B00I8QV2VY,months). avoid,1.0,1
B00I8QV2VY,avoid,1.0,1
B00I8QV2VY,avoid buying,1.0,1
B00I8QV2VY,buying,1.0,2
B00I8QV2VY,buying this.,1.0,1
B00I8QV2VY,this.,1.0,1
B00I8QV2VY,this. never,1.0,1
B00I8QV2VY,never,1.0,2
B00I8QV2VY,never regretted,1.0,1
B00I8QV2VY,regretted,1.0,1
B00I8QV2VY,regretted buying,1.0,1
B00I8QV2VY,buying anything,1.0,1
B00I8QV2VY,anything,1.0,1
B00I8QV2VY,anything more.,1.0,1
B00I8QV2VY,more.,1.0,2
B00I8QV2VY,poor,1.0,1
B00I8QV2VY,poor sale,1.0,1
B00I8QV2VY,sale,1.0,1
B00I8QV2VY,sale service,1.0,1
B00I8QV2VY,service,1.0,6
B00I8QV2VY,instruction,1.0,1
B00I8QV2VY,"instruction manual,",1.0,1
B00I8QV2VY,"manual,",1.0,1
B00I8QV2VY,"manual, though",1.0,1
B00I8QV2VY,though,1.0,1
B00I8QV2VY,though mention,1.0,1
B00I8QV2VY,mention,1.0,1
B00I8QV2VY,mention package.,1.0,1
B00I8QV2VY,package.,1.0,1
B00I8QV2VY,package. easy,1.0,1
B00I8QV2VY,easy,1.0,1
B00I8QV2VY,easy operate.,1.0,1
B00I8QV2VY,operate.,1.0,2
B00I8QV2VY,worst,1.0,6
B00I8QV2VY,worst ro,1.0,1
B00I8QV2VY,ro,1.0,1
B00I8QV2VY,ro till,1.0,1
B00I8QV2VY,till,1.0,2
B00I8QV2VY,till date,1.0,2
B00I8QV2VY,date,1.0,3
B00I8QV2VY,purchased,1.0,1
B00I8QV2VY,purchased pureit,1.0,1
B00I8QV2VY,pureit,1.0,3
B00I8QV2VY,pureit ultima,1.0,1
B00I8QV2VY,ultima,1.0,1
B00I8QV2VY,ultima eco,1.0,1
B00I8QV2VY,eco,1.0,1
B00I8QV2VY,eco 4th,1.0,1
B00I8QV2VY,4th,1.0,1
B00I8QV2VY,4th jan...,1.0,1
B00I8QV2VY,jan...,1.0,1
B00I8QV2VY,jan... within,1.0,1
B00I8QV2VY,within,1.0,1
B00I8QV2VY,within 4,1.0,1
B00I8QV2VY,4,1.0,1
B00I8QV2VY,4 month,1.0,1
B00I8QV2VY,month membrane,1.0,1
B00I8QV2VY,membrane,1.0,2
B00I8QV2VY,membrane damaged..,1.0,1
B00I8QV2VY,damaged..,1.0,1
B00I8QV2VY,damaged.. gkk,1.0,1
B00I8QV2VY,gkk,1.0,1
B00I8QV2VY,gkk kit,1.0,1
B00I8QV2VY,kit,1.0,2
B00I8QV2VY,kit useless...,1.0,1
B00I8QV2VY,useless...,1.0,1
B00I8QV2VY,useless... many,1.0,1
B00I8QV2VY,many,1.0,1
B00I8QV2VY,many call,1.0,1
B00I8QV2VY,call company,1.0,1
B00I8QV2VY,company,1.0,1
B00I8QV2VY,company replacing,1.0,1
B00I8QV2VY,replacing,1.0,1
B00I8QV2VY,replacing membrane,1.0,1
B00I8QV2VY,membrane one,1.0,1
B00I8QV2VY,one,1.0,1
B00I8QV2VY,one year...,1.0,1
B00I8QV2VY,year...,1.0,1
B00I8QV2VY,year... total,1.0,1
B00I8QV2VY,total,1.0,3
B00I8QV2VY,total total,1.0,1
B00I8QV2VY,total wastage,1.0,1
B00I8QV2VY,wastage,1.0,1
B00I8QV2VY,wastage money...,1.0,1
B00I8QV2VY,money...,1.0,1
B00I8QV2VY,money... feeling,1.0,1
B00I8QV2VY,feeling,1.0,1
B00I8QV2VY,feeling cheated.,1.0,1
B00I8QV2VY,cheated.,1.0,2
B00I8QV2VY,big,1.0,1
B00I8QV2VY,big buy,1.0,1
B00I8QV2VY,buy,1.0,5
B00I8QV2VY,buy hul,1.0,2
B00I8QV2VY,hul,1.0,2
B00I8QV2VY,hul pureit,1.0,1
B00I8QV2VY,never buy,1.0,1
B00I8QV2VY,hul pureit..they,1.0,1
B00I8QV2VY,pureit..they,1.0,1
B00I8QV2VY,pureit..they neither,1.0,1
B00I8QV2VY,neither,1.0,1
B00I8QV2VY,neither service,1.0,1
B00I8QV2VY,service network/support,1.0,1
B00I8QV2VY,network/support,1.0,1
B00I8QV2VY,network/support control,1.0,1
B00I8QV2VY,control,1.0,1
B00I8QV2VY,control quality.,1.0,1
B00I8QV2VY,quality.,1.0,2
B00I8QV2VY,worst product,1.0,2
B00I8QV2VY,procured,1.0,2
B00I8QV2VY,procured device,1.0,1
B00I8QV2VY,device,1.0,1
B00I8QV2VY,device 1.5,1.0,1
B00I8QV2VY,1.5,1.0,2
B00I8QV2VY,1.5 year,1.0,2
B00I8QV2VY,year,1.0,3
B00I8QV2VY,year back.,1.0,1
B00I8QV2VY,back.,1.0,1
B00I8QV2VY,back. changed,1.0,1
B00I8QV2VY,changed,1.0,1
B00I8QV2VY,changed filter,1.0,1
B00I8QV2VY,filter per,1.0,1
B00I8QV2VY,per,1.0,1
B00I8QV2VY,per machine,1.0,1
B00I8QV2VY,machine,1.0,3
B00I8QV2VY,"machine show,",1.0,1
B00I8QV2VY,"show,",1.0,1
B00I8QV2VY,"show, time",1.0,1
B00I8QV2VY,time,1.0,1
B00I8QV2VY,time system,1.0,1
B00I8QV2VY,system,1.0,1
B00I8QV2VY,system resetting.,1.0,1
B00I8QV2VY,resetting.,1.0,1
B00I8QV2VY,resetting. technician,1.0,1
B00I8QV2VY,technician,1.0,3
B00I8QV2VY,technician told,1.0,1
B00I8QV2VY,told,1.0,1
B00I8QV2VY,told circuit,1.0,1
B00I8QV2VY,circuit,1.0,2
B00I8QV2VY,circuit gone.,1.0,1
B00I8QV2VY,gone.,1.0,1
B00I8QV2VY,gone. bring,1.0,1
B00I8QV2VY,bring,1.0,1
B00I8QV2VY,bring new,1.0,1
B00I8QV2VY,new,1.0,2
B00I8QV2VY,new circuit,1.0,1
B00I8QV2VY,"circuit board,",1.0,1
B00I8QV2VY,"board,",1.0,1
B00I8QV2VY,"board, use.",1.0,1
B00I8QV2VY,use.,1.0,1
B00I8QV2VY,use. procured,1.0,1
B00I8QV2VY,procured machine,1.0,1
B00I8QV2VY,machine around,1.0,1
B00I8QV2VY,around,1.0,1
B00I8QV2VY,"around 16000,",1.0,1
B00I8QV2VY,"16000,",1.0,1
B00I8QV2VY,"16000, till",1.0,1
B00I8QV2VY,date spent,1.0,1
B00I8QV2VY,spent,1.0,1
B00I8QV2VY,spent 11500,1.0,1
B00I8QV2VY,11500,1.0,1
B00I8QV2VY,11500 filter,1.0,1
B00I8QV2VY,"filter repair,",1.0,1
B00I8QV2VY,"repair,",1.0,1
B00I8QV2VY,"repair, buy",1.0,1
B00I8QV2VY,"buy product,",1.0,1
B00I8QV2VY,"product,",1.0,1
B00I8QV2VY,"product, product",1.0,1
B00I8QV2VY,product durability,1.0,1
B00I8QV2VY,durability,1.0,1
B00I8QV2VY,durability competent,1.0,1
B00I8QV2VY,competent,1.0,1
B00I8QV2VY,competent technician,1.0,1
B00I8QV2VY,worst product.high,1.0,1
B00I8QV2VY,product.high,1.0,1
B00I8QV2VY,product.high maintenance,1.0,1
B00I8QV2VY,worst product.,1.0,1
B00I8QV2VY,product.,1.0,1
B00I8QV2VY,product. high,1.0,1
B00I8QV2VY,high maintenance.,1.0,1
B00I8QV2VY,maintenance.,1.0,1
B00I8QV2VY,maintenance. gave,1.0,1
B00I8QV2VY,gave,1.0,1
B00I8QV2VY,gave new,1.0,1
B00I8QV2VY,new machine,1.0,1
B00I8QV2VY,machine exchange,1.0,1
B00I8QV2VY,exchange,1.0,1
B00I8QV2VY,exchange brand,1.0,1
B00I8QV2VY,brand,1.0,1
B00I8QV2VY,brand peanut,1.0,1
B00I8QV2VY,peanut,1.0,1
B00I8QV2VY,peanut rate.,1.0,1
B00I8QV2VY,rate.,1.0,2
B00I8QV2VY,इससे,1.0,1
B00I8QV2VY,इससे बेकार,1.0,1
B00I8QV2VY,बेकार,1.0,2
B00I8QV2VY,बेकार वाटर,1.0,1
B00I8QV2VY,वाटर,1.0,2
B00I8QV2VY,वाटर प्यूरीफायर,1.0,2
B00I8QV2VY,प्यूरीफायर,1.0,2
B00I8QV2VY,प्यूरीफायर कोई,1.0,1
B00I8QV2VY,कोई,1.0,2
B00I8QV2VY,कोई भी,1.0,2
B00I8QV2VY,भी,1.0,3
B00I8QV2VY,भी नही,1.0,1
B00I8QV2VY,नही,1.0,1
B00I8QV2VY,नही होगा,1.0,1
B00I8QV2VY,होगा,1.0,2
B00I8QV2VY,मैं,1.0,1
B00I8QV2VY,मैं आप,1.0,1
B00I8QV2VY,आप,1.0,2
B00I8QV2VY,आप सभी,1.0,1
B00I8QV2VY,सभी,1.0,1
B00I8QV2VY,सभी दोस्तों,1.0,1
B00I8QV2VY,दोस्तों,1.0,1
B00I8QV2VY,दोस्तों से,1.0,1
