ASIN,Question,Answer,Votes,Date
B07F8H9PGS,What is its MRP?,Go to product website,0,08-06-2022
B07F8H9PGS,Does this product contain bleach? Is it 100% bleach free?,Yeah,0,08-06-2022
B07F8H9PGS,How long is the expiry?,No expiry,0,08-06-2022
B07F8H9PGS,Can I use surf excel quick wash in my Samsung top load washing machine,Definitely you can,0,27-04-2021
B07F8H9PGS,One kg package is available,Yep,0,08-06-2022
B07F8H9PGS,For how much order delivery charges will be waived off ??,Above Ra499 free delivery,0,08-06-2022
B07F8H9PGS,Is measure cup provided,Nope,0,03-11-2019
B07F8H9PGS,Is measure cup provided,No,0,25-10-2019
B07F8H9PGS,What are the delivery charges ?,"No ,I happy for Amazon thanks for free delivery",0,07-07-2019
B07F8H9PGS,What are the delivery charges ?,Delivery Charges is free,0,27-05-2019
B07F9ZRRJG,What is the Mrp of this product?,1325,0,24-09-2022
B07F9ZRRJG,How many packets of detergent in the box??,"One Pack of 1 KG, instead of Two packs of 1 KG each.",0,26-08-2022
B07F9ZRRJG,I think in this box they gave spoon to to measure dosage but There is no spoon inside,"Normally, we receive one plastic measure spoon in each one kg packet.",0,07-02-2022
B07F9ZRRJG,Can I subscribe it it again?,👍 good quality,0,02-09-2021
B07F9ZRRJG,Can i use for onida top load machine?,"Yes, this product can be used with any Top Load washing machine from ang brand.",0,01-05-2021
B07F9ZRRJG,What is the expiry date and manufacturing date of this product?,As on today we r selling Manufacturing date is 12/20,0,01-03-2021
B07F9ZRRJG,Can we use this detergent for LG semi automatic washing machine,Yes,0,06-02-2021
B07F9ZRRJG,Used for front door l g machine fully automatic,this is for Top Load can u for fully automatic machine,0,23-01-2021
B07F9ZRRJG,Refund me,why refund,0,06-02-2021
B07F9ZRRJG,This item surf excel 4+20kg is applicable for return of refund too plz do it,No I think it's not,0,06-02-2021
B08D8NNRDT,Is it pack of 3.?,"Yes , it’s pack of 3",0,16-05-2022
B08D8NNRDT,Can this be used for top load washing machine?,Undoubtedly. You can go for and for a fantastic result .,0,28-02-2022
B08D8NNRDT,Is it 1 pack or 3 packs of 3kg?,Price  very very high....,0,09-02-2022
B07PZWWJKK,Does it have a scoop in the 4kg pack?,"Yes, it does come with a scoop.",0,25-08-2022
B07PZWWJKK,Validity period to return item  su⁸9rf excel powder 3+1 kg  front load,10 days,0,27-10-2021
B07PZWWJKK,Shall i use front loading machine powder. In top loading washing machine,Yes it will work in both type of machines,0,05-09-2021
B07PZWWJKK,Difference between top load and front load powders,According to my experience there's better results from top load surf powder,0,27-10-2021
B07PZWWJKK,What's best before date,Best before date means the expiry date is given ya months see on the box .if u keep properly it doesn't get spoil  u can use after expiry date.,0,01-09-2021
B07PZWWJKK,Surge excel 3kg + 1kg is free but u didn’t give,In one box 4 packets comes. It is 3+1free.i ordered many times i got the correct one.,0,01-09-2021
B07PZWWJKK,Product date,05/21,0,27-10-2021
B07PZWWJKK,उत्पादन तिथि क्या है,2002,0,27-07-2021
B07PZWWJKK,I ordered for 4+2kg surf excel front load. But got only 4kg without any label how could i trust you?,Please call on Amazon customer care number they will help you.,0,01-09-2021
B07PZWWJKK,I ordered for 4×2kg surf excel front load. But got only 4kg without any label how could i trust you?,It's simple... Just return the product with photo/video proof and call customer care  of AMAZON.,0,27-10-2021
B07F9X4S5T,6 kg in one packet or 1kg each in 6 packet,1kg in 6 packets,0,06-06-2022
B07F9X4S5T,804421 not delivered,I got this product as per the delivery shedule mentioned,0,05-05-2021
B07F9X4S5T,This is bleach free or not,I found after using the colour of the garment is clean and shiny.  Hence it is supposed to be Bleech free. If bleach is added th colour of garment becomes dull.,0,21-02-2021
B07F9X4S5T,Have you changed the fragrance. I am feeling that I got a duplicate stuff.,Fragrance is sane and you can feel it after washing and drying.  However if one needs more fragrance add COMFORT ‘ conditioner.,0,21-02-2021
B07F9X4S5T,"How it possible tat surf excel matic front load 4 kg plus 2 kg free , if cost is 1098",It costs Rs  183/- per kg.  Which is reasonable.  Supplier should think of giving 4+3 Kgs. So that sales will boosts up.,0,21-02-2021
B07F9X4S5T,"If that product was damage,what shall I do..",Ask for free replacement.  Damage depends upon the quality of the clothing.,0,21-02-2021
B07F9X4S5T,What shall i do if i received old  product,Return and ask for compensation.,0,21-02-2021
B07F9X4S5T,How to send the link,Best,0,18-08-2020
B07F9X4S5T,May I use it in LG front load washing machine?,Thank you for choosing our product. Yes you can use Surf Excel Matic Front Load Detergent Powder for LG front load washing machines.,0,22-12-2020
B07F9X4S5T,Expire date?,Don't know i brought for my mom she is in India,0,04-07-2020
B0963XJG72,For all type of washing we can use ?,Front load,0,06-11-2022
B0963XJG72,Surf Excel liquid and Shot both need to use for washing or only shot is enough?,"Depends upon cloth, how dirty they are. If you are washing your daily attire, better use only shot, if clothes are toodnirty and have some stains, use mixed one",0,06-11-2022
B0963XJG72,What do u mean by 1 load? I have 7kg load capacity washing machine.. Does 1 pod will be enough?,"One for,up to 5 kg",0,25-10-2022
B0963XJG72,How many smart short contains ?,17 pieces,0,13-10-2022
B0963XJG72,Does it works in sami automatic machine,Yes u can use it.  The same way earlier u used use power detergent then liquid detergent now in shots it will consist of detergent fabric conditioner and fragrance and stain remover all in one,0,21-07-2022
B0963XJG72,Can i wash my tatoo from this?,No,0,13-10-2022
B0963XJG72,Does this product contains fabric conditioner also,"This does not contain fabric conditioner, for that use EZEE liquid detergent with fabric conditioner instead of Surf, however if u wash clothes with Surf liquid u don't separately need any conditioner coz the clothes come out fresh",0,05-02-2022
