ASIN,Category,Latest BSR,Last Day BSR
B07F8H9PGS,Health & Personal Care,30330.0,23115.0
B07F8H9PGS,Powder Detergent,193.0,151.0
B07PZWWJKK,Health & Personal Care,63.0,73.0
B07PZWWJKK,Powder Detergent,8.0,10.0
B07SC373N4,Health & Personal Care,40690.0,22690.0
B07SC373N4,Powder Detergent,236.0,145.0
B07S9ZHWDP,Health & Personal Care,84420.0,74979.0
B07S9ZHWDP,Powder Detergent,461.0,414.0
B08D8NNRDT,Health & Personal Care,597.0,1012.0
B08D8NNRDT,Powder Detergent,28.0,37.0
B07F9X4S5T,Health & Personal Care,95.0,121.0
B07F9X4S5T,Powder Detergent,14.0,14.0
B07S8WSJ51,Health & Personal Care,17852.0,12163.0
B07S8WSJ51,Powder Detergent,127.0,101.0
B07PXND4T6,Health & Personal Care,89.0,116.0
B07PXND4T6,Powder Detergent,13.0,13.0
B077P3NMZR,Health & Personal Care,59888.0,56557.0
B077P3NMZR,Powder Detergent,328.0,319.0
B01ITJ6642,Health & Personal Care,83.0,72.0
B01ITJ6642,Powder Detergent,12.0,9.0
B07F9ZRRJG,Health & Personal Care,97.0,145.0
B07F9ZRRJG,Powder Detergent,15.0,15.0
B07KZWYJQN,Health & Personal Care,29495.0,40059.0
B07KZWYJQN,Powder Detergent,191.0,233.0
B09VH7F6XL,Health & Personal Care,52858.0,49419.0
B09VH7F6XL,Powder Detergent,289.0,273.0
B0963XJG72,Health & Personal Care,249.0,327.0
B0963XJG72,Liquid Detergent,13.0,15.0
B0963XJG72,Powder Detergent,19.0,20.0
B07SC35YGH,Health & Personal Care,9727.0,34060.0
B07SC35YGH,Powder Detergent,91.0,204.0
B07S8WT5LW,Health & Personal Care,55512.0,52287.0
B07S8WT5LW,Powder Detergent,302.0,289.0
B079GXSVWD,Health & Personal Care,2101.0,1902.0
B079GXSVWD,Powder Detergent,45.0,41.0
B00U2DUE1A,Health & Personal Care,414.0,380.0
B00U2DUE1A,Powder Detergent,25.0,23.0
B00U2DUC9O,Health & Personal Care,8535.0,6982.0
B00U2DUC9O,Powder Detergent,85.0,75.0
B0BB1FWRD7,Health & Personal Care,29756.0,31857.0
B0BB1FWRD7,Powder Detergent,192.0,195.0
