ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B07F8H9PGS,Surf Excel Quick Wash Detergent Powder - 2 kg,Surf Excel,470,193,248,4.4,NA,NA,480,470,151,0,NA,1,Powder Detergent,
B07PZWWJKK,"Surf Excel Matic Front Load Detergent Washing Powder 3+1 kg , Specially designed for Tough Stain Removal on Laundry in Washing Machines",Surf Excel,880,8,25330,4.4,NA,NA,920,920,10,0,Fulfilled,1,Powder Detergent,
B07SC373N4,"Surf Excel Matic Top Load Detergent Powder, 2 kg & After Wash Morning Fresh Fabric Conditioner, 1.6 L Combo",Surf Excel,,236,1,4,NA,NA,,,145,0,Fulfilled,1,Powder Detergent,
B07S9ZHWDP,"Surf Excel Matic Top Load Detergent Powder, 2 kg & Matic Top Load Detergent Powder - 4 Kg with Free 2 Kg Combo",Surf Excel,1530,461,2,2.2,NA,NA,1705,1705,414,0,Fulfilled,1,Powder Detergent,
B08D8NNRDT,Surf Excel Easy Wash Detergent Powder 90g (Pack of 5),Surf Excel,50,28,380,4.4,NA,NA,50,50,37,0,NA,1,Powder Detergent,
B07F9X4S5T,"Surf Excel Matic Front Load Detergent Washing Powder, Specially Designed For Tough Stain Removal In Front Load Machines, 4+2 Kg Free",Surf Excel,1200,14,7496,4.4,NA,NA,1240,1240,14,0,Fulfilled,1,Powder Detergent,
B07S8WSJ51,"Surf Excel Matic Front Load Detergent Powder, 2 kg & Front Load Matic Liquid Detergent Pouch - 2 L Combo",Surf Excel,,127,224,4.5,NA,NA,,,101,0,Fulfilled,1,Powder Detergent,
B07PXND4T6,"Surf Excel Matic Powder Top Load, 4Kg (3+1Kg), Pack of 1",Surf Excel,790,13,17999,4.4,NA,NA,830,830,13,0,Fulfilled,1,Powder Detergent,
B077P3NMZR,Surf Excel Matic Front Load - 1 kg with Comfort Fabric Conditioner - 400 ml,Surf Excel,409,328,47,4.5,NA,NA,410,409,319,0,NA,1,Powder Detergent,
B01ITJ6642,"Surf Excel Easy Wash Detergent Powder, 500 g",Surf Excel,70,12,11426,4.4,NA,NA,75,70,9,0,NA,1,Powder Detergent,
