ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B07F8H9PGS,2022-11-10,470.0,,91.0,,0.0,1.0
B07F8H9PGS,2022-11-11,470.0,470.0,122.0,91.0,0.0,1.0
B07F8H9PGS,2022-11-12,470.0,470.0,136.0,122.0,0.0,1.0
B07F8H9PGS,2022-11-13,470.0,470.0,107.0,136.0,0.0,1.0
B07F8H9PGS,2022-11-14,470.0,470.0,151.0,107.0,0.0,1.0
B07F8H9PGS,2022-11-15,470.0,470.0,193.0,151.0,0.0,1.0
B07PZWWJKK,2022-11-10,880.0,,6.0,,0.0,1.0
B07PZWWJKK,2022-11-11,880.0,880.0,7.0,6.0,0.0,1.0
B07PZWWJKK,2022-11-12,920.0,880.0,9.0,7.0,0.0,1.0
B07PZWWJKK,2022-11-13,920.0,920.0,9.0,9.0,0.0,1.0
B07PZWWJKK,2022-11-14,920.0,920.0,10.0,9.0,0.0,1.0
B07PZWWJKK,2022-11-15,880.0,920.0,8.0,10.0,0.0,1.0
B07SC373N4,2022-11-10,,,246.0,,0.0,1.0
B07SC373N4,2022-11-11,,,291.0,246.0,0.0,1.0
B07SC373N4,2022-11-12,,,312.0,291.0,0.0,1.0
B07SC373N4,2022-11-13,,,359.0,312.0,0.0,1.0
B07SC373N4,2022-11-14,,,145.0,359.0,0.0,1.0
B07SC373N4,2022-11-15,,,236.0,145.0,0.0,1.0
B07S9ZHWDP,2022-11-10,1530.0,,219.0,,0.0,1.0
B07S9ZHWDP,2022-11-11,1530.0,1530.0,284.0,219.0,0.0,1.0
B07S9ZHWDP,2022-11-12,1705.0,1530.0,307.0,284.0,0.0,1.0
B07S9ZHWDP,2022-11-13,1705.0,1705.0,367.0,307.0,0.0,1.0
B07S9ZHWDP,2022-11-14,1705.0,1705.0,414.0,367.0,0.0,1.0
B07S9ZHWDP,2022-11-15,1530.0,1705.0,461.0,414.0,0.0,1.0
B08D8NNRDT,2022-11-10,50.0,,52.0,,0.0,1.0
B08D8NNRDT,2022-11-11,50.0,50.0,21.0,52.0,0.0,1.0
B08D8NNRDT,2022-11-12,50.0,50.0,24.0,21.0,0.0,1.0
B08D8NNRDT,2022-11-13,50.0,50.0,29.0,24.0,0.0,1.0
B08D8NNRDT,2022-11-14,50.0,50.0,37.0,29.0,0.0,1.0
B08D8NNRDT,2022-11-15,50.0,50.0,28.0,37.0,0.0,1.0
B07F9X4S5T,2022-11-10,1200.0,,14.0,,0.0,1.0
B07F9X4S5T,2022-11-11,1200.0,1200.0,14.0,14.0,0.0,1.0
B07F9X4S5T,2022-11-12,1240.0,1200.0,15.0,14.0,0.0,1.0
B07F9X4S5T,2022-11-13,1240.0,1240.0,15.0,15.0,0.0,1.0
B07F9X4S5T,2022-11-14,1240.0,1240.0,14.0,15.0,0.0,1.0
B07F9X4S5T,2022-11-15,1200.0,1240.0,14.0,14.0,0.0,1.0
B07S8WSJ51,2022-11-10,,,111.0,,0.0,1.0
B07S8WSJ51,2022-11-11,,,144.0,111.0,0.0,1.0
B07S8WSJ51,2022-11-12,,,114.0,144.0,0.0,1.0
B07S8WSJ51,2022-11-13,,,140.0,114.0,0.0,1.0
B07S8WSJ51,2022-11-14,,,101.0,140.0,0.0,1.0
B07S8WSJ51,2022-11-15,,,127.0,101.0,0.0,1.0
B07PXND4T6,2022-11-10,790.0,,10.0,,0.0,1.0
B07PXND4T6,2022-11-11,790.0,790.0,11.0,10.0,0.0,1.0
B07PXND4T6,2022-11-12,830.0,790.0,13.0,11.0,0.0,1.0
B07PXND4T6,2022-11-13,830.0,830.0,12.0,13.0,0.0,1.0
B07PXND4T6,2022-11-14,830.0,830.0,13.0,12.0,0.0,1.0
B07PXND4T6,2022-11-15,790.0,830.0,13.0,13.0,0.0,1.0
B077P3NMZR,2022-11-10,409.0,,194.0,,0.0,1.0
B077P3NMZR,2022-11-11,409.0,409.0,232.0,194.0,0.0,1.0
B077P3NMZR,2022-11-12,409.0,409.0,254.0,232.0,0.0,1.0
B077P3NMZR,2022-11-13,409.0,409.0,293.0,254.0,0.0,1.0
B077P3NMZR,2022-11-14,409.0,409.0,319.0,293.0,0.0,1.0
B077P3NMZR,2022-11-15,409.0,409.0,328.0,319.0,0.0,1.0
B01ITJ6642,2022-11-10,60.0,,9.0,,0.0,1.0
B01ITJ6642,2022-11-11,60.0,60.0,6.0,9.0,0.0,1.0
B01ITJ6642,2022-11-12,60.0,60.0,8.0,6.0,0.0,1.0
B01ITJ6642,2022-11-13,70.0,60.0,10.0,8.0,0.0,1.0
B01ITJ6642,2022-11-14,70.0,70.0,9.0,10.0,0.0,1.0
B01ITJ6642,2022-11-15,70.0,70.0,12.0,9.0,0.0,1.0
B07F9ZRRJG,2022-11-10,1090.0,,12.0,,0.0,1.0
B07F9ZRRJG,2022-11-11,1090.0,1090.0,10.0,12.0,0.0,1.0
B07F9ZRRJG,2022-11-12,1225.0,1090.0,11.0,10.0,0.0,1.0
B07F9ZRRJG,2022-11-13,1225.0,1225.0,14.0,11.0,0.0,1.0
B07F9ZRRJG,2022-11-14,1225.0,1225.0,15.0,14.0,0.0,1.0
B07F9ZRRJG,2022-11-15,1090.0,1225.0,15.0,15.0,0.0,1.0
B07KZWYJQN,2022-11-10,357.0,,231.0,,0.0,1.0
B07KZWYJQN,2022-11-11,347.0,357.0,266.0,231.0,0.0,1.0
B07KZWYJQN,2022-11-12,347.0,347.0,278.0,266.0,0.0,1.0
B07KZWYJQN,2022-11-13,347.0,347.0,180.0,278.0,0.0,1.0
B07KZWYJQN,2022-11-14,347.0,347.0,233.0,180.0,0.0,1.0
B07KZWYJQN,2022-11-15,347.0,347.0,191.0,233.0,0.0,1.0
B09VH7F6XL,2022-11-10,388.0,,236.0,,0.0,1.0
B09VH7F6XL,2022-11-11,388.0,388.0,261.0,236.0,0.0,1.0
B09VH7F6XL,2022-11-12,409.0,388.0,215.0,261.0,0.0,1.0
B09VH7F6XL,2022-11-13,409.0,409.0,252.0,215.0,0.0,1.0
B09VH7F6XL,2022-11-14,409.0,409.0,273.0,252.0,0.0,1.0
B09VH7F6XL,2022-11-15,388.0,409.0,289.0,273.0,0.0,1.0
B0963XJG72,2022-11-10,306.0,,19.0,,0.0,1.0
B0963XJG72,2022-11-11,306.0,306.0,19.0,19.0,0.0,1.0
B0963XJG72,2022-11-12,408.0,306.0,19.0,19.0,0.0,1.0
B0963XJG72,2022-11-13,408.0,408.0,19.0,19.0,0.0,1.0
B0963XJG72,2022-11-14,408.0,408.0,20.0,19.0,0.0,1.0
B0963XJG72,2022-11-15,306.0,408.0,19.0,20.0,0.0,1.0
B07SC35YGH,2022-11-10,,,134.0,,0.0,1.0
B07SC35YGH,2022-11-11,,,117.0,134.0,0.0,1.0
B07SC35YGH,2022-11-12,,,163.0,117.0,0.0,1.0
B07SC35YGH,2022-11-13,,,160.0,163.0,0.0,1.0
B07SC35YGH,2022-11-14,,,204.0,160.0,0.0,1.0
B07SC35YGH,2022-11-15,,,91.0,204.0,0.0,1.0
B07S8WT5LW,2022-11-10,,,193.0,,0.0,1.0
B07S8WT5LW,2022-11-11,,,226.0,193.0,0.0,1.0
B07S8WT5LW,2022-11-12,,,243.0,226.0,0.0,1.0
B07S8WT5LW,2022-11-13,,,272.0,243.0,0.0,1.0
B07S8WT5LW,2022-11-14,,,289.0,272.0,0.0,1.0
B07S8WT5LW,2022-11-15,,,302.0,289.0,0.0,1.0
B079GXSVWD,2022-11-10,126.0,,44.0,,0.0,1.0
B079GXSVWD,2022-11-11,126.0,126.0,42.0,44.0,0.0,1.0
B079GXSVWD,2022-11-12,126.0,126.0,43.0,42.0,0.0,1.0
B079GXSVWD,2022-11-13,126.0,126.0,42.0,43.0,0.0,1.0
B079GXSVWD,2022-11-14,126.0,126.0,41.0,42.0,0.0,1.0
B079GXSVWD,2022-11-15,126.0,126.0,45.0,41.0,0.0,1.0
B00U2DUE1A,2022-11-10,238.0,,23.0,,0.0,1.0
B00U2DUE1A,2022-11-11,238.0,238.0,22.0,23.0,0.0,1.0
B00U2DUE1A,2022-11-12,238.0,238.0,22.0,22.0,0.0,1.0
B00U2DUE1A,2022-11-13,238.0,238.0,21.0,22.0,0.0,1.0
B00U2DUE1A,2022-11-14,238.0,238.0,23.0,21.0,0.0,1.0
B00U2DUE1A,2022-11-15,238.0,238.0,25.0,23.0,0.0,1.0
B00U2DUC9O,2022-11-10,270.0,,79.0,,0.0,1.0
B00U2DUC9O,2022-11-11,269.0,270.0,72.0,79.0,0.0,1.0
B00U2DUC9O,2022-11-12,269.0,269.0,76.0,72.0,0.0,1.0
B00U2DUC9O,2022-11-13,269.0,269.0,72.0,76.0,0.0,1.0
B00U2DUC9O,2022-11-14,269.0,269.0,75.0,72.0,0.0,1.0
B00U2DUC9O,2022-11-15,269.0,269.0,85.0,75.0,0.0,1.0
B0BB1FWRD7,2022-11-10,,,249.0,,0.0,1.0
B0BB1FWRD7,2022-11-11,,,238.0,249.0,0.0,1.0
B0BB1FWRD7,2022-11-12,,,209.0,238.0,0.0,1.0
B0BB1FWRD7,2022-11-13,,,250.0,209.0,0.0,1.0
B0BB1FWRD7,2022-11-14,,,195.0,250.0,0.0,1.0
B0BB1FWRD7,2022-11-15,,,192.0,195.0,0.0,1.0
B07SGS93PJ,2022-11-10,,,240.0,,0.0,1.0
B07SGS93PJ,2022-11-11,,,129.0,240.0,0.0,1.0
B07SGS93PJ,2022-11-12,,,116.0,129.0,0.0,1.0
B07SGS93PJ,2022-11-13,,,130.0,116.0,0.0,1.0
B07SGS93PJ,2022-11-14,,,183.0,130.0,0.0,1.0
B07SGS93PJ,2022-11-15,,,213.0,183.0,0.0,1.0
B07S8WT5DZ,2022-11-10,,,317.0,,0.0,1.0
B07S8WT5DZ,2022-11-11,,,332.0,317.0,0.0,1.0
B07S8WT5DZ,2022-11-12,,,329.0,332.0,0.0,1.0
B07S8WT5DZ,2022-11-13,,,337.0,329.0,0.0,1.0
B07S8WT5DZ,2022-11-14,,,352.0,337.0,0.0,1.0
B07S8WT5DZ,2022-11-15,,,358.0,352.0,0.0,1.0
B00TS89BSW,2022-11-10,199.0,,1.0,,0.0,1.0
B00TS89BSW,2022-11-11,199.0,199.0,1.0,1.0,0.0,1.0
B00TS89BSW,2022-11-12,210.0,199.0,2.0,1.0,0.0,1.0
B00TS89BSW,2022-11-13,210.0,210.0,3.0,2.0,0.0,1.0
B00TS89BSW,2022-11-14,210.0,210.0,2.0,3.0,0.0,1.0
B00TS89BSW,2022-11-15,199.0,210.0,1.0,2.0,0.0,1.0
B07S9ZG6GX,2022-11-10,820.0,,177.0,,0.0,1.0
B07S9ZG6GX,2022-11-11,820.0,820.0,258.0,177.0,0.0,1.0
B07S9ZG6GX,2022-11-12,820.0,820.0,283.0,258.0,0.0,1.0
B07S9ZG6GX,2022-11-13,820.0,820.0,335.0,283.0,0.0,1.0
