ASIN,Sentiment Score
B07F8H9PGS,3.0
B07PZWWJKK,4.0
B07F9ZRRJG,3.4
B07S8WT5LW,1.0
B08D8NNRDT,4.4
B07S8WSJ51,4.4
B07F9X4S5T,2.3333333333333335
B0963XJG72,3.857142857142857
B07PXND4T6,2.0
B00TS89BSW,3.5
B07SGS93PJ,3.0
B079GXSVWD,3.0
B00U2DUE1A,3.6666666666666665
B01ITJ6642,4.5
B077P3NMZR,1.6666666666666667
B00U2DUC9O,4.75
B00NOZ3ZOQ,3.6666666666666665
B079QKXP84,4.428571428571429
B07RK4NNM3,3.5
B079QJMVPX,4.333333333333333
B07ZQDFG9R,3.3333333333333335
B079Q4PCXN,4.666666666666667
B00WUCSDI2,3.5
B0B42NY54Y,3.8333333333333335
B00O52Q2II,4.0
B079QBSYSX,4.125
B085SFKVVH,3.3333333333333335
B08HNN86T4,3.6
B079QKMX9D,2.3333333333333335
B07RNRQMJQ,4.833333333333333
B07BDN3CCG,3.2
B01CIC3V26,1.5
B01G4UJZK0,3.0
B07ZNQNBZN,2.5
B07N6NP5K2,3.5
B076427WYM,5.0
B00U2DU5BE,2.5
B0937TN8Y2,4.142857142857143
B01NALS5VE,4.166666666666667
B07BHHCG3M,4.666666666666667
B01N21R6Q9,2.6666666666666665
B06ZZJ7NVH,3.6666666666666665
B07BHH7JNL,4.5
B0937PPDK4,4.0
B07RH199GJ,3.1666666666666665
B071ZYNV95,3.5
B078BCFQ7P,3.6666666666666665
B09R4SF6QN,3.5
B01MRZZMYD,3.5
B08WBPD1L4,3.3333333333333335
B0BD235MBP,4.6
B07BHH32N7,4.75
B09R4RWG84,3.6666666666666665
B01N4GLE1I,3.6
B07BHGWPKV,2.6666666666666665
B071QXZQ9L,4.166666666666667
B07DP7779R,3.857142857142857
B079QKYMTY,3.4
