Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Fulfilled,Sponsored,Present
Washing powder,1,B07RH199GJ,Ariel Complete Detergent Washing Powder- 4Kg Value Pack,Ariel,700.00,1400.00,Fulfilled,False,True
Washing powder,2,B0963XJG72,"Surf Excel Matic 3 in 1 Smart Shots 17 pcs, Laundry Detergent Pods for Tough Stain Removal in Front Load & Top Load Washing Machines, Fragrance + Care",Surf Excel,306.00,408.00,Fulfilled,False,True
Washing powder,3,B071QXZQ9L,Ariel Matic Front Load Detergent Washing Powder – 4 Kg+2 KG free,Ariel,1357.00,1420.00,Fulfilled,False,True
Washing powder,4,B07F9ZRRJG,"Surf Excel Matic Top Load Detergent Washing Powder 4+2 kg, Specially designed for Tough Stain Removal on Laundry in Washing Machines",Surf Excel,1090.00,1225.00,Fulfilled,False,True
Washing powder,5,B07VFG6H4Z,Active White Detergent Powder - 4 Kg Mega Pack,Active White,270.00,270.00,Fulfilled,False,True
Washing powder,6,B07N6NP5K2,Rin Advanced Detergent Powder 7 kg,Rin,590.00,640.00,Fulfilled,False,True
Washing powder,7,B00TS89BSW,"Surf Excel Easy Wash Detergent Powder 1.5 kg, Washing Powder that Dissolves Easily & Removes Tough Stains on Clothes - Bucket & Machine Wash",Surf Excel,199.00,210.00,Fulfilled,False,True
Washing powder,8,B079QDSXJ7,Tide Plus Double Power Detergent Washing Powder Lemon & Mint 2kg,Tide,230.00,260.00,Fulfilled,False,True
Washing powder,9,B07G3MWKC3,MR WHITE Detergent Powder - 5 Kg with Free 2Kg,Mr White,550.00,600.00,Fulfilled,False,True
Washing powder,10,B07VXF224L,"Nikunj Advance Detergent Powder, 4kg Budget Pack",Nikunj,179.00,255.00,Fulfilled,False,True
Washing powder,11,B079QKXP84,Tide Plus Detergent Washing Powder with double Power Lemon and Mint Pack - 1 kg,Tide,136.00,136.00,Fulfilled,False,True
Washing powder,12,B08DRKZDHT,More Light Extra Power Detergent powder 4kg,,262.50,410.00,Fulfilled,False,True
Washing powder,13,B085SFKVVH,Tide Ultra 3 in 1 Clean Detergent Washing Powder - 3 kg + 1 kg Free = 4 kg,Tide,489.00,515.00,Fulfilled,False,True
Washing powder,14,B079QKYMTY,Tide Plus Double Power Detergent Washing Powder Lemon & Mint 6kg + 2kg FREE,Tide,856.00,925.00,Fulfilled,False,True
Washing powder,15,B07RH199GJ,Ariel Complete Detergent Washing Powder- 4Kg Value Pack,Ariel,700.00,1400.00,Fulfilled,False,True
Washing powder,16,B079QBSYSX,Tide Plus Double Power Detergent Washing Powder Jasmine & Rose 6kg + 2kg FREE,Tide,856.00,895.00,Fulfilled,False,True
Washing powder,17,B0153BQ0QI,Mr. White Detergent Powder - 4Kg,Mr. White,285.00, ,NA,False,True
Washing powder,18,B01N4GLE1I,Ariel Matic Top Load Detergent Washing Powder - 2 kg,Ariel,454.00,595.00,Fulfilled,False,True
Washing powder,19,B01ITJ6642,"Surf Excel Easy Wash Detergent Powder, 500 g",Surf Excel,60.00,67.00,NA,False,True
Washing powder,20,B07PZWWJKK,"Surf Excel Matic Front Load Detergent Washing Powder 3+1 kg , Specially designed for Tough Stain Removal on Laundry in Washing Machines",Surf Excel,880.00,920.00,Fulfilled,False,True
Washing powder,21,B07F9X4S5T,"Surf Excel Matic Front Load Detergent Washing Powder, Specially Designed For Tough Stain Removal In Front Load Machines, 4+2 Kg Free",Surf Excel,1200.00,1240.00,Fulfilled,False,True
Washing powder,22,B081QSKDRW,Amazon Brand - Presto! Detergent Powder - 8kg,Amazon Brand - Presto!,639.00,999.00,Fulfilled,False,True
Washing powder,23,B07PZWWJKK,"Surf Excel Matic Front Load Detergent Washing Powder 3+1 kg , Specially designed for Tough Stain Removal on Laundry in Washing Machines",Surf Excel,880.00,920.00,Fulfilled,False,True
Washing powder,24,B081QS9YYC,Amazon Brand - Presto! Matic Front Load Detergent Powder - 6 kg,Presto!,785.00,1060.00,Fulfilled,False,True
Washing powder,25,B07F9X4S5T,"Surf Excel Matic Front Load Detergent Washing Powder, Specially Designed For Tough Stain Removal In Front Load Machines, 4+2 Kg Free",Surf Excel,1200.00,1240.00,Fulfilled,False,True
Washing powder,26,B06ZZJ7NVH,Ariel Matic Top Load Detergent Washing Powder – 4 Kg+2 KG free,Ariel,960.00, ,NA,False,True
Washing powder,27,B079QJMVPX,Tide Plus Double Power Detergent Washing Powder Jasmine & Rose 2kg,Tide,230.00,230.00,Fulfilled,False,True
Washing powder,28,B00U77EQHE,Wheel Green Powder Lemon and Jasmin - 1 kg,Wheel,73.00,73.00,NA,False,True
Washing powder,29,B07F9ZRRJG,"Surf Excel Matic Top Load Detergent Washing Powder 4+2 kg, Specially designed for Tough Stain Removal on Laundry in Washing Machines",Surf Excel,1090.00,1225.00,Fulfilled,False,True
Washing powder,30,B071QXZQ9L,Ariel Matic Front Load Detergent Washing Powder – 4 Kg+2 KG free,Ariel,1357.00,1420.00,Fulfilled,False,True
Washing powder,31,B01NALS5VE,Ariel Matic Front Load Detergent Washing Powder - 2 kg,Ariel,504.00,530.00,Fulfilled,False,True
Washing powder,32,B07PXND4T6,"Surf Excel Matic Powder Top Load, 4Kg (3+1Kg), Pack of 1",Surf Excel,790.00,830.00,Fulfilled,False,True
Washing powder,33,B00U2DUE1A,"Surf Excel Quick Wash Detergent Powder 1 kg, Washing Powder with Lemon & Bleach to Remove Tough Stains on Clothes - Bucket & Machine Wash",Surf Excel,238.00,240.00,NA,False,True
Washing powder,34,B0794R3XDH,"Atomic Washing Machine Cleaner Powder- 450 Gm (Pack of 3,150 Gm each) | Descaling Powder for Tub & Drum Suitable For Top Load & Front Load Washing Machine (White)",Atomic,299.00,597.00,Fulfilled,False,True
Washing powder,35,B01C42ZJXO,Henko Stain Champion Oxygen Power Powder- 3 kg with 1 kg Free,Henko,485.00,510.00,Fulfilled,False,True
Washing powder,36,B0976VFJGR,IFB DSCALE WASHING POWDER 900 GRAM Detergent Powder 9 g,Ifb,330.00,699.00,NA,False,True
Washing powder,37,B08N2JG1NB,Henko Matic Front Load Detergent Powder - 2kg Pouch,,470.00,530.00,Fulfilled,False,True
Washing powder,38,B07BHGWPKV,Ariel Complete Detergent Washing Powder - 500 g with Free Detergent Powder - 200 g,Ariel,173.00,173.00,Fulfilled,False,True
Washing powder,39,B08WD21DXF,Henko Matic Top Load Detergent Powder 2Kg (Rs. 75 off),Henko,400.00,440.00,Fulfilled,False,True
Washing powder,40,B08WD2V37L,Henko Matic Front Load Detergent Powder 2kg (Rs. 75 off),Henko,420.00,480.00,Fulfilled,False,True
Washing powder,41,B09VL9XVNC,"Shalloware Samsung Descale Powder for Automatic Top Load Front Load Washing Machine, Tub Clening Powder, Drum Cleaning Powder (100gm x Pack of 6)",Shalloware,269.00,999.00,NA,False,True
Washing powder,42,B01MSWRC2C,"Vanish All in One Powder Detergent Booster - 400 g | Removes Stains, Whitens Whites and Brightens Colors",Vanish,183.00,207.00,Fulfilled,False,True
Washing powder,43,B07BDN3CCG,"Tide Naturals Lemon and Chandan Detergent Washing Powder, 1kg",Tide,,,NA,False,True
Washing powder,44,B07BHH32N7,Ariel Colour Detergent Washing Powder - 1 kg with Free Detergent Washing Powder - 500 g,Ariel,370.00,370.00,Fulfilled,False,True
Washing powder,45,B081QS9YYC,Amazon Brand - Presto! Matic Front Load Detergent Powder - 6 kg,Presto!,785.00,1060.00,Fulfilled,False,True
Washing powder,46,B0B42RLS7Y,Title - Tide Matic Top Load Detergent (1 Kg),Tide,179.00,179.00,Fulfilled,False,True
Washing powder,47,B079ZPGRDF,"Wheel Active 2 in 1 Detergent Powder - Clean and Fresh (Green), 1kg Pouch",Wheel,73.00,73.00,NA,False,True
Washing powder,48,B08WBPD1L4,Ariel Matic Top Load Detergent Washing Powder 3 KG + 1 KG Free,Ariel,855.00,855.00,Fulfilled,False,True
Washing powder,49,B00U2DTWPE,Rin Fresh Lemon and Rose Powder- 1 kg,Rin,103.00,103.00,NA,False,True
Washing powder,50,B0794SSGR5,"Atomic Washing Machine Cleaner Powder/ Descaler/ Tub Cleaner/ Drum Cleaner/ Pack of 2, 150Gm Each.",Atomic,249.00,398.00,Fulfilled,False,True
Washing powder,51,B081QRLY3Y,Amazon Brand - Presto! Matic Top Load Detergent Powder - 3 kg,Presto!,395.00,675.00,Fulfilled,False,True
Washing powder,52,B0B4DVMCLJ,KIKGERM Expert Matic ADVANCED Top & Front Load Detergent Powder | 99.99% Germ Protection | FREE FROM HARMFUL CHEMICALS | Tough Stain Removal in Washing Machines Surf | 1KG + 250GM FREE,Kikgerm,269.00,339.00,Fulfilled,False,True
Washing powder,53,B09NP9C5N2,"BM Cosmic Craft Washing/laundry soda powder, sodium carbonate, soda ash BMCC 980 gms",Generic,,,NA,False,True
Washing powder,54,B0BH9DH2C3,Blacknight Scalegon Washing Machine Powder 300G (3 in 1 Pack),Blacknight,295.00,585.00,NA,False,True
Washing powder,55,B09SPFGF35,"PERFOsure Ultra wash Detergent Washing Powder 2Kgs, proprietary PrimRose Formula",Perfosure,191.00,249.00,Fulfilled,False,True
Washing powder,56,B081QSKDRW,Amazon Brand - Presto! Detergent Powder - 8kg,Amazon Brand - Presto!,639.00,999.00,Fulfilled,False,True
Washing powder,57,B09HQSSG74,KIKGERM Expert Matic Front Load Detergent Powder | 99.99% Germ Protection | FREE FROM HARMFUL CHEMICALS | Tough Stain Removal in Washing Machines Surf | 4KG +2KG FREE (6KG),Kikgerm,999.00,1589.00,Fulfilled,False,True
Washing powder,58,B09HQT6C1Y,KIKGERM Expert Matic Top Load Detergent Powder | 99.99% Germ Protection | FREE FROM HARMFUL CHEMICALS | Tough Stain Removal in Washing Machines Surf | 4KG +2KG FREE (6KG),Kikgerm,899.00,1399.00,Fulfilled,False,True
Washing powder,59,B09HQSRC42,KIKGERM Expert Matic ADVANCED Top & Front Load Detergent Powder | 99.99% Germ Protection | FREE FROM HARMFUL CHEMICALS | Tough Stain Removal in Washing Machines Surf | 4KG +2KG FREE (6KG),Kikgerm,1085.00,1699.00,Fulfilled,False,True
Washing powder,60,B081QRLY3Y,Amazon Brand - Presto! Matic Top Load Detergent Powder - 3 kg,Presto!,395.00,675.00,Fulfilled,False,True
Washing powder,-1,B07J315X3T,"Patanjali Herbal Wash Detergent Powder, 500g",Patanjali,30.00,30.00,NA,,False
Washing powder,-1,B07CPR8B77,"Greenworx Ultra Laundry Powder Pack of 1.5 Kg I Superfine use in top load and front load washing machine, Natural, 100% Biodegradable, Baby Safe, Caustic Free, No Harmful Chemicals, Acid & Phosphate Free, Eco-Friendly, Environment Friendly, Non Toxic, No Fading. plant based surfactant detergent powder.",Greenworx - Bio Cleaning Solutions,349.00,399.00,Fulfilled,,False
Washing powder,-1,B081QSR8G3,Amazon Brand - Presto! Matic Front Load Detergent Powder - 3 kg,Presto!,410.00,750.00,Fulfilled,,False
Washing powder,-1,B0BJ1XSNDN,Wheel Active 2 In 1 Detergent Powder 1Kg Unique,Generic,73.00,73.00,NA,,False
Washing powder,-1,B07K7NDKK5,"Syclone Matic Top Load Detergent Powder for Washing Machine, 2kg",Syclone,361.90,500.00,Fulfilled,,False
Washing powder,-1,B07BDPZKGB,"Ghadi Detergent Powder, 500g",Ghadi,32.00,33.00,NA,,False
Washing powder,-1,B0B42NY54Y,Tide Matic Top Load Detergent (2+1 Kg powder),Tide,404.00,425.00,Fulfilled,,False
Washing powder,-1,B07BHH7JNL,Ariel Colour Detergent Washing Powder - 500 g with Detergent Washing Powder - 200 g,Ariel,165.00,165.00,Fulfilled,,False
Washing powder,-1,B00U2DTSLM,Rin Detergent Powder 4 kg,Rin,360.00,395.00,Fulfilled,,False
Washing powder,-1,B079GXSVWD,Surf Excel Easy Wash Detergent Powder (1kg),Surf Excel,126.00,142.00,NA,,False
