ASIN,username,rating,title,date,country,helpful,description,keyword,importance,sentiment_score,magnitude,aspect
B0BD235MBP,Shivajinaidu,5.0 out of 5 stars,Smell is awesome,30/10/2022 00:00,India,,It works best with top load machine. Smell also superb. Cloth looks clean and fresh after wash.,Cloth,0.226052895,0.800000012,0.800000012,
B0BD235MBP,Shivajinaidu,5.0 out of 5 stars,Smell is awesome,30/10/2022 00:00,India,,It works best with top load machine. Smell also superb. Cloth looks clean and fresh after wash.,wash,0.124314643,0.699999988,0.699999988,
B0BD235MBP,zay,5.0 out of 5 stars,very fresh would buy again,08/11/2022 00:00,India,,"very quick, and fresh smelling  detergent",smelling detergent,1,0.899999976,0.899999976,Fragrance
B0BD235MBP,Mohamed I.,5.0 out of 5 stars,Good Product,08/11/2022 00:00,India,,Gives Very good results. Nice,results,0.778193057,0.899999976,0.899999976,
B0BD235MBP,Mohamed I.,5.0 out of 5 stars,Good Product,08/11/2022 00:00,India,,Gives Very good results. Nice,Nice,0.221806943,0.100000001,0.100000001,
B0BD235MBP,Shreyas Sandy,5.0 out of 5 stars,Good quality,07/11/2022 00:00,India,,Good quality detergent liquid for machine wash,detergent liquid,0.578333557,0.699999988,0.699999988,
B0BD235MBP,Shreyas Sandy,5.0 out of 5 stars,Good quality,07/11/2022 00:00,India,,Good quality detergent liquid for machine wash,machine wash,0.421666443,0.699999988,0.699999988,
B0BD235MBP,dineshpolana,5.0 out of 5 stars,Good Quality,05/11/2022 00:00,India,,"We purchase this product, mainly for its quality and easy to use.",product,0.759161353,0.699999988,1.399999976,Quality
B0BD235MBP,dineshpolana,5.0 out of 5 stars,Good Quality,05/11/2022 00:00,India,,"We purchase this product, mainly for its quality and easy to use.",quality,0.240838647,0.800000012,0.800000012,Quality
B0BD235MBP,Shivajinaidu,5.0 out of 5 stars,Smell is awesome,30/10/2022 00:00,India,,It works best with top load machine. Smell also superb. Cloth looks clean and fresh after wash.,load machine,0.497720033,0.300000012,0.300000012,
B0BD235MBP,Shivajinaidu,5.0 out of 5 stars,Smell is awesome,30/10/2022 00:00,India,,It works best with top load machine. Smell also superb. Cloth looks clean and fresh after wash.,Smell,0.151912421,0.899999976,0.899999976,Fragrance
B0B42NY54Y,Jinal R. Patel,4.0 out of 5 stars,Smell and clean in small quantity,01/11/2022 00:00,India,,Powder quality is good for top load machine. Smell nice in small quantity.,load machine,0.220686883,0.5,0.5,
B0B42NY54Y,Jinal R. Patel,4.0 out of 5 stars,Smell and clean in small quantity,01/11/2022 00:00,India,,Powder quality is good for top load machine. Smell nice in small quantity.,Powder quality,0.699320853,0.699999988,0.699999988,Quality
B0B42NY54Y,Miraj Pabari,4.0 out of 5 stars,Recieved damaged packageing,21/10/2022 00:00,India,,"Package was damage while transport , product was very good  just need to improve packaging thank you",product,0.09707357,0.400000006,0.400000006,Quality
B0B42NY54Y,Miraj Pabari,4.0 out of 5 stars,Recieved damaged packageing,21/10/2022 00:00,India,,"Package was damage while transport , product was very good  just need to improve packaging thank you",packaging,0.070058361,0.300000012,0.300000012,Packaging
B0B42NY54Y,akila ramasamy,5.0 out of 5 stars,Very nice product,02/11/2022 00:00,India,,More freshness and clean clothes,clothes,0.349288046,0.899999976,0.899999976,
B0B42NY54Y,akila ramasamy,5.0 out of 5 stars,Very nice product,02/11/2022 00:00,India,,More freshness and clean clothes,freshness,0.650711954,0.899999976,0.899999976,Quality
