ASIN,Category,Latest BSR,Last Day BSR
B07F8H9PGS,Health & Personal Care,14463.0,12842.0
B07F8H9PGS,Powder Detergent,108.0,104.0
B07PZWWJKK,Health & Personal Care,57.0,62.0
B07PZWWJKK,Powder Detergent,10.0,10.0
B07SC373N4,Health & Personal Care,65385.0,58921.0
B07SC373N4,Powder Detergent,358.0,335.0
B07S9ZHWDP,Health & Personal Care,103755.0,98647.0
B07S9ZHWDP,Powder Detergent,541.0,526.0
B08D8NNRDT,Health & Personal Care,1461.0,704.0
B08D8NNRDT,Powder Detergent,42.0,32.0
B07F9X4S5T,Health & Personal Care,141.0,112.0
B07F9X4S5T,Powder Detergent,16.0,16.0
B07S8WSJ51,Health & Personal Care,21533.0,11807.0
B07S8WSJ51,Powder Detergent,136.0,99.0
B07PXND4T6,Health & Personal Care,118.0,106.0
B07PXND4T6,Powder Detergent,15.0,15.0
B077P3NMZR,Health & Personal Care,64834.0,63545.0
B077P3NMZR,Powder Detergent,356.0,349.0
B01ITJ6642,Health & Personal Care,79.0,73.0
B01ITJ6642,Powder Detergent,12.0,13.0
B07F9ZRRJG,Health & Personal Care,53.0,57.0
B07F9ZRRJG,Powder Detergent,8.0,9.0
B07KZWYJQN,Health & Personal Care,52094.0,47200.0
B07KZWYJQN,Powder Detergent,296.0,279.0
B09VH7F6XL,Health & Personal Care,37610.0,26894.0
B09VH7F6XL,Powder Detergent,219.0,175.0
B0963XJG72,Health & Personal Care,95.0,30.0
B0963XJG72,Liquid Detergent,9.0,6.0
B0963XJG72,Powder Detergent,14.0,4.0
B07SC35YGH,Health & Personal Care,21610.0,18701.0
B07SC35YGH,Powder Detergent,137.0,132.0
B07S8WT5LW,Health & Personal Care,60704.0,59657.0
B07S8WT5LW,Powder Detergent,338.0,336.0
B079GXSVWD,Health & Personal Care,2248.0,2512.0
B079GXSVWD,Powder Detergent,46.0,49.0
B00U2DUE1A,Health & Personal Care,355.0,342.0
B00U2DUE1A,Powder Detergent,23.0,23.0
B00U2DUC9O,Health & Personal Care,7779.0,6703.0
B00U2DUC9O,Powder Detergent,81.0,77.0
B0BB1FWRD7,Health & Personal Care,27564.0,45125.0
B0BB1FWRD7,Powder Detergent,178.0,268.0
B07SGS93PJ,Health & Personal Care,30130.0,42781.0
B07SGS93PJ,Powder Detergent,193.0,256.0
B07SGS93PJ,Liquid Detergent,307.0,229.0
B07S8WT5DZ,Health & Personal Care,22629.0,26346.0
B07S8WT5DZ,Powder Detergent,144.0,172.0
B00TS89BSW,Health & Personal Care,4.0,3.0
B00TS89BSW,Powder Detergent,1.0,1.0
B07S9ZG6GX,Health & Personal Care,96748.0,91440.0
B07S9ZG6GX,Powder Detergent,511.0,487.0
B0B42RLS7Y,Health & Personal Care,4784.0,5225.0
B0B42RLS7Y,Powder Detergent,69.0,69.0
B079QJMVPX,Health & Personal Care,503.0,468.0
B079QJMVPX,Powder Detergent,27.0,25.0
B079QKXP84,Health & Personal Care,195.0,202.0
B079QKXP84,Powder Detergent,20.0,19.0
B07ZQDFG9R,Health & Personal Care,25.0,23.0
B07ZQDFG9R,Powder Detergent,2.0,3.0
B079QKYMTY,Health & Personal Care,54.0,68.0
B079QKYMTY,Powder Detergent,9.0,11.0
B0B42PLS5P,Health & Personal Care,26823.0,17007.0
B0B42PLS5P,Powder Detergent,172.0,123.0
B00WUCSDI2,Health & Personal Care,25562.0,13717.0
B00WUCSDI2,Powder Detergent,160.0,108.0
B0B6J17SP3,Health & Personal Care,49878.0,43190.0
B0B6J17SP3,Powder Detergent,283.0,259.0
B0B42NY54Y,Health & Personal Care,493.0,508.0
B0B42NY54Y,Powder Detergent,26.0,27.0
B07BDNNNXT,Health & Personal Care,47934.0,40817.0
B07BDNNNXT,Powder Detergent,272.0,245.0
B07D3HDX8J,Health & Personal Care,75454.0,68053.0
B07D3HDX8J,Powder Detergent,408.0,371.0
B085SFKVVH,Health & Personal Care,484.0,301.0
B085SFKVVH,Powder Detergent,25.0,21.0
B08HNN86T4,Health & Personal Care,3671.0,3679.0
B08HNN86T4,Powder Detergent,57.0,60.0
