ASIN,Date,Category,BSR,Last Known BSR
B07F8H9PGS,2022-11-10,Health & Personal Care,10227.0,
B07F8H9PGS,2022-11-11,Health & Personal Care,16327.0,10227.0
B07F8H9PGS,2022-11-12,Health & Personal Care,20564.0,16327.0
B07F8H9PGS,2022-11-13,Health & Personal Care,13081.0,20564.0
B07F8H9PGS,2022-11-14,Health & Personal Care,23115.0,13081.0
B07F8H9PGS,2022-11-15,Health & Personal Care,30330.0,23115.0
B07F8H9PGS,2022-11-16,Health & Personal Care,14512.0,30330.0
B07F8H9PGS,2022-11-17,Health & Personal Care,12842.0,14512.0
B07F8H9PGS,2022-11-18,Health & Personal Care,14463.0,12842.0
B07F8H9PGS,2022-11-10,Powder Detergent,91.0,
B07F8H9PGS,2022-11-11,Powder Detergent,122.0,91.0
B07F8H9PGS,2022-11-12,Powder Detergent,136.0,122.0
B07F8H9PGS,2022-11-13,Powder Detergent,107.0,136.0
B07F8H9PGS,2022-11-14,Powder Detergent,151.0,107.0
B07F8H9PGS,2022-11-15,Powder Detergent,193.0,151.0
B07F8H9PGS,2022-11-16,Powder Detergent,112.0,193.0
B07F8H9PGS,2022-11-17,Powder Detergent,104.0,112.0
B07F8H9PGS,2022-11-18,Powder Detergent,108.0,104.0
B07PZWWJKK,2022-11-10,Health & Personal Care,51.0,
B07PZWWJKK,2022-11-12,Health & Personal Care,72.0,51.0
B07PZWWJKK,2022-11-13,Health & Personal Care,65.0,72.0
B07PZWWJKK,2022-11-14,Health & Personal Care,73.0,65.0
B07PZWWJKK,2022-11-15,Health & Personal Care,63.0,73.0
B07PZWWJKK,2022-11-16,Health & Personal Care,68.0,63.0
B07PZWWJKK,2022-11-17,Health & Personal Care,62.0,68.0
B07PZWWJKK,2022-11-18,Health & Personal Care,57.0,62.0
B07PZWWJKK,2022-11-10,Powder Detergent,6.0,
B07PZWWJKK,2022-11-12,Powder Detergent,9.0,6.0
B07PZWWJKK,2022-11-13,Powder Detergent,9.0,9.0
B07PZWWJKK,2022-11-14,Powder Detergent,10.0,9.0
B07PZWWJKK,2022-11-15,Powder Detergent,8.0,10.0
B07PZWWJKK,2022-11-16,Powder Detergent,11.0,8.0
B07PZWWJKK,2022-11-17,Powder Detergent,10.0,11.0
B07PZWWJKK,2022-11-18,Powder Detergent,10.0,10.0
B07SC373N4,2022-11-10,Health & Personal Care,41422.0,
B07SC373N4,2022-11-11,Health & Personal Care,52633.0,41422.0
B07SC373N4,2022-11-12,Health & Personal Care,57281.0,52633.0
B07SC373N4,2022-11-13,Health & Personal Care,64785.0,57281.0
B07SC373N4,2022-11-14,Health & Personal Care,22690.0,64785.0
B07SC373N4,2022-11-15,Health & Personal Care,40690.0,22690.0
B07SC373N4,2022-11-16,Health & Personal Care,53490.0,40690.0
B07SC373N4,2022-11-17,Health & Personal Care,58921.0,53490.0
B07SC373N4,2022-11-18,Health & Personal Care,65385.0,58921.0
B07SC373N4,2022-11-10,Powder Detergent,246.0,
B07SC373N4,2022-11-11,Powder Detergent,291.0,246.0
B07SC373N4,2022-11-12,Powder Detergent,312.0,291.0
B07SC373N4,2022-11-13,Powder Detergent,359.0,312.0
B07SC373N4,2022-11-14,Powder Detergent,145.0,359.0
B07SC373N4,2022-11-15,Powder Detergent,236.0,145.0
B07SC373N4,2022-11-16,Powder Detergent,305.0,236.0
B07SC373N4,2022-11-17,Powder Detergent,335.0,305.0
B07SC373N4,2022-11-18,Powder Detergent,358.0,335.0
B07S9ZHWDP,2022-11-10,Health & Personal Care,36313.0,
B07S9ZHWDP,2022-11-11,Health & Personal Care,50703.0,36313.0
B07S9ZHWDP,2022-11-12,Health & Personal Care,56352.0,50703.0
B07S9ZHWDP,2022-11-13,Health & Personal Care,66023.0,56352.0
B07S9ZHWDP,2022-11-14,Health & Personal Care,74979.0,66023.0
B07S9ZHWDP,2022-11-15,Health & Personal Care,84420.0,74979.0
B07S9ZHWDP,2022-11-16,Health & Personal Care,94228.0,84420.0
B07S9ZHWDP,2022-11-17,Health & Personal Care,98647.0,94228.0
B07S9ZHWDP,2022-11-18,Health & Personal Care,103755.0,98647.0
B07S9ZHWDP,2022-11-10,Powder Detergent,219.0,
B07S9ZHWDP,2022-11-11,Powder Detergent,284.0,219.0
B07S9ZHWDP,2022-11-12,Powder Detergent,307.0,284.0
B07S9ZHWDP,2022-11-13,Powder Detergent,367.0,307.0
B07S9ZHWDP,2022-11-14,Powder Detergent,414.0,367.0
B07S9ZHWDP,2022-11-15,Powder Detergent,461.0,414.0
B07S9ZHWDP,2022-11-16,Powder Detergent,500.0,461.0
B07S9ZHWDP,2022-11-17,Powder Detergent,526.0,500.0
B07S9ZHWDP,2022-11-18,Powder Detergent,541.0,526.0
B08D8NNRDT,2022-11-10,Health & Personal Care,3026.0,
B08D8NNRDT,2022-11-11,Health & Personal Care,362.0,3026.0
B08D8NNRDT,2022-11-12,Health & Personal Care,403.0,362.0
B08D8NNRDT,2022-11-13,Health & Personal Care,692.0,403.0
B08D8NNRDT,2022-11-14,Health & Personal Care,1012.0,692.0
B08D8NNRDT,2022-11-15,Health & Personal Care,597.0,1012.0
B08D8NNRDT,2022-11-16,Health & Personal Care,394.0,597.0
B08D8NNRDT,2022-11-17,Health & Personal Care,704.0,394.0
B08D8NNRDT,2022-11-18,Health & Personal Care,1461.0,704.0
B08D8NNRDT,2022-11-10,Powder Detergent,52.0,
B08D8NNRDT,2022-11-11,Powder Detergent,21.0,52.0
B08D8NNRDT,2022-11-12,Powder Detergent,24.0,21.0
B08D8NNRDT,2022-11-13,Powder Detergent,29.0,24.0
B08D8NNRDT,2022-11-14,Powder Detergent,37.0,29.0
B08D8NNRDT,2022-11-15,Powder Detergent,28.0,37.0
B08D8NNRDT,2022-11-16,Powder Detergent,26.0,28.0
B08D8NNRDT,2022-11-17,Powder Detergent,32.0,26.0
B08D8NNRDT,2022-11-18,Powder Detergent,42.0,32.0
B07F9X4S5T,2022-11-10,Health & Personal Care,121.0,
B07F9X4S5T,2022-11-11,Health & Personal Care,104.0,121.0
B07F9X4S5T,2022-11-12,Health & Personal Care,126.0,104.0
B07F9X4S5T,2022-11-13,Health & Personal Care,137.0,126.0
B07F9X4S5T,2022-11-14,Health & Personal Care,121.0,137.0
B07F9X4S5T,2022-11-15,Health & Personal Care,95.0,121.0
B07F9X4S5T,2022-11-16,Health & Personal Care,91.0,95.0
B07F9X4S5T,2022-11-17,Health & Personal Care,112.0,91.0
B07F9X4S5T,2022-11-18,Health & Personal Care,141.0,112.0
B07F9X4S5T,2022-11-10,Powder Detergent,14.0,
B07F9X4S5T,2022-11-11,Powder Detergent,14.0,14.0
B07F9X4S5T,2022-11-12,Powder Detergent,15.0,14.0
B07F9X4S5T,2022-11-13,Powder Detergent,15.0,15.0
B07F9X4S5T,2022-11-14,Powder Detergent,14.0,15.0
B07F9X4S5T,2022-11-15,Powder Detergent,14.0,14.0
B07F9X4S5T,2022-11-16,Powder Detergent,15.0,14.0
B07F9X4S5T,2022-11-17,Powder Detergent,16.0,15.0
B07F9X4S5T,2022-11-18,Powder Detergent,16.0,16.0
B07S8WSJ51,2022-11-10,Health & Personal Care,13016.0,
B07S8WSJ51,2022-11-11,Health & Personal Care,20550.0,13016.0
B07S8WSJ51,2022-11-12,Health & Personal Care,16715.0,20550.0
B07S8WSJ51,2022-11-13,Health & Personal Care,19481.0,16715.0
B07S8WSJ51,2022-11-14,Health & Personal Care,12163.0,19481.0
B07S8WSJ51,2022-11-15,Health & Personal Care,17852.0,12163.0
B07S8WSJ51,2022-11-16,Health & Personal Care,8472.0,17852.0
B07S8WSJ51,2022-11-17,Health & Personal Care,11807.0,8472.0
B07S8WSJ51,2022-11-18,Health & Personal Care,21533.0,11807.0
B07S8WSJ51,2022-11-10,Powder Detergent,111.0,
B07S8WSJ51,2022-11-11,Powder Detergent,144.0,111.0
B07S8WSJ51,2022-11-12,Powder Detergent,114.0,144.0
B07S8WSJ51,2022-11-13,Powder Detergent,140.0,114.0
B07S8WSJ51,2022-11-14,Powder Detergent,101.0,140.0
B07S8WSJ51,2022-11-15,Powder Detergent,127.0,101.0
B07S8WSJ51,2022-11-16,Powder Detergent,86.0,127.0
B07S8WSJ51,2022-11-17,Powder Detergent,99.0,86.0
B07S8WSJ51,2022-11-18,Powder Detergent,136.0,99.0
B07PXND4T6,2022-11-10,Health & Personal Care,65.0,
B07PXND4T6,2022-11-11,Health & Personal Care,81.0,65.0
B07PXND4T6,2022-11-12,Health & Personal Care,91.0,81.0
B07PXND4T6,2022-11-13,Health & Personal Care,93.0,91.0
B07PXND4T6,2022-11-14,Health & Personal Care,116.0,93.0
B07PXND4T6,2022-11-15,Health & Personal Care,89.0,116.0
B07PXND4T6,2022-11-16,Health & Personal Care,99.0,89.0
B07PXND4T6,2022-11-17,Health & Personal Care,106.0,99.0
B07PXND4T6,2022-11-18,Health & Personal Care,118.0,106.0
B07PXND4T6,2022-11-10,Powder Detergent,10.0,
B07PXND4T6,2022-11-11,Powder Detergent,11.0,10.0
B07PXND4T6,2022-11-12,Powder Detergent,13.0,11.0
B07PXND4T6,2022-11-13,Powder Detergent,12.0,13.0
B07PXND4T6,2022-11-14,Powder Detergent,13.0,12.0
B07PXND4T6,2022-11-15,Powder Detergent,13.0,13.0
B07PXND4T6,2022-11-16,Powder Detergent,16.0,13.0
B07PXND4T6,2022-11-17,Powder Detergent,15.0,16.0
B07PXND4T6,2022-11-18,Powder Detergent,15.0,15.0
B077P3NMZR,2022-11-10,Health & Personal Care,30972.0,
B077P3NMZR,2022-11-12,Health & Personal Care,46107.0,30972.0
