ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B07F8H9PGS,Surf Excel Quick Wash Detergent Powder - 2 kg,Surf Excel,470,108,248,4.4,NA,NA,480,470,104,31,NA,1,Powder Detergent,
B07PZWWJKK,"Surf Excel Matic Front Load Detergent Washing Powder 3+1 kg , Specially designed for Tough Stain Removal on Laundry in Washing Machines",Surf Excel,880,10,25358,4.4,NA,NA,920,880,10,67,Fulfilled,1,Powder Detergent,
B07SC373N4,"Surf Excel Matic Top Load Detergent Powder, 2 kg & After Wash Morning Fresh Fabric Conditioner, 1.6 L Combo",Surf Excel,,358,1,4,NA,NA,,,335,15,Fulfilled,1,Powder Detergent,
B07S9ZHWDP,"Surf Excel Matic Top Load Detergent Powder, 2 kg & Matic Top Load Detergent Powder - 4 Kg with Free 2 Kg Combo",Surf Excel,1530,541,2,2.2,NA,NA,1705,1530,526,11,Fulfilled,1,Powder Detergent,
B08D8NNRDT,Surf Excel Easy Wash Detergent Powder 90g (Pack of 5),Surf Excel,50,42,385,4.4,NA,NA,50,50,32,54,NA,1,Powder Detergent,
B07F9X4S5T,"Surf Excel Matic Front Load Detergent Washing Powder, Specially Designed For Tough Stain Removal In Front Load Machines, 4+2 Kg Free",Surf Excel,1200,16,7508,4.4,NA,NA,1240,1275,16,81,Fulfilled,1,Powder Detergent,
B07S8WSJ51,"Surf Excel Matic Front Load Detergent Powder, 2 kg & Front Load Matic Liquid Detergent Pouch - 2 L Combo",Surf Excel,,136,224,4.5,NA,NA,,,99,29,Fulfilled,1,Powder Detergent,
B07PXND4T6,"Surf Excel Matic Powder Top Load, 4Kg (3+1Kg), Pack of 1",Surf Excel,790,15,18018,4.4,NA,NA,830,790,15,81,Fulfilled,1,Powder Detergent,
B077P3NMZR,Surf Excel Matic Front Load - 1 kg with Comfort Fabric Conditioner - 400 ml,Surf Excel,409,356,47,4.5,NA,NA,410,410,349,15,NA,1,Powder Detergent,
B01ITJ6642,"Surf Excel Easy Wash Detergent Powder, 500 g",Surf Excel,70,12,11478,4.4,NA,NA,75,70,13,83,NA,1,Powder Detergent,
B07F9ZRRJG,"Surf Excel Matic Top Load Detergent Washing Powder 4+2 kg, Specially designed for Tough Stain Removal on Laundry in Washing Machines",Surf Excel,1090,8,27483,4.4,NA,NA,1225,1090,9,70,Fulfilled,1,Powder Detergent,
B07KZWYJQN,"Surf Excel Easy Wash Detergent Powder, 1.5Kg (with Surf Excel Bars 800g)",Surf Excel,347,296,8,4,NA,NA,347,347,279,18,NA,1,Powder Detergent,
B09VH7F6XL,"Surf Excel Matic Top Load Liquid Detergent 1 L & Easy Wash Detergent Powder 1.5 kg, Washing Powder that Dissolves Easily & Removes Tough Stains on Clothes - Bucket & Machine Wash",Surf Excel,388,219,11,4.4,NA,NA,409,388,175,21,Fulfilled,1,Powder Detergent,
B0963XJG72,"Surf Excel Matic 3 in 1 Smart Shots 17 pcs, Laundry Detergent Pods for Tough Stain Removal in Front Load & Top Load Washing Machines, Fragrance + Care",Surf Excel,408,14,2479,4.3,NA,NA,408,204,4,80,Fulfilled,1,Liquid Detergent,
B07SC35YGH,"Surf Excel Matic Front Load Detergent Powder, 2 kg & After Wash Morning Fresh Fabric Conditioner, 1.6 L Combo",Surf Excel,,137,28,4.4,NA,NA,,,132,29,Fulfilled,1,Powder Detergent,
B07S8WT5LW,"Surf Excel Matic Front Load Detergent Powder, 2 kg & Matic Front Load Detergent Powder, 3 Kg + 1 kg Free Combo",Surf Excel,,338,23,4.5,NA,NA,,,336,16,Fulfilled,1,Powder Detergent,
B079GXSVWD,Surf Excel Easy Wash Detergent Powder (1kg),Surf Excel,126,46,1732,4.4,NA,NA,142,126,49,48,NA,1,Powder Detergent,
B00U2DUE1A,"Surf Excel Quick Wash Detergent Powder 1 kg, Washing Powder with Lemon & Bleach to Remove Tough Stains on Clothes - Bucket & Machine Wash",Surf Excel,235,23,5200,4.5,NA,NA,240,235,23,73,NA,1,Powder Detergent,
B00U2DUC9O,Surf Excel Matic Top Load Detergent Powder 1 kg,Surf Excel,269,81,393,4.5,NA,NA,270,270,77,39,NA,1,Powder Detergent,
B0BB1FWRD7,"Surf Excel Matic Front Load Detergent Washing Powder 2 kg, & Surf Excel Matic Top Load Liquid Detergent 1 L,",Surf Excel,,178,,,NA,NA,,,268,24,Fulfilled,1,Powder Detergent,
B07SGS93PJ,"Surf Excel Matic Top Load Detergent Powder, 2 kg & Top Load Matic Liquid Detergent Pouch - 2 L Combo",Surf Excel,,193,336,4.5,NA,NA,,,256,23,Fulfilled,1,Liquid Detergent,
B07S8WT5DZ,"Surf Excel Matic Front Load Detergent Powder, 2 kg & After Wash Fabric Conditioner Pouch - 2 l Combo",Surf Excel,,144,1,5,NA,NA,,,172,28,Fulfilled,1,Powder Detergent,
B00TS89BSW,"Surf Excel Easy Wash Detergent Powder 1.5 kg, Washing Powder that Dissolves Easily & Removes Tough Stains on Clothes - Bucket & Machine Wash",Surf Excel,199,1,46329,4.4,NA,NA,210,199,1,88,Fulfilled,1,Powder Detergent,
B07S9ZG6GX,"Surf Excel Matic Top Load Detergent Powder, 2 kg & After Wash Lily Fresh Fabric Conditioner - 1.6 L Combo",Surf Excel,,511,,,NA,NA,,,487,11,Fulfilled,1,Powder Detergent,
B0B42RLS7Y,Title - Tide Matic Top Load Detergent (1 Kg),Tide,179,69,16,4.4,NA,NA,179,179,69,40,Fulfilled,1,Powder Detergent,
B079QJMVPX,Tide Plus Double Power Detergent Washing Powder Jasmine & Rose 2kg,Tide,230,27,2587,4.4,NA,NA,230,230,25,68,Fulfilled,1,Powder Detergent,
B079QKXP84,Tide Plus Detergent Washing Powder with double Power Lemon and Mint Pack - 1 kg,Tide,130,20,4027,4.4,NA,NA,130,130,19,76,Fulfilled,1,Powder Detergent,
B07ZQDFG9R,Tide Plus Double Power Detergent Washing Powder Jasmine & Rose 7kg + 3kg FREE,Tide,1095,2,29198,4.4,NA,NA,,938,3,84,NA,1,Powder Detergent,
B079QKYMTY,Tide Plus Double Power Detergent Washing Powder Lemon & Mint 6kg + 2kg FREE,Tide,856,9,14407,4.4,NA,NA,925,856,11,68,Fulfilled,1,Powder Detergent,
B0B42PLS5P,Title - Tide Matic Front Load Detergent (1 Kg),Tide,199,172,2,4,NA,NA,199,,123,24,Fulfilled,0.222222222,Powder Detergent,
B00WUCSDI2,"Tide Plus Jasmine & Rose Detergent Powder, 4 kg Pack",Tide,500,160,133,4.4,NA,NA,500,500,108,28,NA,1,Powder Detergent,
B0B6J17SP3,Tide Ultra 5 Kg Semi-Auto Washing Machine and Hand Wash,Tide,748.3,283,1,5,NA,NA,800,749.96,259,20,Fulfilled,1,Powder Detergent,
B0B42NY54Y,Tide Matic Top Load Detergent (2+1 Kg powder),Tide,404,26,234,4.3,NA,NA,425,404,27,68,Fulfilled,1,Powder Detergent,
B07BDNNNXT,Tide Natural Detergent Powder Lemon & Chandan - 500 g,Tide,40,272,13,4.5,NA,NA,41,,245,19,NA,0.777777778,Powder Detergent,
B07D3HDX8J,Tide with Extra Power - 500 g (Lemon and Mint),Tide,65,408,6,4.5,NA,NA,66,65,371,12,NA,1,Powder Detergent,
B085SFKVVH,Tide Ultra 3 in 1 Clean Detergent Washing Powder - 3 kg + 1 kg Free = 4 kg,Tide,465,25,5071,4.3,NA,NA,599,489,21,73,NA,1,Powder Detergent,
B08HNN86T4,Tide Ultra Anti-Germ Detergent Washing Powder 1kg,Tide,159,57,10379,4.4,NA,NA,160,159,60,44,NA,1,Powder Detergent,
B079QKMX9D,Tide Plus Extra Power Detergent Washing Powder - 4 kg (Jasmine and Rose),Tide,500,271,386,4.3,NA,NA,500,500,277,18,NA,1,Powder Detergent,
B07RNRQMJQ,Tide Ultra Matic Detergent Washing Powder 2 Kg,Tide,,256,119,4.2,NA,NA,,,265,22,NA,0,Powder Detergent,
B0BD8HVHVC,Tide Matic 3in1 PODs Liquid Detergent Pack 32 Count for Both Front Load and Top Load Washing Machines & Plus Detergent Washing Powder with double Power Lemon and Mint Pack - 1 kg,Tide,693,,,,NA,NA,834,693,,,Fulfilled,1,Powder Detergent,
B08C24KCXF,"Tide regular Detergent Powder - Lemon & Mint, 8Kg",Tide,995,242,23,3.9,NA,NA,995,995,167,21,NA,1,Powder Detergent,
B07RK4NNM3,Tide Ultra 3 in 1 Clean Detergent Washing Powder 1 Kg,Tide,140,70,403,4.4,NA,NA,160,140,72,40,Fulfilled,1,Powder Detergent,
B079Q4PCXN,Tide Plus Detergent Washing Powder with Extra Power Lemon and Mint Pack - 500 g,Tide,60,60,657,4.3,NA,NA,61,60,62,42,NA,0.666666667,Powder Detergent,
B00O52Q2II,Tide Powder Lemon & Mint 500 g -,Tide,65,250,29,4,NA,NA,66,65,223,20,NA,1,Powder Detergent,
B079QBSYSX,Tide Plus Double Power Detergent Washing Powder Jasmine & Rose 6kg + 2kg FREE,Tide,856,6,24244,4.4,NA,NA,895,856,8,74,Fulfilled,1,Powder Detergent,
B07BDN3CCG,"Tide Naturals Lemon and Chandan Detergent Washing Powder, 1kg",Tide,75,36,605,4.3,NA,NA,75,75,35,60,NA,1,Powder Detergent,
B00NOZ3ZOQ,Tide Plus Detergent Washing Powder with Extra Power Lemon and Mint Pack - 4 kg ( 50 off),Tide,500,173,1541,4.3,NA,NA,500,500,160,22,NA,1,Powder Detergent,
B01CIC3V26,Tide Plus Detergent Powder - 6 kg (Jasmine and Rose),Tide,851,273,53,4.4,NA,NA,851,851,238,19,NA,1,Powder Detergent,
B076427WYM,RIN Hippity Hop Exercise Hopper Jump Balls with Animal Face and Two Handles for Kids (White Panda),Rin,3269,,10,4.5,NA,NA,6999,3269,,,NA,1,Powder Detergent,
B07ZNQNBZN,Rin Liquid Detergent - 800ml,Rin,149,387,20,4.7,NA,NA,150,149,385,13,NA,1,Liquid Detergent,
B00U2DU5BE,Rin Detergent Bar 250gm,Rin,26,13,11717,4.4,NA,NA,27,26,14,83,NA,1,Powder Detergent,
B010BAHRF4,"RIN Refresh Lemon & Rose Detergent Powder 500 g,RPAA2R3",Rin,48,82,127,4.3,NA,NA,48,48,78,38,NA,1,Powder Detergent,
B00TX48HB8,"Rin Detergent Powder - Lemon and Rose, 4kg Pouch",Rin,410,392,12,4,NA,NA,410,410,391,13,NA,0.555555556,Powder Detergent,
B00U2DTWPE,Rin Fresh Lemon and Rose Powder- 1 kg,Rin,,65,272,4.4,NA,NA,,103,63,42,NA,0.666666667,Powder Detergent,
B07N6NP5K2,Rin Advanced Detergent Powder 7 kg,Rin,590,7,27605,4.3,NA,NA,640,590,7,72,Fulfilled,1,Powder Detergent,
B01G4UJZK0,Rin Refresh Lemon & Rose Detergent Powder 4 kg,Rin,412,191,1541,4.2,NA,NA,412,412,184,22,NA,1,Powder Detergent,
B0937TN8Y2,"Ariel Matic Liquid Detergent, Front Load, 2 Litre & Ariel Matic Front Load Detergent Washing Powder 4 kg with Free Detergent Powder 2 kg",Ariel,1789,,11671,4.4,NA,NA,1905,1789,,,Fulfilled,1,Powder Detergent,
B07BHH7JNL,Ariel Colour Detergent Washing Powder - 500 g with Detergent Washing Powder - 200 g,Ariel,165,76,857,4.5,NA,NA,165,165,80,39,Fulfilled,1,Powder Detergent,
B07BHHCG3M,Ariel Matic Front Load Detergent Washing Powder - 3 kg,Ariel,975,79,4231,4.4,NA,NA,975,975,84,40,NA,1,Powder Detergent,
B071ZYNV95,"Ariel Matic Detergent Powder - Top Load, 6kg Carton",Ariel,1690,251,312,4.6,NA,NA,1690,1690,241,21,NA,1,Powder Detergent,
B06ZZJ7NVH,Ariel Matic Top Load Detergent Washing Powder – 4 Kg+2 KG free,Ariel,1206,4,21665,4.4,NA,NA,1225,1206,5,79,Fulfilled,1,Powder Detergent,
B01N21R6Q9,Ariel Matic Front Load Washing Detergent Powder - 1 kg,Ariel,310,434,28,3.4,NA,NA,315,310,421,12,NA,1,Powder Detergent,
B0937PPDK4,"Ariel Matic Top Load Detergent Washing Powder - 4 kg with Free Detergent Powder - 2 kg - Pantry & Ariel Matic Liquid Detergent Top Load Refill Pouch, 2 Litre",Ariel,1584,114,80,4.5,NA,NA,1615,1584,274,33,Fulfilled,0.888888889,Powder Detergent,
B01MRZZMYD,Ariel Matic Front Load Detergent Washing Powder - 1 kg,Ariel,285,62,886,4.5,NA,NA,309,285,58,42,Fulfilled,1,Powder Detergent,
B08WBPD1L4,Ariel Matic Top Load Detergent Washing Powder 3 KG + 1 KG Free,Ariel,855,38,7339,4.4,NA,NA,855,855,34,57,Fulfilled,1,Powder Detergent,
B078BCFQ7P,Ariel Matic Top Load Detergent Washing Powder - 1 kg,Ariel,285,85,432,4.5,NA,NA,285,285,88,34,Fulfilled,1,Powder Detergent,
B09R4RWG84,Ariel Matic Top Load Detergent Washing Powder - 5kg plus 3kg,Ariel,1665,91,916,4.5,NA,NA,,1665,91,32,NA,1,Powder Detergent,
B0BD235MBP,"Ariel Matic Liquid Detergent Top Load Refill Pouch, 2 Litre & Matic Top Load Detergent Washing Powder - 2 kg & Colour Detergent Washing Powder - 1 kg with Free Detergent Washing Powder - 500 g",Ariel,1144,,24193,4.4,NA,NA,1355,1144,,,Fulfilled,1,Powder Detergent,
B071QXZQ9L,Ariel Matic Front Load Detergent Washing Powder – 4 Kg+2 KG free,Ariel,1357,5,16165,4.4,NA,NA,1420,1357,6,76,Fulfilled,1,Powder Detergent,
B07BHGWPKV,Ariel Complete Detergent Washing Powder - 500 g with Free Detergent Powder - 200 g,Ariel,173,52,173,4.5,NA,NA,173,173,50,45,Fulfilled,1,Powder Detergent,
B01N4GLE1I,Ariel Matic Top Load Detergent Washing Powder - 2 kg,Ariel,396,19,5754,4.4,NA,NA,595,396,20,76,Fulfilled,1,Powder Detergent,
B07YFKKQN7,"Ariel Perfect Wash Detergent Powder, 500g",Ariel,79,157,16,3.9,NA,NA,80,79,150,28,NA,1,Powder Detergent,
B07DP7779R,Ariel Laundry Detergent 3 In 1 Pods - 52 pods (Regular),Ariel,1695,102,686,4.3,NA,NA,1899,1695,91,32,Fulfilled,1,Powder Detergent,
