ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B07F8H9PGS,2022-11-10,470.0,,91.0,,39.0,1.0
B07F8H9PGS,2022-11-11,470.0,470.0,122.0,91.0,39.0,1.0
B07F8H9PGS,2022-11-12,470.0,470.0,136.0,122.0,37.0,1.0
B07F8H9PGS,2022-11-13,470.0,470.0,107.0,136.0,39.0,1.0
B07F8H9PGS,2022-11-14,470.0,470.0,151.0,107.0,35.0,1.0
B07F8H9PGS,2022-11-15,470.0,470.0,193.0,151.0,28.0,1.0
B07F8H9PGS,2022-11-16,470.0,470.0,112.0,193.0,40.0,1.0
B07F8H9PGS,2022-11-17,470.0,470.0,104.0,112.0,39.0,1.0
B07F8H9PGS,2022-11-18,470.0,470.0,108.0,104.0,39.0,1.0
B07PZWWJKK,2022-11-10,880.0,,6.0,,93.0,1.0
B07PZWWJKK,2022-11-11,880.0,880.0,7.0,6.0,90.0,1.0
B07PZWWJKK,2022-11-12,920.0,880.0,9.0,7.0,86.0,1.0
B07PZWWJKK,2022-11-13,920.0,920.0,9.0,9.0,86.0,1.0
B07PZWWJKK,2022-11-14,920.0,920.0,10.0,9.0,84.0,1.0
B07PZWWJKK,2022-11-15,880.0,920.0,8.0,10.0,88.0,1.0
B07PZWWJKK,2022-11-16,880.0,880.0,11.0,8.0,82.0,1.0
B07PZWWJKK,2022-11-17,880.0,880.0,10.0,11.0,84.0,1.0
B07PZWWJKK,2022-11-18,880.0,880.0,10.0,10.0,84.0,1.0
B07SC373N4,2022-11-10,,,246.0,,26.0,1.0
B07SC373N4,2022-11-11,,,291.0,246.0,23.0,1.0
B07SC373N4,2022-11-12,,,312.0,291.0,22.0,1.0
B07SC373N4,2022-11-13,,,359.0,312.0,19.0,1.0
B07SC373N4,2022-11-14,,,145.0,359.0,36.0,1.0
B07SC373N4,2022-11-15,,,236.0,145.0,27.0,1.0
B07SC373N4,2022-11-16,,,305.0,236.0,22.0,1.0
B07SC373N4,2022-11-17,,,335.0,305.0,20.0,1.0
B07SC373N4,2022-11-18,,,358.0,335.0,19.0,1.0
B07S9ZHWDP,2022-11-10,1530.0,,219.0,,30.0,1.0
B07S9ZHWDP,2022-11-11,1530.0,1530.0,284.0,219.0,23.0,1.0
B07S9ZHWDP,2022-11-12,1705.0,1530.0,307.0,284.0,21.0,1.0
B07S9ZHWDP,2022-11-13,1705.0,1705.0,367.0,307.0,18.0,1.0
