ASIN,String,Rating,Frequency
B07F8H9PGS,excellent,4.0,2
B07F8H9PGS,useful,4.0,1
B07F8H9PGS,useful 👍,4.0,1
B07F8H9PGS,👍,4.0,2
B07F8H9PGS,good,4.0,5
B07F8H9PGS,good quality,4.0,1
B07F8H9PGS,quality,4.0,1
B07F8H9PGS,quality product,4.0,1
B07F8H9PGS,product,4.0,2
B07F8H9PGS,genuine,4.0,1
B07F8H9PGS,genuine branded,4.0,1
B07F8H9PGS,branded,4.0,1
B07F8H9PGS,branded item.,4.0,1
B07F8H9PGS,item.,4.0,2
B07F8H9PGS,even,1.0,1
B07F8H9PGS,even order,1.0,1
B07F8H9PGS,order,1.0,1
B07F8H9PGS,order processed,1.0,1
B07F8H9PGS,processed,1.0,1
B07F8H9PGS,processed ms.,1.0,1
B07F8H9PGS,ms.,1.0,1
B07F8H9PGS,ms. sakshi,1.0,1
B07F8H9PGS,sakshi,1.0,1
B07F8H9PGS,sakshi enterprise,1.0,1
B07F8H9PGS,enterprise,1.0,2
B07F8H9PGS,product,1.0,1
B07F8H9PGS,"product delivered,",1.0,1
B07F8H9PGS,"delivered,",1.0,1
B07F8H9PGS,"delivered, refund",1.0,1
B07F8H9PGS,refund,1.0,1
B07F8H9PGS,refund initiated,1.0,1
B07F8H9PGS,initiated,1.0,1
B07F8H9PGS,initiated without,1.0,1
B07F8H9PGS,without,1.0,1
B07F8H9PGS,without assigning,1.0,1
B07F8H9PGS,assigning,1.0,1
B07F8H9PGS,assigning reason.,1.0,1
B07F8H9PGS,reason.,1.0,2
B07F8H9PGS,nace,3.0,2
B07F8H9PGS,supar,3.0,2
B07F8H9PGS,super,5.0,4
B07F8H9PGS,good,5.0,4
B07F8H9PGS,amazing,5.0,2
B07F8H9PGS,value,5.0,1
B07F8H9PGS,value money,5.0,1
B07F8H9PGS,money,5.0,2
B07F8H9PGS,given,5.0,1
B07F8H9PGS,given description,5.0,1
B07F8H9PGS,description,5.0,2
B07F8H9PGS,delivered,5.0,1
B07F8H9PGS,delivered time,5.0,1
B07F8H9PGS,time,5.0,1
B07F8H9PGS,"time described,",5.0,1
B07F8H9PGS,"described,",5.0,1
B07F8H9PGS,"described, complaint",5.0,1
B07F8H9PGS,complaint,5.0,2
B07PZWWJKK,good,5.0,3
B07PZWWJKK,good product,5.0,2
B07PZWWJKK,product,5.0,4
B07PZWWJKK,complete,5.0,1
B07PZWWJKK,complete sense,5.0,1
B07PZWWJKK,sense,5.0,2
B07PZWWJKK,like,5.0,1
B07PZWWJKK,like product.100%value,5.0,1
B07PZWWJKK,product.100%value,5.0,1
B07PZWWJKK,product.100%value money.,5.0,1
B07PZWWJKK,money.,5.0,2
B07PZWWJKK,using,5.0,1
B07PZWWJKK,using long,5.0,1
B07PZWWJKK,long,5.0,1
B07PZWWJKK,long time,5.0,1
B07PZWWJKK,time,5.0,1
B07PZWWJKK,time due,5.0,1
B07PZWWJKK,due,5.0,1
B07PZWWJKK,due quality.,5.0,1
B07PZWWJKK,quality.,5.0,2
B07PZWWJKK,surf,5.0,1
B07PZWWJKK,surf give,5.0,1
B07PZWWJKK,give,5.0,1
B07PZWWJKK,give new,5.0,1
B07PZWWJKK,new,5.0,1
B07PZWWJKK,new life,5.0,1
B07PZWWJKK,life,5.0,1
B07PZWWJKK,life garment,5.0,1
B07PZWWJKK,garment,5.0,1
B07PZWWJKK,garment wash,5.0,1
B07PZWWJKK,wash,5.0,2
B07PZWWJKK,quick,5.0,1
B07PZWWJKK,quick delivery,5.0,1
B07PZWWJKK,delivery,5.0,2
B07PZWWJKK,good front,5.0,1
B07PZWWJKK,front,5.0,1
B07PZWWJKK,front loading,5.0,1
B07PZWWJKK,loading,5.0,1
B07PZWWJKK,loading machine.,5.0,1
B07PZWWJKK,machine.,5.0,2
B07PZWWJKK,good,3.0,3
B07PZWWJKK,good use.,3.0,1
B07PZWWJKK,use.,3.0,1
B07PZWWJKK,use. nice,3.0,1
B07PZWWJKK,nice,3.0,1
B07PZWWJKK,nice product.,3.0,1
B07PZWWJKK,product.,3.0,2
B07PZWWJKK,received,1.0,1
B07PZWWJKK,received 3kg,1.0,1
B07PZWWJKK,3kg,1.0,2
B07PZWWJKK,recieved,1.0,1
B07PZWWJKK,recieved one,1.0,1
B07PZWWJKK,one,1.0,2
B07PZWWJKK,one kg,1.0,2
B07PZWWJKK,kg,1.0,4
B07PZWWJKK,kg short,1.0,1
B07PZWWJKK,short,1.0,1
B07PZWWJKK,short total,1.0,1
B07PZWWJKK,total,1.0,3
B07PZWWJKK,total 4,1.0,2
B07PZWWJKK,4,1.0,2
B07PZWWJKK,4 kg,1.0,2
B07PZWWJKK,"kg ,",1.0,1
B07PZWWJKK,",",1.0,1
B07PZWWJKK,", carefull",1.0,1
B07PZWWJKK,carefull,1.0,2
B07PZWWJKK,terrible,1.0,1
B07PZWWJKK,terrible -,1.0,1
B07PZWWJKK,-,1.0,2
B07PZWWJKK,- missed,1.0,1
B07PZWWJKK,missed,1.0,1
B07PZWWJKK,missed one,1.0,1
B07PZWWJKK,kg pack,1.0,1
B07PZWWJKK,pack,1.0,1
B07PZWWJKK,pack total,1.0,1
B07PZWWJKK,kg -,1.0,1
B07PZWWJKK,- loss,1.0,1
B07PZWWJKK,loss,1.0,1
B07PZWWJKK,loss 25%,1.0,1
B07PZWWJKK,25%,1.0,1
B07PZWWJKK,25% total,1.0,1
B07PZWWJKK,total value,1.0,1
B07PZWWJKK,value,1.0,1
B07PZWWJKK,value ...,1.0,1
B07PZWWJKK,...,1.0,2
B07PZWWJKK,year,1.0,1
B07PZWWJKK,year old,1.0,1
B07PZWWJKK,old,1.0,1
B07PZWWJKK,old original,1.0,1
B07PZWWJKK,original,1.0,1
B07PZWWJKK,original box,1.0,1
B07PZWWJKK,box,1.0,2
B07PZWWJKK,good,4.0,5
B07PZWWJKK,good product,4.0,1
B07PZWWJKK,product,4.0,2
B07PZWWJKK,value,4.0,1
B07PZWWJKK,value money,4.0,1
B07PZWWJKK,money,4.0,2
B07F9ZRRJG,nice,5.0,2
B07F9ZRRJG,fine,5.0,2
B07F9ZRRJG,surf,5.0,2
B07F9ZRRJG,surf excel,5.0,1
B07F9ZRRJG,excel,5.0,1
B07F9ZRRJG,excel matict,5.0,1
B07F9ZRRJG,matict,5.0,2
B07F9ZRRJG,surf exsel,5.0,1
B07F9ZRRJG,exsel,5.0,1
B07F9ZRRJG,exsel matic,5.0,1
B07F9ZRRJG,matic,5.0,1
B07F9ZRRJG,matic top,5.0,1
B07F9ZRRJG,top,5.0,2
B07F9ZRRJG,top load,5.0,1
B07F9ZRRJG,load,5.0,2
B07F9ZRRJG,good,5.0,11
B07F9ZRRJG,good product,5.0,2
B07F9ZRRJG,product,5.0,5
B07F9ZRRJG,product mentioned.,5.0,1
B07F9ZRRJG,mentioned.,5.0,2
B07F9ZRRJG,work,5.0,1
B07F9ZRRJG,work well,5.0,1
B07F9ZRRJG,well,5.0,1
B07F9ZRRJG,well top,5.0,1
B07F9ZRRJG,top loading,5.0,1
B07F9ZRRJG,loading,5.0,1
B07F9ZRRJG,loading washing,5.0,1
B07F9ZRRJG,washing,5.0,3
B07F9ZRRJG,washing machines.,5.0,1
