ASIN,username,rating,title,date,country,helpful,description,keyword,importance,sentiment_score,magnitude,aspect
B09T775YCP,hozefa,1.0 out of 5 stars,🤮horrible taste…,14/06/2022 00:00,India,,"It tastes very bad, I had recieved one open and one sealed pack",pack,1,-0.699999988,0.699999988,Packaging
B08NPTF66S,rushabh,4.0 out of 5 stars,Does not taste that good.,28/07/2022 00:00,India,,Tastes bit bitter than other sugar free.,sugar,0.262876451,0,0,Taste
B08NPTF66S,rushabh,4.0 out of 5 stars,Does not taste that good.,28/07/2022 00:00,India,,Tastes bit bitter than other sugar free.,Tastes,0.737123549,0.200000003,0.200000003,Taste
B08NPK4CJN,Wdias,5.0 out of 5 stars,Good for diabetic patients.,03/07/2022 00:00,India,,"When people have uncontrolled sugar in their blood, they may reduce sugar intake. Tevia helps them do it.",sugar,0.128658205,0,0,Taste
B08NPK4CJN,Wdias,5.0 out of 5 stars,Good for diabetic patients.,03/07/2022 00:00,India,,"When people have uncontrolled sugar in their blood, they may reduce sugar intake. Tevia helps them do it.",people,0.705054045,0,0.200000003,
B08NPK4CJN,MDG,2.0 out of 5 stars,Average product,10/05/2022 00:00,India,,First time we have used this brand. After taste was observed in the product.,product,0.070946187,0,0,Quality
B08NPK4CJN,MDG,2.0 out of 5 stars,Average product,10/05/2022 00:00,India,,First time we have used this brand. After taste was observed in the product.,taste,0.093257844,0,0,Taste
B08NPK4CJN,MDG,2.0 out of 5 stars,Average product,10/05/2022 00:00,India,,First time we have used this brand. After taste was observed in the product.,brand,0.208752275,0,0,
B08NPK4CJN,MDG,2.0 out of 5 stars,Average product,10/05/2022 00:00,India,,First time we have used this brand. After taste was observed in the product.,time,0.627043724,0,0,
B08NPK4CJN,Wdias,5.0 out of 5 stars,Good for diabetic patients.,03/07/2022 00:00,India,,"When people have uncontrolled sugar in their blood, they may reduce sugar intake. Tevia helps them do it.",Tevia,0.012275145,0.200000003,0.200000003,
B08NPK4CJN,Wdias,5.0 out of 5 stars,Good for diabetic patients.,03/07/2022 00:00,India,,"When people have uncontrolled sugar in their blood, they may reduce sugar intake. Tevia helps them do it.",sugar intake,0.074299663,0,0,Taste
B08NPK4CJN,Wdias,5.0 out of 5 stars,Good for diabetic patients.,03/07/2022 00:00,India,,"When people have uncontrolled sugar in their blood, they may reduce sugar intake. Tevia helps them do it.",blood,0.07971295,0,0,
B08NPDBN9P,MDG,2.0 out of 5 stars,Average product,10/05/2022 00:00,India,,First time we have used this brand. After taste was observed in the product.,brand,0.208752275,0,0,
B08NPDBN9P,MDG,2.0 out of 5 stars,Average product,10/05/2022 00:00,India,,First time we have used this brand. After taste was observed in the product.,product,0.070946187,0,0,Quality
B08NPDBN9P,MDG,2.0 out of 5 stars,Average product,10/05/2022 00:00,India,,First time we have used this brand. After taste was observed in the product.,taste,0.093257844,0,0,Taste
B08NPDBN9P,MDG,2.0 out of 5 stars,Average product,10/05/2022 00:00,India,,First time we have used this brand. After taste was observed in the product.,time,0.627043724,0,0,
B08NPDBN9P,Wdias,5.0 out of 5 stars,Good for diabetic patients.,03/07/2022 00:00,India,,"When people have uncontrolled sugar in their blood, they may reduce sugar intake. Tevia helps them do it.",blood,0.07971295,0,0,
B08NPDBN9P,Wdias,5.0 out of 5 stars,Good for diabetic patients.,03/07/2022 00:00,India,,"When people have uncontrolled sugar in their blood, they may reduce sugar intake. Tevia helps them do it.",sugar intake,0.074299663,0,0,Taste
B08NPDBN9P,Wdias,5.0 out of 5 stars,Good for diabetic patients.,03/07/2022 00:00,India,,"When people have uncontrolled sugar in their blood, they may reduce sugar intake. Tevia helps them do it.",people,0.705054045,0,0.200000003,
B08NPDBN9P,Wdias,5.0 out of 5 stars,Good for diabetic patients.,03/07/2022 00:00,India,,"When people have uncontrolled sugar in their blood, they may reduce sugar intake. Tevia helps them do it.",sugar,0.128658205,0,0,Taste
