ASIN,Category,Latest BSR,Last Day BSR
B08NPBYY35,Grocery & Gourmet Foods,5931.0,6360.0
B08NPBYY35,White Sugar,22.0,21.0
B08NPDBN9P,Grocery & Gourmet Foods,5931.0,6413.0
B08NPDBN9P,White Sugar,22.0,23.0
B08NPK4CJN,Grocery & Gourmet Foods,5931.0,6413.0
B08NPK4CJN,White Sugar,22.0,23.0
B08NPD17BL,Health & Personal Care,24654.0,21799.0
B08NPD17BL,Stevia,77.0,72.0
B08NP2HY8Q,Grocery & Gourmet Foods,5931.0,6360.0
B08NP2HY8Q,White Sugar,22.0,21.0
B09T775YCP,Health & Personal Care,58086.0,55812.0
B09T775YCP,Stevia,143.0,140.0
B08NPTF66S,Health & Personal Care,24654.0,21799.0
B08NPTF66S,Stevia,77.0,72.0
B09T3HSV1V,Health & Personal Care,24385.0,26022.0
B09T3HSV1V,Stevia,75.0,78.0
B09T77Z5WF,Health & Personal Care,34529.0,26882.0
B09T77Z5WF,Stevia,94.0,81.0
B09T7BG8GG,Health & Personal Care,150093.0,148050.0
B09T7BG8GG,Stevia,264.0,264.0
B09T793MKV,Health & Personal Care,265077.0,264828.0
B09T793MKV,Stevia,360.0,361.0
B09T7BXHTB,Health & Personal Care,64699.0,60660.0
B09T7BXHTB,Stevia,156.0,148.0
B08MV26J7C,Health & Personal Care,177.0,214.0
B08MV26J7C,Stevia,1.0,1.0
B01M2VRUS0,Health & Personal Care,36378.0,19977.0
B01M2VRUS0,Diabetes Care,389.0,194.0
B082TC6KL9,Grocery & Gourmet Foods,2125.0,2013.0
B082TC6KL9,White Sugar,9.0,8.0
B079Z36PRK,Health & Personal Care,612.0,608.0
B079Z36PRK,Stevia,2.0,2.0
B06XQ49MJ8,Health & Personal Care,217611.0,217466.0
B06XQ49MJ8,Diabetes Care,1692.0,1689.0
B06XQLN5RZ,Health & Personal Care,312026.0,311851.0
B06XQLN5RZ,Diabetes Care,2100.0,2100.0
B0888FJHX9,Health & Personal Care,27063.0,21160.0
B0888FJHX9,Diabetes Care,291.0,212.0
B08BLP6CP5,Health & Personal Care,19681.0,40918.0
B08BLP6CP5,Diabetes Care,201.0,428.0
