ASIN,Date,Category,BSR,Last Known BSR
B08NPBYY35,2022-08-02,Grocery & Gourmet Foods,6360.0,
B08NPBYY35,2022-08-03,Grocery & Gourmet Foods,5931.0,6360.0
B08NPBYY35,2022-08-02,White Sugar,21.0,
B08NPBYY35,2022-08-03,White Sugar,22.0,21.0
B08NPDBN9P,2022-08-02,Grocery & Gourmet Foods,6413.0,
B08NPDBN9P,2022-08-03,Grocery & Gourmet Foods,5931.0,6413.0
B08NPDBN9P,2022-08-02,White Sugar,23.0,
B08NPDBN9P,2022-08-03,White Sugar,22.0,23.0
B08NPK4CJN,2022-08-02,Grocery & Gourmet Foods,6413.0,
B08NPK4CJN,2022-08-03,Grocery & Gourmet Foods,5931.0,6413.0
B08NPK4CJN,2022-08-02,White Sugar,23.0,
B08NPK4CJN,2022-08-03,White Sugar,22.0,23.0
B08NPD17BL,2022-08-02,Health & Personal Care,21799.0,
B08NPD17BL,2022-08-03,Health & Personal Care,24654.0,21799.0
B08NPD17BL,2022-08-02,Stevia,72.0,
B08NPD17BL,2022-08-03,Stevia,77.0,72.0
B08NP2HY8Q,2022-08-02,Grocery & Gourmet Foods,6360.0,
B08NP2HY8Q,2022-08-03,Grocery & Gourmet Foods,5931.0,6360.0
B08NP2HY8Q,2022-08-02,White Sugar,21.0,
B08NP2HY8Q,2022-08-03,White Sugar,22.0,21.0
B09T775YCP,2022-08-02,Health & Personal Care,55812.0,
B09T775YCP,2022-08-03,Health & Personal Care,58086.0,55812.0
B09T775YCP,2022-08-02,Stevia,140.0,
B09T775YCP,2022-08-03,Stevia,143.0,140.0
B08NPTF66S,2022-08-02,Health & Personal Care,21799.0,
B08NPTF66S,2022-08-03,Health & Personal Care,24654.0,21799.0
B08NPTF66S,2022-08-02,Stevia,72.0,
B08NPTF66S,2022-08-03,Stevia,77.0,72.0
B09T3HSV1V,2022-08-02,Health & Personal Care,26022.0,
B09T3HSV1V,2022-08-03,Health & Personal Care,24385.0,26022.0
B09T3HSV1V,2022-08-02,Stevia,78.0,
B09T3HSV1V,2022-08-03,Stevia,75.0,78.0
B09T77Z5WF,2022-08-02,Health & Personal Care,26882.0,
B09T77Z5WF,2022-08-03,Health & Personal Care,34529.0,26882.0
B09T77Z5WF,2022-08-02,Stevia,81.0,
B09T77Z5WF,2022-08-03,Stevia,94.0,81.0
B09T7BG8GG,2022-08-02,Health & Personal Care,148050.0,
B09T7BG8GG,2022-08-03,Health & Personal Care,150093.0,148050.0
B09T7BG8GG,2022-08-02,Stevia,264.0,
B09T7BG8GG,2022-08-03,Stevia,264.0,264.0
B09T793MKV,2022-08-02,Health & Personal Care,264828.0,
B09T793MKV,2022-08-03,Health & Personal Care,265077.0,264828.0
B09T793MKV,2022-08-02,Stevia,361.0,
B09T793MKV,2022-08-03,Stevia,360.0,361.0
B09T7BXHTB,2022-08-02,Health & Personal Care,60660.0,
B09T7BXHTB,2022-08-03,Health & Personal Care,64699.0,60660.0
B09T7BXHTB,2022-08-02,Stevia,148.0,
B09T7BXHTB,2022-08-03,Stevia,156.0,148.0
B08MV26J7C,2022-08-02,Health & Personal Care,214.0,
B08MV26J7C,2022-08-03,Health & Personal Care,177.0,214.0
B08MV26J7C,2022-08-02,Stevia,1.0,
B08MV26J7C,2022-08-03,Stevia,1.0,1.0
B01M2VRUS0,2022-08-02,Health & Personal Care,19977.0,
B01M2VRUS0,2022-08-03,Health & Personal Care,36378.0,19977.0
B01M2VRUS0,2022-08-02,Diabetes Care,194.0,
B01M2VRUS0,2022-08-03,Diabetes Care,389.0,194.0
B082TC6KL9,2022-08-02,Grocery & Gourmet Foods,2013.0,
B082TC6KL9,2022-08-03,Grocery & Gourmet Foods,2125.0,2013.0
B082TC6KL9,2022-08-02,White Sugar,8.0,
B082TC6KL9,2022-08-03,White Sugar,9.0,8.0
B079Z36PRK,2022-08-02,Health & Personal Care,608.0,
B079Z36PRK,2022-08-03,Health & Personal Care,612.0,608.0
B079Z36PRK,2022-08-02,Stevia,2.0,
B079Z36PRK,2022-08-03,Stevia,2.0,2.0
B06XQ49MJ8,2022-08-02,Health & Personal Care,217466.0,
B06XQ49MJ8,2022-08-03,Health & Personal Care,217611.0,217466.0
B06XQ49MJ8,2022-08-02,Diabetes Care,1689.0,
B06XQ49MJ8,2022-08-03,Diabetes Care,1692.0,1689.0
B06XQLN5RZ,2022-08-02,Health & Personal Care,311851.0,
B06XQLN5RZ,2022-08-03,Health & Personal Care,312026.0,311851.0
B06XQLN5RZ,2022-08-02,Diabetes Care,2100.0,
B06XQLN5RZ,2022-08-03,Diabetes Care,2100.0,2100.0
B0888FJHX9,2022-08-02,Health & Personal Care,21160.0,
B0888FJHX9,2022-08-03,Health & Personal Care,27063.0,21160.0
B0888FJHX9,2022-08-02,Diabetes Care,212.0,
B0888FJHX9,2022-08-03,Diabetes Care,291.0,212.0
B08BLP6CP5,2022-08-02,Health & Personal Care,40918.0,
B08BLP6CP5,2022-08-03,Health & Personal Care,19681.0,40918.0
B08BLP6CP5,2022-08-02,Diabetes Care,428.0,
B08BLP6CP5,2022-08-03,Diabetes Care,201.0,428.0
