ASIN,Details Tag,Present
B08NPBYY35,Manufacturer,True
B08NPBYY35,Generic Name,False
B08NPBYY35,Asin,True
B08NPBYY35,Customer Reviews,True
B08NPBYY35,Form,True
B08NPBYY35,Item Dimensions Lxwxh,False
B08NPBYY35,Item Package Quantity,True
B08NPBYY35,Net Quantity,True
B08NPBYY35,Item Model Number,False
B08NPBYY35,Package Dimensions,True
B08NPBYY35,Appropriate Age Range,True
B08NPBYY35,Item Part Number,True
B08NPBYY35,Allergen Information,False
B08NPBYY35,Included Components,False
B08NPBYY35,Country Of Origin,False
B08NPBYY35,Brand,True
B08NPBYY35,Packer,False
B08NPBYY35,Best Sellers Rank,True
B08NPBYY35,Item Weight,True
B08NPBYY35,Package Information,True
B08NPBYY35,Ingredients,True
B08NPBYY35,Product Dimensions,False
B08NPBYY35,Is Discontinued By Manufacturer,False
B08NPBYY35,Date First Available,True
B08NPBYY35,Importer,False
B08NPDBN9P,Manufacturer,True
B08NPDBN9P,Generic Name,False
B08NPDBN9P,Asin,True
B08NPDBN9P,Customer Reviews,True
B08NPDBN9P,Form,True
B08NPDBN9P,Item Dimensions Lxwxh,False
B08NPDBN9P,Item Package Quantity,True
B08NPDBN9P,Net Quantity,True
B08NPDBN9P,Item Model Number,False
B08NPDBN9P,Package Dimensions,True
B08NPDBN9P,Appropriate Age Range,True
B08NPDBN9P,Item Part Number,True
B08NPDBN9P,Allergen Information,False
B08NPDBN9P,Included Components,False
B08NPDBN9P,Country Of Origin,False
B08NPDBN9P,Brand,True
B08NPDBN9P,Packer,False
B08NPDBN9P,Best Sellers Rank,True
B08NPDBN9P,Item Weight,True
B08NPDBN9P,Package Information,True
B08NPDBN9P,Ingredients,True
B08NPDBN9P,Product Dimensions,False
B08NPDBN9P,Is Discontinued By Manufacturer,False
B08NPDBN9P,Date First Available,True
B08NPDBN9P,Importer,False
B08NPK4CJN,Manufacturer,True
B08NPK4CJN,Generic Name,False
B08NPK4CJN,Asin,True
B08NPK4CJN,Customer Reviews,True
B08NPK4CJN,Form,True
B08NPK4CJN,Item Dimensions Lxwxh,False
