ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B08NPBYY35,"Equal Stevia Natural Sweetener, Sugar Free, 100 Sachet, Pack of 2",Equal,,,26,3.7,NA,NA,,,,0.0,NA,0.0,Stevia,
B08NPDBN9P,"Equal Stevia Natural Sweetener, Sugar Free, 100 Sachet, Pack of 4",Equal,,,26,3.7,NA,NA,,,,0.0,NA,0.0,Stevia,
B08NPK4CJN,"Equal Stevia Natural Sweetener, Sugar Free, 100 Sachet, Pack of 3",Equal,,,26,3.7,NA,NA,,,,0.0,NA,0.0,Stevia,
B08NPD17BL,Equal Sugar Free Green 100% Natural Sweetener and Sugar Substitute 100 Tablets - Pack of 6,Equal,,77.0,15,3.5,NA,NA,,,72.0,0.0,NA,0.0,Diabetes Care,
B08NP2HY8Q,"Equal Stevia Natural Sweetener, Sugar Free, 100 Sachet, Pack of 1",Equal,188.0,,26,3.7,NA,NA,250.0,188.0,,0.0,Fulfilled,1.0,Stevia,
B09T775YCP,"Equal Stevia Natural Sweetener, Sugar Free, 300 Tablets, Pack of 2",Equal,570.0,143.0,2,2.0,NA,NA,600.0,570.0,140.0,0.0,Fulfilled,1.0,Stevia,
B08NPTF66S,"Equal Stevia Natural Sweetener, Sugar Free, 100 Tablets, Pack of 2",Equal,,77.0,15,3.5,NA,NA,,,72.0,0.0,NA,0.0,Diabetes Care,
B09T3HSV1V,"Equal Stevia Natural Sweetener, Sugar Free, 100 Tablets, Pack of 4",Equal,456.0,75.0,1,1.0,NA,NA,480.0,456.0,78.0,0.0,Fulfilled,1.0,Stevia,
B09T77Z5WF,"Equal Stevia Natural Sweetener, Sugar Free, 50 Sachet, Pack of 2",Equal,,94.0,8,4.2,NA,NA,,,81.0,0.0,NA,0.0,Stevia,
B09T7BG8GG,"Equal Stevia Natural Sweetener, Sugar Free, 50 Sachet, Pack of 4",Equal,,264.0,1,3.0,NA,NA,,,264.0,0.0,NA,0.0,Stevia,
B09T793MKV,"Equal Stevia Natural Sweetener, Sugar Free, 50 Sachet, Pack of 6",Equal,855.0,360.0,,,NA,NA,900.0,855.0,361.0,0.0,Fulfilled,1.0,Stevia,
B09T7BXHTB,"Equal Stevia Natural Sweetener, Sugar Free, 300 Tablets, Pack of 3",Equal,855.0,156.0,,,NA,NA,900.0,855.0,148.0,0.0,Fulfilled,1.0,Stevia,
B08MV26J7C,"Sugar Free Green Stevia Powder Natural Stevia Powder - 400 g, Pouch",Sugar Free,231.0,1.0,4912,4.3,NA,NA,330.0,231.0,1.0,0.0,Fulfilled,1.0,Stevia,
B01M2VRUS0,Wipro Sweet and Healthy Low Calorie Sugar Substitute - 100 Tablets+100 Tables Free,Wipro,100.0,389.0,18,3.9,NA,NA,100.0,100.0,194.0,0.0,NA,1.0,Diabetes Care,
B082TC6KL9,Sugar Free Green Natural Stevia (200 g),Sugar Free,144.0,,1006,4.3,NA,NA,145.0,144.0,,0.0,NA,1.0,White Sugar,
B079Z36PRK,Sugar Free Green 100% Natural Sweetener and Sugar Substitute - 300 Pellets,Sugar Free,161.0,2.0,4781,4.1,NA,NA,215.0,161.0,2.0,0.0,Fulfilled,1.0,Stevia,
B06XQ49MJ8,Mankind's Kaloree1 pack of 2,Mankind,240.0,1692.0,2,4.0,NA,NA,999.0,240.0,1689.0,0.0,NA,1.0,Diabetes Care,
B06XQLN5RZ,Mankind's Kaloree1 pack of 3,Mankind,360.0,2100.0,1,5.0,NA,NA,999.0,360.0,2100.0,0.0,NA,1.0,Diabetes Care,
B0888FJHX9,Kaloree 1 Mankind Sugar Sweetner Pack Of 400 Tablets +200 Tab Free,Kaloree 1,194.0,291.0,73,4.1,NA,NA,400.0,250.0,212.0,0.0,NA,1.0,Diabetes Care,
B08BLP6CP5,R.A. Kaloree 1 Mankind Sugar Sweetner Pack Of 400 Tablets +200 Tab Free (3 PACK),R.A.,586.0,201.0,3,5.0,NA,NA,700.0,586.0,428.0,0.0,NA,1.0,Diabetes Care,
