ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B08NPBYY35,2022-08-02,,,,,0.0,0.0
B08NPBYY35,2022-08-03,,,,,0.0,0.0
B08NPDBN9P,2022-08-02,,,,,0.0,0.0
B08NPDBN9P,2022-08-03,,,,,0.0,0.0
B08NPK4CJN,2022-08-02,,,,,0.0,0.0
B08NPK4CJN,2022-08-03,,,,,0.0,0.0
B08NPD17BL,2022-08-02,,,72.0,,0.0,0.0
B08NPD17BL,2022-08-03,,,77.0,72.0,0.0,0.0
B08NP2HY8Q,2022-08-02,188.0,,,,0.0,1.0
B08NP2HY8Q,2022-08-03,188.0,188.0,,,0.0,1.0
B09T775YCP,2022-08-02,570.0,,140.0,,0.0,1.0
B09T775YCP,2022-08-03,570.0,570.0,143.0,140.0,0.0,1.0
B08NPTF66S,2022-08-02,,,72.0,,0.0,0.0
B08NPTF66S,2022-08-03,,,77.0,72.0,0.0,0.0
B09T3HSV1V,2022-08-02,456.0,,78.0,,0.0,1.0
B09T3HSV1V,2022-08-03,456.0,456.0,75.0,78.0,0.0,1.0
B09T77Z5WF,2022-08-02,,,81.0,,0.0,0.0
B09T77Z5WF,2022-08-03,,,94.0,81.0,0.0,0.0
B09T7BG8GG,2022-08-02,,,264.0,,0.0,0.0
B09T7BG8GG,2022-08-03,,,264.0,264.0,0.0,0.0
B09T793MKV,2022-08-02,855.0,,361.0,,0.0,1.0
B09T793MKV,2022-08-03,855.0,855.0,360.0,361.0,0.0,1.0
B09T7BXHTB,2022-08-02,855.0,,148.0,,0.0,1.0
B09T7BXHTB,2022-08-03,855.0,855.0,156.0,148.0,0.0,1.0
B08MV26J7C,2022-08-02,231.0,,1.0,,0.0,1.0
B08MV26J7C,2022-08-03,231.0,231.0,1.0,1.0,0.0,1.0
B01M2VRUS0,2022-08-02,100.0,,194.0,,0.0,1.0
B01M2VRUS0,2022-08-03,100.0,100.0,389.0,194.0,0.0,1.0
B082TC6KL9,2022-08-02,144.0,,,,0.0,1.0
B082TC6KL9,2022-08-03,144.0,144.0,,,0.0,1.0
B079Z36PRK,2022-08-02,161.0,,2.0,,0.0,1.0
B079Z36PRK,2022-08-03,161.0,161.0,2.0,2.0,0.0,1.0
B06XQ49MJ8,2022-08-02,240.0,,1689.0,,0.0,1.0
B06XQ49MJ8,2022-08-03,240.0,240.0,1692.0,1689.0,0.0,1.0
B06XQLN5RZ,2022-08-02,360.0,,2100.0,,0.0,1.0
B06XQLN5RZ,2022-08-03,360.0,360.0,2100.0,2100.0,0.0,1.0
B0888FJHX9,2022-08-02,250.0,,212.0,,0.0,1.0
B0888FJHX9,2022-08-03,194.0,250.0,291.0,212.0,0.0,1.0
B08BLP6CP5,2022-08-02,586.0,,428.0,,0.0,1.0
B08BLP6CP5,2022-08-03,586.0,586.0,201.0,428.0,0.0,1.0
