Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Fulfilled,Sponsored,Present
Stevia Powder,1,B078M8MXKY,"Pluck One Stevia Pure Extract Powder, 15 Gms",Pluck One,750.00,840.00,NA,True,True
Stevia Powder,2,B09HHFS19H,BBETTER Stevia Drops - Sugar Free Stevia Liquid - 100% Natural Zero Calorie Sweetener 180 drops 30ml,Bbetter,,1199.00,Fulfilled,True,True
Stevia Powder,3,B08NP2HY8Q,"Equal Stevia Natural Sweetener, Sugar Free, 100 Sachet, Pack of 1",Equal,188.00,250.00,Fulfilled,True,True
Stevia Powder,4,B0836F9NC2,Steviocal Sugar Free Zero Calorie Stevia Sweetener Powder Monocarton for Diet and Health Mangement - 25 Sachets,Steviocal,75.00,,NA,True,True
Stevia Powder,5,B08MV26J7C,"Sugar Free Green Stevia Powder Natural Stevia Powder - 400 g, Pouch",Sugar Free,,330.00,Fulfilled,False,True
Stevia Powder,6,B07P2X9MNK,Zindagi Stevia Powder - Natural Stevia White Powder - Sugarfree Stevia Powder - Stevia Extract Powder 200 gm,Zindagi,399.00,425.00,Fulfilled,False,True
Stevia Powder,7,B08HYVFMGF,"Magic Leaf Stevia Leaf Extract Sugar-Free Powder with 99.9% REB-A Purity Natural Sweetener, Zero Calorie, Zero Carb, 0 Fat - 250 gm, Pack of 1",Magic Leaf,410.00,445.00,NA,False,True
Stevia Powder,8,B015W85A4U,So Sweet Stevia Powder Sugar Free Natural Sweetener Zero Calorie (250 gm),So Sweet,,400.00,Fulfilled,False,True
Stevia Powder,9,B016KTDW18,So Sweet Stevia Powder Sugar Free Natural Sweetener Zero Calorie 1kg,So Sweet,,1500.00,Fulfilled,False,True
Stevia Powder,10,B01KQTMEJ4,So Sweet Stevia Powder Sugar Free Natural Zero Calorie Sweetener (200gms),So,,320.00,Fulfilled,False,True
Stevia Powder,11,B08KQ12D55,Zindagi Pure Stevia White Powder - Zero Calories - Natural Sweetener - Sugar Free Substitute For Diabetics - 200gm (Pack of 1),Zindagi,399.00,425.00,NA,False,True
Stevia Powder,12,B0756CK4M6,"Zindagi Stevia Sachets - Pure Stevia White Powder - Natural Fat Burner - Sugar Free Sweetener,100 Sachets(Pack of 1)",Zindagi,275.00,300.00,Fulfilled,False,True
Stevia Powder,13,B08FHSV3PZ,"Magic Leaf Stevia Leaf Extract Keto Sweetener Powder, 100% Natural, Zero Carb, No Sugar, Zero Calorie, No Bitter After Taste - 250 gm",Magic Leaf,410.00,445.00,Fulfilled,False,True
Stevia Powder,14,B083TXSQX7,So Sweet Stevia Powder Sugar Free Natural Sweetener Zero Calorie 1kg,So Sweet,,1500.00,Fulfilled,False,True
Stevia Powder,15,B079ZTFLFZ,Zindagi Stevia White Powder - 100% Natural Sugar-Free Sweetener (150 Gm),Zindagi,,450.00,Fulfilled,False,True
Stevia Powder,16,B09LK824SG,KALYA 100% Natural Stevia powder| Sugar free| Zero Calorie| Natural sweetener| Keeps blood sugar in check| Supports weight loss| Preservatives free| From Uttarakhand| 150 g,Kalya,209.00,399.00,NA,False,True
Stevia Powder,17,B07G85CVQ1,So Sweet Stevia Powder Sugar Free Natural Zero Calorie Sweetener (Pack of 2) 200gm Each,So,,640.00,Fulfilled,False,True
Stevia Powder,18,B075K6DWHW,Nutriorg Certified Organic Stevia Leaf Powder - 100g,Nutriorg,199.00,245.00,Fulfilled,False,True
Stevia Powder,19,B0B71HVTS5,ORGANIC INDIA Stevia Powder || Natural Sweetener || Sugar Free || 75 gm,Organic,225.00,,NA,False,True
Stevia Powder,20,B0B3HTDFJ6,Stevia Powder - Sugarfree Keto Sweetener A Spoon Full of Sweetener - 200g,Tulchini,310.00,375.00,NA,False,True
Stevia Powder,21,B07X55CDBY,Ketofy - Keto Sweetener (2x400g) | A Stevia Based Sugar Replacement With No Maltodextrin and Dextrose | Stevia Sugar Free | Ultra Low GI | Keto Sugar | No Aftertaste,Ketofy,979.00,1598.00,Fulfilled,True,True
Stevia Powder,22,B09T775YCP,"Equal Stevia Natural Sweetener, Sugar Free, 300 Tablets, Pack of 2",Equal,570.00,600.00,Fulfilled,True,True
Stevia Powder,23,B09T3HSV1V,"Equal Stevia Natural Sweetener, Sugar Free, 100 Tablets, Pack of 4",Equal,456.00,480.00,Fulfilled,True,True
Stevia Powder,24,B09T793MKV,"Equal Stevia Natural Sweetener, Sugar Free, 50 Sachet, Pack of 6",Equal,855.00,900.00,Fulfilled,True,True
Stevia Powder,25,B07WYLQ1G4,Zindagi Stevia Powder (Rab A 97%) Extract - Stevia Natural Sugar-free Powder In Bulk (1Kg),Zindagi,1399.00,1650.00,Fulfilled,False,True
Stevia Powder,26,B09K6DXN7M,"Magic Leaf Stevia Leaf Extract Sugar-Free Powder with 99.9% REB-A Purity Natural Sweetener, Zero Calorie, Good a Healthy Sweet Diet for weight watchers - 250 g",Magic,410.00,445.00,Fulfilled,False,True
Stevia Powder,27,B09VPJ3SZ5,IDIKA Stevia Sugar Free Powder Zero Calorie Natural Sweetener - 100gm,Idika,110.00,,Fulfilled,False,True
