Date,Sales,Rank,Price
31-03-2022,47,35,44378
01-04-2022,46,37,44390
22-03-2022,45,38,44272
21-03-2022,45,39,44260
30-03-2022,45,39,44366
02-04-2022,44,40,44990
23-04-2022,43,41,30585
21-04-2022,42,43,31957
03-04-2022,42,44,44304
04-04-2022,42,44,43618
28-03-2022,40,47,44342
23-03-2022,39,49,44284
15-04-2022,39,49,36073
12-04-2022,38,51,38130
05-04-2022,38,52,42932
11-04-2022,38,52,38816
20-03-2022,37,53,44248
25-03-2022,37,54,44307
14-04-2022,37,55,36758
13-04-2022,37,56,37444
09-04-2022,37,58,40188
10-04-2022,37,58,39502
20-04-2022,36,59,32643
26-03-2022,36,60,44319
08-04-2022,36,61,40874
19-03-2022,36,62,44236
16-04-2022,36,62,35387
18-04-2022,35,65,34015
17-04-2022,35,67,34701
19-04-2022,34,71,33329
07-04-2022,33,76,41560
27-04-2022,32,82,59400
06-04-2022,32,83,42246
28-04-2022,31,92,59400
18-03-2022,30,98,44225
20-03-2022,30,98,54900
18-03-2022,29,108,59400
21-03-2022,28,115,59400
19-03-2022,28,123,59400
02-05-2022,27,125,28376
29-04-2022,27,128,36990
29-04-2022,27,130,59400
01-05-2022,27,131,36990
16-03-2022,27,137,59400
28-04-2022,26,149,36990
02-05-2022,26,149,36990
17-03-2022,26,150,59400
21-05-2022,25,156,29427
17-04-2022,25,161,59400
15-04-2022,24,167,59400
15-03-2022,24,170,59400
30-04-2022,24,175,36990
16-04-2022,24,177,59400
14-03-2022,23,178,44178
26-04-2022,23,178,59400
16-03-2022,23,179,44201
18-04-2022,23,183,59400
22-05-2022,23,185,34757
17-03-2022,22,195,44213
11-01-2022,22,198,44142
11-03-2022,22,198,44142
13-03-2022,22,199,44166
15-03-2022,22,203,44189
22-03-2022,22,203,59400
07-04-2022,22,205,59400
24-04-2022,22,205,59400
03-05-2022,22,206,28312
13-04-2022,22,207,59400
01-04-2022,22,207,36990
09-03-2022,22,208,44119
31-03-2022,22,208,36990
06-04-2022,21,209,59400
11-03-2022,21,211,59400
25-04-2022,21,211,59400
02-05-2022,21,214,59400
03-05-2022,21,221,36990
01-05-2022,21,224,59400
10-04-2022,21,224,36990
11-04-2022,21,226,36990
10-03-2022,21,229,44131
10-03-2022,21,229,44131
13-04-2022,21,230,36990
13-03-2022,21,236,59400
12-04-2022,21,238,36990
23-05-2022,21,239,40087
16-05-2022,20,246,59400
02-04-2022,20,246,36990
12-03-2022,20,250,59400
31-03-2022,20,252,59400
02-04-2022,20,259,59400
22-04-2022,20,262,59400
03-05-2022,20,270,59400
04-05-2022,19,274,36990
09-04-2022,19,277,36990
01-05-2022,19,281,32980
04-05-2022,19,284,32980
30-04-2022,19,286,59400
24-05-2022,19,288,45417
02-05-2022,19,288,32980
30-03-2022,19,290,59400
15-05-2022,19,290,59400
04-04-2022,19,292,36990
25-05-2022,19,296,45589
12-04-2022,19,297,59400
08-04-2022,19,301,59400
23-03-2022,19,302,59400
17-05-2022,18,305,59400
21-04-2022,18,307,59400
23-04-2022,18,311,59400
14-04-2022,18,311,36990
01-05-2022,18,321,28439
26-05-2022,18,329,45760
08-03-2022,18,331,59400
23-05-2022,17,335,36990
10-04-2022,17,344,59400
07-05-2022,17,353,28057
29-03-2022,17,358,36990
08-04-2022,17,363,36990
05-04-2022,17,365,36990
03-04-2022,16,367,59400
04-05-2022,16,372,28248
05-05-2022,16,376,32980
09-05-2022,16,377,59400
27-05-2022,16,378,38172
28-05-2022,16,380,30585
19-04-2022,16,384,59400
18-05-2022,16,388,59400
08-05-2022,16,389,27994
08-05-2022,15,400,59400
10-05-2022,15,401,59400
06-04-2022,15,404,36990
11-04-2022,15,405,59400
06-05-2022,15,407,28121
06-05-2022,15,411,59400
30-04-2022,15,411,32980
05-05-2022,15,414,59400
29-04-2022,15,414,32980
04-04-2022,15,415,59400
15-04-2022,15,420,32774
28-04-2022,15,427,59400
07-04-2022,15,428,36990
07-05-2022,15,431,59400
05-05-2022,15,432,36990
15-04-2022,15,433,36990
21-05-2022,15,444,36990
06-05-2022,15,451,32980
13-05-2022,15,454,59400
08-03-2022,15,455,44107
25-03-2022,15,458,54900
19-04-2022,15,458,32877
26-04-2022,14,465,36990
09-05-2022,14,466,27930
25-03-2022,14,476,32235
25-04-2022,14,476,36990
28-04-2022,14,481,32980
05-05-2022,14,498,28185
07-03-2022,14,502,59400
27-03-2022,14,506,32286
26-03-2022,14,508,32261
24-04-2022,14,508,36990
22-04-2022,14,510,32954
21-04-2022,14,516,32928
03-04-2022,14,520,32466
08-05-2022,14,520,32980
24-05-2022,14,521,36990
19-05-2022,13,530,59400
07-05-2022,13,540,32980
20-04-2022,13,542,32902
24-04-2022,13,548,32209
30-04-2022,13,550,28566
13-04-2022,13,559,32723
30-05-2022,13,575,36990
28-03-2022,13,580,36990
06-03-2022,13,590,59400
25-05-2022,12,593,36990
09-05-2022,12,597,32980
20-04-2022,12,612,59400
29-05-2022,12,615,36990
02-04-2022,12,619,32440
23-04-2022,12,620,32980
18-04-2022,12,631,32851
16-04-2022,12,636,32800
24-04-2022,12,647,32980
19-04-2022,12,647,36990
26-03-2022,12,648,36990
23-04-2022,12,648,36990
05-06-2022,11,660,36990
27-03-2022,11,670,59400
21-04-2022,11,671,36990
08-06-2022,11,680,36990
20-05-2022,11,681,59400
04-06-2022,11,682,36990
26-03-2022,11,683,59400
07-06-2022,11,690,36990
26-04-2022,11,697,32980
28-05-2022,11,698,36990
12-05-2022,11,700,27739
01-04-2022,11,710,32415
06-06-2022,11,711,36990
28-03-2022,11,712,32312
05-03-2022,11,715,59400
20-05-2022,11,718,36990
12-05-2022,10,747,59400
27-05-2022,10,747,36990
25-04-2022,10,749,32980
31-03-2022,10,752,32289
18-05-2022,10,754,36990
27-04-2022,10,758,32980
18-04-2022,10,772,36990
14-05-2022,10,777,27612
17-04-2022,10,780,32825
12-06-2022,10,782,36990
11-05-2022,10,787,59400
10-05-2022,10,791,32980
17-04-2022,9,796,36990
13-05-2022,9,803,27675
07-05-2022,9,804,36990
07-03-2022,9,808,44095
11-05-2022,9,814,36990
20-04-2022,9,820,36990
29-04-2022,9,821,28692
15-05-2022,9,821,27548
12-04-2022,9,827,32697
29-06-2022,9,828,26490
14-06-2022,9,830,36990
04-04-2022,9,839,32492
30-03-2022,9,843,32363
15-06-2022,9,848,36990
10-05-2022,9,849,36990
04-03-2022,9,854,59400
11-05-2022,9,856,27803
08-05-2022,9,856,36990
31-05-2022,9,866,36990
29-03-2022,9,870,32338
16-04-2022,9,900,36990
28-06-2022,9,906,26490
13-06-2022,9,926,36990
16-05-2022,9,934,27560
25-03-2022,9,934,36990
01-06-2022,9,940,36990
09-04-2022,9,956,32620
11-04-2022,9,958,32671
17-05-2022,9,962,27573
19-05-2022,9,972,36990
06-03-2022,9,981,44084
18-05-2022,9,986,27586
