Date,Sales,Rank,Price
14/08/2022,37,5,799
12/08/2022,36,6,785
10/08/2022,35,7,799
08/08/2022,34,8,783
06/08/2022,33,9,767
31/07/2022,32,10,775
30/07/2022,31,11,779
02/08/2022,31,12,769
29/07/2022,30,14,782
10/09/2022,30,15,790
18/07/2022,30,16,779
23/08/2022,30,17,805
19/07/2022,29,18,789
17/09/2022,29,20,799
27/07/2022,28,21,789
19/10/2022,28,22,792
04/08/2022,28,23,762
20/07/2022,28,24,799
21/09/2022,27,25,739
16/07/2022,27,26,759
29/10/2022,27,27,799
22/07/2022,26,29,759
28/09/2022,24,38,753
03/10/2022,23,39,763
04/10/2022,23,40,765
01/11/2022,22,43,775
15/07/2022,21,46,749
02/11/2022,20,50,783
10/10/2022,20,51,771
30/01/2023,20,52,659
18/01/2023,20,56,629
21/01/2023,20,58,692
08/10/2022,20,59,764
17/01/2023,20,60,629
06/10/2022,19,61,949
16/01/2023,19,62,629
23/01/2023,19,71,685
13/07/2022,18,75,729
25/01/2023,18,77,659
24/01/2023,18,78,672
22/01/2023,18,80,699
28/01/2023,18,85,659
06/11/2022,17,87,785
19/01/2023,17,89,629
15/01/2023,17,92,629
10/11/2022,17,93,771
20/01/2023,17,97,643
01/12/2022,16,106,759
14/11/2022,16,108,781
18/11/2022,16,112,792
07/11/2022,16,118,779
25/11/2022,15,125,775
09/12/2022,15,142,770
12/07/2022,15,143,719
10/12/2022,15,147,772
17/12/2022,14,156,790
21/01/2023,14,158,789
14/01/2023,14,159,640
14/12/2022,14,161,779
22/12/2022,14,170,775
16/12/2022,14,171,785
12/12/2022,14,173,776
24/12/2022,13,185,791
04/12/2022,13,190,783
14/01/2023,13,191,709
18/12/2022,13,192,794
05/12/2022,13,193,791
16/01/2023,13,198,739
25/12/2022,13,205,799
21/11/2022,12,211,772
30/01/2023,12,220,759
20/12/2022,12,224,759
29/01/2023,12,225,729
22/01/2023,12,227,729
23/01/2023,12,229,774
28/01/2023,12,231,729
08/01/2023,12,233,679
10/01/2023,12,238,783
23/01/2023,12,248,729
04/01/2023,12,251,783
20/11/2022,12,252,779
25/01/2023,12,253,759
25/01/2023,12,257,729
24/01/2023,12,259,729
09/01/2023,12,263,699
08/01/2023,12,266,767
13/01/2023,12,270,652
07/01/2023,12,271,659
05/01/2023,12,272,791
02/01/2023,11,278,797
02/01/2023,11,284,767
12/01/2023,11,286,664
27/01/2023,11,299,729
03/01/2023,11,305,799
11/07/2022,11,310,709
26/01/2023,11,312,729
06/01/2023,11,314,661
11/01/2023,11,316,675
10/01/2023,11,324,687
20/01/2023,11,330,799
04/01/2023,10,344,795
30/12/2022,10,351,791
14/01/2023,10,396,799
05/01/2023,10,398,663
10/07/2022,9,407,699
09/07/2022,9,436,699
05/01/2023,9,444,791
12/01/2023,9,450,763
13/01/2023,9,451,759
11/01/2023,9,460,767
10/01/2023,9,489,771
15/01/2023,9,490,775
09/01/2023,9,513,775
07/01/2023,9,528,783
16/01/2023,9,542,752
06/01/2023,8,572,787
08/01/2023,8,585,779
04/01/2023,8,594,665
17/01/2023,8,602,729
03/01/2023,8,617,667
02/01/2023,8,634,670
08/01/2023,8,646,410
07/01/2023,7,766,410
04/01/2023,7,787,424
02/01/2023,7,791,435
20/12/2022,7,819,676
21/12/2022,7,853,696
01/01/2023,7,864,672
28/12/2022,7,874,679
03/01/2023,7,876,429
18/12/2022,7,892,699
19/12/2022,7,896,699
05/01/2023,7,905,411
06/01/2023,6,941,410
26/12/2022,6,965,685
31/12/2022,6,970,674
01/01/2023,6,972,441
24/12/2022,6,992,690
23/12/2022,6,1000,692
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
