Date,Sales,Rank,Price
02/01/2022,185,2,153.5
26/07/2022,133,5,175.99
03/08/2022,113,9,175.99
03/01/2022,105,12,146.2
08/08/2022,100,16,175.9
29/06/2022,95,20,175.99
16/07/2022,93,22,175.99
09/05/2022,90,24,180.39
04/01/2022,86,28,138.9
01/01/2022,81,32,160.8
05/05/2022,78,34,181.99
02/05/2022,73,38,181.44
06/03/2022,71,40,185.2
01/05/2022,67,43,181.26
03/05/2022,64,46,181.62
30/04/2022,61,48,181.08
02/04/2022,59,50,181.61
05/03/2022,57,55,185.3
06/04/2022,56,59,180.09
29/04/2022,55,61,180.9
17/04/2022,54,64,175.91
15/04/2022,53,67,176.67
28/04/2022,52,69,180.72
12/04/2022,51,72,177.81
09/11/2021,50,75,160.62
21/04/2022,50,77,174.39
18/04/2022,49,80,175.53
17/10/2020,44,85,159.5
31/03/2022,46,87,182.7
18/10/2020,47,90,166
16/10/2020,33,94,153
23/02/2022,43,97,186.3
26/04/2022,43,99,180.36
22/02/2022,42,103,186.4
13/02/2022,41,108,187.3
23/01/2022,41,110,189.4
25/04/2022,41,112,180.18
15/02/2022,40,114,187.1
27/07/2021,40,117,123.3
19/10/2020,46,120,172.5
14/02/2022,39,123,187.2
24/10/2021,39,126,151.18
29/09/2021,38,129,142.5
28/01/2022,38,131,188.9
28/09/2021,37,135,142.2
02/06/2021,37,138,117
03/06/2021,37,140,134.4
04/06/2021,37,145,151.8
05/06/2021,36,148,169.2
04/05/2021,34,150,139.36
25/04/2021,31,152,146.2
23/05/2021,30,155,124.92
08/06/2021,34,157,117
06/06/2021,36,160,186.6
07/06/2021,34,161,204
18/05/2021,34,163,128.72
07/05/2021,33,165,137.08
24/05/2021,35,167,124.16
30/05/2021,32,170,119.6
29/05/2021,31,172,120.36
19/06/2021,30,174,106.3
20/06/2021,32,176,106.2
09/05/2021,31,180,135.56
23/06/2021,31,183,106.78
25/06/2021,31,185,108.34
25/03/2021,29,187,138
17/04/2021,31,190,152.28
29/06/2021,28,192,111.46
27/06/2021,28,194,109.9
16/06/2021,28,196,106.6
27/05/2021,30,198,121.88
11/06/2021,30,200,109.5
28/03/2021,29,203,167.48
26/06/2021,30,205,109.12
21/03/2021,28,209,158.68
19/03/2021,29,210,169
18/11/2020,28,213,146.8
15/06/2021,27,215,106.7
08/03/2021,29,218,142.41
29/03/2021,28,220,166.72
20/02/2021,26,223,159.66
14/06/2021,26,227,106.8
21/02/2021,27,231,164.49
13/06/2021,28,235,106.9
16/12/2020,26,239,166
19/02/2021,23,243,154.83
25/12/2020,24,245,171.49
27/12/2020,26,249,172.71
28/12/2020,25,251,173.32
11/12/2020,24,254,176
26/11/2020,24,256,157.68
16/08/2020,27,258,196.75
25/01/2021,27,261,177.84
29/12/2020,25,266,173.93
24/12/2020,24,270,170.88
25/11/2020,23,272,156.32
22/11/2020,26,276,152.24
17/02/2021,24,278,151.16
06/12/2020,24,281,174
18/02/2021,24,283,150
13/12/2020,24,287,172
18/08/2020,25,290,202.37
14/02/2021,23,292,154.64
13/02/2021,20,295,155.8
21/09/2020,23,302,168.22
03/02/2021,22,304,167.4
15/02/2021,23,307,153.48
05/02/2021,21,320,165.08
20/08/2020,22,324,208
27/01/2021,23,329,175.52
28/01/2021,21,337,174.36
12/02/2021,19,341,156.96
01/02/2021,18,343,169.72
10/02/2021,18,348,159.28
21/08/2020,21,351,207
18/01/2021,15,354,175.28
11/02/2021,19,359,158.12
09/02/2021,18,366,160.44
30/01/2021,20,368,172.04
08/02/2021,17,375,161.6
06/01/2021,17,378,179
07/02/2021,20,381,162.76
26/08/2020,16,388,207.56
07/01/2021,18,395,178.69
25/08/2020,16,404,208
24/08/2020,15,409,207.54
13/01/2021,16,419,176.83
02/01/2021,15,423,176.37
08/01/2021,17,426,178.38
11/01/2021,15,428,177.45
12/01/2021,16,432,177.14
17/01/2021,15,444,175.59
01/01/2021,16,449,175.76
14/01/2021,16,452,176.52
15/01/2021,15,454,176.21
13/09/2020,15,458,313.88
08/03/2021,15,464,117.6
09/04/2022,15,469,314.99
30/04/2022,15,471,309.52
10/08/2021,15,474,119.3
08/04/2022,15,476,297
24/09/2020,15,482,320.2
21/04/2021,14,491,111.9
21/02/2021,14,494,118.8
13/04/2022,14,499,304.82
23/02/2021,14,501,118.64
25/02/2021,14,505,118.48
18/02/2021,14,509,119.04
20/04/2021,14,511,111
23/09/2020,14,516,319.3
28/09/2020,14,519,318.4
27/02/2021,14,522,118.32
19/02/2021,14,524,118.96
20/02/2021,14,528,118.88
25/06/2022,13,533,116.54
05/06/2022,13,537,112.73
15/04/2022,13,541,309.24
17/02/2021,13,546,119.12
22/09/2020,13,550,318.4
26/01/2021,13,554,95.2
12/04/2022,13,557,304.58
19/02/2022,13,559,121.59
23/07/2022,13,566,119.5
31/12/2020,13,573,117.24
20/12/2020,12,581,289.88
07/05/2022,12,585,313.55
18/02/2022,12,588,121.62
31/07/2022,12,591,119.5
25/07/2022,12,594,119.5
30/01/2021,12,598,92
21/07/2022,12,601,119.5
11/07/2022,12,604,116.93
15/10/2020,12,607,322
06/05/2022,12,610,313.36
27/01/2021,12,619,94
31/01/2021,12,624,96
16/02/2021,11,631,119.2
01/01/2021,11,633,116.89
28/01/2021,11,636,93.5
19/07/2022,11,643,118.85
02/02/2021,11,646,104
29/01/2021,11,651,93
14/01/2022,11,656,135.69
18/01/2022,11,660,132.61
07/08/2022,11,662,119.5
15/01/2022,11,666,134.92
28/07/2022,11,669,119.5
26/07/2022,11,673,119.5
25/01/2021,10,677,96.38
14/07/2022,10,679,117.35
11/01/2022,10,682,138
29/07/2022,10,685,119.5
21/04/2022,10,693,338.73
26/12/2020,10,701,116.3
01/02/2021,10,706,100
23/02/2022,10,713,121.47
19/04/2022,10,717,340
18/04/2022,10,721,312.13
12/12/2020,9,728,123.29
15/02/2021,9,730,119.28
24/12/2020,9,738,115.64
23/01/2021,9,741,98.74
27/12/2020,9,744,116.63
10/02/2021,9,748,119.68
12/02/2021,9,758,119.52
04/02/2021,9,762,112
08/02/2021,9,764,119.84
05/02/2021,9,767,116
30/12/2020,9,769,114
14/12/2020,8,771,118.15
31/10/2020,8,779,280.21
09/05/2022,8,783,319.55
06/01/2021,8,789,113
07/01/2021,8,792,112.5
11/02/2021,8,797,119.6
04/01/2021,8,801,114.78
28/12/2020,8,806,117
11/12/2020,8,809,125.86
08/05/2022,8,814,314.18
13/02/2021,8,817,119.44
21/12/2020,8,820,114.65
01/10/2020,8,825,129
09/11/2021,8,828,135.26
18/01/2021,8,835,104.64
07/02/2021,8,838,119.92
08/01/2021,8,841,112
13/04/2022,8,843,120.35
13/02/2022,8,845,121.77
06/02/2021,8,850,120
17/01/2021,8,856,105.82
19/01/2021,8,862,103.46
14/02/2022,8,865,121.74
22/10/2021,8,869,135.32
16/12/2020,7,877,113
10/01/2021,7,883,111.34
09/01/2021,7,885,111.67
22/01/2021,7,890,99.92
05/10/2020,7,897,125
03/10/2020,7,902,127
15/01/2021,7,908,107.5
11/01/2021,7,913,111
15/12/2020,7,918,115.58
29/08/2020,7,921,116.68
02/10/2020,7,926,128
19/05/2022,7,930,108.5
16/10/2021,7,933,133.58
20/01/2021,7,937,102.28
21/01/2021,7,940,101.1
14/04/2022,7,948,120.4
07/10/2020,7,954,123
18/05/2022,7,956,108.15
06/05/2022,7,965,245
29/09/2020,7,970,158
16/08/2020,7,978,127.5
05/12/2020,7,980,113.6
06/10/2020,7,987,124
14/01/2021,7,989,108
16/04/2022,7,991,120.5
10/12/2020,7,997,128.43
30/12/2021,7,1000,228.89
04/02/2022,7,1004,122.45
